Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,89.81,90.7,89.3,90.61,310700,,,,,0.0,0.0,0.0,,,
2021-07-13,90.22,90.55,89.75,90.2,356400,,,,,-0.033,-0.007,-0.026,,,
2021-07-14,90.04,91.15,89.45,89.91,280500,,,,,-0.081,-0.021,-0.06,,,
2021-07-15,88.71,90.72,88.64,90.6,270200,,,,,-0.063,-0.03,-0.033,,,
2021-07-16,91.39,91.39,89.92,90.18,324400,90.3,,,,-0.082,-0.04,-0.042,,,
2021-07-19,88.35,88.7,86.37,86.9,492200,89.558,,,,-0.357,-0.104,-0.253,,,
2021-07-20,87.15,90.16,87.15,89.27,431400,89.372,,,,-0.38,-0.159,-0.221,,,
2021-07-21,90.2,91.57,89.45,89.98,331000,89.386,,,,-0.336,-0.194,-0.142,,,
2021-07-22,90.08,90.61,88.51,89.08,615500,89.082,,,,-0.37,-0.229,-0.141,,,
2021-07-23,89.67,90.37,89.14,89.52,553400,88.95,,,,-0.358,-0.255,-0.103,,,
2021-07-26,89.55,90.82,89.3,89.99,607100,89.568,,,,-0.306,-0.265,-0.041,,,
2021-07-27,89.05,90.43,88.57,89.56,316100,89.626,,,,-0.297,-0.272,-0.025,,,
2021-07-28,89.94,90.49,88.92,89.3,331600,89.49,,,,-0.307,-0.279,-0.028,,,
2021-07-29,90.18,91.26,89.45,90.35,343800,89.744,,,,-0.227,-0.268,0.041,,,
2021-07-30,89.87,90.79,89.06,89.28,472000,89.696,,,45.594,-0.248,-0.264,0.017,,,
2021-08-02,89.98,90.98,88.72,88.88,399100,89.474,,,43.276,-0.293,-0.27,-0.023,,,
2021-08-03,89.43,89.66,87.76,88.55,379100,89.272,,,41.405,-0.351,-0.286,-0.065,,,
2021-08-04,87.49,88.9,87.27,87.83,405300,88.978,,,37.588,-0.45,-0.319,-0.131,,,
2021-08-05,88.61,89.58,88.0,88.81,251500,88.67,,,45.018,-0.445,-0.344,-0.101,,,
2021-08-06,90.0,90.72,89.64,90.25,309000,88.864,89.452,,53.734,-0.32,-0.339,0.019,89.452,91.339,87.566
2021-08-09,90.09,91.02,89.56,90.4,262700,89.168,89.442,,54.543,-0.207,-0.313,0.106,89.442,91.304,87.58
2021-08-10,90.51,92.09,90.01,91.69,387900,89.796,89.516,,60.874,-0.013,-0.253,0.24,89.516,91.611,87.422
2021-08-11,91.99,93.57,91.28,93.47,371800,90.924,89.694,,67.584,0.281,-0.146,0.427,89.694,92.435,86.954
2021-08-12,93.47,93.66,92.48,92.7,224200,91.702,89.8,,62.584,0.446,-0.028,0.474,89.8,92.831,86.768
2021-08-13,92.47,92.69,92.15,92.43,204800,92.138,89.912,,60.883,0.55,0.088,0.462,89.912,93.162,86.662
2021-08-16,91.8,93.2,91.44,92.31,365600,92.52,90.182,,60.102,0.615,0.193,0.422,90.182,93.274,87.091
2021-08-17,91.69,92.63,91.34,92.2,237800,92.622,90.329,,59.349,0.65,0.284,0.365,90.329,93.515,87.143
2021-08-18,91.74,92.7,91.3,91.67,269200,92.262,90.414,,55.73,0.628,0.353,0.275,90.414,93.65,87.177
2021-08-19,90.93,92.01,90.45,90.96,251100,91.914,90.508,,51.223,0.546,0.392,0.155,90.508,93.689,87.326
2021-08-20,90.76,91.26,90.28,91.07,311500,91.642,90.585,,51.872,0.485,0.41,0.075,90.585,93.741,87.429
2021-08-23,91.9,92.56,91.55,91.92,330700,91.564,90.682,,56.672,0.5,0.428,0.072,90.682,93.879,87.484
2021-08-24,92.08,92.86,91.97,92.57,172800,91.638,90.832,,59.961,0.557,0.454,0.103,90.832,94.09,87.574
2021-08-25,92.96,93.85,92.28,93.15,208200,91.934,91.024,,62.683,0.642,0.492,0.151,91.024,94.355,87.694
2021-08-26,93.55,93.62,91.47,91.66,244000,92.074,91.09,,52.76,0.583,0.51,0.073,91.09,94.416,87.764
2021-08-27,91.8,93.37,91.48,92.96,179500,92.452,91.274,,58.877,0.633,0.535,0.098,91.274,94.586,87.962
2021-08-30,93.32,93.32,91.9,92.03,222100,92.474,91.432,,53.536,0.591,0.546,0.045,91.432,94.558,88.305
2021-08-31,91.68,93.03,91.68,92.11,400700,92.382,91.61,,53.924,0.558,0.548,0.01,91.61,94.437,88.782
2021-09-01,92.25,92.5,91.04,91.57,273000,92.066,91.797,,50.844,0.482,0.535,-0.053,91.797,93.996,89.597
2021-09-02,91.83,92.0,90.65,90.9,255500,91.914,91.901,,47.239,0.364,0.501,-0.137,91.901,93.657,90.145
2021-09-03,90.77,90.9,90.02,90.41,247700,91.404,91.909,,44.74,0.229,0.447,-0.218,91.909,93.635,90.183
2021-09-07,90.27,90.87,89.1,89.28,407500,90.854,91.853,,39.546,0.03,0.363,-0.334,91.853,93.838,89.868
2021-09-08,89.25,89.57,88.48,89.07,291300,90.246,91.722,,38.648,-0.144,0.262,-0.405,91.722,94.066,89.378
2021-09-09,88.69,90.34,88.69,89.26,223300,89.784,91.512,,39.976,-0.262,0.157,-0.419,91.512,93.949,89.074
2021-09-10,89.86,90.11,88.17,88.24,223300,89.252,91.288,,35.529,-0.434,0.039,-0.473,91.288,94.061,88.516
2021-09-13,89.05,89.94,88.64,89.35,216600,89.04,91.134,,42.964,-0.475,-0.064,-0.411,91.134,93.981,88.288
2021-09-14,89.72,89.73,88.21,88.33,276300,88.85,90.936,,38.563,-0.583,-0.168,-0.415,90.936,93.985,87.886
2021-09-15,88.24,88.94,88.16,88.48,265500,88.732,90.75,,39.544,-0.649,-0.264,-0.385,90.75,93.926,87.573
2021-09-16,88.52,89.24,87.51,88.07,258700,88.494,90.569,,37.769,-0.726,-0.356,-0.369,90.569,93.929,87.21
2021-09-17,87.61,88.55,85.65,85.98,1514200,88.042,90.32,,30.303,-0.944,-0.474,-0.471,90.32,94.248,86.393
2021-09-20,84.06,84.69,82.66,84.22,490100,87.016,89.978,90.15,25.696,-1.245,-0.628,-0.617,89.978,94.737,85.219
2021-09-21,84.73,84.79,82.69,83.0,336200,85.95,89.532,89.998,23.077,-1.564,-0.815,-0.749,89.532,95.124,83.94
2021-09-22,83.85,84.83,83.34,84.29,412400,85.112,89.118,89.88,31.076,-1.694,-0.991,-0.703,89.118,94.982,83.254
2021-09-23,85.29,86.49,85.11,85.33,314500,84.564,88.727,89.788,36.784,-1.693,-1.131,-0.561,88.727,94.501,82.953
2021-09-24,85.35,86.59,85.05,85.1,281600,84.388,88.399,89.678,36.072,-1.691,-1.243,-0.448,88.399,94.217,82.581
2021-09-27,85.85,87.89,85.33,87.23,308000,84.99,88.112,89.619,46.409,-1.5,-1.295,-0.206,88.112,93.536,82.689
2021-09-28,87.55,88.33,86.0,86.03,359700,85.596,87.812,89.602,42.263,-1.43,-1.322,-0.108,87.812,92.981,82.644
2021-09-29,86.09,86.89,85.59,86.39,216500,86.016,87.526,89.544,43.883,-1.329,-1.323,-0.006,87.526,92.313,82.74
2021-09-30,86.88,87.05,85.35,85.36,523700,86.022,87.216,89.452,40.391,-1.318,-1.322,0.004,87.216,91.693,82.739
2021-10-01,85.91,87.32,85.24,86.75,372000,86.352,87.008,89.405,46.57,-1.183,-1.294,0.112,87.008,91.138,82.879
2021-10-04,86.33,88.03,85.95,86.35,400200,86.176,86.806,89.342,45.12,-1.095,-1.254,0.159,86.806,90.618,82.993
