Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,56.25,56.83,55.53,56.64,14513200,,,,,0.0,0.0,0.0,,,
2021-07-13,56.71,56.92,55.96,56.41,14604200,,,,,-0.018,-0.004,-0.015,,,
2021-07-14,56.56,57.01,55.43,55.71,12520500,,,,,-0.088,-0.021,-0.068,,,
2021-07-15,54.86,55.41,54.35,54.7,12103400,,,,,-0.223,-0.061,-0.162,,,
2021-07-16,55.21,55.21,53.18,53.27,13611400,55.346,,,,-0.44,-0.137,-0.303,,,
2021-07-19,51.77,52.28,50.55,52.04,20942100,54.426,,,,-0.703,-0.25,-0.453,,,
2021-07-20,52.12,54.15,51.98,53.93,13292000,53.93,,,,-0.75,-0.35,-0.4,,,
2021-07-21,54.55,55.2,54.32,54.79,11035200,53.746,,,,-0.71,-0.422,-0.288,,,
2021-07-22,54.51,54.52,53.3,53.44,12019900,53.494,,,,-0.778,-0.493,-0.285,,,
2021-07-23,53.12,53.58,52.64,52.77,14536000,53.394,,,,-0.876,-0.57,-0.306,,,
2021-07-26,53.06,53.7,52.92,53.57,9589000,53.7,,,,-0.879,-0.632,-0.247,,,
2021-07-27,53.03,53.17,52.08,52.83,13374900,53.48,,,,-0.93,-0.691,-0.239,,,
2021-07-28,53.23,53.65,52.53,53.3,10549200,53.182,,,,-0.922,-0.738,-0.185,,,
2021-07-29,54.75,55.46,54.57,55.02,15439000,53.498,,,,-0.769,-0.744,-0.025,,,
2021-07-30,54.48,55.52,54.38,54.59,13185500,53.862,,,48.079,-0.674,-0.73,0.056,,,
2021-08-02,55.1,56.28,54.63,54.78,12397500,54.104,,,49.28,-0.576,-0.699,0.123,,,
2021-08-03,55.2,55.67,54.37,55.59,12273500,54.656,,,54.15,-0.429,-0.645,0.216,,,
2021-08-04,53.05,53.26,50.15,50.64,67667200,54.124,,,33.182,-0.703,-0.657,-0.047,,,
2021-08-05,51.73,52.71,51.43,52.29,28571400,53.578,,,41.336,-0.779,-0.681,-0.098,,,
2021-08-06,52.64,53.16,52.12,52.87,14970100,53.234,53.959,,43.927,-0.783,-0.701,-0.081,53.959,57.039,50.879
2021-08-09,52.12,52.22,51.29,51.82,16080000,52.642,53.718,,40.445,-0.861,-0.733,-0.127,53.718,56.666,50.77
2021-08-10,51.87,52.23,51.54,52.12,14479100,51.948,53.504,,41.863,-0.888,-0.764,-0.124,53.504,56.243,50.764
2021-08-11,52.27,52.35,51.34,52.12,15814600,52.244,53.324,,41.863,-0.899,-0.791,-0.108,53.324,55.922,50.726
2021-08-12,52.29,52.86,52.05,52.46,10760900,52.278,53.212,,43.627,-0.871,-0.807,-0.064,53.212,55.753,50.671
2021-08-13,52.4,52.55,51.47,51.53,11849200,52.01,53.125,,40.047,-0.913,-0.828,-0.084,53.125,55.774,50.476
2021-08-16,50.91,51.15,50.42,50.86,17019000,51.818,53.066,,37.65,-0.989,-0.86,-0.128,53.066,55.865,50.267
2021-08-17,49.93,50.02,48.22,48.47,28477800,51.088,52.793,,30.612,-1.227,-0.934,-0.294,52.793,56.23,49.356
2021-08-18,48.53,49.45,48.41,48.83,15271400,50.43,52.495,,32.654,-1.372,-1.021,-0.35,52.495,56.224,48.766
2021-08-19,48.02,48.23,46.75,47.14,23387300,49.366,52.18,,28.425,-1.604,-1.138,-0.466,52.18,56.577,47.783
2021-08-20,47.02,47.2,46.44,46.87,16898400,48.434,51.885,,27.805,-1.789,-1.268,-0.521,51.885,56.868,46.902
2021-08-23,46.26,46.44,45.21,46.28,30149200,47.518,51.521,,26.448,-1.961,-1.407,-0.554,51.521,57.024,46.017
2021-08-24,46.58,47.9,46.32,47.61,21394700,47.346,51.26,,34.238,-1.967,-1.519,-0.449,51.26,56.992,45.527
2021-08-25,47.53,47.96,47.22,47.74,14406600,47.128,50.982,,34.964,-1.94,-1.603,-0.336,50.982,56.835,45.128
2021-08-26,47.51,47.51,46.6,46.7,16599200,47.04,50.566,,31.93,-1.978,-1.678,-0.3,50.566,56.393,44.738
2021-08-27,46.82,48.09,46.74,47.83,14874300,47.232,50.228,,38.203,-1.896,-1.722,-0.175,50.228,55.853,44.602
2021-08-30,47.98,47.98,47.02,47.23,13709000,47.422,49.85,,36.291,-1.858,-1.749,-0.109,49.85,55.196,44.504
2021-08-31,47.23,47.48,46.75,47.07,14293100,47.314,49.424,,35.777,-1.82,-1.763,-0.057,49.424,54.168,44.68
2021-09-01,47.16,47.68,46.76,47.17,10982100,47.2,49.25,,36.383,-1.761,-1.763,0.002,49.25,54.06,44.441
2021-09-02,47.21,47.54,46.88,47.02,13349300,47.264,48.987,,35.836,-1.707,-1.752,0.045,48.987,53.672,44.302
2021-09-03,46.87,47.06,46.51,46.89,9932500,47.076,48.688,,35.341,-1.656,-1.732,0.077,48.688,53.083,44.293
2021-09-07,46.57,47.28,46.51,46.79,12309900,46.988,48.436,,34.94,-1.604,-1.707,0.102,48.436,52.649,44.224
2021-09-08,46.72,47.56,46.51,47.03,11136300,46.98,48.182,,36.792,-1.527,-1.671,0.144,48.182,52.059,44.305
2021-09-09,47.02,47.02,45.91,46.51,13739500,46.848,47.902,,34.501,-1.49,-1.635,0.145,47.902,51.369,44.434
2021-09-10,46.77,48.43,46.77,47.53,22774700,46.95,47.655,,42.114,-1.363,-1.58,0.217,47.655,50.38,44.93
2021-09-13,48.13,48.94,47.64,48.81,18506500,47.334,47.519,,49.973,-1.146,-1.494,0.348,47.519,49.632,45.406
2021-09-14,49.2,49.39,48.5,48.73,12587300,47.722,47.412,,49.521,-0.969,-1.389,0.42,47.412,48.954,45.871
2021-09-15,48.78,49.88,48.54,49.77,13658500,48.27,47.478,,55.2,-0.736,-1.258,0.522,47.478,49.293,45.662
2021-09-16,49.55,49.85,48.9,49.48,12617300,48.864,47.51,,53.396,-0.569,-1.12,0.551,47.51,49.446,45.574
2021-09-17,49.3,49.88,48.97,49.3,45115700,49.218,47.618,,52.255,-0.446,-0.985,0.54,47.618,49.703,45.533
