Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,440.92,452.92,434.19,448.15,843400,,,,,0.0,0.0,0.0,,,
2021-07-13,448.1,451.44,443.11,445.23,893300,,,,,-0.233,-0.047,-0.186,,,
2021-07-14,448.78,449.91,434.0,436.73,832300,,,,,-1.091,-0.255,-0.835,,,
2021-07-15,437.73,442.69,427.4,432.86,805800,,,,,-2.059,-0.616,-1.443,,,
2021-07-16,433.4,435.48,426.84,430.34,748700,438.662,,,,-2.996,-1.092,-1.904,,,
2021-07-19,423.24,434.32,415.0,434.25,702700,435.882,,,,-3.383,-1.55,-1.833,,,
2021-07-20,436.81,438.49,431.78,436.42,659000,434.12,,,,-3.475,-1.935,-1.54,,,
2021-07-21,437.7,448.45,435.12,447.34,596400,436.242,,,,-2.636,-2.075,-0.561,,,
2021-07-22,448.9,450.99,442.78,444.59,442200,438.588,,,,-2.169,-2.094,-0.075,,,
2021-07-23,441.71,451.02,441.71,449.64,340700,442.448,,,,-1.375,-1.95,0.576,,,
2021-07-26,451.34,457.0,441.23,444.65,476300,444.528,,,,-1.135,-1.787,0.652,,,
2021-07-27,441.01,442.24,430.91,438.92,692700,445.028,,,,-1.391,-1.708,0.317,,,
2021-07-28,406.12,438.0,383.1,431.04,2889900,441.768,,,,-2.205,-1.807,-0.398,,,
2021-07-29,432.46,436.98,410.0,419.3,1514500,436.71,,,,-3.754,-2.197,-1.557,,,
2021-07-30,417.62,427.27,415.18,419.36,803800,430.654,,,27.308,-4.92,-2.741,-2.178,,,
2021-08-02,421.32,421.32,396.2,400.0,1273400,421.724,,,19.102,-7.321,-3.657,-3.664,,,
2021-08-03,403.12,410.78,396.2,402.09,939900,414.358,,,21.833,-8.953,-4.716,-4.237,,,
2021-08-04,403.0,407.33,397.59,400.24,742100,408.198,,,21.152,-10.277,-5.828,-4.448,,,
2021-08-05,401.0,406.07,399.05,403.72,745200,405.082,,,25.836,-10.919,-6.847,-4.073,,,
2021-08-06,409.03,423.79,407.19,415.04,760500,404.218,428.996,,38.611,-10.395,-7.556,-2.839,428.996,463.194,394.797
2021-08-09,414.0,419.85,411.48,417.86,473400,407.79,427.481,,41.323,-9.641,-7.973,-1.668,427.481,460.779,394.183
2021-08-10,420.0,426.65,415.09,419.09,495400,411.19,426.174,,42.515,-8.842,-8.147,-0.695,426.174,458.579,393.769
2021-08-11,419.36,420.66,411.03,417.22,601500,414.586,425.199,,41.146,-8.265,-8.171,-0.094,425.199,457.439,392.958
2021-08-12,415.11,423.8,413.67,423.32,672800,418.506,424.722,,47.128,-7.232,-7.983,0.751,424.722,456.767,392.676
2021-08-13,423.55,424.58,411.84,414.1,530200,418.318,423.91,,40.438,-7.075,-7.801,0.726,423.91,456.178,391.641
2021-08-16,414.3,414.3,408.01,410.19,566800,416.784,422.706,,37.976,-7.184,-7.678,0.494,422.706,455.145,390.268
2021-08-17,407.46,407.46,385.57,389.99,955300,410.964,420.385,,28.366,-8.799,-7.902,-0.897,420.385,455.246,385.524
2021-08-18,389.11,397.59,386.99,390.05,528600,405.53,417.52,,28.424,-9.959,-8.314,-1.645,417.52,452.471,382.57
2021-08-19,385.23,397.5,385.0,391.85,429300,399.236,414.884,,30.247,-10.611,-8.773,-1.838,414.884,449.187,380.58
2021-08-20,391.95,404.99,391.95,400.32,594900,396.48,412.418,,38.219,-10.325,-9.083,-1.241,412.418,443.101,381.734
2021-08-23,402.93,417.72,401.25,415.03,628300,397.448,410.936,,49.099,-8.81,-9.029,0.219,410.936,437.675,384.198
2021-08-24,414.96,422.11,414.96,418.9,481000,403.23,409.936,,51.518,-7.214,-8.666,1.452,409.936,433.583,386.288
2021-08-25,420.0,429.2,418.7,425.87,497000,410.394,409.677,,55.61,-5.325,-7.997,2.673,409.677,432.45,386.904
2021-08-26,424.58,429.34,422.88,427.47,382700,417.518,410.085,,56.518,-3.657,-7.129,3.473,410.085,433.856,386.315
2021-08-27,428.33,442.28,428.33,437.11,754300,424.876,410.973,,61.609,-1.539,-6.011,4.472,410.973,437.381,384.565
2021-08-30,447.84,458.1,440.67,442.7,921500,430.41,413.108,,64.224,0.584,-4.692,5.276,413.108,442.515,383.701
2021-08-31,443.42,443.48,434.4,436.98,803200,434.026,414.853,,59.739,1.784,-3.397,5.181,414.853,445.616,384.089
2021-09-01,440.47,442.84,434.81,438.71,621800,436.594,416.776,,60.635,2.841,-2.149,4.991,416.776,448.488,385.064
2021-09-02,443.5,453.58,443.08,453.01,577700,441.702,419.24,,67.14,4.779,-0.764,5.542,419.24,454.178,384.303
2021-09-03,451.51,458.57,448.82,453.75,538900,445.03,421.176,,67.44,6.301,0.649,5.652,421.176,459.279,383.073
2021-09-07,453.75,455.0,437.83,445.55,574000,445.6,422.56,,60.817,6.768,1.873,4.895,422.56,462.14,382.981
2021-09-08,443.33,450.84,440.41,443.21,474700,446.846,423.766,,59.035,6.87,2.872,3.997,423.766,464.357,383.176
2021-09-09,445.92,460.0,445.09,455.24,568500,450.152,425.668,,64.752,7.831,3.864,3.967,425.668,468.469,382.866
2021-09-10,456.03,466.92,450.99,451.31,526300,449.812,427.067,,61.722,8.181,4.727,3.454,427.067,471.35,382.784
2021-09-13,452.71,453.36,429.3,438.69,697800,446.8,428.297,,53.123,7.356,5.253,2.103,428.297,472.428,384.165
2021-09-14,437.79,441.8,429.5,433.54,390100,444.398,429.464,,50.059,6.214,5.445,0.769,429.464,472.807,386.121
2021-09-15,434.0,443.2,430.15,441.54,428600,444.064,432.042,,54.454,5.887,5.534,0.354,432.042,471.454,392.629
2021-09-16,441.05,441.05,434.62,440.7,465400,441.156,434.574,,53.918,5.497,5.526,-0.029,434.574,468.793,400.355
2021-09-17,436.55,443.66,434.64,435.36,1323900,437.966,436.75,,50.51,4.703,5.362,-0.659,436.75,464.441,409.058
2021-09-20,424.69,426.9,412.59,421.17,695300,434.462,437.792,428.195,42.774,2.895,4.868,-1.973,437.792,460.9,414.684
2021-09-21,424.5,429.33,416.56,425.22,551100,432.798,438.302,427.736,45.347,1.769,4.248,-2.48,438.302,459.681,416.922
2021-09-22,428.46,445.09,427.06,442.27,631200,432.944,439.47,427.677,54.601,2.226,3.844,-1.618,439.47,458.845,420.095
2021-09-23,446.65,458.97,446.0,454.02,678700,435.608,440.877,428.023,59.669,3.496,3.774,-0.278,440.877,460.182,421.573
2021-09-24,449.68,456.96,444.61,444.61,533900,437.458,441.734,428.258,54.429,3.701,3.76,-0.059,441.734,460.028,423.441
2021-09-27,440.9,449.24,434.89,443.8,418300,441.984,442.069,428.527,53.989,3.755,3.759,-0.004,442.069,460.251,423.887
2021-09-28,436.0,438.34,421.19,425.34,598500,442.008,441.201,428.349,45.058,2.282,3.463,-1.182,441.201,460.854,421.548
2021-09-29,430.18,430.18,395.14,406.53,1441600,434.86,439.678,427.751,38.136,-0.399,2.691,-3.09,439.678,464.695,414.662
2021-09-30,409.89,415.82,405.69,408.67,906400,425.79,438.177,426.978,39.279,-2.324,1.688,-4.012,438.177,466.787,409.566
2021-10-01,408.67,409.99,391.85,404.95,671500,417.858,435.773,426.185,37.966,-4.103,0.53,-4.633,435.773,467.084,404.463
2021-10-04,404.26,405.0,392.02,402.09,624000,409.516,433.19,425.234,36.943,-5.678,-0.712,-4.966,433.19,466.703,399.678
2021-10-05,404.0,411.88,400.06,403.0,416600,405.048,431.063,424.401,37.52,-6.774,-1.924,-4.85,431.063,466.612,395.514
2021-10-06,395.63,407.19,393.13,405.17,587600,404.776,429.161,423.726,38.953,-7.383,-3.016,-4.367,429.161,466.02,392.302
2021-10-07,410.98,422.5,410.98,417.58,464400,406.558,427.278,423.457,46.512,-6.786,-3.77,-3.016,427.278,462.331,392.225
2021-10-08,417.45,418.62,404.18,406.78,378900,406.924,425.052,423.206,41.676,-7.102,-4.437,-2.666,425.052,459.325,390.778
2021-10-11,405.83,417.99,405.06,409.57,386800,408.42,423.596,423.01,43.316,-7.047,-4.959,-2.088,423.596,457.904,389.287
2021-10-12,415.1,423.45,414.59,421.43,473500,412.106,422.99,423.439,49.779,-5.977,-5.162,-0.815,422.99,456.986,388.994
2021-10-13,427.09,430.81,414.1,418.91,601900,414.854,421.858,423.775,48.513,-5.271,-5.184,-0.087,421.858,454.743,388.974
2021-10-14,426.65,434.77,420.15,433.75,528300,418.088,421.511,424.446,55.663,-3.475,-4.842,1.367,421.511,453.696,389.326
2021-10-15,441.9,457.99,439.0,451.94,896600,427.12,422.34,425.41,62.531,-0.577,-3.989,3.412,422.34,456.801,387.879
2021-10-18,446.18,470.8,442.78,470.02,789400,439.21,424.782,426.51,67.861,3.143,-2.563,5.706,424.782,465.289,384.276
2021-10-19,473.8,476.31,460.09,462.84,514500,447.492,426.664,427.409,63.969,5.448,-0.96,6.409,426.664,470.604,382.723
2021-10-20,464.85,466.48,454.27,458.22,508000,455.354,427.461,428.192,61.525,6.824,0.596,6.228,427.461,473.138,381.784
2021-10-21,459.36,472.04,456.01,471.71,419600,462.946,428.346,429.282,65.652,8.9,2.257,6.643,428.346,476.79,379.901
2021-10-22,472.79,475.3,463.21,470.32,310700,466.622,429.631,430.222,64.88,10.315,3.869,6.446,429.631,481.159,378.103
2021-10-25,472.21,475.56,462.97,470.12,628300,466.642,430.947,431.342,64.762,11.289,5.353,5.936,430.947,485.267,376.627
2021-10-26,475.39,479.15,466.46,472.71,466700,468.616,433.316,432.592,65.634,12.131,6.708,5.422,433.316,490.653,375.978
2021-10-27,475.04,497.87,475.04,488.88,789500,474.748,437.433,434.57,70.537,13.942,8.155,5.787,437.433,498.385,376.481
2021-10-28,488.91,510.53,488.01,503.52,686600,481.11,442.175,436.84,74.134,16.37,9.798,6.572,442.175,508.25,376.101
2021-10-29,499.91,503.5,493.55,498.56,651400,486.758,446.856,438.974,70.972,17.69,11.376,6.313,446.856,515.055,378.657
2021-11-01,500.0,507.0,491.18,505.8,715600,493.894,452.042,441.083,72.796,19.1,12.921,6.179,452.042,521.665,382.418
2021-11-02,464.98,524.31,455.1,483.58,1889600,496.068,456.07,442.454,60.278,18.214,13.98,4.235,456.07,523.02,389.121
2021-11-03,478.01,480.9,443.62,453.4,1517800,488.972,458.482,443.144,48.163,14.906,14.165,0.741,458.482,521.042,395.922
2021-11-04,456.41,462.01,448.31,452.03,840600,478.674,460.204,443.668,47.694,12.034,13.739,-1.705,460.204,519.852,400.557
2021-11-05,452.0,461.21,441.54,442.88,778300,467.538,462.009,443.976,44.575,8.917,12.774,-3.857,462.009,516.84,407.179
2021-11-08,450.68,451.56,443.04,448.55,566300,456.088,463.958,444.205,46.893,6.826,11.585,-4.759,463.958,513.452,414.465
