Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,142.48,143.2,142.27,142.92,20124000,,,,,0.0,0.0,0.0,,,
2021-09-08,142.74,143.04,141.65,142.34,18344000,,,,,-0.046,-0.009,-0.037,,,
2021-09-09,142.48,142.95,141.83,142.19,15314000,,,,,-0.094,-0.026,-0.068,,,
2021-09-10,142.85,143.35,139.41,139.55,36840000,,,,,-0.341,-0.089,-0.252,,,
2021-09-13,140.61,141.6,139.92,140.99,22094000,141.598,,,,-0.416,-0.154,-0.261,,,
2021-09-14,141.65,142.01,140.41,141.2,19674000,141.254,,,,-0.453,-0.214,-0.239,,,
2021-09-15,141.43,143.09,140.02,143.07,27408000,141.4,,,,-0.327,-0.237,-0.091,,,
2021-09-16,142.59,142.94,141.06,142.26,26190000,141.414,,,,-0.29,-0.247,-0.043,,,
2021-09-17,141.68,142.1,139.15,139.47,53384000,141.398,,,,-0.48,-0.294,-0.186,,,
2021-09-20,136.86,137.69,135.04,137.41,46518000,140.682,,,,-0.788,-0.393,-0.395,,,
2021-09-21,138.43,138.69,136.97,137.72,25332000,139.986,,,,-0.995,-0.513,-0.482,,,
2021-09-22,137.99,139.56,137.25,138.96,25056000,139.164,,,,-1.047,-0.62,-0.427,,,
2021-09-23,139.66,140.36,139.08,139.88,20952000,138.688,,,,-1.003,-0.697,-0.306,,,
2021-09-24,139.21,140.99,138.92,140.87,22984000,138.968,,,,-0.878,-0.733,-0.145,,,
2021-09-27,139.48,140.6,138.75,139.74,21882000,139.434,,,43.157,-0.86,-0.758,-0.102,,,
2021-09-28,137.35,137.79,134.08,134.55,45772000,138.8,,,28.65,-1.25,-0.857,-0.393,,,
2021-09-29,135.69,135.86,132.6,133.09,30848000,137.626,,,26.002,-1.658,-1.017,-0.641,,,
2021-09-30,133.0,134.26,132.3,132.42,37996000,136.134,,,24.866,-2.012,-1.216,-0.796,,,
2021-10-01,133.18,135.62,132.81,135.26,35360000,135.012,,,37.357,-2.04,-1.381,-0.659,,,
2021-10-04,134.68,134.68,129.81,132.4,51202000,133.544,138.814,,31.65,-2.267,-1.558,-0.709,138.814,145.879,131.75
2021-10-05,132.78,135.93,132.78,134.74,32404000,133.582,138.406,,39.759,-2.232,-1.693,-0.539,138.406,145.417,131.394
