Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,105.48,105.55,103.89,103.95,442400,,,,,0.0,0.0,0.0,,,
2021-09-08,103.89,104.53,103.21,103.69,504700,,,,,-0.021,-0.004,-0.017,,,
2021-09-09,103.32,104.64,102.99,103.14,723700,,,,,-0.081,-0.019,-0.061,,,
2021-09-10,103.72,103.92,102.27,102.44,807900,,,,,-0.182,-0.052,-0.13,,,
2021-09-13,103.3,103.99,102.62,103.16,614100,103.276,,,,-0.203,-0.082,-0.121,,,
2021-09-14,102.98,103.92,101.87,103.84,740900,103.254,,,,-0.162,-0.098,-0.064,,,
2021-09-15,103.62,107.82,103.13,107.44,1075600,104.004,,,,0.159,-0.047,0.206,,,
2021-09-16,107.52,108.27,106.92,107.47,651800,104.87,,,,0.411,0.045,0.366,,,
2021-09-17,107.02,107.57,105.51,105.57,1030300,105.496,,,,0.452,0.126,0.326,,,
2021-09-20,103.98,104.59,103.03,104.3,593300,105.724,,,,0.378,0.177,0.201,,,
2021-09-21,105.18,105.74,104.06,104.8,476400,105.916,,,,0.355,0.212,0.143,,,
2021-09-22,105.67,106.79,104.95,105.87,480100,105.602,,,,0.419,0.254,0.165,,,
2021-09-23,106.6,107.64,106.5,106.79,557100,105.466,,,,0.537,0.31,0.227,,,
2021-09-24,106.36,107.17,106.05,106.46,359700,105.644,,,,0.598,0.368,0.23,,,
2021-09-27,107.07,107.89,107.07,107.87,472700,106.358,,,66.882,0.751,0.444,0.306,,,
2021-09-28,108.37,108.53,106.29,106.61,404800,106.72,,,58.259,0.761,0.508,0.254,,,
2021-09-29,107.13,107.98,106.74,107.44,336700,107.034,,,61.757,0.827,0.572,0.256,,,
2021-09-30,107.74,107.74,104.87,104.91,728000,106.658,,,48.434,0.668,0.591,0.077,,,
2021-10-01,105.27,106.33,102.65,105.42,494600,106.45,,,50.741,0.576,0.588,-0.012,,,
2021-10-04,105.64,107.44,105.11,105.9,585300,106.056,105.354,,52.877,0.536,0.578,-0.042,105.354,108.657,102.05
2021-10-05,105.95,107.75,105.22,107.03,623700,106.14,105.508,,57.546,0.588,0.58,0.008,105.508,108.823,102.192
2021-10-06,105.81,107.01,104.6,106.59,506700,105.97,105.652,,55.251,0.587,0.581,0.006,105.652,108.886,102.419
2021-10-07,107.57,109.03,107.57,108.51,518900,106.69,105.921,,62.315,0.733,0.612,0.122,105.921,109.168,102.674
2021-10-08,108.49,109.65,108.19,109.07,329400,107.42,106.253,,64.095,0.884,0.666,0.218,106.253,109.353,103.152
