Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-16,156.75,158.19,155.37,155.99,1833600,,,,,0.0,0.0,0.0,,,
2021-09-17,155.51,155.88,153.17,154.12,2129300,,,,,-0.149,-0.03,-0.119,,,
2021-09-20,151.43,152.63,149.64,152.31,1705100,,,,,-0.409,-0.106,-0.303,,,
2021-09-21,152.96,153.0,148.86,148.94,1733800,,,,,-0.876,-0.26,-0.617,,,
2021-09-22,150.78,154.1,149.52,153.27,1604400,152.926,,,,-0.887,-0.385,-0.502,,,
2021-09-23,153.45,156.18,153.3,155.98,1441800,152.924,,,,-0.669,-0.442,-0.227,,,
2021-09-24,156.11,157.11,153.19,153.75,2066000,152.85,,,,-0.669,-0.487,-0.182,,,
2021-09-27,153.69,156.76,152.99,155.63,1952300,153.514,,,,-0.511,-0.492,-0.019,,,
2021-09-28,154.64,155.85,153.27,154.2,1832800,154.566,,,,-0.496,-0.493,-0.003,,,
2021-09-29,154.6,155.65,152.8,152.86,1233400,154.484,,,,-0.585,-0.511,-0.074,,,
2021-09-30,153.76,154.24,149.84,149.89,1835400,153.266,,,,-0.885,-0.586,-0.299,,,
2021-10-01,150.08,153.08,147.59,152.05,1644300,152.926,,,,-0.938,-0.656,-0.281,,,
2021-10-04,151.83,152.25,146.52,148.6,1644300,151.52,,,,-1.244,-0.774,-0.47,,,
2021-10-05,149.14,151.38,148.01,149.93,1579700,150.666,,,,-1.363,-0.892,-0.471,,,
2021-10-06,148.17,150.84,146.97,150.81,1339500,150.256,,,42.897,-1.371,-0.987,-0.383,,,
2021-10-07,151.94,153.9,151.43,152.07,1874600,150.692,,,46.59,-1.261,-1.042,-0.219,,,
2021-10-08,152.42,154.5,151.34,151.61,1364600,150.604,,,45.435,-1.197,-1.073,-0.124,,,
2021-10-11,151.63,151.71,143.51,144.07,1987000,149.698,,,31.602,-1.735,-1.205,-0.529,,,
2021-10-12,144.13,145.24,142.04,143.62,1804100,148.436,,,30.995,-2.172,-1.399,-0.773,,,
2021-10-13,143.21,145.32,141.43,145.06,1934900,147.286,151.238,,35.276,-2.375,-1.594,-0.781,151.238,158.646,143.83
2021-10-14,146.69,147.88,145.53,147.41,1551700,146.354,150.809,,41.639,-2.32,-1.739,-0.581,150.809,158.05,143.568
2021-10-15,148.68,152.8,148.4,152.74,1606300,146.58,150.74,,52.94,-1.825,-1.756,-0.068,150.74,157.874,143.606
2021-10-18,151.5,153.76,150.32,151.58,1478200,148.082,150.704,,50.641,-1.509,-1.707,0.198,150.704,157.811,143.596
2021-10-19,152.44,154.23,151.72,153.13,1441500,149.984,150.913,,53.544,-1.12,-1.589,0.469,150.913,158.049,143.777
2021-10-20,152.34,155.07,151.95,153.44,1283200,151.66,150.921,,54.125,-0.778,-1.427,0.649,150.921,158.069,143.774
2021-10-21,152.35,152.35,150.81,152.18,721900,152.614,150.732,,51.316,-0.602,-1.262,0.66,150.732,157.505,143.958
2021-10-22,152.29,153.2,148.82,150.29,1093700,152.124,150.558,,47.346,-0.608,-1.131,0.523,150.558,157.183,143.934
2021-10-25,150.51,151.63,149.71,150.08,1368800,151.824,150.281,,46.912,-0.622,-1.03,0.407,150.281,156.461,144.101
2021-10-26,151.21,151.41,148.02,148.36,1437100,150.87,149.989,,43.401,-0.764,-0.976,0.213,149.989,155.937,144.041
2021-10-27,147.44,147.65,135.38,137.1,4573000,147.602,149.201,,28.411,-1.764,-1.134,-0.63,149.201,157.325,141.077
2021-10-28,138.48,138.73,134.82,135.87,2852500,144.34,148.5,,27.302,-2.626,-1.432,-1.194,148.5,158.562,138.438
2021-10-29,135.44,137.23,135.33,136.01,2890000,141.484,147.698,,27.648,-3.26,-1.798,-1.462,147.698,159.044,136.352
2021-11-01,136.48,138.83,135.58,138.7,3703500,139.208,147.203,,34.139,-3.505,-2.139,-1.366,147.203,159.227,135.179
2021-11-02,131.29,133.49,122.33,125.89,8256700,134.714,146.001,,23.381,-4.679,-2.647,-2.032,146.001,161.251,130.751
2021-11-03,126.13,130.59,125.83,128.29,6155300,132.952,144.875,,27.962,-5.354,-3.189,-2.165,144.875,161.857,127.893
2021-11-04,128.41,132.36,127.74,129.01,4599200,131.58,143.722,,29.327,-5.764,-3.704,-2.061,143.722,161.746,125.698
2021-11-05,131.2,133.09,128.95,130.08,3200300,130.394,142.646,,31.407,-5.935,-4.15,-1.785,142.646,161.249,124.042
2021-11-08,130.15,130.67,127.56,128.02,2774100,128.258,141.843,,29.6,-6.165,-4.553,-1.612,141.843,161.54,122.146
2021-11-09,128.7,129.02,126.06,126.34,3255700,128.348,140.979,,28.177,-6.409,-4.924,-1.485,140.979,161.83,120.128
2021-11-10,126.28,128.48,125.18,126.02,3629600,127.894,140.027,,27.902,-6.553,-5.25,-1.303,140.027,161.811,118.243
2021-11-11,126.06,126.57,121.67,122.39,3530300,126.57,138.776,,24.928,-6.88,-5.576,-1.304,138.776,161.623,115.929
2021-11-12,122.71,125.47,122.61,125.22,4278900,125.598,137.4,,31.094,-6.833,-5.827,-1.006,137.4,160.019,114.781
2021-11-15,126.46,126.89,125.2,125.36,2514700,125.066,136.089,,31.395,-6.707,-6.003,-0.703,136.089,158.283,113.895
2021-11-16,125.1,126.49,122.6,123.05,2418400,124.408,134.585,,29.139,-6.716,-6.146,-0.57,134.585,155.979,113.191
2021-11-17,122.71,122.71,116.58,119.39,4765500,123.082,132.882,,25.956,-6.938,-6.304,-0.634,132.882,153.359,112.406
2021-11-18,121.93,121.93,119.42,120.66,4939700,122.736,131.306,,28.86,-6.932,-6.43,-0.502,131.306,150.329,112.284
2021-11-19,120.44,122.86,119.68,119.79,3874100,121.65,129.782,,28.048,-6.917,-6.527,-0.39,129.782,147.221,112.342
2021-11-22,119.89,121.21,115.73,117.5,2971300,120.078,128.152,,25.978,-7.01,-6.624,-0.386,128.152,143.579,112.726
2021-11-23,117.95,119.88,117.0,118.95,2616900,119.258,126.682,,29.525,-6.887,-6.676,-0.211,126.682,139.36,114.004
2021-11-24,118.71,120.7,118.05,118.48,3053600,119.076,125.751,140.722,29.039,-6.75,-6.691,-0.059,125.751,137.933,113.569
2021-11-26,115.19,118.0,114.36,117.15,2308900,118.374,124.815,139.945,27.653,-6.671,-6.687,0.016,124.815,136.593,113.037
2021-11-29,118.68,119.18,114.38,114.39,3087500,117.294,123.734,139.15,24.987,-6.754,-6.7,-0.053,123.734,135.149,112.319
2021-11-30,114.14,114.91,111.05,113.23,5403200,116.44,122.46,138.369,23.942,-6.834,-6.727,-0.107,122.46,132.437,112.484
2021-12-01,115.08,115.48,111.43,112.11,3399600,115.072,121.772,137.632,22.944,-6.909,-6.763,-0.145,121.772,132.617,110.926
2021-12-02,112.17,116.44,112.01,115.87,4636500,114.55,121.151,136.884,33.032,-6.588,-6.728,0.14,121.151,131.845,110.456
2021-12-03,116.24,116.53,112.32,114.4,3486800,114.0,120.42,136.053,31.307,-6.379,-6.659,0.279,120.42,130.847,109.993
2021-12-06,115.36,122.62,114.51,120.83,4235100,115.288,119.958,135.394,44.873,-5.63,-6.453,0.823,119.958,129.35,110.565
2021-12-07,121.75,126.03,121.75,123.44,3593800,117.33,119.729,134.75,49.254,-4.771,-6.116,1.346,119.729,128.496,110.961
2021-12-08,123.02,125.85,122.07,123.76,1743200,119.66,119.599,134.142,49.781,-4.018,-5.697,1.679,119.599,128.026,111.173
2021-12-09,122.94,124.88,120.91,121.15,2652500,120.716,119.356,133.507,45.62,-3.59,-5.275,1.685,119.356,127.267,111.445
2021-12-10,119.43,121.24,118.21,119.66,2280700,121.768,119.22,132.903,43.39,-3.333,-4.887,1.554,119.22,127.004,111.435
2021-12-13,119.41,121.75,119.0,120.76,1985000,121.754,118.997,132.277,45.508,-3.006,-4.511,1.505,118.997,126.297,111.696
2021-12-14,120.01,123.28,119.38,121.97,2962400,121.46,118.827,131.744,47.82,-2.618,-4.132,1.514,118.827,125.647,112.007
2021-12-15,123.21,123.73,119.84,122.05,1878200,121.118,118.777,131.187,47.977,-2.279,-3.761,1.483,118.777,125.481,112.073
2021-12-16,123.88,123.91,120.14,120.92,2910200,121.072,118.854,130.589,45.875,-2.077,-3.425,1.348,118.854,125.621,112.086
2021-12-17,120.38,122.79,117.49,122.06,3410200,121.552,118.924,129.989,48.334,-1.804,-3.101,1.296,118.924,125.798,112.049
2021-12-20,119.28,119.62,116.31,117.87,2769000,120.974,118.828,129.314,40.967,-1.904,-2.861,0.957,118.828,125.705,111.95
2021-12-21,119.13,126.56,118.3,125.66,3160900,121.712,119.236,128.946,54.771,-1.34,-2.557,1.217,119.236,126.722,111.749
2021-12-22,126.75,129.24,125.93,128.51,2516200,123.004,119.714,128.644,58.586,-0.654,-2.176,1.522,119.714,128.268,111.159
2021-12-23,128.04,129.99,127.71,129.02,2064600,124.624,120.24,128.323,59.248,-0.07,-1.755,1.686,120.24,129.723,110.758
2021-12-27,128.81,128.92,125.47,127.27,1678900,125.666,120.746,127.92,55.942,0.25,-1.354,1.604,120.746,130.607,110.886
2021-12-28,126.49,130.27,125.93,128.81,1217300,127.854,121.468,127.441,58.155,0.62,-0.959,1.579,121.468,131.479,111.456
2021-12-29,128.49,129.75,127.58,127.94,1005300,128.31,122.203,126.969,56.43,0.834,-0.601,1.434,122.203,131.82,112.586
2021-12-30,127.95,131.32,127.88,129.89,2026500,128.586,123.092,126.504,59.341,1.147,-0.251,1.398,123.092,132.045,114.139
2021-12-31,128.85,130.71,128.45,128.83,1293200,128.548,123.74,126.012,57.108,1.295,0.058,1.237,123.74,132.362,115.118
2022-01-03,129.36,135.45,129.23,135.05,3071000,130.104,124.772,125.669,65.349,1.893,0.425,1.467,124.772,133.628,115.917
2022-01-04,136.46,139.57,134.14,138.6,3985000,132.062,125.661,125.435,69.008,2.622,0.864,1.758,125.661,136.247,115.075
2022-01-05,138.6,144.25,138.19,139.55,5054500,134.384,126.466,125.225,69.924,3.24,1.34,1.9,126.466,138.669,114.264
