Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,11.28,11.62,11.15,11.58,11637600,,,,,0.0,0.0,0.0,,,
2021-07-13,11.56,11.57,11.27,11.34,10957400,,,,,-0.019,-0.004,-0.015,,,
2021-07-14,11.34,11.5,11.1,11.3,17936700,,,,,-0.037,-0.01,-0.027,,,
2021-07-15,11.17,11.48,11.09,11.43,9070400,,,,,-0.04,-0.016,-0.024,,,
2021-07-16,11.48,11.5,11.06,11.1,10641200,11.35,,,,-0.069,-0.027,-0.042,,,
2021-07-19,10.84,10.9,10.53,10.61,14894200,11.156,,,,-0.129,-0.047,-0.082,,,
2021-07-20,10.57,11.13,10.48,11.01,13478700,11.09,,,,-0.144,-0.067,-0.077,,,
2021-07-21,11.12,11.37,11.1,11.26,8135000,11.082,,,,-0.133,-0.08,-0.053,,,
2021-07-22,11.18,11.26,10.97,11.02,9036000,11.0,,,,-0.142,-0.092,-0.05,,,
2021-07-23,11.16,11.28,11.03,11.08,6192900,10.996,,,,-0.143,-0.103,-0.041,,,
2021-07-26,11.17,11.29,11.08,11.16,7873400,11.106,,,,-0.136,-0.109,-0.027,,,
2021-07-27,11.03,11.21,10.9,11.15,8021700,11.134,,,,-0.13,-0.113,-0.016,,,
2021-07-28,11.21,11.34,11.05,11.21,11276000,11.124,,,,-0.118,-0.114,-0.004,,,
2021-07-29,11.22,11.62,11.22,11.51,14698900,11.222,,,,-0.084,-0.108,0.024,,,
2021-07-30,11.5,11.52,11.17,11.29,13944100,11.264,,,48.862,-0.074,-0.101,0.027,,,
2021-08-02,11.34,11.61,11.22,11.22,12912200,11.276,,,46.852,-0.071,-0.095,0.025,,,
2021-08-03,11.29,11.63,11.06,11.58,17478100,11.362,,,56.713,-0.039,-0.084,0.045,,,
2021-08-04,11.42,11.61,11.34,11.43,12851200,11.406,,,52.354,-0.025,-0.072,0.047,,,
2021-08-05,11.51,11.66,11.46,11.55,14605600,11.414,,,55.313,-0.005,-0.059,0.054,,,
2021-08-06,11.58,11.94,11.58,11.8,12332000,11.516,11.282,,60.778,0.032,-0.041,0.072,11.282,11.81,10.753
2021-08-09,11.74,11.9,11.61,11.74,13269700,11.62,11.29,,58.916,0.055,-0.022,0.076,11.29,11.841,10.738
2021-08-10,11.71,11.94,11.65,11.92,12459300,11.688,11.318,,62.617,0.086,0.0,0.086,11.318,11.938,10.699
2021-08-11,11.92,12.24,11.86,12.22,17597300,11.846,11.364,,67.819,0.134,0.027,0.107,11.364,12.104,10.625
2021-08-12,12.21,12.31,12.09,12.28,16194900,11.992,11.407,,68.756,0.175,0.057,0.119,11.407,12.252,10.562
2021-08-13,12.33,12.35,12.12,12.14,9778100,12.06,11.459,,64.07,0.194,0.084,0.11,11.459,12.351,10.567
2021-08-16,11.95,12.1,11.9,11.99,12017200,12.11,11.528,,59.4,0.194,0.106,0.088,11.528,12.355,10.701
2021-08-17,11.89,11.99,11.67,11.87,11309900,12.1,11.571,,55.89,0.183,0.122,0.062,11.571,12.374,10.768
2021-08-18,11.85,12.03,11.74,11.79,12787900,12.014,11.598,,53.615,0.166,0.13,0.035,11.598,12.392,10.803
2021-08-19,11.67,11.81,11.58,11.72,14247100,11.902,11.632,,51.635,0.145,0.133,0.011,11.632,12.38,10.885
2021-08-20,11.7,11.86,11.65,11.83,12761900,11.84,11.67,,54.48,0.135,0.134,0.002,11.67,12.375,10.965
2021-08-23,11.98,12.1,11.91,12.05,10379700,11.852,11.715,,59.599,0.144,0.136,0.008,11.715,12.396,11.033
2021-08-24,12.05,12.31,12.02,12.27,19782600,11.932,11.77,,63.963,0.167,0.142,0.025,11.77,12.44,11.101
2021-08-25,12.31,12.66,12.27,12.55,21642100,12.084,11.838,,68.611,0.205,0.154,0.05,11.838,12.539,11.136
2021-08-26,12.58,12.61,12.29,12.35,16236200,12.21,11.88,,62.419,0.216,0.167,0.05,11.88,12.598,11.161
2021-08-27,12.35,12.59,12.35,12.55,10415200,12.354,11.942,,65.748,0.239,0.181,0.058,11.942,12.665,11.22
2021-08-30,12.58,12.58,12.31,12.32,12846900,12.408,11.997,,59.248,0.236,0.192,0.044,11.997,12.652,11.343
2021-08-31,12.34,12.51,12.28,12.45,13777500,12.444,12.041,,61.561,0.241,0.202,0.039,12.041,12.695,11.387
2021-09-01,12.48,12.52,12.22,12.28,11382500,12.39,12.083,,57.004,0.228,0.207,0.021,12.083,12.678,11.489
2021-09-02,12.27,12.43,12.23,12.31,10416300,12.382,12.122,,57.601,0.219,0.209,0.009,12.122,12.667,11.576
2021-09-03,12.35,12.39,12.14,12.23,10258400,12.318,12.143,,55.394,0.202,0.208,-0.006,12.143,12.669,11.617
2021-09-07,12.27,12.47,12.24,12.27,10503800,12.308,12.17,,56.295,0.19,0.204,-0.015,12.17,12.663,11.676
2021-09-08,12.27,12.34,12.14,12.22,9260300,12.262,12.184,,54.804,0.174,0.198,-0.024,12.184,12.664,11.705
2021-09-09,12.18,12.46,12.15,12.3,10372700,12.266,12.189,,56.777,0.166,0.192,-0.026,12.189,12.67,11.707
2021-09-10,12.35,12.39,12.21,12.31,11791600,12.266,12.19,,57.03,0.159,0.185,-0.026,12.19,12.673,11.707
2021-09-13,12.47,12.57,12.26,12.37,17929300,12.294,12.202,,58.592,0.156,0.18,-0.023,12.202,12.691,11.712
2021-09-14,12.34,12.42,11.98,12.06,16218100,12.252,12.205,,48.73,0.128,0.169,-0.041,12.205,12.689,11.721
2021-09-15,12.1,12.31,12.05,12.17,14242500,12.242,12.22,,51.829,0.113,0.158,-0.045,12.22,12.678,11.762
2021-09-16,12.23,12.31,12.08,12.19,13056300,12.22,12.24,,52.392,0.101,0.146,-0.045,12.24,12.651,11.829
2021-09-17,12.23,12.24,12.02,12.1,31972900,12.178,12.259,,49.582,0.084,0.134,-0.05,12.259,12.598,11.92
