Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-10,294.25,295.33,292.0,292.44,3178600,,,,,0.0,0.0,0.0,,,
2021-09-13,295.08,297.02,293.15,295.52,3908700,,,,,0.246,0.049,0.197,,,
2021-09-14,296.03,297.32,292.85,293.47,2857200,,,,,0.272,0.094,0.178,,,
2021-09-15,293.68,294.84,290.81,293.69,2875500,,,,,0.307,0.136,0.171,,,
2021-09-16,294.88,297.63,294.4,296.35,3043800,294.294,,,,0.543,0.218,0.325,,,
2021-09-17,295.08,299.22,295.08,295.72,7098400,294.95,,,,0.671,0.308,0.363,,,
2021-09-20,292.33,295.47,289.34,291.79,4036600,294.204,,,,0.451,0.337,0.114,,,
2021-09-21,293.39,296.86,292.48,294.44,3171100,294.398,,,,0.484,0.366,0.118,,,
2021-09-22,295.88,298.65,293.77,295.95,2872800,294.85,,,,0.626,0.418,0.207,,,
2021-09-23,297.63,299.11,295.66,295.93,2426600,294.766,,,,0.728,0.48,0.247,,,
2021-09-24,296.7,297.63,295.61,297.32,2004900,295.086,,,,0.91,0.566,0.344,,,
2021-09-27,296.77,302.83,296.77,300.77,2966100,296.882,,,,1.318,0.716,0.601,,,
2021-09-28,300.74,300.74,292.89,294.07,3304100,296.808,,,,1.088,0.791,0.297,,,
2021-09-29,293.68,298.55,293.68,296.83,2424000,296.984,,,,1.115,0.856,0.26,,,
2021-09-30,297.98,298.4,288.63,289.19,4255000,295.636,,,40.564,0.515,0.787,-0.273,,,
2021-10-01,289.09,293.13,285.95,290.6,2814200,294.292,,,43.599,0.151,0.66,-0.509,,,
2021-10-04,289.4,291.26,285.58,287.61,2919900,291.66,,,39.045,-0.374,0.453,-0.828,,,
2021-10-05,287.99,292.65,287.49,290.26,2514300,290.898,,,44.571,-0.57,0.248,-0.819,,,
2021-10-06,289.1,291.3,286.67,291.04,2226800,289.74,,,46.12,-0.655,0.068,-0.723,,,
2021-10-07,293.81,298.85,293.24,297.31,2789500,291.364,294.015,,56.612,-0.214,0.011,-0.225,294.015,300.509,287.521
2021-10-08,293.37,295.49,291.5,294.55,2912200,292.154,294.121,,51.827,-0.086,-0.008,-0.078,294.121,300.575,287.666
2021-10-11,295.66,300.29,294.77,296.86,2589100,294.004,294.188,,55.237,0.199,0.033,0.166,294.188,300.73,287.645
2021-10-12,298.77,300.46,297.24,297.59,2960300,295.47,294.394,,56.29,0.479,0.123,0.357,294.394,301.099,287.688
2021-10-13,297.17,299.74,296.49,298.02,2477400,296.866,294.61,,56.933,0.727,0.243,0.484,294.61,301.497,287.723
2021-10-14,300.0,303.38,299.62,303.1,2824300,298.024,294.948,,63.719,1.318,0.458,0.86,294.948,302.789,287.106
2021-10-15,305.29,309.18,304.6,308.7,3473500,300.854,295.596,,69.436,2.213,0.809,1.404,295.596,305.567,285.626
2021-10-18,307.46,313.58,307.46,312.76,3487500,304.034,296.645,,72.785,3.213,1.29,1.923,296.645,309.044,284.246
2021-10-19,314.46,315.47,312.24,315.38,2375600,307.592,297.692,,74.71,4.169,1.866,2.303,297.692,312.592,282.792
2021-10-20,315.16,316.77,313.81,315.59,2574800,311.106,298.674,,74.864,4.887,2.47,2.417,298.674,315.548,281.8
2021-10-21,315.57,321.42,315.5,321.22,2885400,314.73,299.938,,78.612,5.843,3.144,2.698,299.938,319.52,280.357
2021-10-22,321.56,323.35,319.05,322.43,2734700,317.476,301.194,,79.326,6.621,3.84,2.782,301.194,323.145,279.243
2021-10-25,323.49,327.42,322.43,327.07,2923400,320.338,302.509,,81.829,7.526,4.577,2.949,302.509,327.318,277.7
2021-10-26,328.95,329.53,325.15,325.26,2989500,322.314,304.068,,77.868,8.005,5.263,2.742,304.068,330.512,277.625
2021-10-27,325.85,330.5,325.35,328.01,2840300,324.798,305.628,,79.492,8.509,5.912,2.597,305.628,333.888,277.367
2021-10-28,328.6,329.43,326.75,327.34,2553500,326.022,307.535,,77.99,8.753,6.48,2.272,307.535,336.27,278.8
2021-10-29,326.25,330.5,325.99,327.49,3820200,327.034,309.38,,78.09,8.856,6.955,1.901,309.38,338.273,280.486
2021-11-01,328.6,329.11,321.29,322.86,3380500,326.192,311.142,,67.862,8.467,7.257,1.209,311.142,338.714,283.57
2021-11-02,322.61,324.98,321.5,323.57,2367100,325.854,312.808,,68.542,8.122,7.43,0.691,312.808,339.061,286.554
2021-11-03,322.99,325.4,321.78,325.05,2378800,325.262,314.508,,69.969,7.877,7.52,0.357,314.508,339.184,289.832
2021-11-04,326.65,328.81,325.44,327.88,3210000,325.37,316.036,,72.536,7.821,7.58,0.241,316.036,340.004,292.069
2021-11-05,329.32,329.85,323.82,324.55,3090200,324.782,317.536,,65.449,7.423,7.549,-0.126,317.536,339.514,295.559
2021-11-08,326.16,328.53,324.07,324.72,2357200,325.154,318.93,,65.633,7.04,7.447,-0.407,318.93,338.822,299.037
2021-11-09,325.67,329.38,324.83,326.53,2183300,325.746,320.376,,67.617,6.804,7.318,-0.515,320.376,337.789,302.964
2021-11-10,324.42,327.03,323.95,324.71,2161400,325.678,321.711,,63.639,6.396,7.134,-0.738,321.711,335.654,307.768
