Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-09,199.71,200.66,198.3,198.84,1960503,,,,,0.0,0.0,0.0,,,
2021-09-10,198.87,200.85,198.19,198.34,2385401,,,,,-0.04,-0.008,-0.032,,,
2021-09-13,200.08,201.32,198.19,199.43,2803724,,,,,0.016,-0.003,0.019,,,
2021-09-14,199.83,199.9,195.96,196.39,2731188,,,,,-0.182,-0.039,-0.143,,,
2021-09-15,196.78,198.82,196.35,197.73,2045280,198.146,,,,-0.229,-0.077,-0.152,,,
2021-09-16,197.35,197.48,194.9,195.91,2421417,197.56,,,,-0.408,-0.143,-0.265,,,
2021-09-17,196.1,196.1,193.99,194.88,4442821,196.868,,,,-0.626,-0.24,-0.386,,,
2021-09-20,192.73,194.3,191.04,192.41,4055253,195.464,,,,-0.987,-0.389,-0.598,,,
2021-09-21,193.36,193.49,191.18,191.67,2598660,194.52,,,,-1.317,-0.575,-0.742,,,
2021-09-22,193.05,194.82,192.94,193.56,2307706,193.686,,,,-1.41,-0.742,-0.668,,,
2021-09-23,193.81,197.44,193.81,195.95,2205426,193.694,,,,-1.276,-0.849,-0.428,,,
2021-09-24,195.99,196.94,194.86,195.5,1971833,193.818,,,,-1.193,-0.918,-0.275,,,
2021-09-27,195.28,196.07,194.2,194.35,2224952,194.206,,,,-1.205,-0.975,-0.23,,,
2021-09-28,193.21,194.75,191.29,191.74,2685056,194.22,,,,-1.41,-1.062,-0.348,,,
2021-09-29,192.5,193.02,191.36,191.69,2133598,193.846,,,32.118,-1.558,-1.161,-0.397,,,
2021-09-30,192.81,192.88,189.18,189.34,2968625,192.524,,,26.877,-1.844,-1.298,-0.546,,,
2021-10-01,189.96,193.03,188.77,192.34,2303052,191.892,,,40.276,-1.807,-1.4,-0.408,,,
2021-10-04,191.99,193.21,190.15,191.06,2662901,191.234,,,37.148,-1.86,-1.492,-0.368,,,
2021-10-05,190.52,193.59,190.52,192.4,1578296,191.366,,,42.208,-1.774,-1.548,-0.225,,,
2021-10-06,190.67,193.54,190.09,193.42,1756147,191.712,194.348,,45.785,-1.604,-1.559,-0.045,194.348,200.044,188.651
2021-10-07,194.44,196.1,194.18,194.77,1874208,192.798,194.144,,50.181,-1.345,-1.517,0.171,194.144,199.442,188.846
2021-10-08,195.04,195.82,193.31,194.17,1360485,193.164,193.936,,48.306,-1.175,-1.448,0.273,193.936,198.853,189.018
2021-10-11,193.89,194.63,191.99,192.02,1371006,193.356,193.565,,42.22,-1.2,-1.399,0.199,193.565,197.81,189.32
2021-10-12,192.39,192.87,190.81,191.17,1399839,193.11,193.304,,40.07,-1.274,-1.374,0.1,193.304,197.458,189.15
2021-10-13,192.02,193.26,189.93,192.28,1618864,192.882,193.032,,44.075,-1.228,-1.345,0.116,193.032,196.643,189.42
2021-10-14,193.69,195.13,193.13,194.96,1442126,192.92,192.984,,52.353,-0.965,-1.269,0.304,192.984,196.458,189.51
2021-10-15,196.49,197.52,195.56,196.86,2206033,193.458,193.083,,57.191,-0.596,-1.134,0.538,193.083,196.883,189.283
2021-10-18,194.96,197.53,194.3,196.78,1905266,194.41,193.302,,56.929,-0.306,-0.968,0.662,193.302,197.427,189.176
2021-10-19,197.44,197.86,195.74,197.81,1618257,195.738,193.608,,59.502,0.006,-0.774,0.78,193.608,198.118,189.099
2021-10-20,198.21,199.51,196.96,199.47,1676225,197.176,193.904,,63.307,0.383,-0.542,0.925,193.904,199.12,188.688
2021-10-21,199.45,200.56,197.33,200.25,2680099,198.234,194.119,,64.973,0.736,-0.286,1.023,194.119,200.002,188.236
2021-10-22,198.87,199.7,193.76,193.9,3539406,197.642,194.039,,46.478,0.498,-0.13,0.628,194.039,199.886,188.192
2021-10-25,193.38,195.33,192.34,194.03,2742013,197.092,194.023,,46.812,0.317,-0.04,0.357,194.023,199.868,188.178
2021-10-26,194.62,196.64,193.34,194.72,2472404,196.474,194.172,,48.643,0.225,0.013,0.213,194.172,199.923,188.421
2021-10-27,194.53,194.58,191.96,192.4,1666311,195.06,194.208,,43.252,-0.034,0.004,-0.037,194.208,199.903,188.512
2021-10-28,191.21,195.13,191.21,194.87,1970619,193.984,194.484,,49.65,-0.039,-0.005,-0.034,194.484,199.701,189.267
2021-10-29,194.44,196.49,193.6,194.99,2645804,194.202,194.616,,49.945,-0.033,-0.011,-0.023,194.616,199.738,189.495
2021-11-01,195.06,196.27,194.5,196.01,1717602,194.598,194.864,,52.495,0.053,0.002,0.051,194.864,199.734,189.994
2021-11-02,196.7,197.98,195.55,197.28,2324196,195.11,195.108,,55.533,0.221,0.046,0.175,195.108,199.947,190.269
2021-11-03,197.03,198.94,195.85,198.72,2081295,196.374,195.373,,58.753,0.465,0.13,0.336,195.373,200.4,190.346
2021-11-04,198.6,200.54,198.08,198.44,2347059,197.088,195.556,,57.875,0.629,0.23,0.399,195.556,200.756,190.357
2021-11-05,200.0,203.01,199.63,201.63,2356367,198.416,195.93,,64.4,1.005,0.385,0.62,195.93,201.744,190.115
2021-11-08,203.19,203.57,200.13,201.33,1735408,199.48,196.395,,63.406,1.263,0.56,0.703,196.395,202.38,190.41
2021-11-09,201.31,203.59,200.99,203.13,2396631,200.65,196.993,,66.726,1.595,0.767,0.828,196.993,203.167,190.819
2021-11-10,203.58,204.16,201.71,201.92,1340252,201.29,197.475,,62.613,1.741,0.962,0.779,197.475,203.605,191.345
2021-11-11,202.0,202.0,197.61,197.97,1614413,201.196,197.626,,51.461,1.52,1.074,0.446,197.626,203.642,191.609
2021-11-12,198.81,199.35,196.62,199.21,2210080,200.712,197.743,,54.218,1.428,1.145,0.284,197.743,203.788,191.698
2021-11-15,199.43,200.69,198.54,199.28,1221988,200.302,197.868,,54.375,1.346,1.185,0.161,197.868,203.933,191.803
2021-11-16,199.42,200.01,198.02,198.3,1667727,199.336,197.892,,51.693,1.188,1.185,0.002,197.892,203.96,191.825
2021-11-17,197.96,198.23,196.71,197.51,1918721,198.454,197.795,195.863,49.571,0.987,1.146,-0.158,197.795,203.818,191.771
2021-11-18,196.62,197.92,196.19,197.7,1707991,198.4,197.667,195.84,50.102,0.834,1.083,-0.249,197.667,203.578,191.756
2021-11-19,197.97,198.15,194.54,195.72,2120548,197.702,197.758,195.787,44.81,0.547,0.976,-0.429,197.758,203.478,192.038
2021-11-22,195.57,198.01,195.31,195.4,2480194,196.926,197.826,195.707,44.001,0.29,0.839,-0.549,197.826,203.389,192.264
2021-11-23,194.71,195.69,192.73,193.49,4068304,195.964,197.765,195.649,39.427,-0.067,0.658,-0.725,197.765,203.497,192.033
2021-11-24,192.72,193.41,189.76,190.09,3304093,194.48,197.65,195.496,32.874,-0.617,0.403,-1.02,197.65,203.906,191.393
2021-11-26,183.59,187.22,181.46,186.51,3902795,192.242,197.232,195.308,27.662,-1.327,0.057,-1.384,197.232,205.163,189.3
2021-11-29,188.3,188.3,185.43,186.02,2628403,190.302,196.783,195.131,27.03,-1.907,-0.336,-1.571,196.783,206.135,187.431
2021-11-30,184.74,184.95,180.15,181.16,5746552,187.454,196.04,194.906,21.729,-2.727,-0.814,-1.913,196.04,207.72,184.361
2021-12-01,184.22,184.42,178.42,178.64,3159526,184.484,195.108,194.645,19.585,-3.54,-1.359,-2.18,195.108,209.114,181.103
2021-12-02,180.01,184.04,178.71,182.74,6074938,183.014,194.31,194.429,31.441,-3.809,-1.849,-1.96,194.31,209.241,179.378
2021-12-03,182.75,183.17,180.05,182.29,3587258,182.17,193.502,194.156,30.902,-4.012,-2.282,-1.731,193.502,209.219,177.785
2021-12-06,183.84,186.4,183.52,184.75,4427444,181.916,192.658,193.941,37.232,-3.93,-2.611,-1.318,192.658,208.35,176.966
2021-12-07,185.72,187.75,184.31,185.56,4842530,182.796,191.87,193.765,39.206,-3.756,-2.84,-0.915,191.87,207.309,176.43
2021-12-08,183.49,183.93,181.41,183.32,5055687,183.732,190.879,193.596,35.848,-3.755,-3.023,-0.732,190.879,205.81,175.948
2021-12-09,183.26,185.57,181.8,184.53,5050224,184.09,190.01,193.453,38.893,-3.616,-3.142,-0.474,190.01,204.243,175.776
2021-12-10,185.28,188.15,184.37,187.94,3449975,185.22,189.508,193.425,46.588,-3.193,-3.152,-0.041,189.508,203.259,175.757
2021-12-13,187.93,188.78,186.86,187.42,2926034,185.754,188.918,193.327,45.644,-2.867,-3.095,0.228,188.918,201.908,175.929
2021-12-14,187.06,189.49,184.45,185.14,3834812,185.67,188.211,193.208,41.658,-2.761,-3.028,0.268,188.211,200.337,176.086
2021-12-15,185.92,188.47,183.85,187.9,2986431,186.586,187.692,193.118,47.621,-2.426,-2.908,0.482,187.692,198.849,176.534
2021-12-16,189.23,189.26,187.49,187.76,3028111,187.232,187.204,193.005,47.356,-2.147,-2.755,0.609,187.204,197.362,177.046
2021-12-17,187.63,188.21,183.37,183.79,5644172,186.402,186.508,192.786,40.492,-2.221,-2.648,0.428,186.508,195.476,177.541
