Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-24,11.67,11.86,11.66,11.71,5792300,,,,,0.0,0.0,0.0,,,
2021-09-27,11.71,12.39,11.71,12.22,12385400,,,,,0.041,0.008,0.033,,,
2021-09-28,12.22,12.52,12.22,12.38,10810800,,,,,0.085,0.023,0.061,,,
2021-09-29,12.37,12.44,12.22,12.3,9832400,,,,,0.112,0.041,0.071,,,
2021-09-30,12.43,12.85,12.42,12.44,19163700,12.21,,,,0.143,0.062,0.082,,,
2021-10-01,12.52,12.84,12.5,12.77,9176400,12.422,,,,0.193,0.088,0.105,,,
2021-10-04,12.79,13.14,12.74,12.97,13567100,12.572,,,,0.245,0.119,0.126,,,
2021-10-05,13.05,13.23,12.91,13.12,13139800,12.72,,,,0.295,0.154,0.141,,,
2021-10-06,12.92,13.03,12.62,12.84,14791800,12.828,,,,0.309,0.185,0.123,,,
2021-10-07,12.98,13.05,12.88,12.9,10950800,12.92,,,,0.32,0.212,0.108,,,
2021-10-08,12.99,13.15,12.9,12.95,7742500,12.956,,,,0.33,0.236,0.094,,,
2021-10-11,12.97,13.17,12.92,12.98,7033700,12.958,,,,0.336,0.256,0.08,,,
2021-10-12,13.0,13.0,12.78,12.84,8642400,12.902,,,,0.326,0.27,0.056,,,
2021-10-13,12.82,12.94,12.68,12.85,8427700,12.904,,,,0.315,0.279,0.036,,,
2021-10-14,12.89,13.15,12.87,13.14,6386100,12.952,,,76.593,0.326,0.289,0.038,,,
2021-10-15,13.2,13.35,13.2,13.23,7634300,13.008,,,78.075,0.338,0.299,0.04,,,
2021-10-18,13.12,13.39,13.1,13.19,7891600,13.05,,,75.779,0.341,0.307,0.034,,,
2021-10-19,13.28,13.49,13.18,13.42,9861900,13.166,,,79.511,0.357,0.317,0.04,,,
2021-10-20,13.43,13.67,13.37,13.53,8391300,13.302,,,81.017,0.375,0.329,0.046,,,
2021-10-21,13.46,13.67,13.35,13.53,9633200,13.38,12.866,,81.017,0.384,0.34,0.045,12.866,13.795,11.936
2021-10-22,13.5,13.7,13.41,13.41,11745200,13.416,12.95,,74.122,0.378,0.347,0.03,12.95,13.734,12.167
2021-10-25,13.46,13.53,13.4,13.46,9772600,13.47,13.012,,75.074,0.372,0.352,0.02,13.012,13.748,12.277
2021-10-26,13.49,13.5,12.88,12.99,18426700,13.384,13.043,,54.704,0.326,0.347,-0.021,13.043,13.715,12.371
2021-10-27,12.98,12.98,12.64,12.73,11529700,13.224,13.064,,47.092,0.266,0.331,-0.065,13.064,13.66,12.469
2021-10-28,12.76,13.02,12.64,12.89,11965200,13.096,13.087,,51.559,0.228,0.31,-0.082,13.087,13.613,12.561
2021-10-29,12.91,13.18,12.78,12.79,16770800,12.972,13.088,,48.787,0.188,0.286,-0.098,13.088,13.612,12.564
2021-11-01,12.86,13.12,12.83,13.06,9549000,12.892,13.093,,55.711,0.176,0.264,-0.088,13.093,13.613,12.572
2021-11-02,13.1,13.32,13.05,13.31,12287200,12.956,13.102,,60.973,0.185,0.248,-0.063,13.102,13.632,12.572
2021-11-03,13.25,13.49,13.19,13.34,8439900,13.078,13.127,,61.564,0.192,0.237,-0.045,13.127,13.652,12.602
2021-11-04,13.3,13.41,13.22,13.33,8520300,13.166,13.148,,61.231,0.194,0.228,-0.034,13.148,13.67,12.627
2021-11-05,13.39,13.55,13.39,13.5,8812400,13.308,13.176,,64.718,0.207,0.224,-0.017,13.176,13.711,12.641
2021-11-08,13.53,13.67,13.46,13.48,6074500,13.392,13.201,,63.989,0.214,0.222,-0.008,13.201,13.744,12.658
2021-11-09,13.45,13.62,13.42,13.56,4894200,13.442,13.237,,65.656,0.223,0.222,0.001,13.237,13.775,12.699
2021-11-10,13.56,13.89,13.53,13.73,9485700,13.52,13.281,,68.946,0.241,0.226,0.015,13.281,13.829,12.733
2021-11-11,13.78,13.93,13.74,13.92,4824700,13.638,13.32,,72.156,0.267,0.234,0.033,13.32,13.933,12.707
2021-11-12,13.34,13.4,12.72,12.78,19128800,13.494,13.298,,43.26,0.194,0.226,-0.032,13.298,13.956,12.639
2021-11-15,12.77,12.89,12.59,12.84,10511500,13.366,13.28,,44.519,0.14,0.209,-0.069,13.28,13.968,12.592
2021-11-16,12.86,12.94,12.7,12.73,7700000,13.2,13.246,,42.65,0.086,0.184,-0.098,13.246,13.972,12.519
2021-11-17,12.72,12.84,12.61,12.7,7534000,12.994,13.204,,42.131,0.041,0.156,-0.115,13.204,13.957,12.451
2021-11-18,12.7,12.79,12.5,12.76,6270200,12.762,13.166,,43.61,0.01,0.127,-0.116,13.166,13.927,12.404
2021-11-19,12.7,12.74,12.52,12.56,7238700,12.718,13.123,,39.944,-0.03,0.095,-0.125,13.123,13.921,12.325
2021-11-22,12.65,13.08,12.61,12.9,10326200,12.73,13.095,,47.953,-0.034,0.069,-0.104,13.095,13.882,12.308
2021-11-23,12.85,12.95,12.78,12.93,9195800,12.77,13.092,,48.605,-0.035,0.048,-0.083,13.092,13.881,12.303
2021-11-24,12.98,13.13,12.92,12.98,10158300,12.826,13.104,,49.734,-0.031,0.033,-0.063,13.104,13.878,12.331
2021-11-26,12.61,12.69,12.43,12.6,6651800,12.794,13.09,,42.155,-0.058,0.015,-0.072,13.09,13.89,12.29
2021-11-29,12.7,12.84,12.51,12.76,12343500,12.834,13.088,,45.893,-0.065,-0.001,-0.064,13.088,13.891,12.286
2021-11-30,12.73,12.78,12.32,12.53,24941000,12.76,13.062,,41.719,-0.089,-0.019,-0.07,13.062,13.903,12.221
2021-12-01,12.25,12.71,12.1,12.41,22221700,12.656,13.017,,39.691,-0.116,-0.038,-0.078,13.017,13.897,12.137
2021-12-02,12.48,13.2,12.42,13.09,14524900,12.678,13.005,,53.491,-0.081,-0.047,-0.035,13.005,13.873,12.136
2021-12-03,13.2,13.66,13.01,13.25,19438800,12.808,13.0,12.973,56.04,-0.041,-0.046,0.005,13.0,13.863,12.138
2021-12-06,13.41,13.57,13.19,13.2,12473700,12.896,12.985,13.002,55.025,-0.012,-0.039,0.027,12.985,13.821,12.15
