Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,15.76,15.85,15.68,15.73,3552400,,,,,0.0,0.0,0.0,,,
2021-09-08,15.73,15.73,15.32,15.35,2018800,,,,,-0.03,-0.006,-0.024,,,
2021-09-09,15.32,15.59,15.28,15.38,1899600,,,,,-0.051,-0.015,-0.036,,,
2021-09-10,15.41,15.43,15.23,15.29,2006000,,,,,-0.074,-0.027,-0.047,,,
2021-09-13,15.34,15.41,15.08,15.14,2752400,15.378,,,,-0.104,-0.042,-0.061,,,
2021-09-14,15.16,15.19,14.85,14.95,2632400,15.222,,,,-0.14,-0.062,-0.078,,,
2021-09-15,14.92,15.18,14.88,15.01,2828400,15.154,,,,-0.163,-0.082,-0.081,,,
2021-09-16,15.01,15.13,14.84,14.96,2751600,15.07,,,,-0.183,-0.102,-0.08,,,
2021-09-17,15.02,15.1,14.86,14.98,7181200,15.008,,,,-0.194,-0.121,-0.074,,,
2021-09-20,14.78,14.79,14.32,14.52,3893600,14.884,,,,-0.238,-0.144,-0.094,,,
2021-09-21,14.57,14.71,14.44,14.46,2499200,14.786,,,,-0.274,-0.17,-0.104,,,
2021-09-22,14.49,14.73,14.49,14.67,1802000,14.718,,,,-0.283,-0.193,-0.09,,,
2021-09-23,14.72,15.17,14.69,15.14,2236400,14.754,,,,-0.249,-0.204,-0.045,,,
2021-09-24,15.05,15.3,15.04,15.27,1674800,14.812,,,,-0.209,-0.205,-0.004,,,
2021-09-27,15.35,16.0,15.31,15.99,3992800,15.106,,,66.379,-0.118,-0.188,0.07,,,
2021-09-28,15.99,16.09,15.87,15.87,4629600,15.388,,,62.725,-0.055,-0.161,0.106,,,
2021-09-29,15.82,15.9,15.66,15.76,4959200,15.606,,,59.492,-0.014,-0.132,0.118,,,
2021-09-30,15.81,15.92,15.17,15.18,7296800,15.614,,,46.022,-0.028,-0.111,0.083,,,
2021-10-01,15.22,15.84,15.18,15.71,2930400,15.702,,,55.857,0.004,-0.088,0.092,,,
2021-10-04,15.74,15.84,15.5,15.56,3573200,15.616,15.246,,52.918,0.017,-0.067,0.084,15.246,16.115,14.377
2021-10-05,15.63,16.34,15.56,16.33,4421200,15.708,15.276,,63.527,0.089,-0.036,0.124,15.276,16.25,14.302
2021-10-06,16.18,16.89,16.18,16.85,5369600,15.926,15.351,,68.662,0.185,0.008,0.177,15.351,16.553,14.149
2021-10-07,16.89,17.46,16.88,17.19,4060000,16.328,15.442,,71.489,0.285,0.064,0.222,15.442,16.899,13.984
2021-10-08,17.18,17.54,17.07,17.45,2434400,16.676,15.55,,73.461,0.382,0.127,0.254,15.55,17.258,13.841
2021-10-11,17.5,17.59,17.42,17.51,2514000,17.066,15.668,,73.909,0.457,0.193,0.264,15.668,17.574,13.762
2021-10-12,17.5,17.85,17.39,17.47,3049600,17.294,15.794,,73.023,0.509,0.256,0.252,15.794,17.829,13.759
2021-10-13,17.44,17.6,17.19,17.29,3744800,17.382,15.908,,69.015,0.528,0.311,0.218,15.908,18.012,13.804
2021-10-14,17.46,17.46,16.96,17.25,3704800,17.394,16.022,,68.12,0.535,0.356,0.179,16.022,18.159,13.886
2021-10-15,17.35,17.62,17.3,17.31,2689600,17.366,16.139,,68.774,0.538,0.392,0.146,16.139,18.29,13.988
2021-10-18,17.21,17.74,17.11,17.44,5344800,17.352,16.285,,70.201,0.545,0.423,0.123,16.285,18.369,14.201
2021-10-19,17.53,17.97,17.4,17.95,3658800,17.448,16.46,,75.021,0.585,0.455,0.13,16.46,18.483,14.436
2021-10-20,17.66,18.28,17.64,18.26,5157600,17.642,16.639,,77.413,0.635,0.491,0.144,16.639,18.631,14.647
2021-10-21,18.0,18.29,17.85,18.04,3218800,17.8,16.784,,72.134,0.649,0.523,0.126,16.784,18.738,14.83
2021-10-22,18.08,18.15,17.85,18.13,2386800,17.964,16.927,,72.947,0.659,0.55,0.109,16.927,18.833,15.021
2021-10-25,18.15,18.32,17.99,18.0,1995200,18.076,17.028,,69.781,0.65,0.57,0.08,17.028,18.937,15.118
2021-10-26,18.04,18.16,17.7,17.71,2579200,18.028,17.12,,63.192,0.612,0.578,0.034,17.12,18.971,15.268
2021-10-27,17.6,17.75,17.35,17.47,2038000,17.87,17.205,,58.287,0.556,0.574,-0.018,17.205,18.947,15.463
2021-10-28,17.45,17.48,17.01,17.19,3555200,17.7,17.306,,53.108,0.484,0.556,-0.072,17.306,18.764,15.847
2021-10-29,16.99,17.29,16.99,17.25,1936400,17.524,17.382,,54.05,0.426,0.53,-0.104,17.382,18.635,16.13
2021-11-01,17.38,18.14,17.26,18.11,7484000,17.546,17.51,,64.928,0.445,0.513,-0.068,17.51,18.465,16.555
2021-11-02,18.15,18.15,17.8,18.08,5466400,17.62,17.598,,64.356,0.452,0.501,-0.049,17.598,18.407,16.788
2021-11-03,18.09,18.57,18.03,18.38,3008000,17.802,17.674,,67.446,0.476,0.496,-0.019,17.674,18.475,16.873
2021-11-04,18.46,18.46,18.0,18.15,1993200,17.994,17.722,,62.941,0.472,0.491,-0.019,17.722,18.516,16.928
2021-11-05,18.26,18.4,17.91,17.97,2419200,18.138,17.748,,59.586,0.448,0.483,-0.034,17.748,18.538,16.958
2021-11-08,18.0,18.19,17.82,17.93,1804800,18.102,17.769,,58.835,0.422,0.47,-0.049,17.769,18.555,16.983
2021-11-09,17.62,17.91,17.53,17.77,1404000,18.04,17.784,,55.808,0.383,0.453,-0.07,17.784,18.557,17.011
2021-11-10,17.71,17.96,17.61,17.83,1943600,17.93,17.811,,56.707,0.354,0.433,-0.079,17.811,18.548,17.074
2021-11-11,17.73,18.04,17.73,17.82,1641600,17.864,17.84,,56.501,0.326,0.412,-0.086,17.84,18.528,17.151
2021-11-12,17.77,17.91,17.66,17.87,1555600,17.844,17.868,,57.337,0.304,0.39,-0.086,17.868,18.509,17.226
2021-11-15,17.95,18.3,17.87,18.02,2657600,17.862,17.896,16.699,59.833,0.295,0.371,-0.076,17.896,18.509,17.284
2021-11-16,18.02,18.22,17.9,18.1,1942400,17.928,17.904,16.746,61.138,0.292,0.355,-0.064,17.904,18.523,17.285
2021-11-17,18.1,18.1,17.87,18.0,2152400,17.962,17.891,16.799,58.575,0.278,0.34,-0.062,17.891,18.489,17.293
2021-11-18,18.01,18.19,17.84,18.17,2432000,18.032,17.898,16.855,61.528,0.277,0.327,-0.05,17.898,18.505,17.29
2021-11-19,18.07,18.44,18.02,18.15,3620400,18.088,17.899,16.912,60.977,0.272,0.316,-0.044,17.899,18.507,17.29
2021-11-22,18.26,18.72,18.26,18.53,3676400,18.19,17.925,16.98,67.017,0.295,0.312,-0.017,17.925,18.596,17.254
2021-11-23,18.5,18.7,18.18,18.67,4473600,18.304,17.973,17.054,68.925,0.32,0.313,0.007,17.973,18.713,17.233
2021-11-24,18.68,19.12,18.48,18.84,4525200,18.472,18.042,17.131,71.111,0.351,0.321,0.03,18.042,18.837,17.246
2021-11-26,18.29,18.36,17.97,18.1,2456800,18.458,18.087,17.194,53.478,0.311,0.319,-0.008,18.087,18.774,17.4
2021-11-29,18.29,18.48,18.08,18.34,2523200,18.496,18.142,17.261,57.186,0.296,0.314,-0.018,18.142,18.712,17.571
2021-11-30,18.12,18.25,17.95,17.99,4969600,18.388,18.136,17.33,50.824,0.253,0.302,-0.049,18.136,18.71,17.561
2021-12-01,18.21,18.74,18.18,18.28,5562800,18.31,18.146,17.407,55.265,0.239,0.289,-0.05,18.146,18.723,17.568
2021-12-02,18.37,18.72,18.1,18.65,4923200,18.272,18.159,17.486,60.203,0.255,0.283,-0.027,18.159,18.771,17.547
2021-12-03,18.73,18.75,18.04,18.26,4193200,18.304,18.164,17.549,53.499,0.234,0.273,-0.039,18.164,18.778,17.551
2021-12-06,18.31,18.61,18.15,18.4,2800400,18.316,18.186,17.611,55.418,0.226,0.263,-0.038,18.186,18.801,17.571
2021-12-07,18.65,18.9,18.58,18.71,2663200,18.46,18.225,17.666,59.413,0.241,0.259,-0.018,18.225,18.87,17.58
2021-12-08,18.67,18.88,18.55,18.81,2873200,18.566,18.277,17.725,60.638,0.259,0.259,-0.0,18.277,18.935,17.619
2021-12-09,18.72,18.77,18.53,18.62,3384000,18.56,18.316,17.782,57.111,0.254,0.258,-0.004,18.316,18.956,17.677
2021-12-10,18.63,18.71,18.33,18.58,2905600,18.624,18.354,17.85,56.367,0.245,0.255,-0.011,18.354,18.959,17.75
