Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,207.7,210.35,207.6,209.95,451300,,,,,0.0,0.0,0.0,,,
2021-07-13,210.05,211.02,208.06,208.95,336400,,,,,-0.08,-0.016,-0.064,,,
2021-07-14,209.58,210.91,207.45,209.92,447600,,,,,-0.064,-0.026,-0.038,,,
2021-07-15,209.13,211.97,209.13,210.64,441500,,,,,0.007,-0.019,0.026,,,
2021-07-16,211.47,213.47,210.86,212.5,1664300,210.392,,,,0.21,0.027,0.183,,,
2021-07-19,210.39,210.39,205.18,208.45,447100,210.092,,,,0.044,0.03,0.014,,,
2021-07-20,209.19,214.53,209.19,214.02,319200,211.106,,,,0.358,0.096,0.262,,,
2021-07-21,215.22,216.68,212.6,213.24,401600,211.77,,,,0.537,0.184,0.353,,,
2021-07-22,213.16,213.16,211.24,212.07,299300,212.056,,,,0.579,0.263,0.316,,,
2021-07-23,213.72,213.72,211.99,213.56,261100,212.268,,,,0.723,0.355,0.368,,,
2021-07-26,213.67,213.72,211.07,211.99,247200,212.976,,,,0.703,0.425,0.278,,,
2021-07-27,211.22,213.23,209.77,212.1,312600,212.592,,,,0.688,0.477,0.211,,,
2021-07-28,202.63,212.72,199.56,205.89,550100,211.122,,,,0.173,0.416,-0.244,,,
2021-07-29,207.28,209.27,206.01,209.1,421100,210.528,,,,0.023,0.338,-0.314,,,
2021-07-30,209.24,212.59,208.17,212.52,258000,210.32,,,54.473,0.179,0.306,-0.127,,,
2021-08-02,213.81,215.45,211.63,211.81,401200,210.284,,,52.675,0.242,0.293,-0.051,,,
2021-08-03,212.57,215.09,211.22,214.47,211300,210.758,,,58.237,0.501,0.335,0.166,,,
2021-08-04,213.38,214.85,211.77,212.6,217400,212.1,,,53.478,0.549,0.378,0.171,,,
2021-08-05,213.76,214.78,212.44,212.91,233100,212.862,,,54.147,0.605,0.423,0.182,,,
2021-08-06,213.7,214.02,212.37,213.43,216100,213.044,211.506,,55.308,0.683,0.475,0.208,211.506,215.885,207.127
2021-08-09,212.99,213.13,211.61,212.15,184900,213.112,211.616,,51.83,0.635,0.507,0.128,211.616,215.941,207.291
2021-08-10,212.83,214.89,211.76,212.81,223100,212.78,211.809,,53.455,0.643,0.534,0.108,211.809,215.975,207.643
2021-08-11,212.82,213.96,211.85,213.72,191700,213.004,211.999,,55.676,0.714,0.57,0.144,211.999,216.149,207.849
2021-08-12,213.86,214.07,211.47,212.34,410700,212.89,212.084,,51.651,0.651,0.586,0.065,212.084,216.186,207.982
2021-08-13,212.02,212.49,209.65,209.98,358000,212.2,211.958,,45.582,0.407,0.55,-0.144,211.958,216.159,207.757
2021-08-16,209.62,213.43,208.19,213.14,304200,212.398,212.193,,53.466,0.462,0.533,-0.07,212.193,216.082,208.303
2021-08-17,212.07,212.07,207.31,209.74,196300,211.784,211.978,,45.781,0.23,0.472,-0.243,211.978,215.915,208.042
2021-08-18,208.82,208.82,205.51,205.82,494700,210.204,211.608,,38.848,-0.268,0.324,-0.592,211.608,216.358,206.857
2021-08-19,203.82,207.39,203.82,206.87,280300,209.11,211.348,,41.407,-0.571,0.145,-0.716,211.348,216.54,206.155
2021-08-20,207.0,208.63,206.58,207.45,268000,208.604,211.042,,42.831,-0.756,-0.035,-0.721,211.042,216.402,205.682
2021-08-23,207.77,209.18,207.51,207.86,273600,207.548,210.836,,43.869,-0.859,-0.2,-0.659,210.836,216.358,205.313
2021-08-24,208.8,211.23,208.47,210.58,340100,207.716,210.76,,50.315,-0.714,-0.303,-0.411,210.76,216.25,205.269
2021-08-25,210.69,212.38,210.11,212.27,308400,209.006,211.079,,53.86,-0.456,-0.333,-0.123,211.079,216.099,206.058
2021-08-26,211.93,212.23,210.54,211.73,172800,209.978,211.21,,52.57,-0.293,-0.325,0.032,211.21,216.15,206.27
2021-08-27,212.63,213.49,211.07,211.21,391900,210.73,211.144,,51.295,-0.203,-0.301,0.098,211.144,216.046,206.243
2021-08-30,211.86,213.49,211.44,211.82,505000,211.522,211.145,,52.743,-0.081,-0.257,0.176,211.145,216.047,206.243
2021-08-31,212.13,212.13,208.9,209.99,531500,211.404,210.921,,48.121,-0.131,-0.232,0.101,210.921,215.587,206.255
2021-09-01,210.38,210.38,206.21,206.83,467400,210.316,210.633,,41.379,-0.421,-0.27,-0.151,210.633,215.567,205.698
2021-09-02,208.06,210.66,207.49,210.2,602200,210.01,210.497,,49.504,-0.374,-0.29,-0.084,210.497,215.315,205.679
2021-09-03,209.58,210.9,208.33,208.65,263900,209.498,210.258,,46.324,-0.457,-0.324,-0.133,210.258,214.936,205.58
2021-09-07,208.22,209.31,203.33,203.59,277800,207.852,209.83,,37.789,-0.92,-0.443,-0.477,209.83,215.282,204.378
2021-09-08,202.7,205.74,201.66,205.4,398000,206.934,209.46,,41.912,-1.128,-0.58,-0.548,209.46,215.063,203.856
2021-09-09,205.67,206.33,203.72,204.13,245300,206.394,208.98,,39.913,-1.38,-0.74,-0.64,208.98,214.689,203.271
2021-09-10,205.63,205.78,203.44,203.58,348200,205.07,208.542,,39.044,-1.605,-0.913,-0.692,208.542,214.504,202.58
2021-09-13,205.33,205.42,200.7,201.06,336500,203.552,208.096,,35.259,-1.964,-1.123,-0.841,208.096,214.883,201.309
2021-09-14,202.3,204.58,201.52,202.42,496100,203.318,207.56,,38.712,-2.115,-1.322,-0.793,207.56,214.363,200.757
2021-09-15,202.15,205.99,201.66,205.43,333000,203.324,207.344,,45.626,-1.968,-1.451,-0.518,207.344,214.13,200.559
2021-09-16,205.48,205.68,202.59,204.72,391700,203.442,207.29,,44.355,-1.888,-1.538,-0.35,207.29,214.144,200.435
2021-09-17,204.08,205.73,201.94,202.26,600500,203.178,207.059,,40.179,-2.0,-1.631,-0.369,207.059,214.274,199.844
2021-09-20,199.52,201.73,198.5,201.28,346200,203.222,206.751,209.383,38.619,-2.143,-1.733,-0.41,206.751,214.409,199.092
2021-09-21,201.77,202.42,199.52,200.07,217800,202.752,206.361,209.185,36.723,-2.327,-1.852,-0.475,206.361,214.555,198.167
2021-09-22,201.59,203.24,200.87,201.74,249500,202.014,205.919,209.041,41.026,-2.311,-1.944,-0.368,205.919,214.109,197.729
2021-09-23,203.23,204.34,202.75,203.65,228300,201.8,205.488,208.916,45.584,-2.12,-1.979,-0.141,205.488,213.161,197.815
2021-09-24,202.64,203.74,202.49,203.13,132600,201.974,205.058,208.766,44.574,-1.988,-1.981,-0.007,205.058,212.204,197.912
