Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,51.48,51.94,51.35,51.91,15392800,,,,,0.0,0.0,0.0,,,
2021-07-13,51.81,52.44,51.56,52.04,15716000,,,,,0.01,0.002,0.008,,,
2021-07-14,52.32,52.58,51.55,51.72,16263600,,,,,-0.007,0.0,-0.007,,,
2021-07-15,51.61,51.61,50.85,51.07,18917000,,,,,-0.073,-0.014,-0.058,,,
2021-07-16,51.29,52.1,50.24,50.3,25263800,51.408,,,,-0.185,-0.048,-0.136,,,
2021-07-19,49.79,50.16,49.39,50.0,27007700,51.026,,,,-0.294,-0.098,-0.197,,,
2021-07-20,50.26,50.84,49.66,50.55,19867000,50.728,,,,-0.333,-0.145,-0.188,,,
2021-07-21,50.5,51.5,50.34,51.46,18497200,50.676,,,,-0.286,-0.173,-0.114,,,
2021-07-22,51.3,51.74,50.95,51.21,36691000,50.704,,,,-0.267,-0.192,-0.075,,,
2021-07-23,49.95,50.07,47.88,48.5,67742300,50.344,,,,-0.465,-0.246,-0.218,,,
2021-07-26,48.33,49.91,48.28,49.7,32881200,50.284,,,,-0.519,-0.301,-0.218,,,
2021-07-27,48.61,48.68,47.87,48.67,39878000,49.908,,,,-0.637,-0.368,-0.269,,,
2021-07-28,48.53,49.34,48.45,48.57,28478800,49.33,,,,-0.731,-0.441,-0.29,,,
2021-07-29,48.94,49.51,48.79,49.14,16886600,48.916,,,,-0.751,-0.503,-0.248,,,
2021-07-30,49.1,49.32,48.73,49.16,16465700,49.048,,,37.575,-0.756,-0.553,-0.202,,,
2021-08-02,49.41,49.85,49.0,49.12,18098100,48.932,,,37.316,-0.754,-0.594,-0.161,,,
2021-08-03,49.32,49.56,48.74,49.47,16375900,49.092,,,41.132,-0.717,-0.618,-0.099,,,
2021-08-04,49.64,49.82,49.14,49.32,17612700,49.242,,,40.008,-0.691,-0.633,-0.058,,,
2021-08-05,49.73,49.76,49.35,49.64,15310000,49.342,,,43.552,-0.638,-0.634,-0.004,,,
2021-08-06,49.61,49.86,49.49,49.66,19256000,49.442,50.061,,43.776,-0.587,-0.624,0.038,50.061,52.363,47.758
2021-08-09,49.81,50.11,49.58,49.78,14670100,49.574,49.954,,45.179,-0.531,-0.606,0.075,49.954,52.087,47.821
2021-08-10,49.96,50.1,49.29,49.68,16215700,49.616,49.836,,44.189,-0.489,-0.582,0.093,49.836,51.731,47.941
2021-08-11,49.98,50.07,49.59,49.87,18590800,49.726,49.744,,46.583,-0.435,-0.553,0.118,49.744,51.42,48.067
2021-08-12,49.89,49.9,49.06,49.31,15070100,49.66,49.656,,41.001,-0.433,-0.529,0.096,49.656,51.22,48.091
2021-08-13,49.28,49.33,48.87,49.27,15281100,49.582,49.604,,40.626,-0.429,-0.509,0.08,49.604,51.146,48.062
2021-08-16,49.03,49.27,48.82,49.25,17690300,49.476,49.567,,40.428,-0.423,-0.492,0.069,49.567,51.105,48.028
2021-08-17,48.97,48.98,48.1,48.53,22014900,49.246,49.466,,33.98,-0.471,-0.488,0.017,49.466,50.997,47.934
2021-08-18,48.45,48.84,48.0,48.07,15061700,48.886,49.296,,30.62,-0.54,-0.498,-0.042,49.296,50.637,47.955
2021-08-19,47.94,48.51,47.51,48.3,22999400,48.684,49.15,,34.127,-0.569,-0.512,-0.057,49.15,50.221,48.08
2021-08-20,48.04,48.25,47.36,47.9,25728300,48.41,49.12,,31.176,-0.618,-0.533,-0.084,49.12,50.296,47.945
2021-08-23,48.44,49.31,48.34,49.03,23976300,48.366,49.087,,45.513,-0.559,-0.538,-0.02,49.087,50.231,47.943
2021-08-24,49.33,49.71,49.1,49.56,20348800,48.572,49.132,,50.7,-0.464,-0.523,0.06,49.132,50.276,47.987
2021-08-25,49.81,49.95,49.49,49.56,15048400,48.87,49.181,,50.7,-0.384,-0.496,0.112,49.181,50.309,48.053
2021-08-26,49.51,49.51,48.79,48.94,19570000,48.998,49.171,,44.901,-0.366,-0.47,0.103,49.171,50.304,48.038
2021-08-27,49.15,49.68,48.74,49.64,16525000,49.346,49.195,,51.628,-0.293,-0.434,0.142,49.195,50.347,48.043
2021-08-30,49.98,50.54,49.52,49.68,14581300,49.476,49.223,,51.989,-0.229,-0.393,0.165,49.223,50.395,48.051
2021-08-31,50.14,50.2,49.42,49.79,22350100,49.522,49.239,,53.027,-0.167,-0.348,0.181,49.239,50.434,48.044
2021-09-01,49.84,49.88,49.3,49.43,18615000,49.496,49.244,,49.274,-0.145,-0.307,0.162,49.244,50.442,48.047
2021-09-02,49.55,49.64,49.14,49.49,15869500,49.606,49.237,,49.91,-0.122,-0.27,0.148,49.237,50.426,48.048
2021-09-03,49.22,49.81,49.11,49.29,13456200,49.536,49.218,,47.76,-0.118,-0.24,0.122,49.218,50.391,48.046
2021-09-07,49.34,49.69,49.22,49.41,13915000,49.482,49.2,,49.175,-0.105,-0.213,0.108,49.2,50.346,48.054
2021-09-08,49.49,49.66,48.81,49.34,18235100,49.392,49.183,,48.352,-0.098,-0.19,0.092,49.183,50.309,48.057
2021-09-09,49.42,49.64,49.13,49.18,13495800,49.342,49.148,,46.439,-0.105,-0.173,0.068,49.148,50.227,48.07
2021-09-10,49.6,50.64,49.56,49.59,20324700,49.362,49.162,,51.71,-0.076,-0.153,0.078,49.162,50.257,48.068
2021-09-13,50.3,51.11,50.11,50.65,22639200,49.634,49.232,,62.097,0.032,-0.116,0.148,49.232,50.513,47.95
2021-09-14,51.0,51.06,49.99,50.22,22072700,49.796,49.28,,56.763,0.082,-0.077,0.159,49.28,50.636,47.924
2021-09-15,50.35,50.8,50.12,50.77,18796200,50.082,49.392,,61.337,0.164,-0.029,0.193,49.392,50.853,47.931
2021-09-16,50.53,50.61,49.96,50.5,19863100,50.346,49.514,,58.088,0.205,0.018,0.187,49.514,50.914,48.113
2021-09-17,50.28,50.28,49.43,49.98,35359200,50.424,49.598,,52.339,0.193,0.053,0.14,49.598,50.889,48.306
2021-09-20,49.01,49.28,48.19,48.8,35051900,50.054,49.642,49.68,42.144,0.087,0.06,0.027,49.642,50.732,48.553
2021-09-21,49.0,49.23,48.66,48.7,17968900,49.75,49.626,49.616,41.408,-0.004,0.047,-0.051,49.626,50.764,48.488
2021-09-22,49.18,49.62,48.82,49.28,18594100,49.452,49.612,49.561,47.171,-0.03,0.032,-0.062,49.612,50.76,48.464
2021-09-23,49.51,50.01,49.37,49.76,16474300,49.304,49.622,49.522,51.429,-0.011,0.023,-0.034,49.622,50.771,48.473
2021-09-24,49.53,50.12,49.49,49.94,12976200,49.296,49.672,49.499,52.961,0.018,0.022,-0.004,49.672,50.783,48.561
2021-09-27,49.68,50.54,49.57,50.35,13899900,49.606,49.707,49.5,56.337,0.073,0.032,0.041,49.707,50.859,48.556
2021-09-28,49.9,50.28,49.7,49.74,24691300,49.814,49.71,49.495,50.526,0.067,0.039,0.028,49.71,50.862,48.559
2021-09-29,49.74,49.78,48.98,49.27,20514300,49.812,49.684,49.469,46.543,0.024,0.036,-0.012,49.684,50.852,48.517
2021-09-30,49.52,49.72,49.06,49.07,20534100,49.674,49.666,49.422,44.92,-0.026,0.024,-0.05,49.666,50.861,48.472
2021-10-01,49.41,49.84,48.86,49.61,19895100,49.608,49.672,49.39,49.99,-0.022,0.015,-0.036,49.672,50.864,48.481
2021-10-04,49.67,50.04,48.89,49.25,27353300,49.388,49.67,49.405,46.891,-0.047,0.002,-0.049,49.67,50.865,48.476
2021-10-05,49.32,50.05,49.26,49.69,18129400,49.378,49.684,49.404,50.898,-0.031,-0.004,-0.027,49.684,50.873,48.496
2021-10-06,49.26,49.8,48.88,49.72,20059600,49.468,49.704,49.425,51.168,-0.016,-0.007,-0.009,49.704,50.881,48.526
2021-10-07,50.03,50.65,49.85,49.9,20704400,49.634,49.74,49.452,52.847,0.011,-0.003,0.014,49.74,50.893,48.586
2021-10-08,50.24,50.27,49.46,49.56,16068000,49.624,49.738,49.46,49.393,0.004,-0.002,0.006,49.738,50.893,48.583
2021-10-11,49.56,50.11,49.2,49.22,14398800,49.618,49.666,49.462,46.146,-0.028,-0.007,-0.021,49.666,50.759,48.574
2021-10-12,49.34,49.48,47.9,48.05,32784300,49.29,49.558,49.44,37.104,-0.147,-0.035,-0.112,49.558,50.834,48.282
2021-10-13,48.25,48.43,47.78,48.13,18534000,48.972,49.426,49.413,37.999,-0.231,-0.074,-0.157,49.426,50.72,48.132
2021-10-14,48.72,49.74,48.57,49.65,26586700,48.922,49.384,49.42,51.974,-0.174,-0.094,-0.079,49.384,50.582,48.185
2021-10-15,49.92,50.19,49.56,50.16,25231100,49.042,49.392,49.43,55.591,-0.086,-0.092,0.007,49.392,50.612,48.173
2021-10-18,49.91,50.25,49.48,50.17,22407600,49.232,49.461,49.441,55.662,-0.015,-0.077,0.062,49.461,50.694,48.228
2021-10-19,50.32,50.86,50.08,50.85,18392900,49.792,49.568,49.462,60.28,0.094,-0.043,0.137,49.568,50.894,48.243
2021-10-20,50.89,51.11,50.73,51.0,16850300,50.366,49.654,49.488,61.24,0.191,0.004,0.187,49.654,51.117,48.192
2021-10-21,50.59,51.64,50.5,51.58,38390900,50.752,49.746,49.523,64.781,0.311,0.066,0.246,49.746,51.443,48.048
2021-10-22,46.41,46.56,45.26,45.56,109971900,49.832,49.527,49.448,32.05,-0.079,0.037,-0.115,49.527,52.049,47.004
2021-10-25,45.9,46.12,45.42,45.51,43178800,48.9,49.284,49.372,31.906,-0.387,-0.048,-0.339,49.284,52.345,46.224
2021-10-26,45.5,45.54,44.15,44.47,68405400,47.624,49.021,49.277,28.985,-0.707,-0.18,-0.527,49.021,52.751,45.291
