Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,33.76,34.07,33.67,33.97,4036800,,,,,0.0,0.0,0.0,,,
2021-07-13,33.96,34.03,33.54,33.58,3047800,,,,,-0.031,-0.006,-0.025,,,
2021-07-14,33.47,33.97,33.47,33.76,3592600,,,,,-0.041,-0.013,-0.028,,,
2021-07-15,33.73,33.81,33.57,33.75,3027000,,,,,-0.049,-0.02,-0.028,,,
2021-07-16,33.91,34.1,33.78,33.87,2613100,33.786,,,,-0.045,-0.025,-0.02,,,
2021-07-19,33.64,33.73,32.94,33.25,2985100,33.642,,,,-0.091,-0.038,-0.052,,,
2021-07-20,33.47,34.34,33.25,34.11,3743700,33.748,,,,-0.057,-0.042,-0.015,,,
2021-07-21,34.12,34.24,33.76,33.83,2317500,33.762,,,,-0.052,-0.044,-0.008,,,
2021-07-22,33.8,33.92,33.64,33.77,2616500,33.766,,,,-0.053,-0.046,-0.007,,,
2021-07-23,33.77,34.4,33.77,34.34,1666500,33.86,,,,-0.007,-0.038,0.031,,,
2021-07-26,34.25,34.39,33.96,34.11,1609900,34.032,,,,0.011,-0.028,0.039,,,
2021-07-27,34.15,34.58,34.07,34.49,5885400,34.108,,,,0.054,-0.012,0.066,,,
2021-07-28,34.49,34.51,34.14,34.36,4565600,34.214,,,,0.078,0.006,0.072,,,
2021-07-29,34.47,34.82,33.95,34.44,3272900,34.348,,,,0.102,0.025,0.076,,,
2021-07-30,34.58,34.91,34.47,34.47,2964600,34.374,,,59.477,0.122,0.045,0.077,,,
2021-08-02,34.68,34.89,34.34,34.41,2395500,34.434,,,57.897,0.131,0.062,0.069,,,
2021-08-03,34.47,34.59,33.99,34.25,2185300,34.386,,,53.794,0.124,0.074,0.05,,,
2021-08-04,34.28,34.4,34.04,34.25,2583500,34.364,,,53.794,0.117,0.083,0.034,,,
2021-08-05,34.44,34.55,33.99,34.26,2209100,34.328,,,54.03,0.112,0.089,0.023,,,
2021-08-06,34.2,34.34,34.0,34.0,2580800,34.234,34.064,,47.267,0.085,0.088,-0.003,34.064,34.738,33.389
2021-08-09,33.98,34.06,33.74,33.86,2212000,34.124,34.058,,44.068,0.052,0.081,-0.029,34.058,34.738,33.378
2021-08-10,33.9,34.03,33.09,33.11,2115900,33.896,34.034,,31.693,-0.034,0.058,-0.092,34.034,34.81,33.259
2021-08-11,33.25,33.37,33.1,33.29,1714200,33.704,34.011,,36.315,-0.087,0.029,-0.116,34.011,34.847,33.175
2021-08-12,33.46,33.59,33.24,33.38,1863800,33.528,33.992,,38.554,-0.12,-0.001,-0.119,33.992,34.868,33.117
2021-08-13,33.45,33.73,33.35,33.72,2883500,33.472,33.985,,46.243,-0.118,-0.024,-0.093,33.985,34.868,33.102
2021-08-16,33.42,33.79,33.39,33.74,2957500,33.448,34.01,,46.665,-0.113,-0.042,-0.071,34.01,34.832,33.187
2021-08-17,33.72,34.25,33.57,33.72,7211000,33.57,33.99,,46.274,-0.11,-0.056,-0.054,33.99,34.821,33.159
2021-08-18,33.55,34.28,33.38,34.14,6254500,33.74,34.006,,54.849,-0.072,-0.059,-0.013,34.006,34.835,33.176
2021-08-19,33.95,34.42,33.83,34.23,3508800,33.91,34.028,,56.453,-0.035,-0.054,0.019,34.028,34.856,33.201
2021-08-20,34.24,34.6,34.14,34.45,3425700,34.056,34.034,,60.177,0.013,-0.041,0.053,34.034,34.872,33.196
2021-08-23,34.47,34.77,34.22,34.33,2541600,34.174,34.045,,57.299,0.04,-0.025,0.064,34.045,34.893,33.197
2021-08-24,34.34,34.45,33.93,34.13,2976000,34.256,34.027,,52.768,0.045,-0.011,0.056,34.027,34.85,33.204
2021-08-25,34.09,34.48,33.97,34.11,3120500,34.25,34.015,,52.323,0.047,0.001,0.046,34.015,34.823,33.206
2021-08-26,34.21,34.52,34.14,34.3,3046500,34.264,34.008,,56.114,0.063,0.013,0.05,34.008,34.803,33.212
2021-08-27,34.31,34.5,34.19,34.47,2523600,34.268,34.008,,59.237,0.088,0.028,0.06,34.008,34.803,33.212
2021-08-30,34.59,35.18,34.34,35.15,2880900,34.432,34.044,,68.801,0.161,0.055,0.106,34.044,34.976,33.113
2021-08-31,35.04,35.11,34.77,35.05,3330200,34.616,34.084,,66.336,0.209,0.086,0.123,34.084,35.117,33.052
2021-09-01,35.28,35.82,35.14,35.68,4219600,34.93,34.156,,72.918,0.294,0.127,0.167,34.156,35.411,32.901
2021-09-02,35.78,36.15,35.42,36.14,2969900,35.298,34.25,,76.527,0.394,0.181,0.213,34.25,35.787,32.713
2021-09-03,36.04,36.04,34.99,35.7,4317300,35.544,34.335,,67.29,0.433,0.231,0.202,34.335,35.997,32.673
2021-09-07,35.68,35.68,34.95,35.15,2736300,35.544,34.4,,57.884,0.414,0.268,0.147,34.4,36.084,32.715
2021-09-08,34.99,35.71,34.99,35.53,3249100,35.64,34.52,,61.852,0.425,0.299,0.126,34.52,36.162,32.879
2021-09-09,35.42,35.46,34.94,34.98,5245400,35.5,34.605,,53.933,0.385,0.316,0.069,34.605,36.151,33.059
2021-09-10,34.99,35.08,34.25,34.29,3561600,35.13,34.65,,45.979,0.295,0.312,-0.017,34.65,36.095,33.206
2021-09-13,34.5,34.86,34.37,34.53,5210100,34.896,34.691,,48.807,0.239,0.297,-0.058,34.691,36.069,33.313
2021-09-14,34.64,34.74,34.33,34.54,4858500,34.774,34.731,,48.927,0.194,0.277,-0.083,34.731,36.038,33.424
2021-09-15,34.6,34.71,34.31,34.38,3633000,34.544,34.764,,47.028,0.144,0.25,-0.107,34.764,35.994,33.534
