Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,49.22,49.42,48.88,49.1,1382900,,,,,0.0,0.0,0.0,,,
2021-07-13,48.95,49.03,48.17,48.31,1358300,,,,,-0.063,-0.013,-0.05,,,
2021-07-14,48.35,48.74,47.64,47.8,1616400,,,,,-0.152,-0.041,-0.112,,,
2021-07-15,47.58,48.4,47.38,47.86,2133100,,,,,-0.216,-0.076,-0.14,,,
2021-07-16,48.05,48.63,47.83,47.89,1987500,48.192,,,,-0.261,-0.113,-0.148,,,
2021-07-19,46.42,46.79,45.59,45.99,2869400,47.57,,,,-0.444,-0.179,-0.265,,,
2021-07-20,46.24,47.97,46.07,47.88,2019600,47.484,,,,-0.433,-0.23,-0.203,,,
2021-07-21,48.18,48.7,48.07,48.36,1470800,47.596,,,,-0.38,-0.26,-0.12,,,
2021-07-22,48.52,48.7,48.07,48.23,1927200,47.67,,,,-0.345,-0.277,-0.068,,,
2021-07-23,48.59,48.79,47.85,48.34,1902400,47.76,,,,-0.305,-0.282,-0.022,,,
2021-07-26,48.48,48.79,48.29,48.58,961400,48.278,,,,-0.251,-0.276,0.025,,,
2021-07-27,48.02,48.67,47.81,47.94,1464800,48.29,,,,-0.256,-0.272,0.016,,,
2021-07-28,47.85,48.06,47.09,47.21,2343300,48.06,,,,-0.316,-0.281,-0.035,,,
2021-07-29,46.99,48.35,46.99,47.91,2535700,47.996,,,,-0.304,-0.286,-0.018,,,
2021-07-30,47.97,48.65,47.73,48.6,2133400,48.048,,,52.239,-0.235,-0.275,0.04,,,
2021-08-02,48.69,49.58,48.04,48.1,1876900,47.952,,,47.713,-0.219,-0.264,0.045,,,
2021-08-03,48.43,49.53,47.65,49.39,2547900,48.242,,,57.857,-0.101,-0.232,0.131,,,
2021-08-04,49.44,50.74,49.09,50.04,10410400,48.808,,,61.871,0.045,-0.176,0.221,,,
2021-08-05,50.44,51.1,49.62,49.82,6823600,49.19,,,59.795,0.141,-0.113,0.254,,,
2021-08-06,50.13,50.6,49.5,49.54,4598800,49.378,48.344,,57.166,0.192,-0.052,0.244,48.344,50.207,46.482
2021-08-09,49.32,49.51,48.77,49.24,2136400,49.606,48.352,,54.406,0.206,-0.0,0.206,48.352,50.227,46.476
2021-08-10,49.28,50.83,49.19,50.78,2676100,49.884,48.475,,64.012,0.338,0.067,0.27,48.475,50.642,46.308
