Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,256.07,257.54,255.08,256.64,414600,,,,,0.0,0.0,0.0,,,
2021-07-13,256.02,257.32,255.64,255.67,420300,,,,,-0.077,-0.015,-0.062,,,
2021-07-14,256.77,256.77,253.54,254.35,351000,,,,,-0.242,-0.061,-0.182,,,
2021-07-15,253.48,255.22,251.73,253.98,441800,,,,,-0.398,-0.128,-0.27,,,
2021-07-16,255.04,255.99,252.08,253.36,332300,254.8,,,,-0.566,-0.216,-0.35,,,
2021-07-19,249.57,254.09,247.41,253.87,1106900,254.246,,,,-0.65,-0.303,-0.347,,,
2021-07-20,254.77,256.45,253.55,255.68,755300,254.248,,,,-0.563,-0.355,-0.209,,,
2021-07-21,256.49,258.27,254.88,256.58,489000,254.694,,,,-0.418,-0.367,-0.05,,,
2021-07-22,256.85,257.84,253.31,257.09,589400,255.316,,,,-0.258,-0.346,0.087,,,
2021-07-23,258.9,261.46,258.6,260.61,409100,256.766,,,,0.151,-0.246,0.397,,,
2021-07-26,260.25,263.61,259.0,263.2,545000,258.632,,,,0.676,-0.062,0.738,,,
2021-07-27,262.34,264.75,260.13,264.74,344000,260.444,,,,1.202,0.191,1.011,,,
2021-07-28,265.06,265.35,261.91,262.1,275000,261.548,,,,1.391,0.431,0.96,,,
2021-07-29,262.97,265.19,261.23,263.22,379800,262.774,,,,1.612,0.667,0.945,,,
2021-07-30,262.63,265.28,261.75,264.73,443500,263.598,,,73.776,1.887,0.911,0.976,,,
2021-08-02,265.97,267.58,264.08,264.97,864700,263.952,,,74.255,2.1,1.149,0.951,,,
2021-08-03,271.88,294.52,270.48,293.67,1501600,269.738,,,92.312,4.533,1.826,2.707,,,
2021-08-04,295.28,299.5,289.55,289.88,964300,275.294,,,83.94,6.085,2.677,3.407,,,
2021-08-05,291.78,296.42,289.67,295.23,887700,281.696,,,85.886,7.658,3.674,3.984,,,
2021-08-06,296.96,296.96,288.04,292.88,675000,287.326,265.622,,81.23,8.616,4.662,3.954,265.622,294.751,236.494
2021-08-09,292.0,292.0,286.56,289.55,452300,292.242,267.268,,75.023,9.003,5.53,3.472,267.268,297.937,236.599
2021-08-10,289.48,293.27,288.15,291.56,358900,291.82,269.062,,76.205,9.363,6.297,3.067,269.062,301.046,237.079
2021-08-11,292.09,296.79,291.57,295.45,597200,292.934,271.118,,78.341,9.85,7.007,2.842,271.118,304.377,237.858
