Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-27,20.21,20.81,20.19,20.69,3401300.0,,,,,0.0,0.0,0.0,,,
2021-09-28,20.51,20.81,20.16,20.17,4611800.0,,,,,-0.041,-0.008,-0.033,,,
2021-09-29,20.28,20.38,19.79,19.91,2539500.0,,,,,-0.094,-0.025,-0.069,,,
2021-09-30,19.95,20.06,19.49,19.52,4058500.0,,,,,-0.166,-0.054,-0.112,,,
2021-10-01,19.6,20.08,19.39,19.91,2916300.0,20.04,,,,-0.189,-0.081,-0.108,,,
2021-10-04,19.62,20.0,19.43,19.51,4199400.0,19.804,,,,-0.236,-0.112,-0.125,,,
2021-10-05,19.66,20.77,19.53,20.54,5939500.0,19.878,,,,-0.189,-0.127,-0.062,,,
2021-10-06,20.15,20.54,19.91,20.51,5182900.0,19.998,,,,-0.152,-0.132,-0.02,,,
2021-10-07,20.9,20.93,20.48,20.54,5229600.0,20.202,,,,-0.119,-0.129,0.011,,,
2021-10-08,20.43,20.73,20.2,20.26,2398600.0,20.272,,,,-0.114,-0.126,0.012,,,
2021-10-11,20.25,20.57,20.0,20.08,2781500.0,20.386,,,,-0.123,-0.126,0.003,,,
2021-10-12,19.96,20.01,19.53,19.62,2657800.0,20.202,,,,-0.166,-0.134,-0.032,,,
2021-10-13,19.57,19.9,19.36,19.8,3508900.0,20.06,,,,-0.183,-0.143,-0.039,,,
2021-10-14,20.16,20.48,19.86,20.38,2535300.0,20.028,,,,-0.148,-0.144,-0.003,,,
2021-10-15,20.64,20.77,20.3,20.3,3479200.0,20.036,,,49.86,-0.125,-0.14,0.015,,,
2021-10-18,20.17,20.23,19.85,20.02,3872800.0,20.024,,,45.228,-0.128,-0.138,0.01,,,
2021-10-19,20.14,20.29,19.77,20.24,3115600.0,20.148,,,49.22,-0.111,-0.133,0.021,,,
