Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,108.4,108.66,105.56,105.58,709907,,,,,0.0,0.0,0.0,,,
2021-09-08,105.38,107.66,105.05,107.57,602067,,,,,0.159,0.032,0.127,,,
2021-09-09,107.61,108.92,107.24,107.36,489270,,,,,0.265,0.078,0.186,,,
2021-09-10,107.6,108.21,105.44,105.59,537508,,,,,0.203,0.103,0.1,,,
2021-09-13,106.62,107.35,105.66,106.57,427734,106.534,,,,0.231,0.129,0.102,,,
2021-09-14,107.3,107.34,105.29,105.35,564952,106.488,,,,0.153,0.134,0.019,,,
2021-09-15,105.09,107.9,104.91,107.71,691047,106.516,,,,0.278,0.163,0.116,,,
2021-09-16,107.43,108.34,105.82,105.89,639787,106.222,,,,0.228,0.176,0.052,,,
2021-09-17,105.01,105.96,103.2,103.4,1422111,105.784,,,,-0.013,0.138,-0.151,,,
2021-09-20,101.55,102.51,99.65,101.28,691410,104.726,,,,-0.37,0.036,-0.406,,,
2021-09-21,101.68,101.89,100.09,100.38,543432,103.732,,,,-0.718,-0.114,-0.603,,,
2021-09-22,101.66,103.74,101.18,103.39,684519,102.868,,,,-0.742,-0.24,-0.502,,,
2021-09-23,103.96,106.95,103.85,106.77,873118,103.044,,,,-0.482,-0.288,-0.194,,,
2021-09-24,106.25,108.32,106.25,107.71,671946,103.906,,,,-0.199,-0.27,0.072,,,
2021-09-27,108.47,110.0,107.71,109.51,710512,105.552,,,62.533,0.169,-0.183,0.352,,,
2021-09-28,109.69,109.88,107.25,107.77,731790,107.03,,,56.27,0.317,-0.083,0.399,,,
2021-09-29,108.02,108.97,107.09,108.05,644139,107.962,,,57.016,0.451,0.024,0.427,,,
2021-09-30,108.3,108.3,104.97,104.97,995466,107.602,,,47.43,0.306,0.08,0.225,,,
2021-10-01,105.72,107.33,104.45,106.65,772532,107.39,,,52.155,0.322,0.129,0.193,,,
2021-10-04,106.37,108.01,103.18,104.04,999576,106.296,105.777,,45.338,0.123,0.128,-0.004,105.777,110.44,101.114
2021-10-05,104.25,105.67,103.26,104.77,557214,105.696,105.736,,47.408,0.024,0.107,-0.083,105.736,110.421,101.052
2021-10-06,103.07,105.19,102.44,104.74,652602,105.034,105.595,,47.329,-0.056,0.074,-0.13,105.595,110.217,100.973
2021-10-07,105.69,107.61,105.69,106.8,453968,105.4,105.567,,53.13,0.046,0.069,-0.023,105.567,110.15,100.984
2021-10-08,106.69,107.69,106.31,107.2,344677,105.51,105.648,,54.185,0.157,0.086,0.071,105.648,110.289,101.006
2021-10-11,107.3,108.06,106.12,106.12,444538,105.926,105.625,,50.856,0.157,0.1,0.056,105.625,110.252,100.998
2021-10-12,106.26,106.86,105.09,105.34,575470,106.04,105.624,,48.537,0.092,0.099,-0.007,105.624,110.251,100.998
2021-10-13,105.36,106.05,104.16,105.55,432690,106.202,105.516,,49.209,0.057,0.09,-0.033,105.516,110.038,100.995
2021-10-14,106.66,107.06,105.89,106.68,684398,106.178,105.556,,52.78,0.119,0.096,0.023,105.556,110.105,101.007
2021-10-15,107.69,107.88,106.09,106.27,631203,105.992,105.699,,51.368,0.134,0.104,0.03,105.699,110.142,101.257
2021-10-18,105.46,106.58,104.95,106.35,681617,106.038,105.953,,51.64,0.15,0.113,0.037,105.953,109.882,102.024
2021-10-19,106.92,107.19,105.96,106.16,558665,106.202,106.242,,50.913,0.146,0.12,0.027,106.242,109.168,103.316
2021-10-20,106.46,108.75,106.46,108.21,732515,106.734,106.483,,57.818,0.305,0.157,0.148,106.483,109.206,103.76
2021-10-21,108.15,108.62,107.45,108.57,464124,107.112,106.573,,58.911,0.454,0.216,0.238,106.573,109.451,103.695
2021-10-22,108.96,109.54,108.38,108.62,430998,107.582,106.618,,59.07,0.57,0.287,0.283,106.618,109.599,103.638
2021-10-25,108.79,110.53,108.29,110.38,819319,108.388,106.662,,64.296,0.795,0.389,0.406,106.662,109.839,103.485
2021-10-26,110.98,111.18,109.61,109.69,476455,109.094,106.758,,61.007,0.907,0.492,0.415,106.758,110.183,103.333
2021-10-27,109.48,109.52,107.76,107.88,514538,109.028,106.75,,53.305,0.84,0.562,0.278,106.75,110.161,103.338
2021-10-28,108.39,112.37,108.39,110.49,590098,109.412,107.026,,60.959,0.986,0.647,0.34,107.026,110.713,103.338
2021-10-29,110.26,111.89,110.22,111.39,549719,109.966,107.262,,63.199,1.161,0.75,0.412,107.262,111.427,103.098
2021-11-01,112.12,112.87,111.17,111.62,552137,110.214,107.642,,63.771,1.304,0.861,0.443,107.642,111.948,103.335
2021-11-02,112.19,112.23,110.24,111.56,620202,110.588,107.981,,63.494,1.396,0.968,0.428,107.981,112.404,103.558
2021-11-03,111.52,112.09,109.98,111.97,438131,111.406,108.342,,64.626,1.484,1.071,0.413,108.342,112.831,103.854
2021-11-04,112.08,113.38,111.64,112.45,368736,111.798,108.625,,65.957,1.575,1.172,0.403,108.625,113.407,103.843
2021-11-05,113.44,115.02,112.8,113.14,715831,112.148,108.922,,67.831,1.683,1.274,0.409,108.922,114.056,103.788
2021-11-08,114.22,115.9,113.53,115.02,881339,112.828,109.367,,72.303,1.899,1.399,0.5,109.367,114.997,103.737
2021-11-09,114.75,116.05,114.47,114.64,472828,113.444,109.832,,70.179,2.016,1.523,0.494,109.832,115.596,104.068
2021-11-10,114.84,115.75,114.43,115.44,736625,114.138,110.327,,72.042,2.149,1.648,0.501,110.327,116.239,104.414
2021-11-11,115.76,115.98,114.48,114.71,467146,114.59,110.728,,67.876,2.17,1.752,0.418,110.728,116.688,104.768
2021-11-12,115.29,115.47,114.04,115.36,557335,115.034,111.182,,69.564,2.213,1.844,0.369,111.182,117.098,105.267
2021-11-15,116.0,117.11,115.14,115.37,535936,115.104,111.633,108.161,69.59,2.223,1.92,0.303,111.633,117.37,105.897
2021-11-16,115.9,117.26,115.62,116.78,439219,115.532,112.164,108.385,73.137,2.318,2.0,0.318,112.164,117.731,106.598
2021-11-17,116.42,116.65,114.64,115.35,724657,115.514,112.521,108.54,64.873,2.252,2.05,0.202,112.521,117.934,107.109
2021-11-18,115.69,117.33,114.73,116.79,736746,115.93,112.932,108.729,68.708,2.289,2.098,0.191,112.932,118.33,107.535
2021-11-19,117.16,118.09,116.07,116.15,793205,116.088,113.309,108.94,65.296,2.241,2.127,0.115,113.309,118.486,108.132
2021-11-22,116.6,117.98,116.08,116.27,1071027,116.268,113.604,109.134,65.64,2.188,2.139,0.049,113.604,118.749,108.458
2021-11-23,114.47,114.74,110.67,114.23,1745390,115.758,113.83,109.312,55.546,1.958,2.103,-0.145,113.83,118.639,109.022
2021-11-24,114.52,118.63,113.68,117.76,1126760,116.24,114.325,109.513,65.448,2.038,2.09,-0.052,114.325,118.554,110.095
2021-11-26,115.06,116.4,114.29,115.6,619960,116.002,114.58,109.707,57.071,1.904,2.053,-0.148,114.58,118.435,110.725
2021-11-29,116.62,117.52,115.09,115.89,669769,115.95,114.805,109.957,57.851,1.801,2.002,-0.201,114.805,118.392,111.218
2021-11-30,114.98,115.74,112.7,113.09,1142356,115.314,114.878,110.193,48.658,1.477,1.897,-0.421,114.878,118.244,111.513
2021-12-01,114.75,114.91,109.91,110.09,804690,114.486,114.805,110.387,41.119,0.966,1.711,-0.745,114.805,118.521,111.089
2021-12-02,110.07,113.47,109.57,112.67,649580,113.468,114.84,110.573,48.508,0.761,1.521,-0.76,114.84,118.456,111.224
2021-12-03,113.08,113.68,111.22,112.56,535332,112.86,114.845,110.688,48.23,0.583,1.333,-0.75,114.845,118.446,111.245
2021-12-06,114.07,114.54,111.63,112.13,1054101,112.108,114.795,110.777,47.094,0.402,1.147,-0.745,114.795,118.523,111.067
2021-12-07,113.4,115.1,112.84,113.84,684156,112.258,114.736,110.863,51.941,0.393,0.996,-0.604,114.736,118.486,110.986
2021-12-08,113.72,114.94,113.29,114.62,425557,113.164,114.735,111.0,54.011,0.443,0.886,-0.443,114.735,118.485,110.985
2021-12-09,114.4,114.41,112.75,112.77,468839,113.184,114.601,111.095,48.658,0.33,0.774,-0.445,114.601,118.435,110.768
2021-12-10,113.44,114.51,113.14,113.79,459288,113.43,114.556,111.271,51.512,0.319,0.683,-0.365,114.556,118.406,110.705
2021-12-13,113.83,114.19,110.91,111.76,663966,113.356,114.376,111.373,46.029,0.144,0.575,-0.431,114.376,118.4,110.351
2021-12-14,111.51,112.6,110.43,111.26,544278,112.84,114.17,111.518,44.765,-0.034,0.454,-0.487,114.17,118.395,109.945
2021-12-15,111.23,111.87,109.63,111.12,445505,112.14,113.887,111.645,44.398,-0.184,0.326,-0.51,113.887,118.134,109.64
2021-12-16,111.79,112.81,109.05,109.61,992081,111.508,113.6,111.742,40.532,-0.42,0.177,-0.597,113.6,118.193,109.007
2021-12-17,109.28,109.64,106.97,107.51,1938462,110.252,113.136,111.756,35.856,-0.768,-0.012,-0.756,113.136,118.221,108.051
2021-12-20,105.59,106.13,103.37,105.37,1157226,108.974,112.597,111.72,31.827,-1.202,-0.25,-0.952,112.597,118.548,106.646
2021-12-21,106.3,107.28,105.82,106.49,778093,108.02,112.108,111.727,35.888,-1.44,-0.488,-0.952,112.108,118.386,105.83
2021-12-22,106.69,107.04,105.61,106.77,665538,107.15,111.735,111.756,36.899,-1.587,-0.708,-0.879,111.735,118.36,105.11
2021-12-23,106.94,109.39,106.94,108.96,442120,107.02,111.295,111.824,44.304,-1.509,-0.868,-0.641,111.295,117.382,105.208
2021-12-27,109.47,110.27,108.58,110.25,408511,107.568,111.027,111.895,48.163,-1.329,-0.96,-0.368,111.027,116.779,105.276
2021-12-28,110.35,111.49,109.98,111.22,393641,108.738,110.794,111.994,50.916,-1.094,-0.987,-0.107,110.794,116.074,105.514
2021-12-29,111.22,112.03,109.66,109.67,506196,109.374,110.623,112.061,46.652,-1.022,-0.994,-0.028,110.623,115.81,105.436
2021-12-30,110.26,111.01,109.67,110.13,306957,110.046,110.625,112.14,48.043,-0.917,-0.979,0.062,110.625,115.811,105.439
2021-12-31,110.36,111.07,109.71,110.45,294747,110.344,110.514,112.185,49.038,-0.799,-0.943,0.144,110.514,115.61,105.418
2022-01-03,110.68,112.13,109.86,110.72,621411,110.438,110.422,112.228,49.91,-0.676,-0.889,0.214,110.422,115.429,105.415
2022-01-04,111.35,113.57,110.45,113.08,777972,110.81,110.47,112.317,56.858,-0.383,-0.788,0.405,110.47,115.562,105.377
2022-01-05,113.27,114.09,110.18,110.32,655262,110.94,110.294,112.316,48.402,-0.37,-0.704,0.335,110.294,115.132,105.455
2022-01-06,111.06,111.16,109.89,110.17,469806,110.948,110.071,112.326,47.984,-0.367,-0.637,0.27,110.071,114.46,105.682
2022-01-07,109.93,110.44,108.37,108.83,620443,110.624,109.874,112.345,44.306,-0.467,-0.603,0.136,109.874,114.104,105.644
2022-01-10,108.57,108.57,105.36,105.94,848213,109.668,109.482,112.254,37.61,-0.771,-0.637,-0.135,109.482,113.638,105.325
2022-01-11,105.76,106.44,103.97,106.42,731185,108.336,109.214,112.154,39.252,-0.963,-0.702,-0.261,109.214,113.44,104.989
2022-01-12,106.69,107.35,104.83,104.96,1209212,107.264,108.9,112.021,36.137,-1.218,-0.805,-0.413,108.9,113.412,104.387
2022-01-13,105.16,107.69,105.16,106.44,500393,106.518,108.666,111.919,41.229,-1.286,-0.901,-0.385,108.666,113.179,104.152
2022-01-14,105.47,106.27,104.45,105.44,426404,105.84,108.457,111.788,38.968,-1.404,-1.002,-0.402,108.457,113.168,103.746
2022-01-18,104.34,104.71,101.37,102.82,758629,105.216,108.222,111.595,33.746,-1.69,-1.139,-0.551,108.222,113.557,102.888
2022-01-19,103.4,104.0,102.21,102.32,517439,104.396,108.07,111.379,32.842,-1.935,-1.298,-0.636,108.07,113.9,102.24
2022-01-20,102.76,104.38,100.25,100.37,745814,103.478,107.764,111.086,29.519,-2.26,-1.491,-0.769,107.764,114.513,101.015
2022-01-21,100.12,102.19,99.25,101.51,996070,102.492,107.501,110.823,33.74,-2.398,-1.672,-0.726,107.501,114.8,100.202
2022-01-24,100.05,105.42,99.26,104.81,1520159,102.366,107.294,110.611,44.164,-2.215,-1.781,-0.434,107.294,114.654,99.933
2022-01-25,102.38,103.47,99.29,100.89,1128453,101.98,106.825,110.334,36.765,-2.36,-1.896,-0.463,106.825,114.574,99.077
