Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-08-20,57.44,58.77,57.44,58.7,495800,,,,,0.0,0.0,0.0,,,
2021-08-23,59.16,59.3,58.13,58.84,682300,,,,,0.011,0.002,0.009,,,
2021-08-24,58.83,59.33,58.58,59.0,500100,,,,,0.033,0.008,0.024,,,
2021-08-25,59.0,59.97,58.95,59.8,945500,,,,,0.113,0.029,0.084,,,
2021-08-26,59.89,60.39,59.4,59.7,595900,59.208,,,,0.166,0.057,0.11,,,
2021-08-27,59.85,61.39,59.85,61.03,870600,59.674,,,,0.313,0.108,0.205,,,
2021-08-30,61.5,62.11,61.11,61.76,626000,60.258,,,,0.482,0.183,0.299,,,
2021-08-31,61.76,62.03,60.56,60.86,773800,60.63,,,,0.537,0.253,0.284,,,
2021-09-01,60.86,60.94,59.91,60.18,448000,60.706,,,,0.52,0.307,0.213,,,
2021-09-02,60.33,60.7,60.07,60.57,399400,60.88,,,,0.532,0.352,0.18,,,
2021-09-03,60.35,61.23,60.35,61.09,419100,60.892,,,,0.576,0.397,0.18,,,
2021-09-07,61.39,62.6,61.25,62.03,903200,60.946,,,,0.68,0.453,0.227,,,
2021-09-08,61.74,61.85,60.61,61.08,575900,60.99,,,,0.677,0.498,0.179,,,
2021-09-09,61.04,62.06,60.98,61.08,587800,61.17,,,,0.668,0.532,0.136,,,
2021-09-10,61.72,62.46,61.46,62.01,845500,61.458,,,67.951,0.727,0.571,0.156,,,
2021-09-13,62.45,62.83,61.05,61.92,670900,61.624,,,66.821,0.757,0.608,0.149,,,
2021-09-14,62.12,62.66,61.26,61.45,593500,61.508,,,61.111,0.735,0.634,0.102,,,
2021-09-15,61.47,62.11,61.22,61.89,767700,61.67,,,64.196,0.745,0.656,0.089,,,
2021-09-16,62.0,62.68,61.75,62.02,623900,61.858,,,65.077,0.754,0.676,0.079,,,
2021-09-17,61.69,61.89,59.89,59.99,2807100,61.454,60.75,,46.024,0.591,0.659,-0.068,60.75,62.965,58.535
2021-09-20,58.42,58.66,57.29,58.2,1185600,60.71,60.725,,36.011,0.314,0.59,-0.276,60.725,63.046,58.404
2021-09-21,59.0,59.24,57.72,57.74,894800,59.968,60.67,,33.966,0.056,0.483,-0.427,60.67,63.22,58.12
2021-09-22,58.15,59.8,58.15,59.43,811600,59.476,60.692,,46.081,-0.012,0.384,-0.396,60.692,63.189,58.194
2021-09-23,59.88,61.21,59.64,60.57,670800,59.186,60.73,,52.422,0.026,0.312,-0.286,60.73,63.193,58.267
2021-09-24,60.21,61.73,59.82,61.29,2130600,59.446,60.81,,55.946,0.113,0.273,-0.159,60.81,63.235,58.384
2021-09-27,61.3,61.83,60.78,61.43,1052100,60.092,60.83,,56.618,0.191,0.256,-0.065,60.83,63.269,58.39
2021-09-28,60.67,61.1,59.9,60.04,1180300,60.552,60.744,,48.671,0.139,0.233,-0.094,60.744,63.166,58.321
2021-09-29,60.23,60.23,55.09,56.38,3816100,59.942,60.519,,34.813,-0.195,0.147,-0.342,60.519,63.628,57.411
2021-09-30,58.24,58.95,57.33,57.5,1828900,59.328,60.386,,40.405,-0.365,0.045,-0.41,60.386,63.774,56.997
2021-10-01,58.08,59.18,57.5,58.52,966200,58.774,60.283,,45.03,-0.413,-0.047,-0.366,60.283,63.771,56.795
2021-10-04,58.46,58.8,57.92,58.21,838700,58.13,60.139,,43.914,-0.471,-0.132,-0.339,60.139,63.723,56.555
2021-10-05,58.72,60.34,58.25,60.13,1357800,58.148,60.044,,51.867,-0.357,-0.177,-0.181,60.044,63.516,56.572
2021-10-06,59.55,60.4,58.99,60.37,800100,58.946,60.008,,52.768,-0.245,-0.19,-0.055,60.008,63.45,56.567
2021-10-07,61.24,62.59,61.12,61.85,891000,59.816,60.047,,57.993,-0.037,-0.16,0.123,60.047,63.556,56.538
2021-10-08,62.0,62.06,61.42,61.68,445300,60.448,60.03,,57.21,0.114,-0.105,0.219,60.03,63.503,56.558
2021-10-11,61.93,63.37,61.89,62.39,809900,61.284,60.054,,59.66,0.287,-0.027,0.314,60.054,63.586,56.522
2021-10-12,62.46,62.86,60.78,61.08,669600,61.474,60.036,,53.567,0.315,0.042,0.273,60.036,63.541,56.53
2021-10-13,60.54,60.92,59.52,60.35,1224800,61.47,59.958,,50.474,0.275,0.088,0.187,59.958,63.358,56.559
2021-10-14,61.19,62.31,60.89,62.04,618300,61.508,59.96,,56.707,0.375,0.146,0.229,59.96,63.362,56.557
2021-10-15,62.17,63.1,61.4,61.43,1231100,61.458,60.032,,54.062,0.401,0.197,0.204,60.032,63.497,56.566
2021-10-18,61.02,61.54,60.9,61.21,642300,61.222,60.182,,53.1,0.399,0.237,0.162,60.182,63.573,56.791
2021-10-19,61.51,61.59,60.55,60.85,859300,61.176,60.338,,51.486,0.364,0.263,0.102,60.338,63.537,57.138
2021-10-20,60.82,61.0,59.87,60.04,940900,61.114,60.368,,47.953,0.268,0.264,0.004,60.368,63.543,57.193
2021-10-21,59.84,61.76,59.84,61.7,757000,61.046,60.424,,54.798,0.322,0.275,0.047,60.424,63.654,57.195
2021-10-22,61.87,62.66,60.56,60.71,724000,60.902,60.396,,50.53,0.282,0.277,0.005,60.396,63.603,57.188
2021-10-25,61.0,61.88,60.76,61.3,508000,60.92,60.389,,52.885,0.294,0.28,0.014,60.389,63.588,57.19
2021-10-26,61.48,61.58,60.6,60.62,569100,60.874,60.418,,49.935,0.246,0.273,-0.027,60.418,63.614,57.222
2021-10-27,60.48,60.86,59.55,59.6,753600,60.786,60.579,,45.806,0.125,0.244,-0.119,60.579,63.189,57.969
2021-10-28,59.43,59.6,57.55,59.13,1426600,60.272,60.66,,44.001,-0.01,0.193,-0.203,60.66,62.948,58.373
2021-10-29,58.67,59.44,58.4,59.07,854400,59.944,60.688,60.397,43.764,-0.12,0.13,-0.25,60.688,62.878,58.498
2021-11-01,59.36,61.39,59.28,60.96,897900,59.876,60.826,60.442,52.455,-0.054,0.094,-0.147,60.826,62.68,58.971
2021-11-02,61.01,61.88,60.64,61.5,574400,60.052,60.894,60.496,54.614,0.042,0.083,-0.041,60.894,62.742,59.046
2021-11-03,61.54,62.44,61.45,62.24,648900,60.58,60.988,60.56,57.463,0.175,0.102,0.074,60.988,62.911,59.064
2021-11-04,62.46,63.5,62.26,62.96,705900,61.346,61.043,60.624,60.089,0.335,0.148,0.187,61.043,63.129,58.957
2021-11-05,63.48,64.39,63.26,64.26,707100,62.384,61.172,60.715,64.366,0.56,0.231,0.329,61.172,63.697,58.647
2021-11-08,64.59,64.81,63.17,63.26,766600,62.844,61.216,60.759,59.118,0.65,0.315,0.336,61.216,63.856,58.575
2021-11-09,63.28,63.71,62.26,62.64,508700,63.072,61.294,60.777,56.066,0.664,0.385,0.28,61.294,64.008,58.579
2021-11-10,62.64,63.29,62.14,62.72,433300,63.168,61.412,60.814,56.378,0.674,0.442,0.231,61.412,64.16,58.664
2021-11-11,63.07,63.63,62.88,63.55,385700,63.286,61.488,60.882,59.594,0.74,0.502,0.238,61.488,64.387,58.588
2021-11-12,63.76,63.95,63.11,63.4,905200,63.114,61.586,60.938,58.751,0.771,0.556,0.216,61.586,64.608,58.564
2021-11-15,63.72,64.1,62.82,62.99,511100,63.06,61.675,60.976,56.403,0.755,0.596,0.159,61.675,64.755,58.595
2021-11-16,62.85,64.06,62.84,63.69,614900,63.27,61.817,61.009,59.388,0.788,0.634,0.154,61.817,64.997,58.637
2021-11-17,63.56,63.67,62.67,63.27,587400,63.38,61.978,61.053,56.872,0.773,0.662,0.111,61.978,65.106,58.851
2021-11-18,63.58,63.71,61.88,62.74,534400,63.218,62.03,61.086,53.776,0.709,0.671,0.038,62.03,65.173,58.888
2021-11-19,62.35,62.63,61.24,61.28,683900,62.794,62.059,61.072,46.299,0.535,0.644,-0.109,62.059,65.161,58.957
2021-11-22,61.72,62.6,61.36,61.4,740300,62.476,62.064,61.061,46.951,0.402,0.596,-0.194,62.064,65.162,58.966
2021-11-23,61.26,61.84,60.28,61.0,1000600,61.938,62.083,61.052,44.988,0.261,0.529,-0.268,62.083,65.148,59.018
2021-11-24,60.5,61.18,60.01,61.12,423500,61.508,62.159,61.037,45.721,0.157,0.454,-0.297,62.159,65.034,59.284
2021-11-26,59.26,59.77,58.39,59.07,547200,60.774,62.156,60.978,36.717,-0.089,0.346,-0.435,62.156,65.044,59.268
2021-11-29,60.17,60.44,58.99,60.1,670800,60.538,62.207,60.98,42.811,-0.199,0.237,-0.436,62.207,64.894,59.521
2021-11-30,59.17,59.45,57.18,57.66,1485500,59.79,62.043,60.969,34.368,-0.478,0.094,-0.572,62.043,65.378,58.707
2021-12-01,59.15,60.34,57.42,57.47,736700,59.084,61.841,60.964,33.808,-0.706,-0.066,-0.64,61.841,65.752,57.93
2021-12-02,56.42,59.09,55.98,58.54,948900,58.568,61.656,60.946,39.753,-0.791,-0.211,-0.58,61.656,65.829,57.483
2021-12-03,58.99,59.34,57.69,58.19,803900,58.392,61.418,60.899,38.534,-0.877,-0.344,-0.532,61.418,65.816,57.019
2021-12-06,58.84,59.6,58.39,58.9,1016400,58.152,61.15,60.851,42.394,-0.877,-0.451,-0.426,61.15,65.471,56.828
2021-12-07,60.06,61.89,59.71,61.49,636800,58.918,61.061,60.852,53.792,-0.661,-0.493,-0.168,61.061,65.272,56.85
2021-12-08,61.55,62.04,61.17,61.75,646500,59.774,61.016,60.886,54.759,-0.463,-0.487,0.024,61.016,65.175,56.858
2021-12-09,61.67,62.12,60.83,60.88,775000,60.242,60.924,60.976,50.917,-0.372,-0.464,0.092,60.924,65.005,56.844
2021-12-10,63.97,64.97,63.31,64.51,2013200,61.506,60.973,61.116,62.683,-0.007,-0.373,0.365,60.973,65.203,56.742
2021-12-13,64.03,64.8,62.84,63.16,1152000,62.358,60.96,61.209,57.192,0.171,-0.264,0.435,60.96,65.164,56.757
2021-12-14,62.05,63.34,62.05,62.4,1143600,62.54,60.931,61.293,54.308,0.248,-0.162,0.41,60.931,65.082,56.78
2021-12-15,62.3,62.95,60.52,62.91,1162100,62.772,60.892,61.349,55.915,0.346,-0.06,0.406,60.892,64.947,56.837
2021-12-16,63.03,65.59,62.91,63.57,1938300,63.31,60.907,61.413,57.974,0.472,0.046,0.426,60.907,65.001,56.813
2021-12-17,63.65,65.64,62.86,64.69,3118600,63.346,61.005,61.469,61.28,0.654,0.168,0.486,61.005,65.367,56.642
2021-12-20,63.39,63.85,61.6,62.73,999600,63.26,61.077,61.49,53.368,0.634,0.261,0.372,61.077,65.506,56.648
2021-12-21,64.03,66.27,63.4,66.09,1877600,63.998,61.312,61.564,62.344,0.878,0.384,0.494,61.312,66.277,56.346
2021-12-22,66.09,67.56,65.84,67.44,1048100,64.904,61.634,61.692,65.239,1.167,0.541,0.626,61.634,67.3,55.967
2021-12-23,68.06,69.83,67.81,68.86,1065600,65.962,62.021,61.862,68.023,1.494,0.732,0.762,62.021,68.533,55.508
2021-12-27,69.05,70.52,68.96,70.33,838300,67.09,62.583,62.028,70.645,1.85,0.955,0.895,62.583,69.917,55.25
2021-12-28,70.26,70.92,69.7,69.76,682000,68.496,63.066,62.194,68.306,2.062,1.177,0.886,63.066,70.962,55.171
2021-12-29,69.76,71.13,69.66,70.54,501900,69.386,63.71,62.381,69.781,2.268,1.395,0.873,63.71,71.847,55.574
2021-12-30,70.27,70.84,69.0,69.12,664700,69.722,64.293,62.546,63.949,2.289,1.574,0.715,64.293,72.214,56.372
2021-12-31,68.95,69.87,68.95,69.39,557900,69.828,64.835,62.733,64.555,2.302,1.719,0.582,64.835,72.581,57.09
2022-01-03,69.98,70.69,69.33,69.5,737600,69.662,65.401,62.889,64.815,2.294,1.834,0.46,65.401,72.745,58.057
2022-01-04,70.02,70.95,69.6,70.32,816800,69.774,65.972,63.081,66.77,2.327,1.933,0.394,65.972,72.955,58.989
2022-01-05,70.59,71.1,68.99,69.04,811300,69.474,66.35,63.236,61.067,2.224,1.991,0.233,66.35,73.125,59.574
2022-01-06,68.99,69.54,68.24,69.21,667000,69.492,66.722,63.408,61.536,2.132,2.019,0.113,66.722,73.249,60.196
2022-01-07,69.1,69.99,68.26,68.43,1911100,69.3,67.1,63.585,58.073,1.973,2.01,-0.037,67.1,73.052,61.148
2022-01-10,67.87,68.23,66.2,68.09,933500,69.018,67.279,63.764,56.578,1.799,1.968,-0.169,67.279,73.117,61.441
2022-01-11,68.09,69.55,67.34,69.48,791900,68.85,67.595,63.972,60.998,1.754,1.925,-0.172,67.595,73.173,62.017
2022-01-12,69.63,70.12,68.72,69.29,670000,68.9,67.94,64.139,60.098,1.682,1.877,-0.194,67.94,72.992,62.887
2022-01-13,69.85,70.67,68.63,69.01,659400,68.86,68.244,64.289,58.722,1.585,1.818,-0.233,68.244,72.723,63.766
2022-01-14,68.1,69.78,68.06,69.76,502900,69.126,68.554,64.439,61.279,1.551,1.765,-0.214,68.554,72.496,64.612
2022-01-18,68.47,69.04,67.54,68.05,935800,69.118,68.722,64.541,53.189,1.37,1.686,-0.316,68.722,72.233,65.211
2022-01-19,68.48,68.71,65.87,65.94,913000,68.41,68.882,64.575,45.25,1.044,1.557,-0.513,68.882,71.391,66.374
2022-01-20,65.99,67.09,64.46,64.59,602400,67.47,68.808,64.601,41.03,0.669,1.38,-0.711,68.808,71.724,65.891
2022-01-21,64.06,64.83,62.64,62.85,1199700,66.238,68.578,64.605,36.328,0.229,1.15,-0.921,68.578,72.497,64.659
2022-01-24,61.4,62.12,59.08,61.32,3467500,64.55,68.201,64.577,32.772,-0.24,0.872,-1.112,68.201,73.284,63.118
2022-01-25,60.35,60.55,58.41,59.36,3452500,62.812,67.652,64.494,28.872,-0.762,0.545,-1.307,67.652,73.983,61.322
2022-01-26,60.76,60.92,57.73,57.96,1553300,61.216,67.063,64.385,26.451,-1.273,0.181,-1.455,67.063,74.642,59.483
2022-01-27,58.82,59.89,57.02,57.43,1491300,59.784,66.407,64.274,25.577,-1.702,-0.195,-1.507,66.407,74.929,57.885
2022-01-28,57.57,58.95,56.87,58.91,1695800,58.996,65.896,64.178,32.306,-1.9,-0.536,-1.364,65.896,74.941,56.852
2022-01-31,58.49,60.69,58.49,60.65,1084200,58.862,65.46,64.126,39.26,-1.895,-0.808,-1.087,65.46,74.637,56.282
2022-02-01,61.11,61.62,59.68,61.35,1175200,59.26,65.052,64.098,41.848,-1.814,-1.009,-0.804,65.052,74.198,55.906
2022-02-02,61.63,62.4,61.38,62.12,1264100,60.092,64.642,64.115,44.642,-1.668,-1.141,-0.527,64.642,73.525,55.759
2022-02-03,61.62,62.43,60.38,60.44,1201600,60.694,64.212,64.095,40.113,-1.668,-1.246,-0.422,64.212,73.031,55.393
2022-02-04,60.2,60.89,59.08,59.79,626700,60.87,63.741,64.071,38.487,-1.702,-1.338,-0.364,63.741,72.442,55.04
2022-02-07,59.82,60.09,59.32,59.54,1767800,60.648,63.296,64.04,37.851,-1.729,-1.416,-0.313,63.296,71.896,54.697
2022-02-08,59.67,61.11,59.32,60.86,2231300,60.55,62.935,64.075,43.188,-1.625,-1.458,-0.167,62.935,71.291,54.579
2022-02-09,61.97,62.5,61.48,62.24,797700,60.574,62.573,64.118,48.196,-1.414,-1.449,0.034,62.573,70.342,54.804
2022-02-10,60.99,62.67,60.8,61.09,1502400,60.704,62.163,64.187,44.663,-1.325,-1.424,0.099,62.163,69.277,55.049
2022-02-11,61.33,62.17,59.38,59.72,980500,60.69,61.698,64.232,40.823,-1.35,-1.409,0.059,61.698,68.108,55.289
2022-02-14,59.55,60.34,59.03,59.65,1463300,60.712,61.193,64.254,40.631,-1.359,-1.399,0.04,61.193,66.409,55.977
2022-02-15,60.27,61.34,60.05,60.75,1646700,60.69,60.828,64.305,45.012,-1.263,-1.372,0.109,60.828,64.926,56.73
2022-02-16,60.5,60.73,59.46,60.4,1482800,60.322,60.551,64.335,43.902,-1.202,-1.338,0.136,60.551,63.869,57.233
2022-02-17,59.62,59.94,58.71,58.9,1256200,59.884,60.266,64.283,39.415,-1.259,-1.322,0.063,60.266,63.06,57.473
2022-02-18,58.95,59.85,58.23,58.83,1536700,59.706,60.066,64.225,39.214,-1.296,-1.317,0.021,60.066,62.647,57.484
2022-02-22,58.11,59.34,57.3,57.64,1745700,59.304,59.882,64.16,35.859,-1.404,-1.334,-0.07,59.882,62.607,57.156
2022-02-23,58.3,58.46,56.27,56.5,1778100,58.454,59.738,64.0,32.951,-1.565,-1.38,-0.184,59.738,62.852,56.625
2022-02-24,54.58,56.37,53.53,56.2,2242800,57.614,59.65,63.861,32.21,-1.696,-1.444,-0.252,59.65,63.061,56.24
2022-02-25,56.49,58.68,55.88,58.63,2234300,57.56,59.71,63.785,43.319,-1.586,-1.472,-0.114,59.71,62.996,56.425
2022-02-28,57.68,58.13,56.2,57.1,1862700,57.214,59.62,63.669,38.987,-1.604,-1.498,-0.105,59.62,63.093,56.147
2022-03-01,57.02,57.24,54.22,54.5,2171900,56.586,59.312,63.488,32.956,-1.807,-1.56,-0.247,59.312,63.431,55.194
2022-03-02,55.31,57.56,55.01,57.08,1095100,56.702,59.099,63.336,42.467,-1.739,-1.596,-0.143,59.099,63.215,54.983
2022-03-03,57.29,57.4,55.74,56.33,1472200,56.728,58.81,63.208,40.661,-1.727,-1.622,-0.105,58.81,62.845,54.774
2022-03-04,55.18,55.61,53.48,54.12,2273500,55.826,58.494,62.968,35.827,-1.873,-1.672,-0.201,58.494,62.958,54.029
2022-03-07,54.19,54.19,51.88,51.95,1684200,54.796,58.102,62.658,31.825,-2.14,-1.766,-0.374,58.102,63.388,52.815
2022-03-08,52.63,54.48,51.78,52.56,1654500,54.408,57.753,62.332,34.055,-2.276,-1.868,-0.408,57.753,63.537,51.968
2022-03-09,54.25,55.4,54.0,54.97,1406500,53.986,57.458,62.025,42.11,-2.164,-1.927,-0.237,57.458,63.176,51.74
2022-03-10,53.87,54.94,53.35,54.84,1385900,53.688,57.088,61.727,41.814,-2.062,-1.954,-0.108,57.088,62.45,51.726
2022-03-11,55.39,55.95,54.77,54.95,992300,53.854,56.781,61.415,42.185,-1.95,-1.953,0.003,56.781,61.874,51.688
2022-03-14,54.9,55.36,53.31,53.5,1008800,54.164,56.47,61.103,38.682,-1.956,-1.954,-0.002,56.47,61.567,51.373
2022-03-15,54.41,55.25,54.06,55.12,1553300,54.676,56.244,60.817,44.252,-1.809,-1.925,0.116,56.244,61.144,51.343
2022-03-16,60.82,61.35,58.4,60.46,2874000,55.774,56.229,60.636,57.845,-1.247,-1.789,0.542,56.229,61.075,51.383
2022-03-17,60.69,61.67,60.17,61.35,1757900,57.076,56.276,60.457,59.613,-0.721,-1.576,0.854,56.276,61.31,51.243
2022-03-18,61.01,61.97,60.0,61.92,2113300,58.47,56.427,60.315,60.748,-0.256,-1.312,1.056,56.427,61.95,50.905
2022-03-21,61.93,62.58,61.21,61.66,925300,60.102,56.569,60.164,59.921,0.091,-1.031,1.122,56.569,62.482,50.656
2022-03-22,62.39,62.39,60.51,60.98,977500,61.274,56.736,60.015,57.707,0.307,-0.764,1.071,56.736,62.957,50.515
2022-03-23,60.31,61.09,59.85,60.3,948100,61.242,56.926,59.859,55.499,0.419,-0.527,0.946,56.926,63.345,50.507
2022-03-24,60.66,61.48,60.25,61.35,769400,61.242,57.183,59.696,58.161,0.585,-0.305,0.89,57.183,63.887,50.48
2022-03-25,61.55,61.87,60.95,61.68,689800,61.194,57.336,59.544,58.991,0.736,-0.096,0.832,57.336,64.311,50.361
2022-03-28,61.13,61.53,59.07,60.42,806800,60.946,57.502,59.372,54.541,0.744,0.072,0.673,57.502,64.61,50.394
2022-03-29,61.38,62.0,60.55,61.11,714400,60.972,57.832,59.199,56.477,0.798,0.217,0.581,57.832,64.968,50.697
2022-03-30,60.9,61.07,59.27,59.75,823300,60.862,57.966,59.033,51.794,0.722,0.318,0.404,57.966,65.142,50.79
2022-03-31,59.55,61.65,59.47,60.97,1537400,60.786,58.198,58.934,55.369,0.752,0.405,0.347,58.198,65.451,50.945
