Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-22,66.01,66.72,66.0,66.17,4666300,,,,,0.0,0.0,0.0,,,
2021-09-23,66.51,67.82,66.51,67.31,4888600,,,,,0.091,0.018,0.073,,,
2021-09-24,66.97,67.4,66.75,67.09,3372500,,,,,0.144,0.043,0.1,,,
2021-09-27,66.98,67.23,65.53,65.59,4940100,,,,,0.064,0.047,0.016,,,
2021-09-28,64.95,65.14,63.53,64.24,9213300,66.08,,,,-0.108,0.016,-0.124,,,
2021-09-29,64.52,65.1,64.09,64.29,4293400,65.704,,,,-0.236,-0.034,-0.202,,,
2021-09-30,64.64,64.93,62.07,62.09,6255200,64.66,,,,-0.51,-0.129,-0.381,,,
2021-10-01,62.32,63.23,61.83,62.94,4209600,63.83,,,,-0.651,-0.234,-0.417,,,
2021-10-04,62.47,63.16,61.96,62.55,3834100,63.222,,,,-0.785,-0.344,-0.441,,,
2021-10-05,62.94,63.88,62.49,63.17,2671600,63.008,,,,-0.832,-0.442,-0.39,,,
2021-10-06,62.57,63.46,62.41,63.36,3360900,62.822,,,,-0.844,-0.522,-0.322,,,
2021-10-07,63.9,64.83,63.89,64.1,2681000,63.224,,,,-0.784,-0.574,-0.21,,,
2021-10-08,64.36,64.4,62.9,62.94,2717900,63.224,,,,-0.821,-0.624,-0.198,,,
2021-10-11,62.69,63.51,62.67,62.74,2283500,63.262,,,,-0.857,-0.67,-0.187,,,
2021-10-12,62.95,63.22,61.98,62.16,3479800,63.06,,,31.495,-0.922,-0.721,-0.201,,,
2021-10-13,62.53,63.2,62.12,62.88,3877700,62.964,,,38.546,-0.904,-0.757,-0.147,,,
2021-10-14,63.32,65.01,63.29,64.98,3038500,63.14,,,53.56,-0.713,-0.748,0.036,,,
2021-10-15,65.56,65.99,64.99,65.02,3299300,63.556,,,53.791,-0.551,-0.709,0.158,,,
2021-10-18,64.49,65.81,64.4,65.75,2996500,64.158,,,57.916,-0.36,-0.639,0.279,,,
2021-10-19,66.05,66.64,65.86,66.1,3337600,64.946,64.274,,59.77,-0.179,-0.547,0.368,64.274,67.556,60.991
2021-10-20,66.26,67.09,65.95,66.68,2327800,65.706,64.299,,62.702,0.012,-0.435,0.447,64.299,67.651,60.947
2021-10-21,66.49,67.47,66.21,67.42,2084000,66.194,64.304,,66.097,0.22,-0.304,0.524,64.304,67.678,60.931
2021-10-22,67.71,68.1,67.29,67.37,2635100,66.664,64.318,,65.663,0.377,-0.168,0.545,64.318,67.742,60.895
2021-10-25,67.38,67.9,66.51,67.44,3452600,67.002,64.411,,66.0,0.501,-0.034,0.535,64.411,68.071,60.751
2021-10-26,67.73,67.73,66.61,66.64,2313000,67.11,64.531,,58.881,0.528,0.078,0.45,64.531,68.323,60.739
2021-10-27,66.65,67.14,65.39,65.42,3366000,66.858,64.588,,50.019,0.447,0.152,0.295,64.588,68.398,60.777
2021-10-28,65.91,67.07,65.79,66.97,3898800,66.768,64.832,,58.554,0.501,0.222,0.279,64.832,68.593,61.07
2021-10-29,66.55,67.32,66.49,66.91,3216000,66.676,65.03,,58.14,0.533,0.284,0.249,65.03,68.79,61.27
2021-11-01,66.85,67.54,66.51,67.1,3431000,66.608,65.258,,59.125,0.568,0.341,0.227,65.258,68.936,61.579
2021-11-02,67.39,68.15,67.16,67.7,3597600,66.82,65.484,,62.154,0.636,0.4,0.236,65.484,69.179,61.789
2021-11-03,67.33,67.33,65.58,66.08,3336200,66.952,65.62,,51.135,0.553,0.431,0.123,65.62,69.183,62.057
2021-11-04,66.29,67.33,66.15,67.3,3280100,67.018,65.78,,57.278,0.579,0.46,0.119,65.78,69.343,62.217
2021-11-05,67.83,68.23,66.61,68.06,4185500,67.248,66.036,,60.6,0.654,0.499,0.155,66.036,69.474,62.598
2021-11-08,68.92,69.21,67.69,67.92,3055000,67.412,66.295,,59.68,0.693,0.538,0.155,66.295,69.457,63.133
