Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,157.07,157.13,155.92,156.72,210900,,,,,0.0,0.0,0.0,,,
2021-07-13,156.38,157.42,155.43,156.41,213500,,,,,-0.025,-0.005,-0.02,,,
2021-07-14,156.61,157.93,155.95,157.89,230000,,,,,0.074,0.011,0.063,,,
2021-07-15,157.99,160.34,157.55,160.07,525500,,,,,0.325,0.074,0.251,,,
2021-07-16,160.03,162.42,159.36,161.04,495800,158.426,,,,0.595,0.178,0.417,,,
2021-07-19,160.21,160.66,158.86,159.8,503400,159.042,,,,0.701,0.282,0.418,,,
2021-07-20,160.51,163.11,160.45,162.88,547000,160.336,,,,1.021,0.43,0.591,,,
2021-07-21,163.35,164.02,162.16,162.41,475300,161.24,,,,1.223,0.589,0.635,,,
2021-07-22,162.71,164.97,162.66,164.05,294300,162.036,,,,1.499,0.771,0.728,,,
2021-07-23,164.89,165.8,164.06,165.36,201200,162.9,,,,1.802,0.977,0.825,,,
2021-07-26,165.23,166.03,163.68,164.92,244300,163.924,,,,1.983,1.178,0.805,,,
2021-07-27,165.62,166.13,163.81,165.22,323100,164.392,,,,2.127,1.368,0.759,,,
2021-07-28,164.93,165.37,161.17,161.28,443900,164.166,,,,1.901,1.475,0.427,,,
2021-07-29,161.78,163.07,161.61,162.56,264300,163.868,,,,1.805,1.541,0.264,,,
2021-07-30,162.6,164.0,162.13,163.31,211100,163.458,,,62.324,1.768,1.586,0.182,,,
2021-08-02,164.01,164.7,162.69,163.76,348000,163.226,,,63.716,1.756,1.62,0.135,,,
2021-08-03,164.31,165.46,162.84,164.94,426200,163.17,,,67.144,1.82,1.66,0.16,,,
2021-08-04,164.86,165.07,162.52,162.84,271600,163.482,,,56.85,1.682,1.664,0.017,,,
2021-08-05,163.02,163.46,161.75,162.7,300600,163.51,,,56.231,1.543,1.64,-0.097,,,
2021-08-06,162.78,164.13,162.41,163.18,312700,163.484,162.067,,57.922,1.455,1.603,-0.148,162.067,167.45,156.684
2021-08-09,163.78,164.34,162.09,162.19,249500,163.17,162.341,,53.343,1.291,1.541,-0.25,162.341,167.099,157.582
2021-08-10,161.95,162.86,160.14,161.58,244200,162.498,162.599,,50.685,1.099,1.452,-0.353,162.599,166.482,158.716
2021-08-11,162.41,163.46,162.19,162.95,252000,162.52,162.852,,55.99,1.045,1.371,-0.326,162.852,166.04,159.664
2021-08-12,163.31,164.31,159.56,163.52,359600,162.684,163.024,,58.014,1.037,1.304,-0.267,163.024,165.941,160.108
2021-08-13,163.78,166.16,162.94,166.15,238500,163.278,163.28,,65.824,1.228,1.289,-0.061,163.28,166.355,160.205
2021-08-16,166.0,167.53,164.38,166.74,461900,164.188,163.627,,67.293,1.411,1.313,0.098,163.627,166.614,160.64
2021-08-17,165.5,168.11,165.5,167.52,523000,165.376,163.859,,69.18,1.6,1.371,0.23,163.859,167.29,160.428
2021-08-18,167.2,168.84,158.17,161.71,999700,165.128,163.824,,47.293,1.267,1.35,-0.083,163.824,167.33,160.318
2021-08-19,162.6,165.4,160.63,165.37,390900,165.498,163.89,,56.607,1.284,1.337,-0.053,163.89,167.463,160.317
2021-08-20,165.16,166.77,164.46,166.16,352100,165.5,163.93,,58.319,1.345,1.338,0.006,163.93,167.589,160.271
2021-08-23,166.77,166.94,165.36,165.59,230200,165.27,163.964,,56.584,1.332,1.337,-0.005,163.964,167.673,160.254
2021-08-24,165.73,166.11,162.33,162.49,315300,164.264,163.827,,48.189,1.059,1.282,-0.222,163.827,167.543,160.111
2021-08-25,162.66,163.72,162.19,162.71,240600,164.464,163.898,,48.77,0.851,1.196,-0.344,163.898,167.46,160.337
2021-08-26,162.61,163.79,160.87,163.18,240100,164.026,163.93,,50.058,0.716,1.1,-0.383,163.93,167.452,160.407
2021-08-27,163.53,165.75,163.31,165.04,423500,163.802,164.016,,54.892,0.751,1.03,-0.279,164.016,167.56,160.472
2021-08-30,165.32,166.27,164.71,165.4,200200,163.764,164.098,,55.784,0.798,0.983,-0.186,164.098,167.692,160.504
2021-08-31,165.98,168.25,164.86,165.46,518500,164.358,164.124,,55.941,0.83,0.953,-0.123,164.124,167.751,160.497
2021-09-01,166.28,166.97,164.34,166.32,256800,165.08,164.298,,58.222,0.915,0.945,-0.03,164.298,167.999,160.597
2021-09-02,166.92,167.35,165.03,165.32,287400,165.508,164.429,,54.677,0.891,0.934,-0.043,164.429,168.077,160.781
2021-09-03,164.98,165.72,164.12,164.86,316200,165.472,164.513,,53.076,0.825,0.912,-0.087,164.513,168.117,160.909
2021-09-07,165.28,166.43,162.1,162.29,433900,164.85,164.518,,45.127,0.56,0.842,-0.282,164.518,168.109,160.927
2021-09-08,162.03,164.96,161.62,162.98,600800,164.354,164.588,,47.404,0.4,0.754,-0.354,164.588,167.987,161.189
2021-09-09,163.83,164.26,161.04,161.08,472300,163.306,164.495,,42.209,0.119,0.627,-0.508,164.495,168.174,160.815
2021-09-10,161.54,163.19,158.54,159.0,516500,162.042,164.268,,37.379,-0.269,0.448,-0.716,164.268,168.682,159.855
2021-09-13,160.44,161.34,157.8,158.43,368500,160.756,163.882,,36.158,-0.615,0.235,-0.85,163.882,168.911,158.854
2021-09-14,158.33,159.07,156.58,157.18,366200,159.734,163.404,,33.568,-0.979,-0.008,-0.971,163.404,169.067,157.742
2021-09-15,157.23,160.54,157.23,159.81,357600,159.1,163.019,,42.844,-1.043,-0.215,-0.828,163.019,168.55,157.488
2021-09-16,160.17,161.44,159.38,160.66,316000,159.016,162.967,,45.493,-1.013,-0.374,-0.639,162.967,168.569,157.364
2021-09-17,159.93,160.03,157.75,158.73,827000,158.962,162.634,,40.862,-1.133,-0.526,-0.607,162.634,168.421,156.848
2021-09-20,156.8,159.47,156.77,159.34,452200,159.144,162.294,162.622,42.842,-1.164,-0.654,-0.511,162.294,168.009,156.578
2021-09-21,160.38,160.47,157.53,157.86,314800,159.28,161.907,162.645,39.395,-1.294,-0.782,-0.512,161.907,167.728,156.086
2021-09-22,157.85,159.78,156.97,158.73,292700,159.064,161.719,162.691,42.333,-1.312,-0.888,-0.424,161.719,167.702,155.736
2021-09-23,158.63,161.44,158.63,160.25,283300,158.982,161.596,162.738,47.152,-1.189,-0.948,-0.241,161.596,167.594,155.598
2021-09-24,160.25,161.38,160.25,161.2,219600,159.476,161.497,162.761,49.966,-1.004,-0.959,-0.045,161.497,167.45,155.544
2021-09-27,160.91,161.61,159.41,160.47,326500,159.702,161.268,162.75,47.857,-0.906,-0.949,0.043,161.268,166.996,155.541
2021-09-28,159.99,159.99,154.93,155.58,488300,159.246,160.778,162.665,36.687,-1.208,-1.001,-0.208,160.778,166.694,154.861
2021-09-29,155.77,157.68,155.77,156.29,321800,158.758,160.319,162.533,38.916,-1.375,-1.075,-0.3,160.319,166.128,154.51
2021-09-30,156.61,157.76,153.04,154.31,464100,157.57,159.718,162.371,35.194,-1.648,-1.19,-0.458,159.718,165.397,154.04
2021-10-01,155.0,156.77,153.46,155.21,354500,156.372,159.213,162.195,38.092,-1.771,-1.306,-0.465,159.213,164.583,153.843
2021-10-04,154.29,155.84,152.58,153.47,394300,154.972,158.644,161.957,34.848,-1.986,-1.442,-0.544,158.644,163.907,153.38
2021-10-05,153.32,155.56,152.25,153.14,405800,154.484,158.186,161.721,34.252,-2.159,-1.586,-0.573,158.186,163.7,152.672
2021-10-06,152.37,153.7,151.39,153.49,441200,153.924,157.712,161.487,35.511,-2.241,-1.717,-0.524,157.712,163.121,152.302
2021-10-07,154.51,156.27,154.07,154.9,439000,154.042,157.402,161.359,40.46,-2.168,-1.807,-0.361,157.402,162.706,152.099
2021-10-08,155.67,157.33,155.25,156.19,259200,154.238,157.262,161.232,44.645,-1.983,-1.842,-0.141,157.262,162.537,151.987
2021-10-11,156.06,157.0,154.72,155.03,229100,154.55,157.092,161.066,41.8,-1.908,-1.855,-0.052,157.092,162.427,151.757
2021-10-12,155.38,156.05,153.62,154.06,338900,154.734,156.936,160.872,39.531,-1.904,-1.865,-0.039,156.936,162.44,151.432
2021-10-13,154.5,155.52,153.25,155.05,235300,155.046,156.698,160.674,42.935,-1.801,-1.852,0.051,156.698,162.089,151.307
2021-10-14,155.86,158.07,154.88,158.0,256800,155.666,156.565,160.577,51.667,-1.464,-1.775,0.31,156.565,161.668,151.462
2021-10-15,159.15,161.04,158.71,159.96,370700,156.42,156.626,160.523,56.437,-1.028,-1.625,0.598,156.626,161.867,151.386
2021-10-18,159.37,161.26,158.88,160.89,253900,157.592,156.704,160.477,58.528,-0.599,-1.42,0.821,156.704,162.155,151.253
