Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,15.59,16.06,15.45,16.02,6110000,,,,,0.0,0.0,0.0,,,
2021-07-13,16.02,16.02,15.62,15.74,5350300,,,,,-0.022,-0.004,-0.018,,,
2021-07-14,15.77,16.0,15.44,15.68,7470500,,,,,-0.044,-0.012,-0.032,,,
2021-07-15,15.53,15.95,15.45,15.81,6798900,,,,,-0.051,-0.02,-0.031,,,
2021-07-16,15.92,15.95,15.14,15.18,8612300,15.686,,,,-0.105,-0.037,-0.068,,,
2021-07-19,14.79,14.91,14.39,14.5,14320900,15.382,,,,-0.201,-0.07,-0.131,,,
2021-07-20,14.09,15.22,14.04,14.98,12614900,15.23,,,,-0.236,-0.103,-0.133,,,
2021-07-21,15.15,15.42,15.14,15.22,11760500,15.138,,,,-0.241,-0.131,-0.11,,,
2021-07-22,15.15,15.17,14.81,14.9,7286300,14.956,,,,-0.268,-0.158,-0.11,,,
2021-07-23,15.1,15.32,14.91,14.98,7375000,14.916,,,,-0.28,-0.182,-0.097,,,
2021-07-26,15.03,15.32,15.03,15.18,7462000,15.052,,,,-0.27,-0.2,-0.07,,,
2021-07-27,14.99,15.33,14.89,15.19,7250400,15.094,,,,-0.258,-0.211,-0.046,,,
2021-07-28,15.28,15.54,15.07,15.37,9908300,15.124,,,,-0.231,-0.215,-0.016,,,
2021-07-29,15.55,15.73,15.4,15.59,10000800,15.262,,,,-0.19,-0.21,0.02,,,
2021-07-30,15.49,15.74,15.33,15.42,8863200,15.35,,,47.292,-0.17,-0.202,0.033,,,
2021-08-02,15.49,15.93,15.32,15.33,7933800,15.38,,,45.29,-0.159,-0.194,0.035,,,
2021-08-03,15.44,15.74,15.14,15.69,7653400,15.48,,,53.727,-0.12,-0.179,0.059,,,
2021-08-04,15.43,15.77,15.37,15.4,7512400,15.486,,,47.387,-0.111,-0.165,0.054,,,
2021-08-05,15.51,15.68,15.5,15.61,5549800,15.49,,,51.821,-0.086,-0.149,0.064,,,
2021-08-06,15.84,16.13,15.81,15.95,6153500,15.596,15.387,,57.992,-0.038,-0.127,0.089,15.387,16.155,14.619
2021-08-09,15.84,16.06,15.69,15.84,6129300,15.698,15.378,,55.515,-0.009,-0.103,0.094,15.378,16.119,14.637
2021-08-10,15.82,16.22,15.75,16.14,7416600,15.788,15.398,,60.475,0.038,-0.075,0.113,15.398,16.199,14.597
2021-08-11,16.17,16.41,15.99,16.38,6823500,15.984,15.433,,63.939,0.093,-0.042,0.135,15.433,16.34,14.526
2021-08-12,16.35,16.42,16.17,16.34,5301300,16.13,15.46,,62.948,0.132,-0.007,0.139,15.46,16.441,14.478
2021-08-13,16.43,16.46,16.14,16.22,5761100,16.184,15.512,,59.949,0.152,0.025,0.127,15.512,16.539,14.484
2021-08-16,16.04,16.19,15.86,16.09,6031200,16.234,15.591,,56.792,0.155,0.051,0.104,15.591,16.532,14.65
2021-08-17,15.91,16.05,15.62,15.85,5611400,16.176,15.634,,51.409,0.137,0.068,0.069,15.634,16.536,14.733
2021-08-18,15.76,16.02,15.68,15.7,5857900,16.04,15.658,,48.326,0.109,0.076,0.032,15.658,16.539,14.778
2021-08-19,15.51,15.67,15.35,15.48,5763400,15.868,15.687,,44.145,0.068,0.074,-0.007,15.687,16.498,14.877
