Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,57.32,58.07,56.62,57.96,2199600,,,,,0.0,0.0,0.0,,,
2021-07-13,58.58,58.93,56.92,56.95,1112800,,,,,-0.081,-0.016,-0.064,,,
2021-07-14,57.02,57.21,56.21,56.47,1289600,,,,,-0.181,-0.049,-0.132,,,
2021-07-15,56.26,56.86,55.9,56.39,1467000,,,,,-0.264,-0.092,-0.172,,,
2021-07-16,56.7,56.75,55.76,55.83,1116700,56.72,,,,-0.371,-0.148,-0.223,,,
2021-07-19,54.72,55.37,54.45,55.0,1888100,56.128,,,,-0.516,-0.222,-0.295,,,
2021-07-20,55.35,56.53,55.06,56.14,2527300,55.966,,,,-0.534,-0.284,-0.25,,,
2021-07-21,56.52,57.17,56.36,56.92,1209500,56.056,,,,-0.479,-0.323,-0.156,,,
2021-07-22,57.19,58.31,56.88,58.2,2556500,56.418,,,,-0.328,-0.324,-0.004,,,
2021-07-23,58.23,59.74,58.23,58.88,2369200,57.028,,,,-0.153,-0.29,0.137,,,
2021-07-26,58.95,59.5,58.49,59.27,1577400,57.882,,,,0.018,-0.228,0.246,,,
2021-07-27,59.06,60.31,58.66,59.75,1773900,58.604,,,,0.19,-0.145,0.334,,,
2021-07-28,60.02,60.09,59.1,59.87,1427700,59.194,,,,0.332,-0.049,0.381,,,
2021-07-29,59.82,61.52,59.58,61.17,2273900,59.788,,,,0.543,0.069,0.474,,,
2021-07-30,60.77,61.65,60.72,61.12,2665900,60.236,,,76.249,0.698,0.195,0.503,,,
2021-08-02,61.57,61.72,60.8,60.91,2504500,60.564,,,73.354,0.795,0.315,0.48,,,
2021-08-03,62.86,63.01,60.78,62.12,2888300,61.038,,,78.435,0.959,0.444,0.515,,,
2021-08-04,62.37,63.5,62.37,63.3,2755200,61.724,,,82.033,1.17,0.589,0.581,,,
2021-08-05,64.04,64.63,63.71,64.46,3249800,62.382,,,84.73,1.415,0.754,0.66,,,
2021-08-06,64.76,64.96,64.0,64.78,2861600,63.114,59.274,,85.382,1.616,0.926,0.689,59.274,65.112,53.437
