Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,14.0,14.12,13.92,14.05,9955700,,,,,0.0,0.0,0.0,,,
2021-07-13,13.97,14.04,13.85,13.87,9139900,,,,,-0.014,-0.003,-0.011,,,
2021-07-14,13.9,13.95,13.55,13.6,10243100,,,,,-0.047,-0.012,-0.035,,,
2021-07-15,13.53,13.68,13.45,13.55,11060000,,,,,-0.076,-0.025,-0.051,,,
2021-07-16,13.65,13.67,13.33,13.38,12111000,13.69,,,,-0.111,-0.042,-0.069,,,
2021-07-19,13.08,13.16,12.83,13.03,17470000,13.486,,,,-0.166,-0.067,-0.099,,,
2021-07-20,13.14,13.33,13.02,13.25,16602600,13.362,,,,-0.189,-0.091,-0.098,,,
2021-07-21,13.42,13.67,13.37,13.54,16840300,13.35,,,,-0.182,-0.109,-0.073,,,
2021-07-22,13.43,13.46,13.13,13.25,18756000,13.29,,,,-0.197,-0.127,-0.07,,,
2021-07-23,13.21,13.24,12.98,13.18,16848300,13.25,,,,-0.213,-0.144,-0.069,,,
2021-07-26,13.21,13.56,13.21,13.52,11899000,13.348,,,,-0.195,-0.154,-0.041,,,
2021-07-27,13.46,13.52,13.33,13.46,12360300,13.39,,,,-0.184,-0.16,-0.024,,,
2021-07-28,13.52,13.6,13.35,13.48,11901900,13.378,,,,-0.172,-0.163,-0.009,,,
2021-07-29,13.61,13.65,13.49,13.58,13284900,13.444,,,,-0.152,-0.161,0.008,,,
2021-07-30,13.55,13.65,13.32,13.39,19733200,13.486,,,41.281,-0.15,-0.159,0.008,,,
2021-08-02,13.44,13.65,13.29,13.34,16949300,13.45,,,39.93,-0.151,-0.157,0.006,,,
2021-08-03,13.36,13.47,13.1,13.46,20190400,13.45,,,44.614,-0.14,-0.154,0.013,,,
2021-08-04,13.25,13.43,13.15,13.2,17313600,13.394,,,37.746,-0.151,-0.153,0.002,,,
2021-08-05,13.28,13.34,13.1,13.11,13288900,13.3,,,35.698,-0.165,-0.156,-0.009,,,
2021-08-06,13.2,13.25,13.11,13.19,13490000,13.26,13.422,,38.873,-0.168,-0.158,-0.01,13.422,13.92,12.923
2021-08-09,13.1,13.22,13.03,13.12,13577300,13.216,13.375,,37.145,-0.173,-0.161,-0.012,13.375,13.793,12.957
2021-08-10,13.17,13.29,13.13,13.24,12468600,13.172,13.344,,41.913,-0.166,-0.162,-0.004,13.344,13.695,12.992
2021-08-11,13.25,13.32,13.16,13.28,10081200,13.188,13.328,,43.453,-0.156,-0.161,0.005,13.328,13.658,12.997
2021-08-12,13.29,13.39,13.18,13.32,7792800,13.23,13.316,,45.023,-0.142,-0.157,0.015,13.316,13.629,13.003
2021-08-13,13.3,13.36,13.22,13.25,7482000,13.242,13.31,,42.785,-0.136,-0.153,0.017,13.31,13.623,12.996
2021-08-16,13.19,13.25,13.07,13.09,12991500,13.236,13.312,,38.12,-0.142,-0.151,0.009,13.312,13.615,13.01
2021-08-17,13.03,13.15,12.82,12.9,12805500,13.168,13.295,,33.455,-0.16,-0.153,-0.008,13.295,13.649,12.941
2021-08-18,12.85,12.88,12.52,12.55,13515800,13.022,13.245,,26.92,-0.201,-0.162,-0.039,13.245,13.714,12.777
2021-08-19,12.38,12.45,12.15,12.24,16711800,12.806,13.195,,22.692,-0.255,-0.181,-0.074,13.195,13.844,12.546
2021-08-20,12.15,12.4,12.15,12.28,13974200,12.612,13.15,,24.343,-0.291,-0.203,-0.088,13.15,13.918,12.382
2021-08-23,12.46,12.58,12.42,12.54,11824200,12.502,13.101,,34.183,-0.296,-0.221,-0.074,13.101,13.894,12.308
2021-08-24,12.61,12.73,12.55,12.69,12674100,12.46,13.062,,39.104,-0.284,-0.234,-0.05,13.062,13.857,12.268
2021-08-25,12.72,12.8,12.59,12.68,8345000,12.486,13.022,,38.896,-0.272,-0.242,-0.031,13.022,13.809,12.236
2021-08-26,12.6,12.65,12.43,12.43,9555300,12.524,12.965,,34.007,-0.28,-0.249,-0.031,12.965,13.748,12.182
2021-08-27,12.6,12.88,12.58,12.78,13132800,12.624,12.934,,44.52,-0.255,-0.25,-0.004,12.934,13.695,12.174
2021-08-30,12.79,12.79,12.58,12.58,7874200,12.632,12.896,,40.545,-0.248,-0.25,0.002,12.896,13.647,12.146
2021-08-31,12.52,12.59,12.47,12.53,17968100,12.6,12.85,,39.593,-0.244,-0.249,0.005,12.85,13.568,12.132
2021-09-01,12.54,12.62,12.43,12.45,10048300,12.554,12.812,,38.054,-0.244,-0.248,0.003,12.812,13.532,12.093
2021-09-02,12.52,12.67,12.52,12.65,10146600,12.598,12.79,,43.923,-0.226,-0.243,0.017,12.79,13.498,12.081
2021-09-03,12.61,12.68,12.51,12.58,6399200,12.558,12.759,,42.409,-0.215,-0.238,0.023,12.759,13.448,12.07
2021-09-07,12.54,12.65,12.42,12.45,9808200,12.532,12.726,,39.673,-0.214,-0.233,0.019,12.726,13.405,12.046
2021-09-08,12.48,12.62,12.38,12.39,9366300,12.504,12.683,,38.44,-0.215,-0.229,0.014,12.683,13.333,12.033
2021-09-09,12.32,12.5,12.25,12.31,12913300,12.476,12.634,,36.799,-0.22,-0.228,0.007,12.634,13.24,12.029
2021-09-10,12.44,12.45,12.24,12.3,9019800,12.406,12.584,,36.588,-0.223,-0.227,0.004,12.584,13.113,12.054
2021-09-13,12.39,12.56,12.35,12.43,14852300,12.376,12.542,,41.287,-0.212,-0.224,0.012,12.542,12.972,12.113
2021-09-14,12.48,12.52,12.26,12.33,11516500,12.352,12.504,,38.899,-0.208,-0.221,0.012,12.504,12.858,12.151
2021-09-15,12.41,12.69,12.39,12.62,24200900,12.398,12.49,,48.246,-0.18,-0.213,0.032,12.49,12.798,12.183
2021-09-16,12.62,12.66,12.41,12.45,12935100,12.426,12.485,,43.997,-0.17,-0.204,0.034,12.485,12.792,12.179
2021-09-17,12.42,12.56,12.25,12.29,28647700,12.424,12.488,,40.392,-0.173,-0.198,0.025,12.488,12.786,12.19
2021-09-20,12.06,12.18,11.91,12.08,16208400,12.354,12.478,12.945,36.199,-0.19,-0.196,0.007,12.478,12.817,12.139
2021-09-21,12.21,12.28,12.05,12.15,12209800,12.318,12.458,12.907,38.491,-0.195,-0.196,0.001,12.458,12.826,12.091
2021-09-22,12.29,12.55,12.29,12.42,13006300,12.278,12.445,12.878,46.478,-0.176,-0.192,0.016,12.445,12.796,12.094
2021-09-23,12.48,12.78,12.44,12.7,13033400,12.328,12.446,12.86,53.257,-0.136,-0.181,0.045,12.446,12.8,12.092
2021-09-24,12.68,12.82,12.67,12.73,9884000,12.416,12.461,12.844,53.93,-0.101,-0.165,0.064,12.461,12.837,12.085
2021-09-27,12.94,13.19,12.9,13.08,15651000,12.616,12.476,12.838,60.99,-0.045,-0.141,0.096,12.476,12.923,12.029
2021-09-28,13.19,13.25,12.95,13.01,16098400,12.788,12.497,12.837,59.041,-0.005,-0.114,0.108,12.497,13.003,11.992
2021-09-29,13.08,13.15,12.96,13.03,11102700,12.91,12.522,12.833,59.44,0.027,-0.086,0.112,12.522,13.081,11.964
2021-09-30,13.09,13.09,12.88,12.88,16132100,12.946,12.544,12.82,55.107,0.04,-0.06,0.1,12.544,13.124,11.964
2021-10-01,12.92,13.07,12.85,13.02,12603100,13.004,12.562,12.815,58.171,0.061,-0.036,0.097,12.562,13.179,11.946
2021-10-04,13.12,13.29,12.98,13.05,28345800,12.998,12.586,12.813,58.82,0.079,-0.013,0.092,12.586,13.24,11.932
2021-10-05,13.19,13.2,12.92,13.03,22492000,13.002,12.615,12.803,58.172,0.091,0.008,0.083,12.615,13.294,11.936
2021-10-06,12.92,13.02,12.72,12.89,17447500,12.974,12.64,12.791,53.713,0.088,0.024,0.064,12.64,13.321,11.959
2021-10-07,12.94,13.13,12.92,13.05,14639500,13.008,12.677,12.783,57.704,0.097,0.038,0.059,12.677,13.363,11.991
2021-10-08,13.15,13.5,13.15,13.45,12994400,13.094,12.734,12.78,65.672,0.135,0.058,0.078,12.734,13.478,11.991
2021-10-11,13.68,13.86,13.58,13.66,17229500,13.216,12.796,12.786,68.976,0.18,0.082,0.098,12.796,13.631,11.961
2021-10-12,13.63,13.91,13.59,13.82,17350900,13.374,12.871,12.795,71.247,0.226,0.111,0.115,12.871,13.792,11.949
2021-10-13,13.69,13.91,13.53,13.84,16035500,13.564,12.932,12.803,71.527,0.261,0.141,0.12,12.932,13.941,11.922
2021-10-14,14.15,14.18,13.99,14.16,17889600,13.786,13.017,12.822,75.625,0.311,0.175,0.136,13.017,14.138,11.896
2021-10-15,14.2,14.33,14.16,14.22,12252900,13.94,13.113,12.844,76.314,0.352,0.211,0.141,13.113,14.301,11.926
2021-10-18,14.29,14.45,14.13,14.22,15540100,14.052,13.221,12.865,76.314,0.38,0.244,0.135,13.221,14.402,12.039
2021-10-19,14.29,14.33,14.12,14.21,10023700,14.13,13.324,12.887,75.9,0.396,0.275,0.121,13.324,14.47,12.177
2021-10-20,14.14,14.39,14.07,14.36,12329300,14.234,13.42,12.909,77.843,0.417,0.303,0.114,13.42,14.574,12.267
2021-10-21,14.07,14.13,13.33,13.5,38532600,14.102,13.46,12.913,51.969,0.359,0.314,0.045,13.46,14.563,12.358
2021-10-22,13.55,13.63,13.39,13.61,16390100,13.98,13.504,12.919,54.072,0.319,0.315,0.004,13.504,14.553,12.456
2021-10-25,13.72,13.77,13.63,13.75,13196900,13.886,13.538,12.929,56.672,0.295,0.311,-0.016,13.538,14.572,12.504
2021-10-26,13.82,13.85,13.55,13.57,12678000,13.758,13.566,12.939,52.553,0.258,0.301,-0.042,13.566,14.57,12.562
2021-10-27,13.52,13.57,13.27,13.32,14482500,13.55,13.58,12.947,47.4,0.207,0.282,-0.075,13.58,14.56,12.601
2021-10-28,13.29,13.39,13.25,13.36,10013000,13.522,13.604,12.963,48.274,0.167,0.259,-0.092,13.604,14.534,12.675
2021-10-29,13.34,13.41,13.09,13.1,16240200,13.42,13.609,12.981,43.244,0.114,0.23,-0.116,13.609,14.528,12.689
2021-11-01,13.18,13.38,13.07,13.34,14605300,13.338,13.623,13.002,48.571,0.09,0.202,-0.112,13.623,14.514,12.732
2021-11-02,13.3,13.36,13.14,13.27,12928200,13.278,13.635,13.016,47.18,0.064,0.174,-0.11,13.635,14.499,12.771
2021-11-03,13.15,13.28,13.13,13.18,10905200,13.25,13.65,13.026,45.381,0.036,0.147,-0.111,13.65,14.469,12.83
