Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2023-05-04,22.08,23.34,21.84,23.27,77004200.0,,,,,0.0,0.0,0.0,,,
2023-05-05,23.06,23.38,22.67,22.92,11292000.0,,,,,-0.028,-0.006,-0.022,,,
2023-05-08,22.78,23.23,22.41,22.93,6308300.0,,,,,-0.049,-0.014,-0.034,,,
2023-05-09,22.93,23.22,22.55,22.73,4684000.0,,,,,-0.08,-0.027,-0.053,,,
2023-05-10,22.73,23.16,22.5,22.71,9602400.0,22.912,,,,-0.106,-0.043,-0.063,,,
2023-05-11,22.52,22.78,22.49,22.49,5687300.0,22.756,,,,-0.142,-0.063,-0.079,,,
2023-05-12,22.51,23.03,22.4,22.92,5433800.0,22.756,,,,-0.135,-0.077,-0.057,,,
2023-05-15,22.92,24.04,22.92,23.79,7083200.0,22.928,,,,-0.058,-0.073,0.016,,,
2023-05-16,23.82,24.02,23.35,23.38,3818400.0,23.058,,,,-0.03,-0.065,0.035,,,
2023-05-17,23.62,23.96,23.01,23.55,3392200.0,23.226,,,,0.006,-0.05,0.057,,,
2023-05-18,23.55,23.66,23.1,23.39,2648100.0,23.406,,,,0.021,-0.036,0.058,,,
2023-05-19,23.39,23.58,23.09,23.55,1794300.0,23.532,,,,0.046,-0.02,0.066,,,
2023-05-22,23.64,23.73,22.46,22.55,7509400.0,23.284,,,,-0.015,-0.019,0.004,,,
2023-05-23,22.5,22.72,22.33,22.49,2485000.0,23.106,,,,-0.068,-0.029,-0.039,,,
2023-05-24,22.5,22.97,22.37,22.88,1953600.0,22.972,,,45.902,-0.077,-0.038,-0.039,,,
2023-05-25,22.92,23.04,22.4,22.78,2139400.0,22.85,,,44.331,-0.091,-0.049,-0.042,,,
2023-05-26,22.86,22.86,22.66,22.75,844100.0,22.69,,,43.846,-0.104,-0.06,-0.044,,,
2023-05-30,22.73,22.92,21.74,22.26,6340200.0,22.632,,,36.773,-0.151,-0.078,-0.073,,,
2023-05-31,22.16,22.16,21.62,21.7,6347800.0,22.474,,,30.682,-0.232,-0.109,-0.123,,,
2023-06-01,21.89,22.18,21.41,21.87,6072700.0,22.272,22.846,,34.243,-0.279,-0.143,-0.136,22.846,23.937,21.754
2023-06-02,21.85,22.23,21.6,22.1,2329400.0,22.136,22.787,,38.822,-0.294,-0.173,-0.121,22.787,23.908,21.666
2023-06-05,22.13,22.29,21.48,21.76,4737300.0,21.938,22.729,,34.948,-0.329,-0.204,-0.125,22.729,23.937,21.521
2023-06-06,21.63,21.96,21.54,21.77,1315000.0,21.84,22.671,,35.153,-0.353,-0.234,-0.119,22.671,23.948,21.394
2023-06-07,21.71,21.85,21.55,21.69,1626600.0,21.838,22.619,,34.224,-0.373,-0.262,-0.112,22.619,23.969,21.269
2023-06-08,21.62,21.76,21.46,21.72,2711800.0,21.808,22.569,,34.918,-0.383,-0.286,-0.097,22.569,23.976,21.163
2023-06-09,21.67,21.76,21.5,21.71,1874000.0,21.73,22.53,,34.786,-0.387,-0.306,-0.081,22.53,23.989,21.072
2023-06-12,21.63,21.8,21.41,21.64,2619800.0,21.706,22.466,,33.823,-0.391,-0.323,-0.068,22.466,23.965,20.968
2023-06-13,21.62,21.82,21.59,21.74,2039800.0,21.7,22.364,,36.527,-0.382,-0.335,-0.047,22.364,23.758,20.97
2023-06-14,21.74,22.05,21.73,21.92,2412000.0,21.746,22.291,,41.184,-0.356,-0.339,-0.017,22.291,23.612,20.97
2023-06-15,21.97,22.45,21.78,22.27,1442900.0,21.856,22.227,,49.017,-0.304,-0.332,0.028,22.227,23.408,21.046
2023-06-16,22.36,22.72,22.23,22.71,2333000.0,22.056,22.193,,56.806,-0.224,-0.311,0.086,22.193,23.267,21.119
2023-06-20,22.45,22.82,22.44,22.54,1487500.0,22.236,22.143,,53.411,-0.173,-0.283,0.11,22.143,23.026,21.259
2023-06-21,22.66,23.1,22.29,22.66,3605900.0,22.42,22.148,,55.436,-0.121,-0.251,0.129,22.148,23.043,21.253
2023-06-22,22.66,23.01,22.66,22.97,1130700.0,22.63,22.172,,60.242,-0.055,-0.212,0.157,22.172,23.13,21.214
2023-06-23,22.97,23.13,22.72,22.91,2793400.0,22.758,22.173,,58.918,-0.007,-0.171,0.164,22.173,23.136,21.211
2023-06-26,23.0,23.01,22.51,22.62,2507300.0,22.74,22.166,,52.867,0.008,-0.135,0.143,22.166,23.109,21.222
2023-06-27,22.51,22.55,21.79,22.4,2904600.0,22.712,22.148,,48.775,0.002,-0.108,0.109,22.148,23.058,21.238
2023-06-28,22.4,22.51,22.21,22.32,1807900.0,22.644,22.151,,47.34,-0.01,-0.088,0.078,22.151,23.063,21.239
2023-06-29,22.27,22.68,22.24,22.48,1353900.0,22.546,22.19,,50.478,-0.006,-0.072,0.066,22.19,23.088,21.292
2023-06-30,22.53,23.06,22.46,22.85,3936600.0,22.534,22.239,,56.878,0.027,-0.052,0.079,22.239,23.17,21.308
2023-07-03,22.76,23.01,22.32,22.53,7558600.0,22.516,22.26,,50.767,0.027,-0.036,0.063,22.26,23.197,21.324
2023-07-05,22.41,22.71,22.16,22.23,1990700.0,22.482,22.284,,45.8,0.003,-0.028,0.031,22.284,23.191,21.377
2023-07-06,22.1,22.32,21.95,22.16,4856900.0,22.45,22.304,,44.7,-0.022,-0.027,0.005,22.304,23.18,21.427
2023-07-07,22.16,22.19,21.81,21.82,1793700.0,22.318,22.31,,39.715,-0.068,-0.035,-0.033,22.31,23.169,21.451
2023-07-10,21.89,22.08,21.71,21.84,2121200.0,22.116,22.316,,40.138,-0.102,-0.049,-0.054,22.316,23.16,21.472
2023-07-11,22.04,22.1,21.63,21.69,1942600.0,21.948,22.315,,37.986,-0.14,-0.067,-0.073,22.315,23.162,21.468
2023-07-12,21.86,21.95,21.59,21.84,2320900.0,21.87,22.325,,41.371,-0.155,-0.085,-0.071,22.325,23.142,21.508
2023-07-13,21.99,22.06,21.52,21.97,2477900.0,21.832,22.336,,44.214,-0.155,-0.099,-0.057,22.336,23.125,21.548
2023-07-14,22.08,22.15,21.38,21.57,3830200.0,21.782,22.319,,38.094,-0.186,-0.116,-0.07,22.319,23.16,21.478
2023-07-17,21.54,21.68,21.4,21.53,1709200.0,21.72,22.282,22.417,37.534,-0.21,-0.135,-0.075,22.282,23.195,21.369
2023-07-18,21.41,21.65,21.41,21.46,1713500.0,21.674,22.22,22.381,36.523,-0.233,-0.155,-0.078,22.22,23.179,21.26
2023-07-19,21.52,21.66,21.19,21.63,2870800.0,21.632,22.174,22.355,40.701,-0.234,-0.171,-0.064,22.174,23.155,21.193
2023-07-20,20.72,21.29,19.45,21.2,36675600.0,21.478,22.101,22.321,34.513,-0.267,-0.19,-0.077,22.101,23.145,21.057
2023-07-21,21.32,21.52,20.57,20.77,14587900.0,21.318,21.991,22.282,29.658,-0.324,-0.217,-0.107,21.991,23.111,20.871
2023-07-24,20.04,21.12,20.0,20.9,22641600.0,21.192,21.89,22.245,32.739,-0.355,-0.244,-0.11,21.89,23.023,20.758
2023-07-25,21.05,21.73,20.89,21.73,15018100.0,21.246,21.846,22.23,48.306,-0.308,-0.257,-0.051,21.846,22.927,20.765
2023-07-26,21.7,21.82,21.01,21.36,10716400.0,21.192,21.794,22.199,43.475,-0.298,-0.265,-0.033,21.794,22.863,20.725
2023-07-27,21.58,21.63,20.73,20.97,11476200.0,21.146,21.726,22.143,39.043,-0.318,-0.276,-0.042,21.726,22.826,20.627
2023-07-28,20.96,21.13,20.8,21.11,13214600.0,21.214,21.658,22.097,41.355,-0.318,-0.284,-0.034,21.658,22.73,20.586
2023-07-31,20.77,20.83,20.32,20.48,14630700.0,21.13,21.54,22.036,34.936,-0.366,-0.301,-0.065,21.54,22.58,20.499
2023-08-01,20.34,20.56,20.22,20.46,14685500.0,20.876,21.436,21.977,34.751,-0.4,-0.32,-0.079,21.436,22.473,20.399
2023-08-02,20.37,20.69,20.22,20.67,16233200.0,20.738,21.358,21.92,38.426,-0.405,-0.337,-0.068,21.358,22.378,20.338
2023-08-03,20.79,21.14,20.54,20.75,16111000.0,20.694,21.288,21.884,39.817,-0.399,-0.35,-0.049,21.288,22.269,20.306
