Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,48.61,48.96,47.7,48.87,6919800,,,,,0.0,0.0,0.0,,,
2021-07-13,48.42,48.54,47.5,47.57,6646800,,,,,-0.104,-0.021,-0.083,,,
2021-07-14,48.28,48.5,47.57,47.94,8445300,,,,,-0.154,-0.047,-0.107,,,
2021-07-15,47.64,48.39,47.38,47.76,6245400,,,,,-0.206,-0.079,-0.127,,,
2021-07-16,48.08,48.19,45.84,46.04,8234900,47.636,,,,-0.382,-0.14,-0.242,,,
2021-07-19,44.31,45.16,43.69,44.73,15481100,46.808,,,,-0.62,-0.236,-0.384,,,
2021-07-20,45.07,47.58,44.79,47.44,12772800,46.782,,,,-0.583,-0.305,-0.278,,,
2021-07-21,48.05,49.36,48.04,49.01,13951600,46.996,,,,-0.422,-0.329,-0.094,,,
2021-07-22,48.06,48.21,46.89,47.31,14707500,46.906,,,,-0.427,-0.348,-0.079,,,
2021-07-23,47.43,47.97,46.63,46.76,8826500,47.05,,,,-0.47,-0.373,-0.097,,,
2021-07-26,46.47,47.82,46.47,47.76,6376700,47.656,,,,-0.418,-0.382,-0.036,,,
2021-07-27,47.52,47.74,46.8,47.18,4807300,47.604,,,,-0.419,-0.389,-0.03,,,
2021-07-28,47.48,48.07,46.86,47.74,6798800,47.35,,,,-0.371,-0.386,0.015,,,
2021-07-29,48.13,48.33,47.54,47.55,5902100,47.398,,,,-0.344,-0.377,0.034,,,
2021-07-30,47.08,47.74,46.47,46.6,6562200,47.366,,,42.632,-0.394,-0.381,-0.014,,,
2021-08-02,46.67,47.51,45.8,45.88,7399000,46.99,,,39.229,-0.487,-0.402,-0.085,,,
2021-08-03,45.97,46.73,45.3,46.72,6208000,46.898,,,44.768,-0.487,-0.419,-0.068,,,
2021-08-04,45.94,46.29,44.73,45.1,11491500,46.37,,,37.642,-0.61,-0.457,-0.153,,,
2021-08-05,45.29,46.82,45.24,46.53,6904000,46.166,,,45.838,-0.586,-0.483,-0.103,,,
2021-08-06,47.17,47.2,46.17,46.78,5065900,46.202,47.064,,47.145,-0.541,-0.495,-0.046,47.064,49.24,44.887
2021-08-09,46.21,46.24,45.13,45.85,5649800,46.196,46.912,,42.987,-0.573,-0.51,-0.063,46.912,48.977,44.848
2021-08-10,45.93,47.62,45.76,47.14,5503200,46.28,46.891,,49.624,-0.489,-0.506,0.017,46.891,48.936,44.846
2021-08-11,45.99,47.94,45.91,47.82,8714900,46.824,46.885,,52.747,-0.363,-0.477,0.114,46.885,48.917,44.853
2021-08-12,47.43,47.57,46.64,47.03,5739800,46.924,46.848,,48.951,-0.324,-0.447,0.123,46.848,48.841,44.856
2021-08-13,46.95,47.09,46.39,46.5,4979700,46.868,46.872,,46.531,-0.331,-0.424,0.092,46.872,48.835,44.908
2021-08-16,46.12,46.53,45.63,46.22,5784000,46.942,46.946,,45.258,-0.356,-0.41,0.054,46.946,48.665,45.227
2021-08-17,45.52,45.58,44.4,44.95,7226900,46.504,46.822,,39.924,-0.472,-0.422,-0.05,46.822,48.739,44.904
2021-08-18,44.79,45.63,44.58,44.68,6526600,45.876,46.605,,38.875,-0.58,-0.454,-0.126,46.605,48.459,44.751
2021-08-19,44.44,44.62,43.31,43.78,7762100,45.226,46.428,,35.524,-0.729,-0.509,-0.22,46.428,48.638,44.219
