Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,39.43,40.46,39.16,40.25,6256900,,,,,0.0,0.0,0.0,,,
2021-09-14,36.88,37.36,34.65,36.32,51816100,,,,,-0.314,-0.063,-0.251,,,
2021-09-15,34.3,35.92,33.92,35.71,30369500,,,,,-0.604,-0.171,-0.433,,,
2021-09-16,34.8,35.46,34.2,35.21,22184400,,,,,-0.865,-0.31,-0.555,,,
2021-09-17,35.13,35.91,35.13,35.82,17752000,36.662,,,,-1.011,-0.45,-0.561,,,
2021-09-20,34.63,35.9,34.45,35.37,14699600,35.686,,,,-1.149,-0.59,-0.559,,,
2021-09-21,35.58,35.98,33.4,33.4,15596600,35.102,,,,-1.402,-0.752,-0.65,,,
2021-09-22,33.66,34.61,33.65,33.89,12403500,34.738,,,,-1.545,-0.911,-0.634,,,
2021-09-23,34.33,35.41,34.08,34.98,10392400,34.692,,,,-1.552,-1.039,-0.513,,,
2021-09-24,35.0,35.79,34.34,34.63,12205200,34.454,,,,-1.568,-1.145,-0.423,,,
2021-09-27,34.63,36.2,34.59,35.56,10832700,34.492,,,,-1.489,-1.214,-0.275,,,
2021-09-28,35.56,36.15,34.92,35.0,6471100,34.812,,,,-1.454,-1.262,-0.192,,,
2021-09-29,35.1,35.26,34.15,34.16,8328200,34.866,,,,-1.478,-1.305,-0.173,,,
2021-09-30,34.25,34.78,33.99,34.34,6679100,34.738,,,,-1.465,-1.337,-0.128,,,
2021-10-01,34.98,36.04,34.79,35.83,8119000,34.978,,,43.545,-1.319,-1.333,0.014,,,
2021-10-04,35.74,35.99,34.45,34.64,7120900,34.794,,,37.743,-1.285,-1.324,0.039,,,
2021-10-05,34.81,35.66,34.44,35.16,7631400,34.826,,,41.416,-1.202,-1.299,0.097,,,
2021-10-06,34.82,35.12,34.27,34.49,11977600,34.892,,,38.282,-1.177,-1.275,0.098,,,
2021-10-07,34.85,35.37,34.4,34.83,12755800,34.99,,,40.733,-1.116,-1.243,0.127,,,
2021-10-08,35.0,35.96,34.77,35.87,8133200,34.998,35.273,,47.59,-0.973,-1.189,0.216,35.273,38.043,32.503
2021-10-11,35.87,37.53,35.85,36.68,10367900,35.406,35.094,,52.226,-0.786,-1.108,0.323,35.094,36.75,33.439
2021-10-12,36.86,38.08,36.68,37.75,10446700,35.924,35.166,,57.566,-0.544,-0.996,0.451,35.166,37.138,33.194
2021-10-13,37.58,37.68,36.89,37.58,5514600,36.542,35.26,,56.486,-0.363,-0.869,0.506,35.26,37.499,33.02
2021-10-14,38.07,38.36,37.5,37.88,5941500,37.152,35.393,,57.984,-0.192,-0.734,0.541,35.393,37.92,32.866
2021-10-15,38.15,38.49,37.56,37.63,5368000,37.504,35.484,,56.246,-0.076,-0.602,0.526,35.484,38.198,32.769
2021-10-18,37.64,38.08,37.13,37.57,5244300,37.682,35.594,,55.814,0.011,-0.48,0.49,35.594,38.462,32.725
2021-10-19,37.73,37.86,37.26,37.82,5414800,37.696,35.814,,57.287,0.098,-0.364,0.462,35.814,38.652,32.977
2021-10-20,38.05,38.38,36.83,37.08,10680700,37.596,35.974,,51.782,0.107,-0.27,0.377,35.974,38.713,33.235
2021-10-21,36.33,37.05,35.98,36.38,13877400,37.296,36.044,,47.166,0.057,-0.204,0.261,36.044,38.748,33.34
2021-10-22,36.27,36.4,35.48,35.66,6509900,36.902,36.096,,42.926,-0.041,-0.172,0.131,36.096,38.724,33.467
2021-10-25,35.93,36.22,35.39,35.65,7050700,36.518,36.1,,42.868,-0.117,-0.161,0.043,36.1,38.725,33.475
