Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,67.45,68.05,66.8,67.16,2450800,,,,,0.0,0.0,0.0,,,
2021-09-08,68.22,68.22,65.36,65.6,3440100,,,,,-0.124,-0.025,-0.1,,,
2021-09-09,64.96,66.4,64.74,65.0,3911800,,,,,-0.268,-0.074,-0.195,,,
2021-09-10,65.55,66.4,65.14,65.9,2781300,,,,,-0.306,-0.12,-0.186,,,
2021-09-13,66.78,67.27,66.09,67.0,1978700,66.132,,,,-0.245,-0.145,-0.1,,,
2021-09-14,67.98,67.98,66.36,66.58,2879700,66.016,,,,-0.227,-0.162,-0.066,,,
2021-09-15,66.86,67.32,66.28,67.27,2853000,66.35,,,,-0.156,-0.16,0.004,,,
2021-09-16,66.98,67.27,66.17,66.61,1813700,66.672,,,,-0.151,-0.159,0.008,,,
2021-09-17,66.0,66.37,65.0,65.39,4605500,66.57,,,,-0.243,-0.175,-0.067,,,
2021-09-20,63.53,64.44,62.6,63.81,2647200,65.932,,,,-0.438,-0.228,-0.21,,,
2021-09-21,64.43,64.72,63.24,63.8,1815100,65.376,,,,-0.586,-0.3,-0.287,,,
2021-09-22,64.55,65.55,64.55,64.74,1547500,64.87,,,,-0.621,-0.364,-0.257,,,
2021-09-23,65.27,67.09,65.02,66.24,2325800,64.796,,,,-0.522,-0.395,-0.126,,,
2021-09-24,66.02,66.57,65.32,66.07,1208900,64.932,,,,-0.451,-0.407,-0.045,,,
2021-09-27,66.59,68.8,66.58,68.18,1741100,65.806,,,61.016,-0.223,-0.37,0.147,,,
2021-09-28,68.74,69.87,68.2,68.38,2049700,66.722,,,61.932,-0.025,-0.301,0.276,,,
2021-09-29,68.39,69.1,67.78,68.03,1759100,67.38,,,59.305,0.102,-0.22,0.322,,,
2021-09-30,68.45,68.69,66.56,66.6,2129200,67.452,,,49.978,0.086,-0.159,0.245,,,
2021-10-01,66.57,68.42,66.52,68.0,1449300,67.838,,,57.093,0.185,-0.09,0.275,,,
2021-10-04,68.5,68.91,66.76,67.18,1861600,67.638,66.377,,52.392,0.194,-0.033,0.228,66.377,69.089,63.665
2021-10-05,67.77,69.25,67.31,68.64,1815300,67.69,66.451,,58.883,0.316,0.037,0.28,66.451,69.329,63.573
2021-10-06,67.37,68.1,66.47,67.96,2246400,67.676,66.569,,55.114,0.354,0.1,0.254,66.569,69.493,63.645
2021-10-07,69.03,70.65,68.83,69.52,2031400,68.26,66.795,,61.243,0.504,0.181,0.323,66.795,69.902,63.688
2021-10-08,69.58,70.23,68.92,69.51,1410600,68.562,66.976,,61.186,0.614,0.267,0.347,66.976,70.277,63.674
2021-10-11,70.36,70.74,68.91,69.13,1339100,68.952,67.082,,58.915,0.664,0.347,0.317,67.082,70.521,63.643
2021-10-12,69.19,69.46,68.35,68.73,1323700,68.97,67.19,,56.537,0.663,0.41,0.253,67.19,70.696,63.683
2021-10-13,69.14,69.14,67.1,68.32,1342100,69.042,67.242,,54.125,0.623,0.453,0.17,67.242,70.785,63.699
2021-10-14,69.01,70.09,68.5,69.78,1552300,69.094,67.4,,60.575,0.7,0.502,0.198,67.4,71.104,63.697
2021-10-15,70.5,71.16,69.94,70.32,1450600,69.256,67.647,,62.665,0.796,0.561,0.235,67.647,71.443,63.851
2021-10-18,69.24,70.32,68.98,69.84,1099500,69.398,67.948,,59.638,0.823,0.613,0.21,67.948,71.403,64.494
2021-10-19,70.32,70.32,69.6,69.98,1177500,69.648,68.258,,60.241,0.847,0.66,0.187,68.258,71.221,65.294
2021-10-20,70.1,71.02,69.65,70.58,1347600,70.1,68.55,,62.807,0.903,0.709,0.195,68.55,71.186,65.913
2021-10-21,70.16,70.45,67.79,68.52,2062800,69.848,68.664,,50.707,0.773,0.722,0.052,68.664,71.066,66.261
2021-10-22,69.0,69.79,68.72,69.11,1384700,69.606,68.816,,53.472,0.709,0.719,-0.01,68.816,70.89,66.741
2021-10-25,69.75,70.19,69.13,69.27,1264300,69.492,68.87,,54.222,0.664,0.708,-0.044,68.87,70.931,66.809
2021-10-26,69.59,70.05,68.71,69.29,1814200,69.354,68.916,,54.321,0.623,0.691,-0.068,68.916,70.971,66.86
2021-10-27,69.09,69.09,67.0,67.02,2193500,68.642,68.865,,42.954,0.402,0.633,-0.231,68.865,71.058,66.672
2021-10-28,67.26,68.56,67.26,68.37,1694300,68.612,68.954,,49.696,0.332,0.573,-0.241,68.954,70.889,67.018
2021-10-29,65.95,67.73,65.0,65.87,4332700,67.964,68.847,,40.217,0.074,0.473,-0.399,68.847,71.194,66.5
2021-11-01,65.86,67.2,65.86,66.9,1796800,67.49,68.833,,44.882,-0.047,0.369,-0.416,68.833,71.225,66.441
2021-11-02,65.9,67.16,65.9,66.97,2014600,67.026,68.75,,45.195,-0.135,0.268,-0.403,68.75,71.282,66.217
2021-11-03,65.85,67.18,65.8,66.4,3034700,66.902,68.672,,43.051,-0.248,0.165,-0.413,68.672,71.395,65.948
