Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,364.07,365.11,361.24,364.61,2648300,,,,,0.0,0.0,0.0,,,
2021-07-13,364.6,375.37,364.6,372.53,5161000,,,,,0.632,0.126,0.505,,,
2021-07-14,371.82,380.22,371.82,379.41,4140500,,,,,1.668,0.435,1.234,,,
2021-07-15,378.77,381.84,376.16,378.86,3773000,,,,,2.418,0.831,1.586,,,
2021-07-16,381.69,381.99,374.1,375.84,2706500,374.25,,,,2.736,1.212,1.524,,,
2021-07-19,366.98,367.57,352.78,354.8,6814400,372.288,,,,1.276,1.225,0.051,,,
2021-07-20,356.3,365.62,354.62,363.48,3542200,370.478,,,,0.81,1.142,-0.332,,,
2021-07-21,365.07,369.8,364.12,368.98,2393100,368.392,,,,0.875,1.089,-0.214,,,
2021-07-22,369.22,371.7,366.06,371.02,4180300,366.824,,,,1.078,1.087,-0.009,,,
2021-07-23,373.87,383.0,373.87,381.8,3720300,368.016,,,,2.085,1.286,0.799,,,
2021-07-26,380.26,381.44,376.95,381.35,2285800,373.326,,,,2.814,1.592,1.222,,,
2021-07-27,378.63,383.76,374.64,378.9,2783800,376.41,,,,3.158,1.905,1.253,,,
2021-07-28,380.21,380.31,371.19,372.26,3372600,377.066,,,,2.862,2.096,0.765,,,
2021-07-29,376.21,383.24,376.21,377.48,3774000,378.358,,,,3.013,2.28,0.734,,,
2021-07-30,377.66,377.66,371.92,374.69,2533300,376.936,,,54.158,2.875,2.399,0.476,,,
2021-08-02,377.95,378.61,362.91,364.32,3430300,373.53,,,44.399,1.907,2.3,-0.393,,,
2021-08-03,365.68,365.69,349.09,356.89,6328500,369.128,,,38.98,0.534,1.947,-1.413,,,
2021-08-04,356.58,358.5,352.84,357.28,3203200,366.132,,,39.398,-0.517,1.454,-1.971,,,
2021-08-05,357.47,361.12,356.3,361.1,2562400,362.856,,,43.483,-1.029,0.958,-1.987,,,
2021-08-06,360.6,364.56,360.19,363.61,2038500,360.64,369.96,,46.056,-1.219,0.522,-1.741,369.96,387.302,352.619
2021-08-09,363.28,363.59,358.14,359.88,2400800,359.752,369.724,,42.928,-1.651,0.088,-1.739,369.724,387.497,351.951
2021-08-10,361.44,361.89,353.5,357.12,3225000,359.798,368.953,,40.724,-2.191,-0.368,-1.823,368.953,387.532,350.375
2021-08-11,357.81,359.18,353.15,353.62,3267700,359.066,367.664,,38.056,-2.868,-0.868,-2.0,367.664,386.759,348.569
2021-08-12,352.0,352.63,347.42,351.43,3802900,357.132,366.292,,36.447,-3.541,-1.403,-2.138,366.292,385.934,346.651
2021-08-13,351.7,352.91,350.12,352.18,2304600,354.846,365.11,,37.423,-3.968,-1.916,-2.052,365.11,385.176,345.043
2021-08-16,349.99,353.21,346.23,352.96,2937300,353.462,365.018,,38.481,-4.195,-2.372,-1.823,365.018,385.298,344.737
2021-08-17,351.45,353.84,349.3,352.64,2812800,352.566,364.476,,38.196,-4.35,-2.767,-1.583,364.476,385.495,343.456
2021-08-18,350.65,355.02,350.08,350.43,2774500,351.928,363.548,,36.199,-4.599,-3.134,-1.465,363.548,385.353,341.743
2021-08-19,346.5,349.64,344.38,346.9,2727900,351.022,362.342,,33.214,-5.023,-3.512,-1.511,362.342,385.056,339.628
2021-08-20,346.95,347.88,343.03,344.64,4135900,349.514,360.484,,31.426,-5.478,-3.905,-1.573,360.484,382.567,338.401
2021-08-23,347.05,351.68,346.35,350.49,3537900,349.02,358.941,,40.371,-5.306,-4.185,-1.121,358.941,379.116,338.766
2021-08-24,352.45,355.43,350.94,351.24,3032000,348.74,357.558,,41.426,-5.05,-4.358,-0.692,357.558,375.657,339.459
2021-08-25,351.41,351.84,348.05,348.63,2340400,348.38,356.376,,38.85,-5.001,-4.487,-0.514,356.376,373.493,339.26
2021-08-26,347.57,347.76,341.55,342.58,3946300,347.516,354.632,,33.63,-5.388,-4.667,-0.721,354.632,369.68,339.583
2021-08-27,342.19,346.11,341.4,345.36,3698300,347.66,353.165,,37.768,-5.408,-4.815,-0.593,353.165,365.445,340.885
2021-08-30,344.46,347.61,341.98,342.76,4032100,346.114,352.087,,35.536,-5.569,-4.966,-0.603,352.087,364.025,340.149
2021-08-31,342.65,344.87,334.63,336.14,6780400,343.094,351.049,,30.582,-6.16,-5.205,-0.955,351.049,364.712,337.387
2021-09-01,337.26,341.79,337.18,339.38,4499600,341.244,350.154,,35.334,-6.295,-5.423,-0.872,350.154,364.43,335.879
2021-09-02,340.29,340.32,329.44,331.33,7412000,338.994,348.666,,29.864,-6.97,-5.732,-1.238,348.666,364.281,333.051
2021-09-03,330.02,334.11,329.05,330.31,5171000,335.984,347.001,,29.246,-7.502,-6.086,-1.416,347.001,363.004,330.998
2021-09-07,334.84,337.86,333.02,334.66,4764300,334.364,345.74,,35.385,-7.486,-6.366,-1.12,345.74,361.441,330.039
2021-09-08,334.95,341.74,334.95,340.81,5054500,335.298,344.924,,42.925,-6.897,-6.472,-0.425,344.924,359.81,330.039
2021-09-09,340.49,343.33,339.72,341.17,3716200,335.656,344.302,,43.342,-6.329,-6.443,0.115,344.302,358.69,329.914
2021-09-10,344.59,344.65,336.91,337.27,3437700,336.844,343.594,,39.939,-6.122,-6.379,0.257,343.594,357.898,329.29
2021-09-13,339.8,341.73,336.27,337.68,3234200,338.318,342.869,,40.468,-5.858,-6.275,0.417,342.869,356.806,328.932
2021-09-14,339.49,339.68,335.19,335.72,3281900,338.53,342.007,,38.713,-5.741,-6.168,0.427,342.007,355.439,328.575
2021-09-15,336.89,337.4,332.77,334.7,3833500,337.308,341.11,,37.794,-5.665,-6.067,0.403,341.11,353.935,328.285
2021-09-16,335.34,337.55,334.64,336.22,3771100,336.318,340.4,,40.077,-5.419,-5.938,0.519,340.4,352.61,328.189
2021-09-17,333.97,335.92,330.84,333.04,5527500,335.472,339.706,,37.016,-5.419,-5.834,0.415,339.706,351.937,327.476
2021-09-20,328.46,331.17,325.84,329.79,3956600,333.894,338.964,354.006,34.146,-5.616,-5.79,0.174,338.964,351.725,326.203
2021-09-21,332.23,333.18,327.45,327.55,2967300,332.26,337.817,353.265,32.288,-5.885,-5.809,-0.076,337.817,350.337,325.297
2021-09-22,329.41,333.85,328.67,333.4,3238800,332.0,336.925,352.482,41.276,-5.563,-5.76,0.197,336.925,347.861,325.989
2021-09-23,335.66,344.45,335.14,343.75,4783200,333.506,336.681,351.769,53.129,-4.421,-5.492,1.072,336.681,346.696,326.666
2021-09-24,343.71,349.44,342.48,347.72,3306200,336.442,336.938,351.146,56.737,-3.159,-5.026,1.867,336.938,347.817,326.059
2021-09-27,346.64,352.02,344.81,346.37,4158000,339.758,336.988,350.557,55.182,-2.242,-4.469,2.227,336.988,348.04,325.937
2021-09-28,345.14,345.62,338.88,340.95,3266900,342.438,336.898,350.28,49.334,-1.931,-3.961,2.031,336.898,347.779,326.017
2021-09-29,342.53,346.77,342.14,342.9,2808800,344.338,337.236,349.868,51.332,-1.509,-3.471,1.962,337.236,348.433,326.039
2021-09-30,344.4,345.62,337.28,337.55,4393300,343.098,337.144,349.239,45.975,-1.588,-3.094,1.506,337.144,348.298,325.991
2021-10-01,339.63,352.6,337.04,349.68,5227300,343.49,338.062,348.813,56.946,-0.665,-2.608,1.944,338.062,350.179,325.945
2021-10-04,349.44,350.14,329.45,334.17,7901500,341.05,338.255,347.86,44.502,-1.171,-2.321,1.15,338.255,349.968,326.542
2021-10-05,337.43,338.41,332.94,333.21,4724100,339.502,338.182,346.897,43.863,-1.63,-2.183,0.552,338.182,350.007,326.358
2021-10-06,330.1,338.71,329.23,338.53,3712000,338.628,338.068,346.09,48.293,-1.547,-2.056,0.508,338.068,349.83,326.307
2021-10-07,339.26,347.91,339.26,344.03,3209200,339.924,338.212,345.525,52.47,-1.026,-1.85,0.824,338.212,350.199,326.224
2021-10-08,346.06,350.31,344.32,345.05,2336700,338.998,338.6,344.877,53.224,-0.525,-1.585,1.06,338.6,350.958,326.243
2021-10-11,344.07,344.97,337.22,337.46,2769800,339.656,338.59,344.132,47.217,-0.731,-1.414,0.683,338.59,350.951,326.228
2021-10-12,338.92,340.23,335.0,335.7,3042900,340.154,338.588,343.56,45.923,-1.025,-1.336,0.311,338.588,350.951,326.226
2021-10-13,336.58,339.74,327.57,332.79,3755700,339.006,338.493,343.078,43.786,-1.476,-1.364,-0.112,338.493,351.011,325.975
2021-10-14,334.24,336.16,331.31,334.96,4083800,337.192,338.43,342.631,45.811,-1.639,-1.419,-0.22,338.43,351.008,325.852
2021-10-15,339.26,346.65,338.03,346.06,4053600,337.394,339.081,342.33,54.784,-0.863,-1.308,0.445,339.081,351.831,326.331
2021-10-18,344.08,349.89,340.45,348.43,3280900,339.588,340.013,342.027,56.443,-0.056,-1.058,1.002,340.013,352.628,327.398
2021-10-19,348.39,352.18,347.63,351.99,2835400,342.846,341.235,341.869,58.883,0.861,-0.674,1.535,341.235,353.497,328.973
2021-10-20,351.6,352.37,346.06,346.81,2796200,345.65,341.906,341.663,54.132,1.156,-0.308,1.464,341.906,353.825,329.986
2021-10-21,344.7,346.43,337.58,346.27,2516300,347.912,342.032,341.516,53.646,1.332,0.02,1.312,342.032,354.086,329.977
2021-10-22,346.72,351.54,344.99,348.66,2774400,348.432,342.078,341.46,55.548,1.644,0.345,1.299,342.078,354.233,329.924
2021-10-25,352.34,354.13,348.77,350.79,2447900,348.904,342.299,341.433,57.232,2.04,0.684,1.356,342.299,354.934,329.665
2021-10-26,353.24,357.09,346.85,347.34,3320100,347.974,342.619,341.32,53.684,2.052,0.958,1.095,342.619,355.432,329.806
2021-10-27,338.28,341.32,324.48,326.35,9652700,343.882,341.792,340.794,38.177,0.364,0.839,-0.475,341.792,356.522,327.061
2021-10-28,334.56,340.71,319.69,323.73,9505100,339.374,341.1,340.26,36.75,-1.172,0.437,-1.609,341.1,357.83,324.371
2021-10-29,321.99,328.71,321.87,326.15,5843700,334.872,339.924,339.845,39.017,-2.169,-0.084,-2.085,339.924,357.405,322.443
2021-11-01,325.89,331.38,323.59,324.72,5126200,329.658,339.452,339.447,38.147,-3.04,-0.675,-2.364,339.452,358.062,320.841
2021-11-02,325.77,326.4,317.58,319.31,5375300,324.052,338.756,338.823,34.97,-4.119,-1.364,-2.754,338.756,359.288,318.225
2021-11-03,319.33,320.38,314.31,320.23,3952500,322.828,337.842,338.203,35.947,-4.844,-2.06,-2.784,337.842,359.983,315.7
2021-11-04,321.83,329.18,320.14,326.07,4819500,323.296,336.944,337.752,41.913,-4.89,-2.626,-2.264,336.944,359.482,314.405
2021-11-05,332.88,340.38,331.48,339.05,7201500,325.876,336.644,337.681,52.503,-3.836,-2.868,-0.968,336.644,358.885,314.402
2021-11-08,338.29,343.29,337.95,339.91,3862200,328.914,336.766,337.572,53.113,-2.898,-2.874,-0.024,336.766,359.053,314.479
2021-11-09,340.23,340.42,330.17,335.03,4247800,332.058,336.732,337.418,49.248,-2.519,-2.803,0.284,336.732,359.029,314.436
2021-11-10,340.33,349.58,339.74,347.95,6337100,337.602,337.49,337.654,57.968,-1.162,-2.475,1.312,337.49,360.248,314.733
2021-11-11,348.37,349.6,342.73,344.45,4472200,341.278,337.965,337.755,55.201,-0.366,-2.053,1.687,337.965,360.896,315.034
2021-11-12,346.12,353.68,345.99,353.35,4724200,344.138,338.33,338.196,60.38,0.972,-1.448,2.42,338.33,362.021,314.638
2021-11-15,354.95,360.77,350.59,351.27,4693200,346.41,338.472,338.615,58.673,1.844,-0.79,2.634,338.472,362.45,314.493
2021-11-16,354.59,360.71,351.89,359.24,4969000,351.252,338.834,339.107,62.991,3.142,-0.003,3.145,338.834,363.869,313.799
2021-11-17,349.54,357.73,341.41,349.14,11727300,351.49,338.95,339.273,55.13,3.317,0.661,2.656,338.95,364.163,313.738
2021-11-18,350.66,352.36,334.96,338.5,6533700,350.3,338.562,339.22,48.293,2.567,1.042,1.525,338.562,363.538,313.586
2021-11-19,336.34,336.97,329.66,330.24,6954800,345.678,337.641,339.079,43.756,1.292,1.092,0.2,337.641,362.407,312.875
2021-11-22,330.31,331.95,310.83,312.33,11378200,337.89,335.718,338.572,35.885,-1.151,0.643,-1.794,335.718,362.105,309.331
2021-11-23,315.89,320.49,312.71,319.82,7116200,330.006,334.342,338.254,40.69,-2.454,0.024,-2.478,334.342,361.045,307.639
2021-11-24,317.82,330.86,315.95,330.51,6414400,326.28,334.55,338.17,46.817,-2.594,-0.5,-2.094,334.55,361.055,308.045
2021-11-26,312.6,317.74,310.09,315.12,6613900,321.604,334.12,337.748,40.354,-3.902,-1.18,-2.722,334.12,361.625,306.614
2021-11-29,320.8,322.56,309.37,313.99,6362200,318.354,333.511,337.367,39.918,-4.972,-1.939,-3.034,333.511,362.268,304.755
2021-11-30,309.12,311.81,301.45,306.13,10237600,317.114,332.582,336.894,36.931,-6.381,-2.827,-3.554,332.582,363.644,301.52
2021-12-01,311.82,313.03,297.46,297.73,8008800,312.696,331.503,336.298,34.002,-8.083,-3.878,-4.205,331.503,365.834,297.172
2021-12-02,300.95,313.2,300.36,311.26,6717600,308.846,331.054,335.855,41.983,-8.244,-4.751,-3.493,331.054,366.229,295.88
2021-12-03,311.3,313.68,305.23,313.12,4732900,308.446,330.407,335.242,43.003,-8.128,-5.427,-2.702,330.407,366.435,294.379
2021-12-06,315.68,327.36,313.01,324.02,6055000,310.452,329.655,334.768,48.697,-7.076,-5.757,-1.319,329.655,365.551,293.76
2021-12-07,327.88,332.86,327.88,330.03,4939500,315.232,329.162,334.442,51.57,-5.691,-5.743,0.053,329.162,364.733,293.59
2021-12-08,329.76,334.43,324.77,332.78,4226900,322.242,329.049,334.278,52.87,-4.321,-5.459,1.138,329.049,364.557,293.541
2021-12-09,330.56,336.86,329.55,334.9,3389600,326.97,328.396,334.118,53.898,-3.03,-4.973,1.943,328.396,362.907,293.886
2021-12-10,337.31,340.47,335.2,340.15,3405900,332.376,328.182,334.17,56.432,-1.565,-4.292,2.726,328.182,362.323,294.04
2021-12-13,339.44,339.77,330.83,335.67,4358300,334.706,327.298,333.89,53.719,-0.757,-3.585,2.828,327.298,359.559,295.036
2021-12-14,335.68,338.49,328.43,331.04,4518500,334.908,326.286,333.827,50.99,-0.484,-2.965,2.48,326.286,356.592,295.98
2021-12-15,330.51,336.91,326.16,336.68,4918700,335.688,325.158,333.897,54.052,0.184,-2.335,2.519,325.158,351.751,298.565
2021-12-16,341.88,343.89,335.49,343.07,5369900,337.322,324.855,333.988,57.306,1.216,-1.625,2.841,324.855,350.414,299.295
2021-12-17,339.44,342.94,334.51,339.56,5898200,337.204,324.908,333.898,55.002,1.731,-0.954,2.684,324.908,350.59,299.225
2021-12-20,331.71,333.94,326.84,327.61,5013900,335.592,324.776,333.549,47.934,1.161,-0.531,1.691,324.776,350.37,299.182
2021-12-21,330.83,342.17,329.9,340.95,3105100,337.574,326.207,333.619,54.901,1.765,-0.072,1.837,326.207,352.07,300.344
2021-12-22,336.9,348.61,336.9,347.5,3456400,339.738,327.591,333.855,57.881,2.741,0.491,2.25,327.591,354.935,300.247
2021-12-23,347.56,352.35,345.09,350.51,2627000,341.226,328.591,334.21,59.215,3.715,1.136,2.579,328.591,357.785,299.397
2021-12-27,349.95,351.0,345.67,350.25,2677100,343.364,330.347,334.515,59.041,4.414,1.791,2.623,330.347,360.345,300.35
2021-12-28,348.77,353.97,348.4,350.71,1920100,347.984,332.184,334.608,59.269,4.949,2.423,2.526,332.184,362.459,301.908
2021-12-29,351.68,353.01,350.13,351.2,1535200,350.034,334.437,334.664,59.527,5.35,3.008,2.342,334.437,363.22,305.654
2021-12-30,351.89,354.47,349.08,350.91,1558000,350.716,337.096,334.642,59.287,5.581,3.523,2.058,337.096,361.016,313.176
2021-12-31,347.96,353.24,346.82,349.29,1984000,350.472,338.998,334.692,57.885,5.568,3.932,1.636,338.998,360.157,317.838
2022-01-03,349.75,361.93,349.22,360.59,4708200,352.54,341.371,334.978,64.238,6.397,4.425,1.972,341.371,360.895,321.847
2022-01-04,361.6,371.72,361.27,364.91,6854500,355.38,343.415,335.303,66.33,7.318,5.003,2.314,343.415,363.832,322.999
2022-01-05,363.56,371.82,362.11,363.46,5976600,357.832,345.087,335.557,64.957,7.84,5.571,2.269,345.087,366.346,323.828
2022-01-06,358.87,364.25,356.74,360.14,4781100,359.678,346.455,335.813,61.802,7.895,6.036,1.859,346.455,367.9,325.01
2022-01-07,356.63,361.88,354.41,359.8,4551200,361.78,347.7,336.482,61.473,7.821,6.393,1.428,347.7,369.212,326.188
2022-01-10,361.03,361.03,339.48,354.21,6009300,360.504,348.403,337.091,56.174,7.228,6.56,0.668,348.403,369.794,327.012
2022-01-11,353.84,358.25,346.6,356.53,4131200,358.828,349.446,337.699,57.8,6.866,6.621,0.245,349.446,370.249,328.643
2022-01-12,359.11,362.21,357.29,357.52,5783100,357.64,350.77,338.355,58.507,6.583,6.613,-0.03,350.77,369.948,331.592
2022-01-13,358.79,367.62,358.08,359.68,3892900,357.548,351.92,339.162,60.08,6.459,6.582,-0.124,351.92,370.282,333.558
2022-01-14,354.61,364.8,354.45,362.23,4029900,358.034,352.878,340.002,61.914,6.491,6.564,-0.073,352.878,371.295,334.461
2022-01-18,360.91,362.23,355.47,356.54,4933900,358.5,353.727,340.612,55.756,5.989,6.449,-0.46,353.727,371.094,336.36
2022-01-19,352.75,359.46,350.13,351.12,4464800,357.418,354.903,340.853,50.594,5.094,6.178,-1.084,354.903,367.297,342.508
2022-01-20,352.19,363.13,352.03,354.3,5043200,356.774,355.57,341.141,53.325,4.589,5.86,-1.271,355.57,366.099,345.041
2022-01-21,352.84,358.32,344.68,345.62,4867100,353.962,355.476,341.353,45.873,3.449,5.378,-1.929,355.476,366.336,344.616
2022-01-24,333.44,340.77,321.78,340.11,7472800,349.538,354.956,341.196,41.872,2.077,4.718,-2.641,354.956,367.657,342.255
2022-01-25,334.17,337.79,324.51,329.73,6994400,344.176,353.93,340.901,35.578,0.15,3.804,-3.654,353.93,370.847,337.013
2022-01-26,334.21,345.32,332.16,335.48,7438600,341.048,353.168,340.544,40.88,-0.903,2.863,-3.766,353.168,371.963,334.374
2022-01-27,339.78,350.05,325.42,341.19,8416100,338.426,352.668,340.342,45.662,-1.262,2.038,-3.3,352.668,372.202,333.134
2022-01-28,349.48,372.57,345.91,372.32,8813400,343.766,353.739,340.604,63.159,0.955,1.821,-0.867,353.739,375.126,332.351
2022-01-31,368.59,376.25,366.26,376.09,6345200,350.962,355.078,341.143,64.644,2.981,2.053,0.928,355.078,378.549,331.608
2022-02-01,375.48,384.96,372.23,381.61,5841100,361.338,356.13,342.005,66.756,4.975,2.638,2.337,356.13,382.359,329.9
2022-02-02,378.92,389.27,372.55,386.18,6115000,371.478,357.193,343.124,68.438,6.845,3.479,3.366,357.193,386.47,327.916
2022-02-03,378.19,382.47,376.19,379.68,4209200,379.176,358.004,344.471,63.517,7.714,4.326,3.388,358.004,388.867,327.141
2022-02-04,377.24,377.81,366.38,372.02,6045400,379.116,358.598,345.515,58.205,7.695,5.0,2.696,358.598,390.085,327.111
2022-02-07,372.02,372.21,363.36,366.11,4767500,377.12,358.914,346.227,54.424,7.122,5.424,1.698,358.914,390.577,327.25
2022-02-08,367.48,369.65,360.67,364.4,5825300,373.678,359.423,347.213,53.344,6.455,5.63,0.825,359.423,391.096,327.75
2022-02-09,375.33,378.1,370.46,371.21,5492800,370.684,360.157,348.357,57.003,6.402,5.785,0.617,360.157,392.226,328.088
2022-02-10,361.82,369.88,360.69,364.42,3995000,367.632,360.502,349.523,52.576,5.746,5.777,-0.031,360.502,392.6,328.404
2022-02-11,367.79,370.75,357.85,359.92,4345600,365.212,360.514,350.767,49.814,4.808,5.583,-0.775,360.514,392.611,328.417
2022-02-14,358.99,367.24,356.99,364.19,3678400,364.828,360.612,351.825,52.371,4.358,5.338,-0.98,360.612,392.743,328.481
2022-02-15,364.6,372.86,363.45,371.38,5800400,366.224,361.354,352.99,56.398,4.53,5.177,-0.646,361.354,393.773,328.935
2022-02-16,369.84,374.74,366.74,372.73,3424800,366.528,362.434,353.965,57.131,4.721,5.085,-0.365,362.434,394.858,330.011
2022-02-17,368.51,371.13,362.25,363.74,3972500,366.392,362.906,354.639,50.984,4.099,4.888,-0.789,362.906,395.105,330.708
2022-02-18,364.53,364.82,359.17,360.09,4083800,366.426,363.63,355.185,48.694,3.274,4.565,-1.291,363.63,394.828,332.432
2022-02-22,355.28,364.35,354.11,358.48,3897900,365.284,364.548,355.657,47.676,2.462,4.145,-1.682,364.548,393.855,335.242
2022-02-23,362.06,363.61,350.54,351.61,3802500,361.33,365.642,355.886,43.499,1.25,3.566,-2.316,365.642,390.819,340.466
2022-02-24,336.72,360.67,332.22,359.54,7425000,358.692,366.846,356.363,49.048,0.919,3.036,-2.118,366.846,387.919,345.772
2022-02-25,357.44,362.66,352.06,359.26,3817900,357.796,367.749,356.928,48.866,0.626,2.554,-1.928,367.749,385.474,350.024
2022-02-28,352.54,355.63,346.18,351.21,4952400,356.02,366.694,357.218,43.818,-0.252,1.993,-2.245,366.694,385.738,347.649
2022-03-01,348.32,351.95,332.13,335.3,5894200,351.384,364.654,357.063,35.921,-2.207,1.153,-3.36,364.654,387.764,341.544
2022-03-02,333.82,339.04,329.67,334.92,4997900,348.046,362.32,356.97,35.755,-3.743,0.174,-3.917,362.32,387.553,337.086
2022-03-03,338.37,340.19,331.62,331.91,3975900,342.52,359.606,357.056,34.401,-5.145,-0.89,-4.255,359.606,385.693,333.519
2022-03-04,327.92,329.8,315.37,321.95,4670900,335.058,356.72,356.676,30.31,-6.978,-2.108,-4.871,356.72,386.031,327.408
2022-03-07,320.8,321.01,303.79,304.58,6874300,325.732,353.347,355.818,24.777,-9.721,-3.63,-6.091,353.347,389.876,316.819
2022-03-08,303.09,316.08,297.47,305.96,5048200,319.864,350.34,354.927,25.934,-11.649,-5.234,-6.415,350.34,391.99,308.69
2022-03-09,314.54,320.67,312.55,319.39,4015900,316.758,348.09,354.309,36.215,-11.956,-6.579,-5.377,348.09,391.372,304.807
2022-03-10,313.36,317.43,311.23,315.94,3771300,313.564,345.326,353.614,34.875,-12.335,-7.73,-4.605,345.326,389.443,301.209
2022-03-11,321.24,322.15,315.4,316.14,2987700,312.402,342.912,352.913,35.025,-12.475,-8.679,-3.797,342.912,387.905,297.919
2022-03-14,320.33,327.9,318.54,319.84,4122700,315.454,340.908,352.291,37.876,-12.148,-9.373,-2.775,340.908,386.28,295.536
2022-03-15,323.56,329.36,322.39,326.07,3738900,319.476,339.002,351.827,42.455,-11.256,-9.749,-1.507,339.002,383.449,294.555
2022-03-16,332.88,341.59,327.71,335.5,4340800,322.698,337.208,351.325,48.627,-9.677,-9.735,0.058,337.208,378.968,295.448
2022-03-17,332.5,337.64,330.7,337.21,3244200,326.952,335.432,350.771,49.681,-8.193,-9.427,1.234,335.432,373.707,297.157
2022-03-18,337.46,343.34,333.37,340.76,6790800,331.876,334.283,350.317,51.887,-6.654,-8.872,2.218,334.283,370.292,298.274
2022-03-21,336.8,340.68,333.37,336.37,6053800,335.182,333.097,349.842,49.024,-5.722,-8.242,2.52,333.097,367.03,299.164
2022-03-22,337.54,344.5,336.3,340.22,4669900,338.012,332.184,349.45,51.549,-4.62,-7.518,2.898,332.184,364.168,300.2
2022-03-23,334.25,337.49,332.65,333.06,2527800,337.524,331.256,349.027,46.897,-4.275,-6.869,2.594,331.256,361.917,300.596
2022-03-24,333.13,340.14,331.62,340.04,2482700,338.09,330.282,348.697,51.493,-3.399,-6.175,2.776,330.282,358.28,302.283
2022-03-25,341.07,342.17,336.44,339.72,2173800,337.882,329.304,348.341,51.274,-2.7,-5.48,2.78,329.304,354.241,304.368
2022-03-28,339.23,341.22,334.38,341.15,3134600,338.838,328.802,347.971,52.252,-2.007,-4.785,2.779,328.802,352.239,305.364
2022-03-29,349.16,360.88,347.59,357.76,5512400,342.346,329.924,347.881,61.832,-0.116,-3.852,3.735,329.924,356.601,303.248
2022-03-30,354.31,358.47,350.04,352.59,2614200,346.252,330.808,347.802,57.935,0.954,-2.891,3.844,330.808,359.29,302.326
2022-03-31,350.0,354.42,347.84,347.86,4095700,347.816,331.606,347.737,54.549,1.404,-2.032,3.436,331.606,361.093,302.118
2022-04-01,349.65,358.09,348.63,354.27,3806800,350.726,333.222,347.737,58.122,2.252,-1.175,3.427,333.222,363.996,302.447
2022-04-04,354.55,359.91,353.47,357.13,3027200,353.922,335.849,347.967,59.646,3.119,-0.316,3.435,335.849,365.27,306.428
2022-04-05,353.63,357.84,352.29,353.64,2215900,353.098,338.233,348.237,56.923,3.485,0.444,3.04,338.233,365.071,311.395
2022-04-06,346.97,347.58,340.27,344.13,3864500,351.406,339.47,348.525,50.199,2.972,0.95,2.023,339.47,364.894,314.046
2022-04-07,342.3,343.97,337.06,340.71,2848500,349.976,340.708,348.63,48.003,2.265,1.213,1.052,340.708,363.593,317.824
2022-04-08,338.52,346.89,336.91,343.36,2235100,347.794,342.069,348.673,49.834,1.895,1.349,0.546,342.069,361.825,322.314
2022-04-11,341.77,342.61,337.07,338.58,1809200,344.084,343.006,347.999,46.643,1.203,1.32,-0.117,343.006,359.892,326.121
2022-04-12,341.15,345.51,335.77,337.05,4038500,340.766,343.556,347.218,45.635,0.525,1.161,-0.636,343.556,358.752,328.359
2022-04-13,335.7,347.97,334.2,346.16,3048500,341.172,344.088,346.509,52.248,0.715,1.072,-0.357,344.088,358.837,329.34
