Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,55.07,55.23,53.73,53.74,1929900,,,,,0.0,0.0,0.0,,,
2021-09-08,53.45,53.62,52.76,52.98,2706000,,,,,-0.061,-0.012,-0.049,,,
2021-09-09,53.25,54.97,53.2,54.13,3050600,,,,,-0.016,-0.013,-0.003,,,
2021-09-10,54.31,54.66,54.04,54.22,1918800,,,,,0.027,-0.005,0.032,,,
2021-09-13,54.84,55.28,54.36,54.51,1924200,53.916,,,,0.083,0.013,0.07,,,
2021-09-14,54.36,54.48,53.66,53.69,2003000,53.906,,,,0.061,0.022,0.038,,,
2021-09-15,53.61,53.98,53.21,53.25,1769400,53.96,,,,0.007,0.019,-0.012,,,
2021-09-16,53.16,53.57,52.93,52.95,1967900,53.724,,,,-0.058,0.004,-0.062,,,
2021-09-17,52.44,52.72,51.94,52.12,4128100,53.304,,,,-0.175,-0.032,-0.143,,,
2021-09-20,51.61,51.86,51.08,51.73,2172000,52.748,,,,-0.296,-0.085,-0.211,,,
2021-09-21,51.8,51.95,51.08,51.2,1946000,52.25,,,,-0.43,-0.154,-0.276,,,
2021-09-22,51.46,52.01,51.4,51.46,1424400,51.892,,,,-0.509,-0.225,-0.284,,,
2021-09-23,51.46,52.14,51.42,51.61,1842400,51.624,,,,-0.553,-0.291,-0.263,,,
2021-09-24,51.48,51.73,51.03,51.07,1294100,51.414,,,,-0.624,-0.357,-0.267,,,
2021-09-27,50.9,51.62,50.82,51.1,1416000,51.288,,,26.462,-0.671,-0.42,-0.251,,,
2021-09-28,50.84,51.17,49.82,50.13,1602000,51.074,,,20.811,-0.777,-0.491,-0.286,,,
2021-09-29,50.12,51.35,49.9,50.71,2121900,50.924,,,30.384,-0.805,-0.554,-0.251,,,
2021-09-30,50.81,51.43,50.13,50.59,6076300,50.72,,,29.587,-0.827,-0.609,-0.219,,,
2021-10-01,50.9,51.14,50.44,50.89,2979500,50.684,,,34.231,-0.811,-0.649,-0.162,,,
2021-10-04,50.65,51.9,50.6,50.99,2606300,50.662,52.153,,35.752,-0.782,-0.676,-0.106,52.153,54.939,49.368
2021-10-05,50.92,51.24,50.51,50.88,1908800,50.812,52.01,,34.798,-0.758,-0.692,-0.066,52.01,54.746,49.275
2021-10-06,50.54,51.33,50.37,51.12,1770400,50.894,51.918,,38.643,-0.712,-0.696,-0.016,51.918,54.641,49.194
2021-10-07,51.43,52.66,51.43,52.02,1721800,51.18,51.812,,50.443,-0.596,-0.676,0.08,51.812,54.33,49.294
2021-10-08,52.08,52.13,51.4,51.79,1505900,51.36,51.69,,47.908,-0.517,-0.644,0.127,51.69,53.94,49.441
2021-10-11,51.76,52.05,51.53,51.68,1152100,51.498,51.549,,46.698,-0.458,-0.607,0.149,51.549,53.366,49.732
2021-10-12,51.87,52.3,51.44,51.59,1122700,51.64,51.444,,45.683,-0.413,-0.568,0.155,51.444,52.957,49.931
2021-10-13,51.78,51.96,51.34,51.73,1206600,51.762,51.368,,47.592,-0.362,-0.527,0.165,51.368,52.631,50.105
2021-10-14,52.11,53.35,52.0,53.33,1406400,52.024,51.387,,63.422,-0.191,-0.46,0.269,51.387,52.757,50.017
2021-10-15,53.69,54.14,53.24,53.97,1582500,52.46,51.479,,67.633,-0.003,-0.369,0.365,51.479,53.249,49.71
2021-10-18,53.67,54.94,53.5,54.73,1873600,53.07,51.629,,71.787,0.204,-0.254,0.458,51.629,53.921,49.338
2021-10-19,55.03,55.24,54.44,54.5,1351100,53.652,51.795,,68.905,0.346,-0.134,0.48,51.795,54.408,49.181
2021-10-20,54.67,55.59,54.67,55.19,1268900,54.344,51.981,,72.475,0.509,-0.005,0.514,51.981,54.996,48.966
2021-10-21,55.2,55.81,54.96,55.68,1473600,54.814,52.184,,74.697,0.669,0.13,0.54,52.184,55.615,48.754
2021-10-22,55.9,56.49,55.54,55.56,2261600,55.132,52.409,,73.14,0.778,0.259,0.519,52.409,56.109,48.709
2021-10-25,55.4,56.52,55.1,56.01,1913100,55.388,52.654,,75.225,0.89,0.385,0.505,52.654,56.63,48.679
2021-10-26,56.15,56.33,55.38,55.62,3289900,55.612,52.929,,70.142,0.936,0.496,0.441,52.929,56.929,48.929
2021-10-27,57.14,60.2,57.14,58.52,4043000,56.278,53.319,,80.626,1.194,0.635,0.558,53.319,57.891,48.748
2021-10-28,58.84,59.86,58.75,59.65,2062700,57.072,53.772,,83.114,1.472,0.802,0.669,53.772,58.959,48.586
2021-10-29,59.26,60.23,59.2,59.69,2262400,57.898,54.212,,83.196,1.676,0.977,0.699,54.212,59.844,48.581
2021-11-01,59.82,60.04,58.65,58.87,1386300,58.47,54.607,,75.117,1.751,1.132,0.619,54.607,60.389,48.824
2021-11-02,59.26,59.39,58.26,58.36,1715700,59.018,54.98,,70.53,1.75,1.256,0.494,54.98,60.716,49.245
2021-11-03,58.31,58.81,58.03,58.43,1383800,59.0,55.346,,70.794,1.734,1.351,0.383,55.346,60.976,49.716
2021-11-04,58.49,59.34,58.43,58.89,1283500,58.848,55.689,,72.533,1.739,1.429,0.31,55.689,61.303,50.076
2021-11-05,59.17,59.65,58.33,58.44,1721400,58.598,56.022,,68.251,1.687,1.48,0.207,56.022,61.448,50.596
2021-11-08,59.08,59.19,57.92,58.33,2121600,58.49,56.355,,67.207,1.618,1.508,0.11,56.355,61.466,51.243
2021-11-09,58.56,59.86,58.34,59.85,1176600,58.788,56.768,,73.289,1.667,1.54,0.127,56.768,61.585,51.95
2021-11-10,59.67,60.0,58.7,58.89,1345700,58.88,57.126,,65.08,1.61,1.554,0.056,57.126,61.4,52.851
2021-11-11,58.92,59.24,58.76,59.02,697800,58.906,57.41,,65.641,1.557,1.555,0.003,57.41,61.366,53.454
2021-11-12,59.29,61.24,59.03,60.97,1917600,59.412,57.76,,72.723,1.654,1.574,0.079,57.76,61.673,53.847
2021-11-15,60.78,61.97,60.46,61.45,1580300,60.036,58.096,54.557,74.136,1.749,1.609,0.139,58.096,62.067,54.125
2021-11-16,61.65,62.96,61.45,62.59,2727900,60.584,58.5,54.734,77.162,1.894,1.666,0.228,58.5,62.576,54.425
2021-11-17,62.66,62.7,61.86,62.23,1567500,61.252,58.853,54.919,74.209,1.958,1.725,0.233,58.853,62.94,54.765
2021-11-18,62.38,62.38,61.59,61.92,1280500,61.832,59.164,55.074,71.666,1.961,1.772,0.189,59.164,63.185,55.144
2021-11-19,62.1,62.53,61.74,61.78,1352700,61.994,59.476,55.226,70.491,1.929,1.803,0.126,59.476,63.278,55.673
2021-11-22,62.14,63.09,62.01,62.4,1538500,62.184,59.795,55.383,72.631,1.932,1.829,0.103,59.795,63.442,56.148
2021-11-23,62.31,62.71,61.87,62.35,1251800,62.136,60.131,55.557,72.177,1.909,1.845,0.064,60.131,63.377,56.886
2021-11-24,62.27,62.72,62.01,62.49,1016000,62.188,60.33,55.741,72.692,1.879,1.852,0.028,60.33,63.645,57.015
