Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,109.61,110.07,109.23,109.61,3165000,,,,,0.0,0.0,0.0,,,
2021-07-13,109.07,109.48,108.45,108.93,3214700,,,,,-0.054,-0.011,-0.043,,,
2021-07-14,109.48,109.5,108.62,109.22,3049700,,,,,-0.073,-0.023,-0.05,,,
2021-07-15,108.12,108.49,106.87,107.18,5115400,,,,,-0.25,-0.069,-0.181,,,
2021-07-16,107.43,107.87,106.92,107.56,3646400,108.5,,,,-0.355,-0.126,-0.229,,,
2021-07-19,106.73,107.0,104.25,104.95,4678700,107.568,,,,-0.641,-0.229,-0.412,,,
2021-07-20,104.96,107.83,104.96,107.31,5137300,107.244,,,,-0.67,-0.317,-0.353,,,
2021-07-21,108.29,108.74,107.75,108.63,3386000,107.126,,,,-0.58,-0.37,-0.21,,,
2021-07-22,108.88,109.21,107.93,108.68,2342200,107.426,,,,-0.499,-0.396,-0.103,,,
2021-07-23,109.07,110.12,109.07,109.9,2985400,107.894,,,,-0.332,-0.383,0.051,,,
2021-07-26,109.69,110.03,108.63,109.5,2402200,108.804,,,,-0.23,-0.352,0.123,,,
2021-07-27,109.28,111.95,109.15,111.34,4151700,109.61,,,,0.0,-0.282,0.282,,,
2021-07-28,111.34,112.13,110.91,111.6,4317200,110.204,,,,0.201,-0.185,0.386,,,
2021-07-29,111.95,112.21,110.72,111.73,3195600,110.814,,,,0.366,-0.075,0.441,,,
2021-07-30,111.61,112.61,111.45,112.27,2740000,111.288,,,66.763,0.535,0.047,0.488,,,
2021-08-02,112.48,113.19,112.09,112.23,3401100,111.834,,,66.423,0.657,0.169,0.488,,,
2021-08-03,112.13,112.47,111.56,112.4,3208500,112.046,,,67.187,0.759,0.287,0.472,,,
2021-08-04,111.69,111.98,109.69,109.77,4045100,111.68,,,48.715,0.621,0.354,0.267,,,
2021-08-05,109.88,109.99,108.69,109.46,3711900,111.226,,,47.072,0.481,0.379,0.102,,,
2021-08-06,109.89,110.12,109.12,109.99,2414500,110.77,109.613,,50.166,0.408,0.385,0.023,109.613,113.534,105.692
2021-08-09,110.01,110.58,108.31,108.52,3411500,110.028,109.559,,42.708,0.229,0.354,-0.125,109.559,113.509,105.608
2021-08-10,108.43,108.79,105.97,107.13,4123800,108.974,109.468,,37.093,-0.025,0.278,-0.303,109.468,113.559,105.378
2021-08-11,107.73,108.08,107.3,107.76,3403700,108.572,109.396,,40.887,-0.174,0.188,-0.361,109.396,113.556,105.235
2021-08-12,107.94,109.35,107.8,109.03,2689300,108.486,109.488,,47.73,-0.187,0.113,-0.299,109.488,113.522,105.454
2021-08-13,109.3,109.76,108.79,109.73,2552500,108.434,109.596,,51.091,-0.139,0.062,-0.201,109.596,113.527,105.666
2021-08-16,109.83,110.86,109.47,110.8,3233800,108.89,109.889,,55.772,-0.014,0.047,-0.061,109.889,113.183,106.595
2021-08-17,110.68,111.82,110.3,111.8,3410300,109.824,110.114,,59.658,0.163,0.07,0.093,110.114,113.277,106.95
2021-08-18,111.83,112.15,110.52,110.58,4050300,110.388,110.211,,53.484,0.203,0.097,0.106,110.211,113.301,107.121
2021-08-19,109.94,110.65,109.45,110.24,4016600,110.63,110.289,,51.872,0.205,0.118,0.086,110.289,113.294,107.284
2021-08-20,110.15,111.18,109.62,111.07,4496500,110.898,110.348,,55.404,0.27,0.149,0.121,110.348,113.366,107.329
2021-08-23,111.29,111.32,109.09,109.85,5028300,110.708,110.365,,49.638,0.221,0.163,0.058,110.365,113.367,107.363
2021-08-24,110.11,115.19,109.95,113.35,10319200,111.018,110.465,,61.892,0.459,0.222,0.237,110.465,113.728,107.203
2021-08-25,113.43,115.6,113.03,115.04,6483800,111.91,110.638,,66.172,0.775,0.333,0.442,110.638,114.466,106.809
2021-08-26,115.13,115.13,113.54,114.03,4448100,112.668,110.753,,61.711,0.933,0.453,0.48,110.753,114.848,106.657
2021-08-27,114.34,114.62,113.78,114.41,3801400,113.336,110.86,,62.729,1.077,0.578,0.499,110.86,115.225,106.494
2021-08-30,114.72,115.07,114.14,114.43,3550300,114.252,110.97,,62.785,1.179,0.698,0.481,110.97,115.584,106.355
2021-08-31,114.54,115.25,113.74,114.13,4769900,114.408,111.056,,61.295,1.221,0.803,0.419,111.056,115.845,106.267
2021-09-01,114.72,114.8,113.52,114.72,2422400,114.344,111.304,,63.147,1.288,0.9,0.388,111.304,116.319,106.288
2021-09-02,115.43,116.0,114.78,115.19,4963700,114.576,111.59,,64.601,1.362,0.992,0.37,111.59,116.812,106.368
2021-09-03,115.13,115.54,114.74,115.11,2298400,114.716,111.846,,64.137,1.399,1.074,0.326,111.846,117.237,106.455
2021-09-07,114.46,115.13,113.67,115.06,3214000,114.842,112.173,,63.829,1.408,1.14,0.268,112.173,117.508,106.838
2021-09-08,114.93,116.01,114.44,115.57,2175400,115.13,112.595,,65.643,1.44,1.2,0.239,112.595,117.574,107.616
2021-09-09,115.58,116.19,114.02,114.08,3445300,115.002,112.911,,56.696,1.329,1.226,0.103,112.911,117.373,108.449
2021-09-10,114.37,114.54,111.68,112.13,4278700,114.39,113.066,,47.559,1.072,1.195,-0.123,113.066,117.161,108.971
2021-09-13,112.99,113.02,110.09,111.18,4703200,113.604,113.138,,43.852,0.782,1.113,-0.33,113.138,117.031,109.246
2021-09-14,111.83,112.19,110.97,111.65,3333600,112.922,113.181,,46.091,0.584,1.007,-0.423,113.181,116.983,109.379
2021-09-15,111.86,113.36,111.16,112.56,3303800,112.32,113.219,,50.229,0.494,0.904,-0.41,113.219,116.978,109.46
2021-09-16,112.57,113.15,111.29,111.94,3049500,111.892,113.287,,47.551,0.369,0.797,-0.428,113.287,116.891,109.683
2021-09-17,111.46,111.86,110.44,110.89,6832800,111.644,113.319,,43.337,0.183,0.675,-0.491,113.319,116.818,109.821
2021-09-20,109.69,110.54,109.02,110.06,3385100,111.42,113.269,111.086,40.296,-0.031,0.533,-0.564,113.269,116.93,109.608
2021-09-21,110.9,111.19,109.24,109.3,2999300,110.95,113.242,111.08,37.689,-0.259,0.375,-0.634,113.242,117.017,109.466
2021-09-22,110.12,110.89,109.59,110.22,3479800,110.482,113.085,111.106,42.536,-0.361,0.228,-0.589,113.085,117.094,109.076
2021-09-23,110.46,112.68,110.38,112.25,3890600,110.544,112.946,111.166,51.501,-0.275,0.127,-0.402,112.946,116.861,109.03
2021-09-24,111.94,112.82,111.38,111.71,2801300,110.708,112.83,111.257,49.298,-0.248,0.052,-0.3,112.83,116.747,108.912
2021-09-27,111.48,111.76,110.24,110.62,2931400,110.82,112.64,111.318,45.103,-0.31,-0.02,-0.29,112.64,116.602,108.678
2021-09-28,109.81,109.93,108.07,108.26,6100400,110.612,112.331,111.384,37.637,-0.544,-0.125,-0.419,112.331,116.651,108.012
2021-09-29,108.56,109.26,107.73,108.76,2693800,110.32,112.063,111.413,39.906,-0.681,-0.236,-0.445,112.063,116.575,107.551
2021-09-30,108.76,109.96,107.68,107.7,5647000,109.41,111.712,111.395,36.845,-0.866,-0.362,-0.503,111.712,116.441,106.983
2021-10-01,108.26,109.93,107.55,109.39,4042600,108.946,111.422,111.409,44.196,-0.865,-0.463,-0.402,111.422,115.961,106.883
2021-10-04,109.13,110.46,106.76,107.44,5125900,108.31,111.038,111.36,38.611,-1.011,-0.572,-0.438,111.038,115.561,106.516
2021-10-05,108.0,109.63,107.39,108.09,3853200,108.276,110.69,111.331,41.275,-1.061,-0.67,-0.391,110.69,114.976,106.404
2021-10-06,107.31,108.39,106.52,108.34,4005500,108.192,110.328,111.271,42.312,-1.069,-0.75,-0.319,110.328,114.066,106.591
2021-10-07,109.2,110.71,108.79,108.97,3135600,108.446,110.073,111.219,44.95,-1.012,-0.802,-0.21,110.073,113.407,106.739
2021-10-08,109.12,109.34,107.45,107.63,4116300,108.094,109.848,111.137,40.688,-1.063,-0.855,-0.209,109.848,113.205,106.491
2021-10-11,107.25,107.85,106.09,106.15,3588300,107.836,109.597,111.014,36.565,-1.209,-0.926,-0.284,109.597,113.272,105.921
2021-10-12,106.36,106.54,105.11,105.62,4298100,107.342,109.295,110.882,35.19,-1.352,-1.011,-0.341,109.295,113.241,105.349
2021-10-13,105.54,105.88,104.79,105.31,4063500,106.736,108.932,110.74,34.375,-1.473,-1.103,-0.37,108.932,112.947,104.918
2021-10-14,106.07,107.51,105.91,107.23,4658000,106.388,108.697,110.69,43.151,-1.399,-1.162,-0.236,108.697,112.516,104.878
2021-10-15,108.26,110.25,108.04,109.76,7229900,106.814,108.641,110.696,52.218,-1.122,-1.154,0.032,108.641,112.355,104.926
2021-10-18,105.73,105.91,102.67,103.72,10310600,106.328,108.324,110.57,37.032,-1.374,-1.198,-0.176,108.324,112.572,104.075
2021-10-19,104.57,105.48,104.11,104.99,5031200,106.202,108.108,110.5,40.923,-1.455,-1.25,-0.206,108.108,112.579,103.637
2021-10-20,105.68,105.9,104.27,104.64,5138800,106.068,107.829,110.45,40.186,-1.53,-1.306,-0.224,107.829,112.44,103.218
2021-10-21,104.77,104.85,104.25,104.52,3737300,105.526,107.442,110.385,39.92,-1.58,-1.361,-0.22,107.442,111.781,103.104
2021-10-22,104.47,106.17,104.4,105.76,3747000,104.726,107.145,110.32,44.034,-1.503,-1.389,-0.114,107.145,111.045,103.245
2021-10-25,105.79,106.21,104.87,106.16,4182100,105.214,106.922,110.248,45.334,-1.394,-1.39,-0.004,106.922,110.48,103.364
2021-10-26,106.73,107.23,105.81,106.58,3390900,105.532,106.838,110.164,46.733,-1.258,-1.364,0.105,106.838,110.342,103.334
2021-10-27,106.98,107.13,104.87,105.25,3610800,105.654,106.662,110.033,42.981,-1.244,-1.34,0.096,106.662,110.112,103.213
2021-10-28,105.08,105.77,103.89,104.2,4242900,105.59,106.488,109.905,40.235,-1.303,-1.332,0.03,106.488,110.068,102.907
2021-10-29,103.61,103.64,102.14,102.98,8118500,105.034,106.167,109.76,37.256,-1.431,-1.352,-0.079,106.167,109.801,102.533
2021-11-01,103.22,104.0,103.1,103.3,3600400,104.462,105.96,109.605,38.541,-1.49,-1.38,-0.11,105.96,109.757,102.163
2021-11-02,103.76,105.83,103.23,104.22,6909700,103.99,105.766,109.492,42.207,-1.445,-1.393,-0.052,105.766,109.5,102.033
2021-11-03,104.27,104.66,103.06,104.12,4762800,103.764,105.556,109.307,41.914,-1.402,-1.395,-0.007,105.556,109.151,101.96
2021-11-04,104.48,104.63,103.08,103.7,3928400,103.664,105.292,109.081,40.64,-1.386,-1.393,0.007,105.292,108.595,101.989
2021-11-05,104.2,107.08,103.86,105.66,6147400,104.2,105.194,108.913,48.508,-1.201,-1.354,0.154,105.194,108.315,102.072
2021-11-08,105.71,106.51,105.11,105.7,4183900,104.68,105.171,108.739,48.657,-1.039,-1.291,0.252,105.171,108.27,102.072
2021-11-09,105.77,106.43,104.87,105.07,3150700,104.85,105.143,108.552,46.373,-0.95,-1.223,0.273,105.143,108.235,102.052
2021-11-10,104.9,105.62,104.49,105.18,3225700,105.062,105.137,108.373,46.842,-0.862,-1.151,0.289,105.137,108.228,102.046
2021-11-11,105.16,105.3,102.15,102.74,4046900,104.87,104.912,108.133,38.742,-0.977,-1.116,0.139,104.912,108.016,101.809
2021-11-12,103.11,103.19,101.64,102.51,5539500,104.24,104.55,107.88,38.074,-1.074,-1.108,0.033,104.55,106.862,102.238
2021-11-15,102.98,103.05,100.92,101.03,5775200,103.306,104.416,107.598,34.009,-1.257,-1.137,-0.119,104.416,107.196,101.635
2021-11-16,100.78,101.9,100.28,101.38,5283500,102.568,104.235,107.324,35.756,-1.357,-1.181,-0.176,104.235,107.311,101.159
2021-11-17,100.69,101.7,100.21,101.24,3976700,101.78,104.065,107.038,35.353,-1.431,-1.231,-0.2,104.065,107.411,100.719
2021-11-18,101.33,101.43,99.32,101.1,7731800,101.452,103.894,106.778,34.928,-1.485,-1.282,-0.203,103.894,107.483,100.305
2021-11-19,101.33,101.5,100.29,100.72,7325000,101.094,103.642,106.55,33.745,-1.54,-1.334,-0.206,103.642,107.384,99.9
2021-11-22,101.21,102.07,100.32,100.43,6813100,100.974,103.356,106.335,32.831,-1.588,-1.385,-0.204,103.356,107.162,99.549
2021-11-23,96.82,99.33,95.47,97.42,11151900,100.182,102.898,106.05,25.2,-1.849,-1.477,-0.371,102.898,107.238,98.557
2021-11-24,97.14,99.05,96.68,98.33,5588500,99.6,102.551,105.766,30.462,-1.959,-1.574,-0.385,102.551,107.195,97.908
2021-11-26,97.49,97.53,95.18,95.41,5561300,98.462,102.112,105.435,24.505,-2.256,-1.71,-0.546,102.112,107.672,96.552
2021-11-29,96.23,96.63,94.66,94.75,7026000,97.268,101.7,105.112,23.392,-2.515,-1.871,-0.644,101.7,108.139,95.262
2021-11-30,94.14,94.41,91.58,91.68,14018500,95.518,101.119,104.745,19.054,-2.935,-2.084,-0.851,101.119,108.906,93.333
2021-12-01,93.46,93.58,90.54,90.62,8205200,94.158,100.44,104.371,17.825,-3.315,-2.33,-0.985,100.44,109.376,91.503
2021-12-02,90.85,92.73,90.23,92.18,7458800,92.928,99.842,104.01,25.446,-3.45,-2.554,-0.896,99.842,109.323,90.362
2021-12-03,92.47,93.22,91.0,91.82,6922900,92.21,99.248,103.602,24.873,-3.546,-2.752,-0.793,99.248,109.189,89.308
2021-12-06,92.82,95.57,92.54,94.72,7624800,92.204,98.702,103.262,37.156,-3.349,-2.872,-0.477,98.702,108.356,89.047
2021-12-07,96.06,98.33,95.92,96.46,9550600,93.16,98.239,102.979,43.16,-3.018,-2.901,-0.117,98.239,107.353,89.126
2021-12-08,96.56,97.0,95.78,96.59,5585200,94.354,97.816,102.745,43.594,-2.713,-2.863,0.15,97.816,106.363,89.268
2021-12-09,96.2,97.51,95.78,96.93,6162500,95.304,97.403,102.509,44.781,-2.417,-2.774,0.357,97.403,105.219,89.587
2021-12-10,97.68,98.08,96.1,96.6,4342700,96.26,97.096,102.287,43.817,-2.183,-2.656,0.473,97.096,104.5,89.692
2021-12-13,96.49,97.44,96.37,96.97,4750000,96.71,96.819,102.038,45.24,-1.946,-2.514,0.568,96.819,103.771,89.867
2021-12-14,96.46,97.1,95.6,95.96,8183100,96.61,96.566,101.809,42.106,-1.818,-2.375,0.556,96.566,103.235,89.896
2021-12-15,90.74,90.89,88.87,90.16,18546500,95.324,96.004,101.45,29.477,-2.16,-2.332,0.171,96.004,102.854,89.155
2021-12-16,88.78,89.68,86.98,87.82,18427400,93.502,95.334,101.04,26.078,-2.591,-2.384,-0.207,95.334,102.638,88.029
2021-12-17,86.36,89.31,86.14,86.46,22561600,91.474,94.602,100.59,24.323,-3.006,-2.508,-0.498,94.602,102.391,86.812
2021-12-20,85.85,86.29,84.53,85.52,12699900,89.184,93.842,100.147,23.163,-3.373,-2.681,-0.692,93.842,102.071,85.612
2021-12-21,86.45,88.85,86.35,87.89,9610500,87.57,93.214,99.782,31.975,-3.433,-2.831,-0.601,93.214,101.239,85.19
2021-12-22,87.89,88.04,87.25,87.63,6690600,87.064,92.725,99.422,31.547,-3.461,-2.957,-0.504,92.725,100.863,84.587
2021-12-23,88.3,89.41,87.49,88.98,7255200,87.296,92.258,99.096,36.308,-3.336,-3.033,-0.303,92.258,100.109,84.406
2021-12-27,89.31,91.01,88.7,90.3,6591300,88.064,92.002,98.757,40.654,-3.095,-3.045,-0.049,92.002,99.753,84.251
2021-12-28,90.5,90.59,89.88,90.38,7488200,89.036,91.783,98.37,40.917,-2.864,-3.009,0.145,91.783,99.454,84.113
2021-12-29,90.54,90.77,89.87,89.88,3635500,89.434,91.694,98.093,39.732,-2.691,-2.946,0.255,91.694,99.412,83.975
2021-12-30,89.82,91.29,89.79,90.33,3519200,89.974,91.679,97.8,41.378,-2.488,-2.854,0.366,91.679,99.407,83.951
2021-12-31,90.33,90.69,89.44,89.45,3608900,90.068,91.542,97.496,39.127,-2.372,-2.758,0.386,91.542,99.329,83.756
2022-01-03,89.18,91.94,88.86,91.74,7797800,90.356,91.538,97.24,47.18,-2.071,-2.62,0.55,91.538,99.325,83.752
2022-01-04,91.42,92.94,91.13,91.99,7680600,90.678,91.402,96.965,47.989,-1.791,-2.454,0.663,91.402,99.048,83.756
2022-01-05,92.64,94.24,91.66,91.66,7206000,91.034,91.162,96.675,46.967,-1.578,-2.279,0.701,91.162,98.431,83.893
2022-01-06,91.91,92.36,90.46,90.77,5207000,91.122,90.871,96.359,44.229,-1.464,-2.116,0.652,90.871,97.677,84.065
2022-01-07,89.93,91.51,89.81,90.93,5142200,91.418,90.571,96.072,44.852,-1.345,-1.962,0.617,90.571,96.752,84.39
2022-01-10,90.74,91.35,89.6,91.33,6500500,91.336,90.307,95.815,46.46,-1.205,-1.811,0.605,90.307,95.82,84.795
2022-01-11,91.72,93.45,91.66,93.29,7217100,91.596,90.124,95.621,53.601,-0.925,-1.633,0.708,90.124,94.895,85.352
2022-01-12,93.13,94.45,92.95,94.21,8421600,92.106,90.036,95.439,56.531,-0.622,-1.431,0.809,90.036,94.404,85.668
2022-01-13,94.02,95.63,93.77,94.06,5165400,92.764,90.231,95.236,55.911,-0.389,-1.223,0.834,90.231,94.956,85.506
2022-01-14,93.46,94.12,92.73,93.86,6291500,93.35,90.533,95.031,55.044,-0.218,-1.022,0.804,90.533,95.38,85.686
2022-01-18,92.53,93.57,91.93,92.94,8019400,93.672,90.857,94.816,51.118,-0.155,-0.849,0.693,90.857,95.415,86.299
2022-01-19,92.86,94.33,92.48,93.18,7278600,93.65,91.24,94.566,52.078,-0.085,-0.696,0.611,91.24,95.152,87.328
2022-01-20,92.23,94.2,91.63,91.75,6110400,93.158,91.433,94.287,46.248,-0.143,-0.585,0.442,91.433,95.016,87.85
2022-01-21,92.82,92.88,90.33,91.31,6406200,92.608,91.617,94.012,44.594,-0.222,-0.513,0.291,91.617,94.724,88.51
2022-01-24,89.59,90.64,87.06,90.11,10286900,91.858,91.674,93.71,40.355,-0.377,-0.486,0.108,91.674,94.615,88.732
2022-01-25,88.76,90.5,87.57,90.07,8577400,91.284,91.662,93.457,40.217,-0.498,-0.488,-0.01,91.662,94.628,88.696
2022-01-26,90.46,91.52,89.28,90.0,6568200,90.648,91.643,93.207,39.961,-0.592,-0.509,-0.083,91.643,94.648,88.638
2022-01-27,90.87,91.62,88.91,89.22,5979300,90.142,91.61,92.971,37.124,-0.721,-0.551,-0.17,91.61,94.709,88.511
2022-01-28,89.45,89.87,87.51,89.17,8459400,89.714,91.552,92.726,36.943,-0.818,-0.605,-0.214,91.552,94.792,88.312
2022-01-31,89.06,89.57,88.03,89.49,9255000,89.59,91.554,92.491,38.994,-0.859,-0.656,-0.204,91.554,94.789,88.319
2022-02-01,89.66,90.09,88.63,89.57,8114900,89.49,91.446,92.261,39.523,-0.876,-0.7,-0.176,91.446,94.798,88.093
2022-02-02,89.05,89.49,87.68,89.38,10230100,89.366,91.315,92.034,38.665,-0.893,-0.738,-0.155,91.315,94.779,87.851
2022-02-03,88.3,89.0,87.59,88.34,7134200,89.19,91.149,91.792,34.276,-0.98,-0.787,-0.193,91.149,94.854,87.444
2022-02-04,87.87,89.53,87.83,88.83,4526800,89.122,91.052,91.62,37.855,-0.998,-0.829,-0.169,91.052,94.897,87.207
2022-02-07,88.76,89.27,88.03,88.19,5258400,88.862,90.915,91.418,35.162,-1.051,-0.873,-0.178,90.915,94.968,86.862
2022-02-08,88.64,90.45,88.21,90.11,5775500,88.97,90.854,91.312,47.28,-0.928,-0.884,-0.044,90.854,94.918,86.79
2022-02-09,90.62,91.92,90.62,91.73,7087600,89.44,90.776,91.251,54.933,-0.692,-0.846,0.154,90.776,94.7,86.852
2022-02-10,91.25,92.32,90.39,90.69,6516700,89.91,90.6,91.231,49.923,-0.582,-0.793,0.211,90.6,94.176,87.024
2022-02-11,90.52,91.51,88.74,89.05,5859000,89.954,90.349,91.2,43.227,-0.62,-0.758,0.139,90.349,93.591,87.108
2022-02-14,89.27,89.4,87.93,88.47,7079900,90.01,90.08,91.126,41.126,-0.689,-0.744,0.056,90.08,92.97,87.19
2022-02-15,89.38,90.62,89.07,89.85,5325500,89.958,89.926,91.086,47.646,-0.625,-0.72,0.096,89.926,92.483,87.368
2022-02-16,89.12,89.51,87.86,89.19,7499400,89.45,89.726,90.976,45.075,-0.62,-0.7,0.08,89.726,91.789,87.663
