Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,52.67,53.1,52.33,52.37,5388000,,,,,0.0,0.0,0.0,,,
2021-09-08,52.25,52.54,51.94,52.46,3579400,,,,,0.007,0.001,0.006,,,
2021-09-09,52.31,53.44,52.23,52.5,4552300,,,,,0.016,0.004,0.012,,,
2021-09-10,53.02,53.11,52.21,52.28,4545100,,,,,0.005,0.004,0.001,,,
2021-09-13,52.83,53.25,52.46,53.16,3768800,52.554,,,,0.067,0.017,0.05,,,
2021-09-14,53.49,53.55,52.06,52.29,4449900,52.538,,,,0.045,0.022,0.022,,,
2021-09-15,52.44,53.59,52.33,53.4,5889300,52.726,,,,0.116,0.041,0.075,,,
2021-09-16,53.6,54.04,53.1,53.53,4664700,52.932,,,,0.18,0.069,0.111,,,
2021-09-17,53.2,54.08,52.94,53.1,9183000,53.096,,,,0.194,0.094,0.1,,,
2021-09-20,51.53,51.64,50.2,51.02,9661800,52.668,,,,0.037,0.083,-0.045,,,
2021-09-21,51.44,51.52,50.02,50.3,6235000,52.27,,,,-0.143,0.038,-0.181,,,
2021-09-22,51.15,51.58,51.04,51.14,5198600,51.818,,,,-0.216,-0.013,-0.203,,,
2021-09-23,51.55,53.21,51.55,52.7,4594400,51.652,,,,-0.147,-0.04,-0.107,,,
2021-09-24,52.82,53.54,52.67,52.79,4351400,51.59,,,,-0.083,-0.049,-0.035,,,
2021-09-27,53.52,55.12,53.51,54.72,5220000,52.33,,,65.041,0.121,-0.015,0.136,,,
2021-09-28,54.77,55.3,53.91,54.02,4909100,53.074,,,59.429,0.224,0.033,0.191,,,
2021-09-29,54.22,54.32,53.78,53.84,3780000,53.614,,,58.043,0.288,0.084,0.204,,,
2021-09-30,54.29,54.29,52.92,53.1,6132900,53.694,,,52.607,0.276,0.123,0.153,,,
2021-10-01,53.21,54.31,53.01,53.78,4391700,53.892,,,56.627,0.317,0.162,0.156,,,
2021-10-04,53.7,54.74,53.54,53.65,4950300,53.678,52.808,,55.655,0.336,0.196,0.14,52.808,54.972,50.643
2021-10-05,53.97,55.49,53.42,55.29,6076300,53.932,52.954,,64.039,0.477,0.253,0.225,52.954,55.372,50.535
