Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,361.91,364.25,356.13,356.89,297500,,,,,0.0,0.0,0.0,,,
2021-09-14,356.74,356.74,349.71,350.75,334200,,,,,-0.49,-0.098,-0.392,,,
2021-09-15,350.41,352.12,348.7,350.37,242700,,,,,-0.898,-0.258,-0.64,,,
2021-09-16,349.61,349.81,342.72,343.39,347400,,,,,-1.765,-0.559,-1.205,,,
2021-09-17,341.74,344.19,330.56,332.37,1000400,346.754,,,,-3.303,-1.108,-2.195,,,
2021-09-20,325.95,332.72,325.33,332.18,392500,341.812,,,,-4.485,-1.784,-2.702,,,
2021-09-21,333.45,336.95,330.42,333.78,275900,338.418,,,,-5.233,-2.473,-2.76,,,
2021-09-22,337.52,341.82,335.73,339.67,310400,336.278,,,,-5.289,-3.037,-2.253,,,
2021-09-23,342.0,350.53,341.02,345.23,243300,336.646,,,,-4.83,-3.395,-1.434,,,
2021-09-24,343.77,345.62,338.79,340.39,387100,338.25,,,,-4.8,-3.676,-1.124,,,
2021-09-27,340.77,348.08,340.77,345.45,292500,340.904,,,,-4.319,-3.805,-0.514,,,
2021-09-28,344.94,350.23,344.28,346.6,808900,343.468,,,,-3.801,-3.804,0.003,,,
2021-09-29,346.25,349.45,342.17,343.1,533200,344.154,,,,-3.631,-3.77,0.138,,,
2021-09-30,343.59,344.2,331.27,331.35,426400,341.378,,,,-4.394,-3.895,-0.5,,,
2021-10-01,330.96,344.03,327.63,343.31,511400,341.962,,,46.581,-3.988,-3.913,-0.075,,,
2021-10-04,341.04,345.68,337.45,338.29,490100,340.53,,,42.255,-4.024,-3.935,-0.089,,,
2021-10-05,338.48,340.37,332.85,337.59,318100,338.728,,,41.674,-4.063,-3.961,-0.102,,,
2021-10-06,338.84,346.7,338.84,346.51,354800,339.41,,,50.935,-3.335,-3.836,0.501,,,
2021-10-07,347.95,355.11,347.95,349.71,342000,343.082,,,53.771,-2.472,-3.563,1.091,,,
2021-10-08,349.32,351.92,346.78,346.98,243700,343.816,342.696,,51.06,-1.985,-3.247,1.262,342.696,356.635,328.756
2021-10-11,346.65,348.95,339.75,339.89,228100,344.136,341.846,,44.749,-2.147,-3.027,0.881,341.846,354.114,329.577
2021-10-12,338.62,342.49,338.1,338.61,252600,344.34,341.238,,43.699,-2.351,-2.892,0.541,341.238,352.835,329.642
2021-10-13,338.01,340.42,333.33,338.42,257800,342.722,340.641,,43.535,-2.499,-2.813,0.314,340.641,351.462,329.82
2021-10-14,342.43,352.48,341.37,352.28,290200,343.236,341.086,,56.351,-1.481,-2.547,1.066,341.086,353.051,329.12
2021-10-15,354.95,356.93,351.74,354.71,227000,344.782,342.202,,58.144,-0.473,-2.132,1.659,342.202,354.892,329.513
2021-10-18,357.73,364.36,355.89,362.57,297600,349.318,343.722,,63.385,0.949,-1.516,2.465,343.722,358.469,328.975
2021-10-19,364.98,365.7,357.85,359.36,220900,353.468,345.001,,60.077,1.797,-0.853,2.65,345.001,360.534,329.468
2021-10-20,360.44,370.6,360.29,370.26,328800,359.836,346.53,,66.476,3.31,-0.021,3.33,346.53,365.498,327.563
2021-10-21,369.56,370.33,366.73,370.15,206700,363.41,347.776,,66.36,4.449,0.873,3.575,347.776,369.463,326.09
2021-10-22,369.94,372.96,369.33,369.8,192400,366.428,349.247,,65.967,5.262,1.751,3.511,349.247,372.738,325.756
2021-10-25,371.76,383.9,370.05,381.88,382600,370.29,351.068,,72.108,6.803,2.761,4.042,351.068,378.619,323.518
2021-10-26,382.42,382.42,377.27,379.0,175900,374.218,352.689,,68.915,7.704,3.75,3.954,352.689,382.822,322.555
2021-10-27,378.82,381.55,371.03,371.62,277000,374.49,354.114,,61.412,7.732,4.546,3.186,354.114,385.026,323.203
2021-10-28,373.88,383.91,373.88,381.73,367600,376.806,356.633,,66.752,8.473,5.332,3.142,356.633,387.943,325.324
2021-10-29,377.95,383.06,377.95,380.96,331400,379.038,358.516,,66.003,8.896,6.045,2.851,358.516,390.959,326.073
2021-11-01,382.2,384.73,372.96,378.61,486400,378.384,360.532,,63.655,8.938,6.623,2.315,360.532,392.693,328.371
2021-11-02,376.65,398.62,371.62,395.17,756000,381.618,363.411,,71.382,10.19,7.337,2.854,363.411,397.193,329.629
2021-11-03,401.0,401.0,393.88,395.78,460000,386.45,365.874,,71.621,11.104,8.09,3.014,365.874,401.597,330.152
2021-11-04,395.66,405.06,391.19,400.64,466700,390.232,368.421,,73.521,12.081,8.888,3.193,368.421,406.477,330.365
2021-11-05,404.08,409.83,398.27,399.85,339600,394.01,371.064,,72.669,12.646,9.64,3.006,371.064,410.18,331.949
2021-11-08,419.43,422.45,404.17,412.15,648700,400.718,374.678,,77.115,13.925,10.497,3.428,374.678,414.999,334.356
2021-11-09,415.03,415.85,404.21,409.21,340100,403.526,378.208,,74.016,14.534,11.304,3.23,378.208,417.584,338.831
2021-11-10,406.51,408.93,398.4,400.75,368400,404.52,381.324,,65.819,14.171,11.878,2.294,381.324,417.148,345.5
2021-11-11,401.04,405.04,398.57,401.48,194400,404.688,383.784,,66.168,13.783,12.259,1.525,383.784,417.928,349.64
2021-11-12,403.07,407.45,402.2,406.87,209500,406.092,386.392,,68.702,13.752,12.558,1.195,386.392,419.124,353.66
