Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,130.05,131.88,128.85,130.0,6035614,,,,,0.0,0.0,0.0,,,
2021-09-14,130.29,130.54,127.5,128.02,3975624,,,,,-0.158,-0.032,-0.126,,,
2021-09-15,128.3,129.91,127.96,129.27,3055182,,,,,-0.18,-0.061,-0.119,,,
2021-09-16,129.24,129.55,127.6,128.19,3054106,,,,,-0.282,-0.105,-0.176,,,
2021-09-17,127.09,128.19,125.91,127.37,12820283,128.57,,,,-0.423,-0.169,-0.254,,,
2021-09-20,125.37,127.55,125.13,126.7,4965912,127.91,,,,-0.583,-0.252,-0.331,,,
2021-09-21,127.01,127.08,124.71,125.22,3564200,127.35,,,,-0.82,-0.365,-0.454,,,
2021-09-22,125.84,126.99,125.58,126.21,2656077,126.738,,,,-0.917,-0.476,-0.441,,,
2021-09-23,126.43,128.33,126.33,127.4,2615054,126.58,,,,-0.887,-0.558,-0.329,,,
2021-09-24,127.38,127.78,126.76,127.06,2483972,126.518,,,,-0.881,-0.623,-0.259,,,
2021-09-27,126.91,128.54,126.89,127.58,2454312,126.694,,,,-0.825,-0.663,-0.162,,,
2021-09-28,127.6,128.33,126.16,126.36,2739318,126.922,,,,-0.869,-0.704,-0.165,,,
2021-09-29,126.27,127.3,125.74,126.94,2003061,127.068,,,,-0.847,-0.733,-0.114,,,
2021-09-30,127.53,127.77,123.08,123.11,3869778,126.21,,,,-1.126,-0.811,-0.314,,,
2021-10-01,123.69,124.51,122.27,124.0,2893483,125.598,,,32.532,-1.26,-0.901,-0.359,,,
2021-10-04,122.22,124.29,121.96,123.55,3600080,124.792,,,31.182,-1.387,-0.998,-0.389,,,
2021-10-05,123.64,125.35,123.22,124.84,2258407,124.488,,,38.996,-1.368,-1.072,-0.296,,,
2021-10-06,123.96,125.31,123.18,125.2,2460890,124.14,,,41.008,-1.309,-1.12,-0.189,,,
2021-10-07,126.33,126.87,124.71,124.78,3442208,124.474,,,39.376,-1.281,-1.152,-0.129,,,
2021-10-08,124.62,124.99,124.07,124.18,2953522,124.51,126.299,,37.104,-1.292,-1.18,-0.112,126.299,130.097,122.501
2021-10-11,124.94,125.34,123.66,123.71,3218556,124.542,125.984,,35.382,-1.324,-1.209,-0.115,125.984,129.526,122.443
