Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,24.14,24.23,23.8,23.85,5150400,,,,,0.0,0.0,0.0,,,
2021-09-14,23.91,24.05,23.71,23.74,6073200,,,,,-0.009,-0.002,-0.007,,,
2021-09-15,23.75,23.94,23.59,23.78,6151600,,,,,-0.012,-0.004,-0.008,,,
2021-09-16,23.73,24.01,23.62,23.97,4303200,,,,,0.0,-0.003,0.003,,,
2021-09-17,23.67,23.97,23.45,23.66,12493600,23.8,,,,-0.015,-0.005,-0.009,,,
2021-09-20,23.56,23.57,22.99,23.2,6983200,23.67,,,,-0.063,-0.017,-0.046,,,
2021-09-21,23.29,23.43,22.93,22.95,5584800,23.512,,,,-0.12,-0.038,-0.082,,,
2021-09-22,23.1,23.31,22.84,23.14,6099600,23.384,,,,-0.148,-0.06,-0.089,,,
2021-09-23,23.15,23.39,23.12,23.27,5785200,23.244,,,,-0.158,-0.079,-0.079,,,
2021-09-24,23.18,23.35,23.04,23.18,5496800,23.148,,,,-0.171,-0.098,-0.074,,,
2021-09-27,23.04,23.15,22.82,22.95,6366800,23.098,,,,-0.198,-0.118,-0.08,,,
2021-09-28,22.83,22.9,22.3,22.38,8674400,22.984,,,,-0.262,-0.147,-0.116,,,
2021-09-29,22.38,22.51,22.31,22.33,5705600,22.822,,,,-0.314,-0.18,-0.133,,,
2021-09-30,22.48,22.52,22.2,22.21,9101200,22.61,,,,-0.36,-0.216,-0.144,,,
2021-10-01,22.4,22.55,22.09,22.47,7791200,22.468,,,28.344,-0.371,-0.247,-0.124,,,
2021-10-04,22.47,22.59,22.03,22.12,11272400,22.302,,,23.782,-0.404,-0.278,-0.125,,,
2021-10-05,22.19,22.51,22.13,22.39,6349600,22.304,,,32.771,-0.403,-0.303,-0.1,,,
2021-10-06,22.22,22.58,22.14,22.52,6304800,22.342,,,36.645,-0.388,-0.32,-0.067,,,
2021-10-07,22.72,22.86,22.5,22.52,7432800,22.404,,,36.645,-0.371,-0.33,-0.041,,,
2021-10-08,22.57,22.64,22.3,22.32,6421600,22.374,22.947,,33.229,-0.37,-0.338,-0.032,22.947,24.177,21.718
2021-10-11,22.25,22.31,21.98,22.01,4470800,22.352,22.856,,28.754,-0.389,-0.348,-0.041,22.856,24.076,21.635
2021-10-12,22.01,22.2,21.92,21.99,6194400,22.272,22.768,,28.487,-0.402,-0.359,-0.043,22.768,23.972,21.564
2021-10-13,21.5,21.74,21.24,21.33,11951600,22.034,22.646,,21.428,-0.46,-0.379,-0.08,22.646,23.913,21.378
2021-10-14,21.49,21.61,21.32,21.4,14479600,21.81,22.517,,23.59,-0.494,-0.402,-0.092,22.517,23.739,21.295
2021-10-15,21.45,21.58,21.29,21.4,14240000,21.626,22.404,,23.59,-0.516,-0.425,-0.091,22.404,23.599,21.209
2021-10-18,21.3,21.5,21.21,21.36,7105200,21.496,22.312,,23.168,-0.53,-0.446,-0.084,22.312,23.532,21.092
2021-10-19,21.37,21.42,21.1,21.25,12878400,21.348,22.227,,22.001,-0.543,-0.465,-0.078,22.227,23.496,20.958
2021-10-20,21.51,21.51,21.22,21.23,12963600,21.328,22.132,,21.786,-0.55,-0.482,-0.067,22.132,23.398,20.865
2021-10-21,21.26,21.38,21.15,21.31,16452000,21.31,22.033,,24.944,-0.542,-0.494,-0.048,22.033,23.231,20.836
2021-10-22,21.42,21.51,21.12,21.18,5534400,21.266,21.934,,23.298,-0.54,-0.503,-0.037,21.934,23.06,20.807
2021-10-25,21.17,21.23,21.01,21.09,9374800,21.212,21.84,,22.205,-0.539,-0.511,-0.029,21.84,22.919,20.762
2021-10-26,21.19,21.48,21.15,21.4,11495200,21.242,21.792,,33.734,-0.508,-0.51,0.002,21.792,22.856,20.727
2021-10-27,21.5,21.5,20.92,21.22,8804000,21.24,21.736,,30.873,-0.492,-0.507,0.014,21.736,22.798,20.674
2021-10-28,21.27,21.41,21.08,21.23,6303200,21.224,21.687,,31.222,-0.473,-0.5,0.026,21.687,22.748,20.626
2021-10-29,21.23,21.35,21.19,21.25,10805200,21.238,21.626,,31.962,-0.452,-0.49,0.039,21.626,22.636,20.616
2021-11-01,21.25,21.45,21.23,21.36,9188000,21.292,21.588,,36.037,-0.421,-0.476,0.056,21.588,22.577,20.599
2021-11-02,21.46,21.65,21.35,21.47,8478800,21.306,21.542,,39.913,-0.383,-0.458,0.075,21.542,22.457,20.627
2021-11-03,21.52,21.85,21.5,21.83,11683200,21.428,21.508,,50.487,-0.32,-0.43,0.11,21.508,22.312,20.703
2021-11-04,21.82,22.01,21.7,21.94,7668000,21.57,21.478,,53.197,-0.259,-0.396,0.137,21.478,22.162,20.795
2021-11-05,22.61,22.97,22.47,22.91,17797600,21.902,21.508,,69.205,-0.13,-0.343,0.213,21.508,22.372,20.644
2021-11-08,22.81,22.95,22.62,22.71,11074800,22.172,21.543,,64.32,-0.044,-0.283,0.239,21.543,22.539,20.547
2021-11-09,22.7,23.01,22.55,22.94,8508800,22.466,21.59,,67.189,0.043,-0.218,0.26,21.59,22.753,20.428
2021-11-10,22.98,23.32,22.95,23.0,8577600,22.7,21.674,,67.913,0.115,-0.151,0.266,21.674,22.988,20.36
