Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,27.76,28.51,27.46,28.27,3116500,,,,,0.0,0.0,0.0,,,
2021-07-13,28.38,28.52,27.62,27.76,2818900,,,,,-0.041,-0.008,-0.033,,,
2021-07-14,28.0,28.68,27.5,27.57,2839900,,,,,-0.087,-0.024,-0.063,,,
2021-07-15,27.41,27.86,26.86,27.09,2858100,,,,,-0.161,-0.051,-0.11,,,
2021-07-16,27.36,27.45,25.94,26.25,5277700,27.388,,,,-0.284,-0.098,-0.186,,,
2021-07-19,25.47,25.69,25.07,25.54,4865600,26.842,,,,-0.434,-0.165,-0.269,,,
2021-07-20,25.64,26.56,25.49,26.35,3720100,26.56,,,,-0.482,-0.228,-0.253,,,
2021-07-21,26.66,27.23,26.66,27.01,3354200,26.448,,,,-0.461,-0.275,-0.186,,,
2021-07-22,26.99,27.04,26.42,26.75,2113500,26.38,,,,-0.46,-0.312,-0.148,,,
2021-07-23,26.79,26.88,26.19,26.48,2259000,26.426,,,,-0.476,-0.345,-0.131,,,
2021-07-26,26.62,26.99,26.32,26.94,2722700,26.706,,,,-0.446,-0.365,-0.081,,,
2021-07-27,26.64,26.95,26.09,26.57,2420800,26.75,,,,-0.447,-0.381,-0.066,,,
2021-07-28,26.86,27.3,26.35,27.05,2728500,26.758,,,,-0.405,-0.386,-0.019,,,
2021-07-29,27.61,27.91,27.26,27.62,3178100,26.932,,,,-0.321,-0.373,0.052,,,
2021-07-30,27.68,28.5,27.6,27.71,6078900,27.178,,,53.846,-0.245,-0.347,0.102,,,
2021-08-02,27.87,28.2,26.54,26.54,4825600,27.098,,,41.224,-0.276,-0.333,0.057,,,
2021-08-03,26.84,27.9,26.28,27.8,5978400,27.344,,,53.788,-0.196,-0.306,0.109,,,
2021-08-04,27.98,28.27,26.94,27.16,5817200,27.366,,,48.157,-0.183,-0.281,0.098,,,
2021-08-05,27.37,27.77,27.16,27.24,2873300,27.29,,,48.877,-0.164,-0.258,0.094,,,
2021-08-06,27.69,28.03,27.53,27.94,2525200,27.336,27.082,,54.797,-0.091,-0.224,0.133,27.082,28.438,25.726
2021-08-09,27.92,28.9,27.77,28.89,4936600,27.806,27.113,,61.339,0.042,-0.171,0.213,27.113,28.605,25.621
2021-08-10,29.0,30.18,28.98,29.85,5461200,28.216,27.218,,66.6,0.223,-0.092,0.315,27.218,29.133,25.302
2021-08-11,30.16,30.56,29.64,30.28,3826900,28.84,27.353,,68.657,0.397,0.006,0.391,27.353,29.707,24.999
2021-08-12,30.16,30.33,29.35,30.08,3938200,29.408,27.502,,66.602,0.512,0.107,0.405,27.502,30.148,24.857
