Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,51.64,52.55,51.17,51.8,4943600,,,,,0.0,0.0,0.0,,,
2021-07-13,51.48,51.65,50.77,50.98,4934900,,,,,-0.065,-0.013,-0.052,,,
2021-07-14,50.82,51.37,48.86,48.95,7799800,,,,,-0.278,-0.066,-0.212,,,
2021-07-15,48.49,49.0,47.98,48.18,7348800,,,,,-0.503,-0.153,-0.349,,,
2021-07-16,48.56,48.7,47.2,47.3,6763600,49.442,,,,-0.743,-0.271,-0.472,,,
2021-07-19,45.62,46.0,44.58,45.19,10787800,48.12,,,,-1.091,-0.435,-0.656,,,
2021-07-20,45.36,46.42,44.82,46.29,5664600,47.182,,,,-1.264,-0.601,-0.663,,,
2021-07-21,47.04,48.41,47.01,48.03,5798900,46.998,,,,-1.246,-0.73,-0.516,,,
2021-07-22,47.8,47.8,46.88,47.42,3179200,46.846,,,,-1.267,-0.837,-0.429,,,
2021-07-23,47.25,47.69,46.75,47.45,3058400,46.876,,,,-1.266,-0.923,-0.343,,,
2021-07-26,47.81,48.62,47.76,48.55,3948200,47.548,,,,-1.163,-0.971,-0.192,,,
2021-07-27,47.95,48.39,47.61,48.26,3625600,47.942,,,,-1.092,-0.995,-0.097,,,
2021-07-28,48.54,49.57,48.08,49.1,3196500,48.156,,,,-0.957,-0.988,0.03,,,
2021-07-29,49.83,50.15,49.26,49.67,3210800,48.606,,,,-0.795,-0.949,0.154,,,
2021-07-30,49.29,49.82,48.65,49.04,3642500,48.924,,,46.819,-0.71,-0.901,0.192,,,
2021-08-02,49.1,50.1,48.17,48.37,5258600,48.888,,,42.936,-0.688,-0.859,0.171,,,
2021-08-03,48.21,49.69,47.66,49.68,4892500,49.172,,,51.419,-0.558,-0.799,0.24,,,
2021-08-04,48.63,49.66,48.13,48.3,6118000,49.012,,,43.999,-0.561,-0.751,0.19,,,
2021-08-05,48.99,50.92,48.86,50.17,7163100,49.112,,,53.741,-0.407,-0.682,0.275,,,
2021-08-06,50.93,51.31,50.13,50.99,6352500,49.502,48.686,,57.252,-0.216,-0.589,0.373,48.686,51.896,45.476
2021-08-09,50.21,51.4,50.13,50.82,5451600,49.992,48.637,,56.298,-0.078,-0.487,0.409,48.637,51.672,45.602
2021-08-10,51.25,52.11,51.03,51.94,6051300,50.444,48.685,,60.919,0.12,-0.366,0.486,48.685,51.901,45.469
2021-08-11,51.78,52.6,51.58,52.52,4856600,51.288,48.864,,63.096,0.321,-0.228,0.549,48.864,52.509,45.218
