Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,88.55,89.13,88.03,89.03,6112200,,,,,0.0,0.0,0.0,,,
2021-09-14,88.99,89.89,86.7,86.91,8400600,,,,,-0.169,-0.034,-0.135,,,
2021-09-15,87.12,88.13,86.82,87.87,6691900,,,,,-0.223,-0.072,-0.151,,,
2021-09-16,88.27,88.84,86.77,87.39,5881600,,,,,-0.301,-0.118,-0.184,,,
2021-09-17,87.1,88.6,86.48,86.77,17485600,87.594,,,,-0.408,-0.176,-0.233,,,
2021-09-20,84.21,84.64,82.61,84.11,15443800,86.61,,,,-0.7,-0.281,-0.419,,,
2021-09-21,84.79,85.05,83.53,83.83,8985600,85.994,,,,-0.943,-0.413,-0.53,,,
2021-09-22,84.79,86.83,84.79,85.96,9497700,85.612,,,,-0.952,-0.521,-0.431,,,
2021-09-23,86.78,88.68,86.64,88.31,6087900,85.796,,,,-0.761,-0.569,-0.192,,,
2021-09-24,88.17,88.8,87.68,87.76,5529300,85.994,,,,-0.647,-0.585,-0.062,,,
2021-09-27,88.56,90.19,88.55,89.63,8195200,87.098,,,,-0.401,-0.548,0.147,,,
2021-09-28,88.92,90.35,86.75,87.02,14183500,87.736,,,,-0.412,-0.521,0.109,,,
2021-09-29,86.2,86.65,84.52,84.9,11543000,87.524,,,,-0.585,-0.533,-0.051,,,
2021-09-30,85.48,85.6,82.08,82.99,12258400,86.46,,,,-0.866,-0.6,-0.266,,,
2021-10-01,83.51,85.2,82.77,84.47,7912700,85.802,,,40.404,-0.958,-0.671,-0.287,,,
2021-10-04,84.47,85.71,82.7,82.85,9482100,84.446,,,36.181,-1.149,-0.767,-0.382,,,
2021-10-05,83.76,85.05,83.12,84.6,8850300,83.962,,,43.099,-1.145,-0.843,-0.303,,,
2021-10-06,83.76,84.82,82.91,84.51,6912700,83.884,,,42.842,-1.137,-0.901,-0.235,,,
2021-10-07,85.76,86.06,84.16,84.26,7959600,84.138,,,42.091,-1.137,-0.949,-0.189,,,
2021-10-08,84.44,85.87,83.91,85.31,5301100,84.306,85.924,,46.347,-1.041,-0.967,-0.074,85.924,89.952,81.896
2021-10-11,85.35,85.86,82.9,82.97,7003900,84.33,85.621,,39.397,-1.14,-1.002,-0.138,85.621,89.576,81.666
2021-10-12,82.97,84.19,82.46,83.39,7913300,84.088,85.445,,41.104,-1.171,-1.036,-0.136,85.445,89.471,81.419
2021-10-13,83.68,84.58,82.45,84.06,10170900,83.998,85.254,,43.823,-1.129,-1.054,-0.075,85.254,89.156,81.353
2021-10-14,86.32,86.63,83.41,86.14,14766800,84.374,85.192,,51.334,-0.917,-1.027,0.11,85.192,88.988,81.396
2021-10-15,87.38,88.03,86.86,87.1,11678100,84.732,85.208,,54.366,-0.664,-0.954,0.29,85.208,89.037,81.38
2021-10-18,86.78,88.64,85.75,86.48,8924300,85.434,85.327,,52.108,-0.508,-0.865,0.357,85.327,89.159,81.495
2021-10-19,86.6,87.37,86.39,86.77,6189500,86.11,85.474,,53.089,-0.356,-0.763,0.407,85.474,89.289,81.659
2021-10-20,86.2,86.92,85.22,85.84,7426900,86.466,85.468,,49.58,-0.308,-0.672,0.364,85.468,89.281,81.655
2021-10-21,85.59,86.77,84.91,85.52,5931400,86.342,85.328,,48.395,-0.292,-0.596,0.304,85.328,88.9,81.757
2021-10-22,85.91,87.19,85.77,86.82,6761500,86.286,85.282,,53.281,-0.172,-0.511,0.339,85.282,88.741,81.822
2021-10-25,87.24,87.62,86.7,86.91,3836000,86.372,85.146,,53.609,-0.069,-0.423,0.354,85.146,88.055,82.236
2021-10-26,87.09,88.67,86.72,88.24,7649500,86.666,85.206,,58.265,0.118,-0.315,0.433,85.206,88.325,82.088
2021-10-27,87.81,88.55,86.84,86.87,7542400,86.872,85.305,,52.428,0.154,-0.221,0.375,85.305,88.507,82.103
2021-10-28,87.49,88.13,86.56,88.02,6663000,87.372,85.556,,56.379,0.273,-0.122,0.395,85.556,88.783,82.33
2021-10-29,87.68,88.71,87.53,88.26,8056900,87.66,85.746,,57.178,0.381,-0.021,0.403,85.746,89.144,82.348
2021-11-01,89.21,89.59,88.18,89.3,5432400,88.138,86.068,,60.551,0.545,0.092,0.453,86.068,89.533,82.604
2021-11-02,89.24,90.46,88.76,89.87,7191700,88.464,86.332,,62.304,0.713,0.216,0.497,86.332,90.113,82.551
2021-11-03,89.64,89.93,87.48,88.11,9009000,88.712,86.512,,54.284,0.696,0.312,0.384,86.512,90.271,82.753
2021-11-04,87.78,87.85,84.3,85.69,14823800,88.246,86.583,,45.594,0.481,0.346,0.135,86.583,90.214,82.953
2021-11-05,87.01,87.57,85.64,85.76,8449600,87.746,86.606,,45.864,0.313,0.339,-0.026,86.606,90.209,83.003
2021-11-08,86.27,87.42,85.84,85.93,7332000,87.072,86.754,,46.557,0.192,0.31,-0.118,86.754,89.948,83.56
2021-11-09,85.41,86.14,84.39,85.62,8756900,86.222,86.866,,45.415,0.07,0.262,-0.192,86.866,89.7,84.031
2021-11-10,84.79,85.54,83.91,83.96,9191500,85.392,86.86,,39.784,-0.159,0.178,-0.337,86.86,89.717,84.004
2021-11-11,84.19,85.28,83.7,84.91,6249600,85.236,86.799,,44.059,-0.261,0.09,-0.351,86.799,89.771,83.827
2021-11-12,85.19,85.78,84.2,85.74,7270300,85.232,86.731,,47.561,-0.272,0.018,-0.289,86.731,89.736,83.726
2021-11-15,85.9,86.56,85.84,86.05,5652200,85.256,86.71,,48.849,-0.252,-0.036,-0.216,86.71,89.728,83.691
2021-11-16,85.87,87.21,85.45,86.46,6448500,85.424,86.694,,50.578,-0.201,-0.069,-0.132,86.694,89.715,83.673
2021-11-17,86.31,86.41,83.59,83.88,9670700,85.408,86.596,,41.151,-0.365,-0.128,-0.236,86.596,89.851,83.341
2021-11-18,84.09,84.38,82.86,83.88,6850200,85.202,86.514,,41.151,-0.489,-0.2,-0.288,86.514,89.96,83.068
2021-11-19,82.62,84.05,81.53,83.22,9923400,84.698,86.334,86.005,38.995,-0.633,-0.287,-0.346,86.334,90.077,82.591
2021-11-22,84.4,86.33,84.0,85.29,10430400,84.546,86.253,85.93,48.168,-0.574,-0.344,-0.229,86.253,90.013,82.493
2021-11-23,86.14,87.7,86.02,87.47,8559200,84.748,86.214,85.941,55.72,-0.347,-0.345,-0.002,86.214,89.904,82.525
2021-11-24,87.45,87.78,85.96,86.83,7146400,85.338,86.212,85.921,53.267,-0.216,-0.319,0.103,86.212,89.901,82.524
2021-11-26,84.2,84.29,82.32,84.09,11738200,85.38,86.016,85.855,44.277,-0.33,-0.321,-0.009,86.016,89.717,82.315
2021-11-29,85.05,85.53,82.4,83.49,13793400,85.434,85.778,85.789,42.582,-0.463,-0.35,-0.113,85.778,89.485,82.07
2021-11-30,82.8,82.86,80.61,81.42,20586200,84.66,85.384,85.735,37.281,-0.727,-0.425,-0.302,85.384,89.188,81.579
2021-12-01,83.28,84.68,81.8,81.8,11708200,83.526,84.98,85.695,38.787,-0.896,-0.519,-0.376,84.98,88.481,81.479
2021-12-02,82.44,85.66,81.83,84.89,10685800,83.138,84.819,85.673,49.426,-0.771,-0.57,-0.201,84.819,87.995,81.643
2021-12-03,85.9,86.62,83.17,84.33,9811800,83.186,84.751,85.594,47.805,-0.709,-0.598,-0.112,84.751,87.906,81.596
2021-12-06,85.87,86.48,84.84,85.24,9624500,83.536,84.725,85.543,50.639,-0.58,-0.594,0.014,84.725,87.854,81.596
2021-12-07,86.19,88.54,86.16,88.02,10674400,84.856,84.83,85.511,58.12,-0.25,-0.525,0.275,84.83,88.254,81.405
2021-12-08,88.15,88.58,86.93,86.94,9089700,85.884,84.896,85.509,54.654,-0.076,-0.435,0.36,84.896,88.433,81.358
2021-12-09,86.53,87.43,86.08,86.37,7749600,86.18,85.016,85.539,52.863,0.017,-0.345,0.362,85.016,88.583,81.449
2021-12-10,86.68,86.95,84.48,84.52,10429000,86.218,84.996,85.569,47.429,-0.058,-0.288,0.229,84.996,88.57,81.423
2021-12-13,84.28,84.32,83.12,83.44,10057100,85.858,84.881,85.549,44.55,-0.203,-0.271,0.068,84.881,88.502,81.261
2021-12-14,83.08,85.39,82.92,84.86,11105900,85.226,84.822,85.589,48.939,-0.201,-0.257,0.056,84.822,88.401,81.243
2021-12-15,85.11,85.72,83.41,85.38,7055000,84.914,84.768,85.605,50.484,-0.155,-0.236,0.081,84.768,88.275,81.261
2021-12-16,86.98,87.09,85.58,86.13,7889900,84.866,84.881,85.637,52.708,-0.058,-0.201,0.143,84.881,88.411,81.35
2021-12-17,85.41,85.46,83.13,83.41,20851400,84.644,84.857,85.62,44.843,-0.198,-0.2,0.002,84.857,88.422,81.292
2021-12-20,82.1,82.34,80.9,81.89,11931400,84.334,84.79,85.552,41.148,-0.427,-0.245,-0.181,84.79,88.529,81.052
2021-12-21,82.59,84.59,82.5,83.96,8235100,84.154,84.724,85.571,47.493,-0.436,-0.283,-0.152,84.724,88.473,80.975
2021-12-22,83.89,84.74,83.69,84.41,4798400,83.96,84.571,85.592,48.786,-0.402,-0.307,-0.095,84.571,88.091,81.051
2021-12-23,85.02,85.84,84.81,85.3,4482200,83.794,84.494,85.617,51.338,-0.3,-0.306,0.006,84.494,87.871,81.118
2021-12-27,85.63,86.33,85.11,86.21,4196000,84.354,84.6,85.618,53.869,-0.144,-0.273,0.129,84.6,88.056,81.145
2021-12-28,86.39,86.73,85.51,85.84,4269700,85.144,84.718,85.593,52.669,-0.05,-0.229,0.179,84.718,88.174,81.262
2021-12-29,85.91,86.31,84.75,84.78,6923100,85.308,84.886,85.559,49.283,-0.06,-0.195,0.135,84.886,87.974,81.798
2021-12-30,84.89,85.84,84.77,84.84,3564900,85.394,85.038,85.52,49.481,-0.063,-0.169,0.106,85.038,87.765,82.311
2021-12-31,84.78,85.19,83.71,84.29,5124800,85.192,85.008,85.489,47.646,-0.108,-0.156,0.049,85.008,87.755,82.261
2022-01-03,85.29,87.07,85.27,86.03,8481900,85.156,85.093,85.499,53.521,-0.003,-0.126,0.123,85.093,87.857,82.329
2022-01-04,87.59,89.89,87.57,89.53,8967000,85.894,85.308,85.554,62.61,0.358,-0.029,0.387,85.308,88.711,81.904
2022-01-05,89.05,90.19,87.22,87.31,10288800,86.4,85.272,85.562,55.232,0.46,0.069,0.391,85.272,88.57,81.974
2022-01-06,89.41,89.49,86.4,88.81,10059200,87.194,85.366,85.573,58.768,0.654,0.186,0.468,85.366,88.955,81.776
2022-01-07,88.88,89.76,88.39,89.35,6128400,88.206,85.515,85.623,59.993,0.842,0.317,0.525,85.515,89.505,81.524
2022-01-10,89.92,90.25,88.3,89.42,8904900,88.884,85.759,85.651,60.158,0.985,0.451,0.534,85.759,90.081,81.438
2022-01-11,89.44,91.1,88.94,90.95,7320200,89.168,86.135,85.704,63.688,1.208,0.602,0.606,86.135,90.891,81.379
2022-01-12,91.07,91.43,87.89,88.49,10855200,89.404,86.316,85.688,55.217,1.173,0.716,0.456,86.316,91.144,81.489
2022-01-13,88.82,89.61,87.71,88.06,6267700,89.254,86.45,85.652,53.868,1.097,0.793,0.305,86.45,91.317,81.584
2022-01-14,85.66,86.27,83.63,84.91,16724900,88.366,86.39,85.588,45.164,0.775,0.789,-0.014,86.39,91.304,81.475
2022-01-18,82.38,82.81,79.81,80.73,21803100,86.628,86.256,85.489,36.692,0.179,0.667,-0.488,86.256,91.636,80.875
2022-01-19,84.16,84.37,81.54,82.2,19716100,84.878,86.271,85.418,40.892,-0.172,0.499,-0.671,86.271,91.6,80.942
2022-01-20,82.95,87.55,82.95,85.72,22637600,84.324,86.359,85.413,49.525,-0.164,0.367,-0.531,86.359,91.584,81.134
2022-01-21,84.27,85.49,82.74,84.89,22568300,83.69,86.383,85.399,47.754,-0.222,0.249,-0.471,86.383,91.575,81.191
2022-01-24,82.45,84.43,80.44,84.22,19527300,83.552,86.329,85.404,46.314,-0.319,0.135,-0.454,86.329,91.59,81.068
2022-01-25,82.93,85.72,81.59,85.05,16060700,84.416,86.271,85.407,48.39,-0.325,0.043,-0.368,86.271,91.563,80.979
2022-01-26,86.0,87.37,84.93,86.02,13344400,85.18,86.28,85.412,50.786,-0.248,-0.015,-0.233,86.28,91.57,80.99
2022-01-27,86.99,87.78,85.58,86.86,17843100,85.408,86.384,85.429,52.827,-0.118,-0.036,-0.083,86.384,91.631,81.137
2022-01-28,85.69,88.13,84.87,88.02,14044800,86.034,86.543,85.46,55.569,0.077,-0.013,0.09,86.543,91.786,81.3
2022-01-31,87.31,88.84,86.71,88.66,8467000,86.922,86.762,85.555,57.052,0.28,0.046,0.235,86.762,91.973,81.55
2022-02-01,89.03,90.01,88.41,89.88,7885700,87.888,86.954,85.675,59.806,0.534,0.143,0.391,86.954,92.334,81.574
2022-02-02,89.75,90.19,88.46,89.86,9596300,88.656,86.97,85.808,59.738,0.725,0.26,0.465,86.97,92.385,81.556
2022-02-03,89.64,90.01,88.31,88.45,5986500,88.974,87.028,85.871,55.015,0.754,0.358,0.395,87.028,92.481,81.574
2022-02-04,88.33,90.81,88.26,90.02,7881800,89.374,87.088,85.922,58.911,0.893,0.465,0.428,87.088,92.651,81.525
2022-02-07,89.97,91.81,89.62,90.95,9129000,89.832,87.168,86.005,61.062,1.066,0.585,0.481,87.168,92.911,81.425
