Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,614.35,622.39,606.32,619.33,296300,,,,,0.0,0.0,0.0,,,
2021-09-08,618.56,629.96,614.85,622.51,237600,,,,,0.254,0.051,0.203,,,
2021-09-09,624.28,626.64,615.64,616.54,211200,,,,,-0.027,0.035,-0.062,,,
2021-09-10,619.3,621.98,614.37,614.66,212100,,,,,-0.396,-0.051,-0.345,,,
2021-09-13,619.67,619.75,599.92,607.46,320800,616.1,,,,-1.255,-0.292,-0.963,,,
2021-09-14,611.17,619.82,607.79,616.92,277900,615.618,,,,-1.159,-0.465,-0.694,,,
2021-09-15,616.72,619.71,610.76,611.34,305000,613.384,,,,-1.516,-0.676,-0.841,,,
2021-09-16,613.2,616.81,608.58,615.87,506400,613.25,,,,-1.417,-0.824,-0.593,,,
2021-09-17,609.49,615.16,603.06,605.96,562100,611.51,,,,-2.114,-1.082,-1.032,,,
2021-09-20,595.94,602.66,590.16,599.28,446800,609.874,,,,-3.169,-1.499,-1.669,,,
2021-09-21,604.96,609.6,601.61,605.05,249100,607.5,,,,-3.499,-1.899,-1.6,,,
2021-09-22,610.56,611.91,601.48,609.26,224900,607.084,,,,-3.382,-2.196,-1.186,,,
2021-09-23,614.2,618.12,611.65,617.22,266400,607.354,,,,-2.616,-2.28,-0.336,,,
2021-09-24,614.54,624.92,610.81,624.57,215000,611.076,,,,-1.4,-2.104,0.704,,,
2021-09-27,619.35,620.04,594.4,603.15,288000,611.85,,,41.652,-2.141,-2.111,-0.029,,,
2021-09-28,592.23,594.18,563.23,564.54,717500,603.748,,,26.444,-5.776,-2.844,-2.932,,,
2021-09-29,571.07,579.34,566.8,576.72,359100,597.24,,,34.561,-7.587,-3.793,-3.794,,,
2021-09-30,581.35,588.4,571.38,574.49,321100,588.694,,,33.825,-9.097,-4.854,-4.244,,,
2021-10-01,577.34,580.66,561.9,576.72,298600,579.124,,,35.309,-9.999,-5.883,-4.116,,,
2021-10-04,573.81,575.84,547.91,554.63,481900,569.42,601.811,,28.494,-12.354,-7.177,-5.177,601.811,643.191,560.431
2021-10-05,558.53,571.17,558.3,568.62,301500,570.236,599.276,,36.812,-12.942,-8.33,-4.612,599.276,642.317,556.234
2021-10-06,562.89,568.41,555.31,566.56,252200,568.204,596.478,,36.145,-13.419,-9.348,-4.071,596.478,640.425,552.531
2021-10-07,571.6,580.09,570.51,574.65,287600,568.236,594.384,,40.688,-12.995,-10.077,-2.918,594.384,638.297,550.47
2021-10-08,575.5,577.0,564.98,566.73,184400,566.238,591.987,,37.849,-13.147,-10.691,-2.455,591.987,636.469,547.505
2021-10-11,562.91,578.81,560.69,563.98,221000,568.108,589.813,,36.887,-13.335,-11.22,-2.115,589.813,635.349,544.277
2021-10-12,569.09,569.09,559.29,562.13,164900,566.81,587.074,,36.219,-13.478,-11.671,-1.806,587.074,632.334,541.813
2021-10-13,567.93,569.89,560.31,565.01,218800,566.5,584.757,,38.097,-13.206,-11.978,-1.228,584.757,629.528,539.986
2021-10-14,572.75,579.85,571.58,578.56,217000,567.282,582.892,,46.131,-11.763,-11.935,0.173,582.892,625.248,540.535
2021-10-15,585.67,585.67,579.89,581.8,215200,570.296,581.684,,47.873,-10.239,-11.596,1.357,581.684,622.625,540.742
2021-10-18,581.84,586.73,578.9,585.34,181000,574.568,580.986,,49.784,-8.646,-11.006,2.36,580.986,621.133,540.84
2021-10-19,589.76,599.3,587.72,595.86,237700,581.314,580.527,,55.056,-6.46,-10.097,3.637,580.527,619.713,541.341
2021-10-20,598.05,601.08,584.4,588.68,291300,586.048,579.498,,51.112,-5.247,-9.127,3.88,579.498,616.528,542.468
2021-10-21,588.64,601.98,587.11,601.02,256300,590.54,578.688,,56.835,-3.252,-7.952,4.7,578.688,612.841,544.535
2021-10-22,603.2,613.07,603.2,612.98,270000,596.776,578.108,,61.536,-0.698,-6.501,5.803,578.108,609.244,546.973
2021-10-25,613.48,625.8,605.12,615.75,386700,602.858,578.738,,62.553,1.532,-4.894,6.426,578.738,612.413,545.064
2021-10-26,615.89,623.49,606.16,607.34,310000,605.154,580.878,,57.575,2.591,-3.397,5.988,580.878,616.156,545.601
2021-10-27,610.54,622.53,601.06,601.56,357700,607.73,582.12,,54.373,2.93,-2.132,5.062,582.12,618.513,545.728
