Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,211.7,212.09,209.97,210.42,427400,,,,,0.0,0.0,0.0,,,
2021-07-13,210.93,211.33,208.95,209.44,393000,,,,,-0.078,-0.016,-0.063,,,
2021-07-14,210.66,211.74,209.72,210.11,479900,,,,,-0.085,-0.03,-0.056,,,
2021-07-15,209.8,211.09,208.78,209.85,440800,,,,,-0.11,-0.046,-0.065,,,
2021-07-16,209.75,210.79,207.18,207.36,583100,209.436,,,,-0.327,-0.102,-0.225,,,
2021-07-19,204.77,206.13,202.93,204.17,578600,208.186,,,,-0.748,-0.231,-0.517,,,
2021-07-20,205.32,206.94,204.62,206.03,727600,207.504,,,,-0.921,-0.369,-0.552,,,
2021-07-21,206.82,207.07,205.15,206.82,485900,206.846,,,,-0.983,-0.492,-0.491,,,
2021-07-22,206.11,207.51,205.05,207.48,419400,206.372,,,,-0.968,-0.587,-0.38,,,
2021-07-23,208.81,209.53,207.27,208.97,453800,206.694,,,,-0.826,-0.635,-0.191,,,
2021-07-26,208.63,210.04,208.06,209.89,451100,207.838,,,,-0.632,-0.634,0.003,,,
2021-07-27,208.69,209.79,206.97,208.93,503300,208.418,,,,-0.549,-0.617,0.068,,,
2021-07-28,209.16,209.68,207.94,208.77,551500,208.808,,,,-0.491,-0.592,0.101,,,
2021-07-29,211.13,211.9,210.36,210.93,526800,209.498,,,,-0.267,-0.527,0.26,,,
2021-07-30,210.44,211.58,210.44,211.07,656100,209.918,,,58.932,-0.078,-0.437,0.359,,,
2021-08-02,211.95,213.42,210.87,211.07,569000,210.154,,,58.932,0.071,-0.335,0.407,,,
2021-08-03,211.43,212.37,210.19,212.07,418700,210.782,,,63.097,0.267,-0.215,0.482,,,
2021-08-04,212.08,212.76,209.27,209.98,680500,211.024,,,51.37,0.251,-0.122,0.373,,,
2021-08-05,210.17,210.97,208.15,209.51,608100,210.74,,,49.158,0.198,-0.058,0.256,,,
2021-08-06,212.34,218.58,211.35,215.4,1252500,211.606,209.413,,67.848,0.624,0.078,0.545,209.413,214.169,204.658
2021-08-09,215.4,217.94,214.81,215.07,719500,212.406,209.646,,66.375,0.924,0.248,0.676,209.646,215.022,204.27
2021-08-10,215.17,217.2,215.17,216.53,605800,213.298,210.001,,69.526,1.265,0.451,0.814,210.001,216.193,203.808
2021-08-11,217.43,217.43,213.76,214.11,557000,214.124,210.2,,59.564,1.325,0.626,0.699,210.2,216.66,203.741
2021-08-12,214.16,217.33,213.73,217.31,852300,215.684,210.573,,66.416,1.612,0.823,0.789,210.573,217.768,203.379
2021-08-13,218.1,219.73,217.58,219.65,616500,216.534,211.188,,70.371,2.005,1.06,0.946,211.188,219.271,203.105
2021-08-16,219.2,221.54,218.46,221.42,576700,217.804,212.05,,72.964,2.432,1.334,1.098,212.05,220.646,203.455
2021-08-17,220.47,221.37,219.82,220.95,578400,218.688,212.796,,71.182,2.701,1.607,1.093,212.796,221.773,203.82
2021-08-18,220.62,222.13,219.45,220.48,649700,219.962,213.48,,69.359,2.843,1.855,0.989,213.48,222.619,204.34
2021-08-19,218.52,225.25,218.49,223.78,874200,221.256,214.295,,74.331,3.185,2.121,1.065,214.295,224.066,204.523
2021-08-20,223.64,226.24,222.85,226.22,1209000,222.57,215.157,,77.269,3.612,2.419,1.193,215.157,225.942,204.372
2021-08-23,226.89,227.34,224.8,225.31,698300,223.348,215.928,,73.873,3.833,2.702,1.131,215.928,227.316,204.54
2021-08-24,225.28,226.48,224.51,225.39,585000,224.236,216.751,,73.982,3.968,2.955,1.013,216.751,228.386,205.116
2021-08-25,226.13,228.66,225.62,227.48,874200,225.636,217.687,,76.698,4.196,3.203,0.993,217.687,229.624,205.749
2021-08-26,227.85,229.52,226.63,229.1,481500,226.7,218.595,,78.566,4.455,3.454,1.002,218.595,231.119,206.071
2021-08-27,230.06,230.51,228.15,228.87,748700,227.23,219.485,,77.614,4.59,3.681,0.909,219.485,232.284,206.686
2021-08-30,229.06,230.74,228.88,230.52,382000,228.272,220.457,,79.529,4.774,3.9,0.875,220.457,233.518,207.397
2021-08-31,230.84,230.84,228.49,230.2,1071700,229.234,221.364,,78.133,4.839,4.087,0.752,221.364,234.489,208.239
2021-09-01,230.19,230.2,228.55,229.48,620200,229.634,222.339,,74.946,4.777,4.225,0.552,222.339,234.783,209.895
2021-09-02,230.4,231.99,228.95,231.91,553000,230.196,223.459,,78.181,4.868,4.354,0.514,223.459,235.044,211.874
2021-09-03,231.42,232.27,230.54,230.79,558300,230.58,224.229,,73.472,4.795,4.442,0.352,224.229,235.602,212.855
2021-09-07,230.12,231.63,229.23,230.81,661800,230.638,225.015,,73.503,4.684,4.49,0.193,225.015,235.888,214.143
2021-09-08,230.98,232.67,230.62,232.29,403500,231.056,225.804,,75.74,4.662,4.525,0.137,225.804,236.367,215.24
2021-09-09,232.59,232.79,229.72,229.99,967300,231.158,226.598,,66.364,4.408,4.501,-0.093,226.598,235.753,217.442
2021-09-10,231.43,231.43,228.57,228.75,623600,230.526,227.17,,61.914,4.06,4.413,-0.353,227.17,235.248,219.091
2021-09-13,229.99,230.5,226.67,227.87,845100,229.942,227.581,,58.895,3.671,4.265,-0.594,227.581,234.844,220.317
