Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,118.83,120.49,118.19,118.29,770800,,,,,0.0,0.0,0.0,,,
2021-09-08,117.78,118.54,116.65,117.3,653600,,,,,-0.079,-0.016,-0.063,,,
2021-09-09,117.01,119.1,116.6,117.89,767900,,,,,-0.093,-0.031,-0.062,,,
2021-09-10,118.88,118.88,115.95,116.01,584100,,,,,-0.253,-0.076,-0.177,,,
2021-09-13,117.48,118.8,116.66,117.46,894900,117.39,,,,-0.259,-0.112,-0.147,,,
2021-09-14,117.21,118.03,113.45,114.23,999000,116.578,,,,-0.519,-0.194,-0.326,,,
2021-09-15,114.56,118.06,114.24,117.3,830800,116.578,,,,-0.472,-0.249,-0.223,,,
2021-09-16,117.99,118.97,116.3,117.51,818000,116.502,,,,-0.413,-0.282,-0.131,,,
2021-09-17,117.08,118.73,117.08,117.54,1694000,116.808,,,,-0.36,-0.298,-0.062,,,
2021-09-20,114.52,114.66,112.31,114.46,852600,116.208,,,,-0.559,-0.35,-0.209,,,
2021-09-21,114.89,115.55,113.19,113.99,548400,116.16,,,,-0.747,-0.429,-0.318,,,
2021-09-22,115.64,117.78,115.08,116.65,738300,116.03,,,,-0.673,-0.478,-0.195,,,
2021-09-23,118.31,122.49,117.94,121.3,858300,116.788,,,,-0.237,-0.43,0.193,,,
2021-09-24,121.51,123.26,121.04,122.42,668000,117.764,,,,0.197,-0.305,0.502,,,
2021-09-27,125.2,130.61,124.16,129.23,1572700,120.718,,,75.83,1.078,-0.028,1.106,,,
2021-09-28,130.32,130.52,128.2,129.15,1394900,123.75,,,75.535,1.749,0.327,1.422,,,
2021-09-29,129.51,131.64,128.29,130.74,810900,126.568,,,77.412,2.383,0.738,1.644,,,
2021-09-30,131.82,132.21,127.52,127.62,1453000,127.832,,,66.613,2.602,1.111,1.491,,,
2021-10-01,130.17,131.76,128.13,130.58,955600,129.464,,,70.778,2.981,1.485,1.496,,,
2021-10-04,131.11,133.11,130.38,131.3,1151600,129.878,121.049,,71.703,3.301,1.849,1.453,121.049,133.491,108.606
2021-10-05,132.82,133.82,131.29,131.44,987600,130.336,121.706,,71.889,3.526,2.184,1.342,121.706,134.902,108.51
2021-10-06,130.31,130.44,127.12,130.1,993100,130.208,122.346,,67.321,3.555,2.458,1.097,122.346,135.88,108.812
2021-10-07,131.38,132.47,130.53,131.34,583600,130.952,123.018,,69.267,3.636,2.694,0.942,123.018,136.951,109.086
2021-10-08,130.75,132.68,130.45,131.38,783100,131.112,123.787,,69.331,3.661,2.887,0.774,123.787,137.787,109.787
2021-10-11,132.16,132.66,129.3,129.45,722300,130.742,124.386,,62.614,3.485,3.007,0.478,124.386,138.272,110.501
2021-10-12,128.87,129.89,128.13,128.77,620500,130.208,125.114,,60.394,3.253,3.056,0.197,125.114,138.263,111.964
2021-10-13,127.86,128.45,124.53,127.53,816700,129.694,125.625,,56.462,2.935,3.032,-0.096,125.625,138.281,112.969
2021-10-14,128.73,129.13,127.36,129.06,961900,129.238,126.202,,59.929,2.775,2.98,-0.205,126.202,138.343,114.062
2021-10-15,130.65,130.96,128.26,129.15,659300,128.792,126.783,,60.13,2.625,2.909,-0.284,126.783,138.273,115.293
