Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,27.0,27.34,26.6,27.28,8815800,,,,,0.0,0.0,0.0,,,
2021-07-13,26.85,26.97,26.08,26.09,11494700,,,,,-0.095,-0.019,-0.076,,,
2021-07-14,26.28,26.67,25.1,25.2,17008700,,,,,-0.239,-0.063,-0.176,,,
2021-07-15,24.96,24.98,23.47,24.45,30168600,,,,,-0.409,-0.132,-0.277,,,
2021-07-16,24.91,24.91,23.03,23.14,22478300,25.232,,,,-0.643,-0.234,-0.408,,,
2021-07-19,21.73,22.47,21.28,21.87,32529100,24.15,,,,-0.919,-0.371,-0.548,,,
2021-07-20,22.01,23.94,21.81,23.68,24894600,23.668,,,,-0.981,-0.493,-0.488,,,
2021-07-21,24.01,26.2,24.0,26.08,31731200,23.844,,,,-0.827,-0.56,-0.267,,,
2021-07-22,25.67,25.81,24.94,25.64,18786400,24.082,,,,-0.732,-0.594,-0.137,,,
2021-07-23,25.75,25.92,24.78,24.87,15576000,24.428,,,,-0.71,-0.618,-0.093,,,
2021-07-26,24.61,26.09,24.58,26.02,16866500,25.258,,,,-0.594,-0.613,0.019,,,
2021-07-27,25.8,26.38,25.15,25.45,12786800,25.612,,,,-0.541,-0.598,0.057,,,
2021-07-28,25.92,26.14,24.82,25.52,14779600,25.5,,,,-0.488,-0.576,0.088,,,
2021-07-29,25.76,26.02,25.29,25.31,9930600,25.434,,,,-0.458,-0.553,0.095,,,
2021-07-30,24.83,25.25,23.87,24.03,16416400,25.266,,,39.266,-0.531,-0.548,0.017,,,
2021-08-02,24.06,24.92,23.51,23.58,15418300,24.778,,,37.152,-0.618,-0.562,-0.056,,,
2021-08-03,23.66,23.71,22.51,23.19,17723400,24.326,,,35.375,-0.71,-0.592,-0.118,,,
2021-08-04,22.75,23.32,22.34,22.6,16008200,23.742,,,32.817,-0.822,-0.638,-0.184,,,
2021-08-05,22.66,24.23,22.62,24.18,16943900,23.516,,,44.409,-0.773,-0.665,-0.109,,,
2021-08-06,24.56,24.97,23.75,24.89,16975900,23.688,24.654,,48.693,-0.67,-0.666,-0.004,24.654,27.376,21.931
2021-08-09,24.59,24.8,23.59,24.66,14873200,23.904,24.522,,47.419,-0.6,-0.653,0.053,24.522,26.949,22.096
2021-08-10,24.78,26.0,24.65,25.82,15646900,24.43,24.509,,53.965,-0.446,-0.611,0.166,24.509,26.901,22.117
2021-08-11,25.65,26.39,25.08,26.27,15774600,25.164,24.562,,56.241,-0.284,-0.546,0.262,24.562,27.065,22.06
2021-08-12,25.85,26.0,25.15,25.82,11772900,25.492,24.631,,53.398,-0.19,-0.475,0.285,24.631,27.195,22.067
2021-08-13,25.73,25.75,24.85,25.04,13488400,25.522,24.726,,48.793,-0.176,-0.415,0.239,24.726,27.197,22.255
2021-08-16,24.61,24.86,24.02,24.63,11663300,25.516,24.864,,46.523,-0.196,-0.371,0.175,24.864,26.94,22.788
2021-08-17,24.1,24.27,23.28,23.71,13096600,25.094,24.866,,41.819,-0.283,-0.353,0.071,24.866,26.938,22.793
2021-08-18,23.65,24.42,23.29,23.9,12372200,24.62,24.756,,43.099,-0.332,-0.349,0.017,24.756,26.789,22.724
2021-08-19,23.45,23.64,22.59,23.06,15720000,24.068,24.628,,39.014,-0.434,-0.366,-0.068,24.628,26.749,22.506
2021-08-20,22.95,23.64,22.79,23.63,12708300,23.786,24.566,,42.964,-0.464,-0.386,-0.078,24.566,26.729,22.402
2021-08-23,23.95,24.78,23.95,24.64,14360600,23.788,24.496,,49.238,-0.401,-0.389,-0.012,24.496,26.55,22.443
2021-08-24,25.13,25.96,25.12,25.78,13530200,24.202,24.513,,55.225,-0.257,-0.362,0.106,24.513,26.604,22.422
2021-08-25,25.85,26.35,25.27,26.04,13268200,24.63,24.539,,56.486,-0.12,-0.314,0.194,24.539,26.695,22.383
2021-08-26,25.78,26.28,25.07,25.33,12302300,25.084,24.54,,52.167,-0.068,-0.265,0.197,24.54,26.697,22.383
2021-08-27,25.46,26.37,25.35,26.16,12165100,25.59,24.646,,56.367,0.04,-0.204,0.244,24.646,26.905,22.388
2021-08-30,26.4,26.4,25.3,25.37,10494900,25.736,24.736,,51.713,0.061,-0.151,0.212,24.736,26.959,22.513
2021-08-31,25.23,25.97,25.13,25.84,10786200,25.748,24.868,,54.139,0.114,-0.098,0.212,24.868,27.018,22.719
2021-09-01,26.0,26.15,24.98,25.16,12071800,25.572,24.996,,50.208,0.1,-0.058,0.159,24.996,26.863,23.13
2021-09-02,25.27,26.01,24.57,25.48,17256500,25.602,25.062,,51.975,0.114,-0.024,0.138,25.062,26.899,23.224
2021-09-03,25.36,25.6,24.43,24.62,13974400,25.294,25.048,,47.134,0.055,-0.008,0.063,25.048,26.895,23.201
2021-09-07,24.37,25.18,24.0,25.04,12489000,25.228,25.067,,49.603,0.041,0.002,0.039,25.067,26.905,23.229
2021-09-08,25.0,25.38,24.31,24.42,10943900,24.944,24.997,,46.175,-0.02,-0.002,-0.017,24.997,26.82,23.174
2021-09-09,24.36,25.56,24.19,24.94,12372300,24.9,24.931,,49.337,-0.025,-0.007,-0.018,24.931,26.653,23.208
2021-09-10,25.13,25.27,24.53,24.59,10629700,24.722,24.869,,47.322,-0.057,-0.017,-0.04,24.869,26.545,23.193
2021-09-13,24.87,25.51,24.12,25.3,12232400,24.858,24.882,,51.638,-0.025,-0.019,-0.007,24.882,26.567,23.197
2021-09-14,25.14,25.44,24.62,24.77,10077000,24.804,24.889,,48.447,-0.042,-0.023,-0.019,24.889,26.571,23.207
2021-09-15,24.68,25.16,24.34,25.07,9710100,24.934,24.957,,50.318,-0.031,-0.025,-0.006,24.957,26.546,23.368
2021-09-16,25.01,25.39,24.82,25.06,8317200,24.958,25.015,,50.253,-0.023,-0.024,0.002,25.015,26.524,23.506
2021-09-17,25.16,25.92,25.15,25.59,14203800,25.158,25.142,,53.693,0.027,-0.014,0.041,25.142,26.356,23.927
2021-09-20,25.01,25.25,24.47,25.11,14599600,25.12,25.216,24.878,50.3,0.026,-0.006,0.033,25.216,26.201,24.23
2021-09-21,25.35,25.69,24.76,24.99,11297500,25.164,25.233,24.833,49.459,0.016,-0.002,0.018,25.233,26.187,24.279
2021-09-22,25.23,26.32,25.22,26.01,14617800,25.352,25.245,24.831,56.169,0.09,0.017,0.073,25.245,26.231,24.258
2021-09-23,26.51,27.65,26.44,27.29,19853700,25.798,25.307,24.873,62.838,0.248,0.063,0.185,25.307,26.613,24.001
2021-09-24,27.33,28.25,27.2,28.1,21474300,26.3,25.446,24.946,66.328,0.434,0.137,0.297,25.446,27.253,23.638
2021-09-27,28.54,29.45,28.29,28.34,20178000,26.946,25.554,25.05,67.308,0.594,0.229,0.366,25.554,27.762,23.347
2021-09-28,28.24,28.85,27.75,27.93,13782200,27.534,25.682,25.171,63.888,0.68,0.319,0.361,25.682,28.129,23.236
2021-09-29,28.11,28.19,27.27,27.34,10434300,27.8,25.758,25.244,59.224,0.693,0.394,0.299,25.758,28.314,23.201
2021-09-30,27.24,27.25,26.44,26.71,11684800,27.684,25.835,25.257,54.637,0.644,0.444,0.2,25.835,28.409,23.261
2021-10-01,27.79,28.62,27.75,28.31,19404700,27.726,25.976,25.31,62.566,0.726,0.5,0.226,25.976,28.77,23.183
2021-10-04,28.34,28.56,27.39,27.47,13561500,27.552,26.119,25.362,56.939,0.716,0.543,0.172,26.119,28.912,23.326
2021-10-05,27.65,28.31,27.36,27.76,13013100,27.518,26.255,25.397,58.332,0.722,0.579,0.143,26.255,29.091,23.419
2021-10-06,27.36,27.78,26.89,27.59,12936600,27.568,26.414,25.44,57.165,0.706,0.604,0.101,26.414,29.171,23.656
2021-10-07,27.95,28.05,26.92,26.98,12665400,27.622,26.515,25.469,53.06,0.636,0.611,0.025,26.515,29.193,23.838
2021-10-08,27.03,27.27,26.33,26.35,10605900,27.23,26.604,25.49,49.136,0.524,0.593,-0.07,26.604,29.126,24.081
2021-10-11,26.22,26.87,25.95,26.24,9176600,26.984,26.65,25.534,48.462,0.421,0.559,-0.138,26.65,29.105,24.196
2021-10-12,26.3,27.18,26.1,27.04,10477200,26.84,26.764,25.603,53.461,0.4,0.527,-0.127,26.764,29.057,24.471
2021-10-13,27.04,27.09,26.33,26.53,9526200,26.628,26.837,25.67,50.123,0.338,0.489,-0.151,26.837,28.992,24.682
2021-10-14,26.77,26.92,26.41,26.6,7817900,26.552,26.914,25.75,50.579,0.291,0.45,-0.159,26.914,28.905,24.923
2021-10-15,27.08,27.41,26.48,26.53,7508100,26.588,26.961,25.797,50.086,0.245,0.409,-0.163,26.961,28.863,25.059
2021-10-18,26.35,26.45,25.73,26.13,11669100,26.566,27.012,25.822,47.251,0.175,0.362,-0.187,27.012,28.753,25.271
2021-10-19,26.13,26.21,25.59,25.62,11130300,26.282,27.044,25.841,43.842,0.077,0.305,-0.228,27.044,28.648,25.439
2021-10-20,25.71,25.88,25.28,25.6,12295900,26.096,27.023,25.837,43.709,-0.002,0.244,-0.246,27.023,28.692,25.354
2021-10-21,25.58,26.01,25.27,25.5,11014400,25.876,26.934,25.821,43.006,-0.072,0.18,-0.252,26.934,28.729,25.138
2021-10-22,25.26,25.55,24.91,25.48,9857800,25.666,26.802,25.814,42.858,-0.128,0.119,-0.246,26.802,28.622,24.983
2021-10-25,25.53,26.04,25.44,25.92,10596000,25.624,26.682,25.832,47.179,-0.135,0.068,-0.203,26.682,28.389,24.974
2021-10-26,26.4,26.68,25.81,25.91,11373600,25.682,26.58,25.858,47.092,-0.139,0.027,-0.166,26.58,28.215,24.946
2021-10-27,26.09,26.09,25.48,25.5,9227100,25.662,26.488,25.893,43.54,-0.174,-0.014,-0.161,26.488,28.149,24.828
2021-10-28,25.38,26.1,25.06,25.81,9710600,25.724,26.444,25.932,46.807,-0.175,-0.046,-0.129,26.444,28.128,24.759
2021-10-29,25.74,26.34,25.44,25.72,11916100,25.772,26.314,25.985,45.975,-0.18,-0.073,-0.108,26.314,27.778,24.85
2021-11-01,25.86,27.1,25.56,27.07,12734000,26.002,26.294,26.054,58.025,-0.075,-0.073,-0.002,26.294,27.701,24.887
2021-11-02,26.92,26.98,26.35,26.83,13378600,26.186,26.247,26.097,55.649,-0.011,-0.061,0.05,26.247,27.504,24.991
