Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,208.08,209.52,207.04,208.82,160800,,,,,0.0,0.0,0.0,,,
2021-07-13,208.15,209.38,207.41,207.59,134900,,,,,-0.098,-0.02,-0.078,,,
2021-07-14,208.01,210.39,207.56,208.37,162300,,,,,-0.112,-0.038,-0.074,,,
2021-07-15,207.59,210.78,207.59,209.73,128700,,,,,-0.012,-0.033,0.02,,,
2021-07-16,210.57,211.53,209.22,209.37,175800,208.776,,,,0.037,-0.019,0.056,,,
2021-07-19,206.97,207.58,204.59,206.19,135200,208.25,,,,-0.179,-0.051,-0.128,,,
2021-07-20,206.9,212.74,206.9,211.3,229300,208.992,,,,0.062,-0.028,0.09,,,
2021-07-21,212.31,213.98,211.08,211.87,113400,209.692,,,,0.295,0.036,0.259,,,
2021-07-22,211.68,212.29,209.42,210.13,106500,209.772,,,,0.336,0.096,0.24,,,
2021-07-23,211.24,212.32,209.71,212.31,75100,210.36,,,,0.538,0.184,0.353,,,
2021-07-26,212.31,212.32,209.98,211.66,145100,211.454,,,,0.638,0.275,0.363,,,
2021-07-27,211.66,211.66,208.55,208.92,118000,210.978,,,,0.491,0.318,0.172,,,
2021-07-28,209.28,211.3,207.98,210.15,94100,210.634,,,,0.468,0.348,0.12,,,
2021-07-29,211.28,214.21,210.59,212.36,106300,211.08,,,,0.621,0.403,0.218,,,
2021-07-30,211.36,214.07,211.36,213.39,213600,211.296,,,61.609,0.816,0.485,0.33,,,
2021-08-02,214.26,216.85,213.72,214.25,128500,211.814,,,63.735,1.028,0.594,0.434,,,
2021-08-03,214.77,216.36,213.97,215.3,137200,213.09,,,66.196,1.266,0.728,0.538,,,
2021-08-04,215.06,215.81,213.57,213.75,106500,213.81,,,59.75,1.315,0.846,0.469,,,
2021-08-05,214.0,214.68,211.94,212.79,136700,213.896,,,56.105,1.261,0.929,0.332,,,
2021-08-06,213.09,214.54,211.66,212.25,84900,213.668,211.025,,54.106,1.162,0.975,0.186,211.025,215.803,206.247
2021-08-09,211.55,211.55,208.3,209.63,129800,212.744,211.066,,45.614,0.862,0.953,-0.091,211.066,215.778,206.353
2021-08-10,210.51,211.74,208.55,209.14,159200,211.512,211.143,,44.216,0.578,0.878,-0.3,211.143,215.662,206.624
2021-08-11,210.63,211.92,209.63,210.78,112900,210.918,211.263,,49.765,0.479,0.798,-0.319,211.263,215.596,206.931
2021-08-12,211.23,214.61,209.56,213.79,148200,211.118,211.466,,58.018,0.637,0.766,-0.129,211.466,215.876,207.057
2021-08-13,214.16,216.21,212.98,215.71,159500,211.81,211.784,,62.276,0.906,0.794,0.113,211.784,216.462,207.105
2021-08-16,215.1,216.86,213.07,216.61,95500,213.206,212.305,,64.113,1.179,0.871,0.308,212.305,216.67,207.939
2021-08-17,215.0,216.25,213.39,215.98,101600,214.574,212.539,,61.843,1.329,0.962,0.366,212.539,217.171,207.906
2021-08-18,215.29,216.76,213.88,214.27,82900,215.272,212.658,,56.041,1.295,1.029,0.266,212.658,217.342,207.975
2021-08-19,213.22,215.62,213.05,213.4,112100,215.194,212.822,,53.302,1.184,1.06,0.124,212.822,217.36,208.284
2021-08-20,213.87,217.59,212.92,217.28,125900,215.508,213.07,,62.181,1.393,1.126,0.266,213.07,218.017,208.124
2021-08-23,218.53,220.04,217.59,218.49,139900,215.884,213.412,,64.451,1.637,1.229,0.409,213.412,218.865,207.959
2021-08-24,218.36,221.75,218.36,220.7,138800,216.828,214.001,,68.205,1.987,1.38,0.606,214.001,219.935,208.067
2021-08-25,221.49,222.29,219.69,220.86,163600,218.146,214.537,,68.465,2.25,1.554,0.696,214.537,220.923,208.15
2021-08-26,220.37,222.24,219.08,219.89,131100,219.444,214.913,,64.999,2.354,1.714,0.64,214.913,221.638,208.188
2021-08-27,220.81,222.99,220.02,220.87,159300,220.162,215.287,,66.826,2.486,1.869,0.618,215.287,222.472,208.102
2021-08-30,220.61,226.34,220.41,225.86,335700,221.636,215.868,,74.208,2.96,2.087,0.873,215.868,224.441,207.294
2021-08-31,228.82,230.62,223.76,225.65,413300,222.626,216.385,,73.467,3.28,2.326,0.955,216.385,226.001,206.769
2021-09-01,226.67,229.37,222.82,227.87,265700,224.028,217.091,,76.176,3.671,2.595,1.077,217.091,227.892,206.29
2021-09-02,228.5,232.28,227.74,229.43,285100,225.936,217.923,,77.884,4.06,2.888,1.172,217.923,229.836,206.01
2021-09-03,228.75,231.36,227.59,228.35,209500,227.432,218.728,,73.932,4.232,3.157,1.076,218.728,231.19,206.266
2021-09-07,228.56,231.73,226.47,230.07,257300,228.274,219.75,,76.019,4.456,3.417,1.04,219.75,232.421,207.079
2021-09-08,230.05,232.11,229.7,231.64,214700,229.472,220.875,,77.769,4.706,3.674,1.032,220.875,233.575,208.175
2021-09-09,231.59,232.57,228.46,229.92,174800,229.882,221.832,,71.605,4.711,3.882,0.829,221.832,234.21,209.454
2021-09-10,230.91,232.09,227.73,228.01,146200,229.598,222.543,,65.405,4.509,4.007,0.502,222.543,234.605,210.481
2021-09-13,229.71,230.74,226.15,227.06,148700,229.34,223.11,,62.506,4.223,4.05,0.173,223.11,234.884,211.337
2021-09-14,227.72,230.01,226.42,228.92,213000,229.11,223.726,,65.711,4.1,4.06,0.039,223.726,235.354,212.098
2021-09-15,228.98,231.64,228.35,230.46,189100,228.874,224.45,,68.139,4.079,4.064,0.015,224.45,235.849,213.051
2021-09-16,231.06,231.48,228.77,230.17,144300,228.924,225.245,,67.174,3.993,4.05,-0.057,225.245,235.844,214.646
2021-09-17,229.66,230.01,226.35,228.72,511400,229.066,226.011,,62.416,3.765,3.993,-0.228,226.011,235.114,216.908
2021-09-20,225.69,228.83,224.9,227.67,155300,229.188,226.53,217.754,59.149,3.459,3.886,-0.427,226.53,234.671,218.39
2021-09-21,228.26,228.26,225.37,227.66,181400,228.936,226.989,218.131,59.118,3.18,3.745,-0.565,226.989,234.203,219.775
2021-09-22,229.27,230.21,228.36,228.46,142100,228.536,227.377,218.548,60.924,2.988,3.594,-0.605,227.377,233.975,220.779
2021-09-23,228.91,231.91,228.91,231.26,115300,228.754,227.897,219.006,66.503,3.027,3.48,-0.453,227.897,233.949,221.845
2021-09-24,230.82,231.89,230.13,230.66,99900,229.142,228.436,219.425,64.381,2.976,3.379,-0.404,228.436,233.285,223.586
2021-09-27,230.5,232.38,229.91,231.53,153800,229.914,228.968,219.868,66.071,2.971,3.298,-0.327,228.968,232.474,225.463
2021-09-28,230.84,232.13,227.64,228.81,132700,230.144,229.116,220.32,56.971,2.716,3.181,-0.465,229.116,232.304,225.928
2021-09-29,229.6,230.96,228.69,229.73,140400,230.398,229.32,220.689,59.027,2.559,3.057,-0.498,229.32,232.066,226.574
2021-09-30,230.82,231.6,225.07,225.23,213100,229.192,229.188,220.956,47.159,2.048,2.855,-0.807,229.188,232.435,225.941
2021-10-01,226.14,228.53,222.5,226.51,140700,228.362,229.042,221.284,50.225,1.726,2.629,-0.903,229.042,232.499,225.585
2021-10-04,227.45,230.2,226.3,227.54,230200,227.564,229.002,221.588,52.607,1.536,2.411,-0.874,229.002,232.512,225.491
2021-10-05,227.71,229.81,226.35,228.3,214700,227.462,228.913,221.921,54.344,1.431,2.215,-0.784,228.913,232.399,225.427
2021-10-06,226.08,226.97,221.39,225.58,135300,226.632,228.61,222.254,47.619,1.115,1.995,-0.88,228.61,232.151,225.069
2021-10-07,227.23,229.65,226.59,227.97,156500,227.18,228.512,222.611,53.11,1.046,1.805,-0.759,228.512,232.009,225.016
2021-10-08,227.94,227.95,223.3,225.07,198700,226.892,228.366,222.865,46.711,0.748,1.594,-0.846,228.366,232.183,224.548
2021-10-11,224.45,227.37,224.45,225.02,232400,226.388,228.263,223.097,46.607,0.502,1.375,-0.873,228.263,232.329,224.198
2021-10-12,225.8,226.53,223.78,224.1,92000,225.548,228.022,223.294,44.633,0.23,1.146,-0.916,228.022,232.477,223.568
2021-10-13,224.36,225.86,222.53,225.57,168700,225.546,227.778,223.5,48.394,0.132,0.943,-0.811,227.778,232.206,223.35
2021-10-14,227.53,230.88,227.32,230.48,145700,226.048,227.794,223.834,58.528,0.445,0.844,-0.398,227.794,232.259,223.328
2021-10-15,231.15,233.96,230.66,231.44,138100,227.322,227.93,224.207,60.174,0.762,0.828,-0.065,227.93,232.67,223.189
2021-10-18,230.58,232.51,230.58,231.22,108500,228.562,228.107,224.587,59.591,0.984,0.859,0.125,228.107,233.068,223.146
2021-10-19,232.68,234.45,230.86,234.44,96300,230.63,228.446,225.083,64.951,1.404,0.968,0.436,228.446,234.149,222.743
2021-10-20,233.66,236.25,232.63,232.8,102100,232.076,228.663,225.556,60.546,1.586,1.092,0.494,228.663,234.69,222.636
2021-10-21,232.16,237.72,231.39,237.69,160100,233.518,228.984,226.094,67.602,2.1,1.293,0.807,228.984,236.169,221.8
2021-10-22,237.83,242.09,237.71,240.25,205700,235.28,229.464,226.624,70.57,2.684,1.571,1.112,229.464,238.226,220.702
2021-10-25,240.83,243.84,231.89,242.23,156000,237.482,229.999,227.154,72.656,3.268,1.911,1.358,229.999,240.439,219.559
2021-10-26,242.23,242.23,237.53,237.54,132700,238.102,230.436,227.573,61.53,3.315,2.192,1.123,230.436,241.383,219.488
2021-10-27,237.72,238.76,235.52,235.71,93400,238.684,230.734,227.967,57.81,3.168,2.387,0.781,230.734,241.925,219.544
2021-10-28,236.33,239.23,235.49,237.43,102800,238.632,231.344,228.43,60.243,3.153,2.54,0.613,231.344,242.602,220.087
2021-10-29,236.95,240.89,236.95,240.42,203400,238.666,232.04,228.971,64.117,3.345,2.701,0.644,232.04,243.749,220.331
2021-11-01,241.07,245.45,239.81,244.7,183600,239.16,232.898,229.519,68.803,3.798,2.92,0.878,232.898,245.684,220.112
2021-11-02,245.78,248.24,242.59,245.39,163700,240.73,233.752,230.057,69.494,4.165,3.169,0.996,233.752,247.493,220.012
2021-11-03,245.76,250.38,243.19,245.62,115100,242.712,234.754,230.556,69.735,4.423,3.42,1.003,234.754,248.903,220.606
2021-11-04,245.84,249.9,245.84,248.47,123300,244.92,235.78,231.108,72.62,4.802,3.697,1.106,235.78,250.802,220.757
2021-11-05,249.91,255.23,245.9,247.1,142700,246.256,236.881,231.652,69.205,4.936,3.944,0.991,236.881,251.827,221.935
2021-11-08,248.24,251.07,245.95,247.86,120500,246.888,238.023,232.192,70.047,5.044,4.164,0.88,238.023,252.64,223.406
2021-11-09,247.42,249.21,235.31,248.68,92700,247.546,239.252,232.648,70.968,5.137,4.359,0.778,239.252,253.05,225.454
2021-11-10,247.85,250.36,246.64,249.46,91700,248.314,240.446,233.124,71.856,5.214,4.53,0.684,240.446,253.366,227.527
2021-11-11,249.65,251.48,247.79,250.61,95200,248.742,241.453,233.579,73.158,5.306,4.685,0.621,241.453,254.239,228.667
2021-11-12,250.74,253.27,249.19,252.94,113500,249.91,242.528,234.049,75.62,5.504,4.849,0.655,242.528,255.385,229.671
2021-11-15,252.51,252.51,249.67,251.11,96400,250.56,243.522,234.505,70.176,5.45,4.969,0.481,243.522,255.758,231.287
2021-11-16,251.85,254.22,248.9,253.27,169500,251.478,244.464,234.969,72.676,5.518,5.079,0.439,244.464,256.655,232.273
2021-11-17,253.94,254.85,250.74,254.72,89600,252.53,245.56,235.43,74.238,5.625,5.188,0.436,245.56,257.267,233.853
