Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,54.99,55.46,54.49,54.66,4318300,,,,,0.0,0.0,0.0,,,
2021-07-13,54.73,55.71,54.65,54.82,5091600,,,,,0.013,0.003,0.01,,,
2021-07-14,55.43,55.97,54.75,54.81,4808600,,,,,0.022,0.006,0.015,,,
2021-07-15,54.88,55.2,54.57,54.92,4386400,,,,,0.037,0.013,0.025,,,
2021-07-16,54.69,54.69,53.09,53.4,6278500,54.522,,,,-0.072,-0.004,-0.068,,,
2021-07-19,52.8,53.14,51.83,52.5,8059500,54.09,,,,-0.229,-0.049,-0.18,,,
2021-07-20,52.77,53.53,51.91,52.28,5804300,53.582,,,,-0.366,-0.113,-0.254,,,
2021-07-21,51.74,52.49,51.55,52.21,5866800,53.062,,,,-0.476,-0.185,-0.29,,,
2021-07-22,52.42,52.45,51.17,52.08,4654500,52.494,,,,-0.566,-0.261,-0.305,,,
2021-07-23,51.47,52.08,51.06,52.0,7544100,52.214,,,,-0.637,-0.337,-0.301,,,
2021-07-26,52.0,53.03,51.78,52.24,4609300,52.162,,,,-0.666,-0.403,-0.264,,,
2021-07-27,52.22,53.13,51.78,53.04,4155200,52.314,,,,-0.618,-0.446,-0.172,,,
2021-07-28,52.92,53.6,52.77,53.53,4390000,52.578,,,,-0.534,-0.463,-0.07,,,
2021-07-29,54.43,54.88,54.07,54.25,5209400,53.012,,,,-0.404,-0.451,0.047,,,
2021-07-30,54.0,54.78,53.94,54.34,5480800,53.48,,,58.571,-0.291,-0.419,0.128,,,
2021-08-02,54.11,54.25,53.55,53.61,3723600,53.754,,,48.078,-0.257,-0.387,0.13,,,
2021-08-03,53.74,54.56,53.65,54.19,3866300,53.984,,,54.979,-0.181,-0.346,0.164,,,
2021-08-04,54.6,54.89,53.48,53.51,4036600,53.98,,,47.078,-0.174,-0.312,0.137,,,
2021-08-05,53.54,53.7,52.87,52.98,3376000,53.726,,,42.011,-0.209,-0.291,0.082,,,
2021-08-06,51.96,52.28,51.17,51.74,8796000,53.206,53.355,,33.048,-0.333,-0.299,-0.033,53.355,55.496,51.215
2021-08-09,51.17,51.66,50.88,50.9,5862100,52.664,53.168,,28.598,-0.493,-0.338,-0.155,53.168,55.479,50.856
2021-08-10,50.9,51.09,50.14,50.21,7730700,51.868,52.937,,25.553,-0.668,-0.404,-0.264,52.937,55.464,50.41
2021-08-11,50.82,51.81,50.8,51.26,6053400,51.418,52.76,,36.612,-0.714,-0.466,-0.248,52.76,55.231,50.288
2021-08-12,51.15,51.15,50.17,50.47,4130700,50.916,52.537,,32.679,-0.804,-0.534,-0.271,52.537,54.99,50.084
2021-08-13,51.03,51.18,50.58,50.9,4673000,50.748,52.412,,36.667,-0.832,-0.593,-0.239,52.412,54.934,49.89
2021-08-16,50.9,51.27,50.65,50.93,3974200,50.754,52.334,,36.947,-0.842,-0.643,-0.199,52.334,54.94,49.727
2021-08-17,50.69,51.22,50.49,50.91,4816300,50.894,52.265,,36.83,-0.841,-0.683,-0.159,52.265,54.949,49.581
2021-08-18,50.75,50.89,49.19,49.23,8108900,50.488,52.116,,28.62,-0.965,-0.739,-0.226,52.116,55.124,49.108
2021-08-19,49.18,49.39,48.75,48.89,5592900,50.172,51.957,,27.294,-1.079,-0.807,-0.272,51.957,55.293,48.62
2021-08-20,48.78,49.26,48.57,48.74,4164900,49.74,51.794,,26.706,-1.167,-0.879,-0.288,51.794,55.426,48.161
2021-08-23,49.44,50.32,49.09,49.98,5288800,49.55,51.681,,38.499,-1.124,-0.928,-0.196,51.681,55.394,47.967
2021-08-24,50.29,50.33,49.68,49.72,3143800,49.312,51.514,,37.15,-1.099,-0.962,-0.136,51.514,55.269,47.76
2021-08-25,49.37,50.0,48.88,49.23,3942800,49.312,51.3,,34.682,-1.105,-0.991,-0.114,51.3,55.061,47.538
2021-08-26,48.89,49.45,48.86,48.99,3152800,49.332,51.037,,33.508,-1.117,-1.016,-0.101,51.037,54.662,47.411
2021-08-27,49.02,50.39,48.73,50.33,5029900,49.65,50.836,,44.754,-1.006,-1.014,0.008,50.836,54.12,47.552
