Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,21.22,21.27,20.96,21.01,3552300,,,,,0.0,0.0,0.0,,,
2021-09-08,20.93,21.45,20.91,21.34,2686700,,,,,0.026,0.005,0.021,,,
2021-09-09,21.35,21.39,21.27,21.28,3525200,,,,,0.042,0.013,0.029,,,
2021-09-10,21.28,21.35,20.9,20.92,3289100,,,,,0.025,0.015,0.01,,,
2021-09-13,21.03,21.32,20.91,21.0,3986100,21.11,,,,0.018,0.016,0.002,,,
2021-09-14,21.07,21.15,20.57,20.66,3594000,21.04,,,,-0.015,0.009,-0.025,,,
2021-09-15,20.66,20.84,20.54,20.56,4415000,20.884,,,,-0.049,-0.002,-0.047,,,
2021-09-16,20.65,20.8,20.42,20.44,3151600,20.716,,,,-0.084,-0.019,-0.066,,,
2021-09-17,20.49,20.56,20.37,20.43,6367500,20.618,,,,-0.112,-0.037,-0.075,,,
2021-09-20,20.33,20.59,20.12,20.34,3180600,20.486,,,,-0.139,-0.058,-0.082,,,
2021-09-21,20.41,20.59,20.32,20.4,3588600,20.434,,,,-0.155,-0.077,-0.077,,,
2021-09-22,20.49,20.66,20.35,20.51,3760300,20.424,,,,-0.156,-0.093,-0.063,,,
2021-09-23,20.54,20.65,20.3,20.32,3088100,20.4,,,,-0.17,-0.108,-0.062,,,
2021-09-24,20.35,20.51,20.25,20.41,3415800,20.396,,,,-0.173,-0.121,-0.051,,,
2021-09-27,20.5,20.76,20.25,20.3,4850900,20.388,,,31.486,-0.181,-0.133,-0.048,,,
2021-09-28,20.31,20.43,20.1,20.26,4064500,20.36,,,30.401,-0.189,-0.144,-0.045,,,
2021-09-29,20.3,20.68,20.2,20.6,3378300,20.378,,,47.082,-0.166,-0.149,-0.017,,,
2021-09-30,20.66,20.72,20.46,20.6,4207300,20.434,,,47.082,-0.146,-0.148,0.002,,,
2021-10-01,20.76,20.81,20.55,20.66,4756900,20.484,,,49.556,-0.124,-0.143,0.02,,,
2021-10-04,20.69,21.02,20.63,20.9,5050700,20.604,20.647,,58.013,-0.086,-0.132,0.046,20.647,21.294,20.0
2021-10-05,20.88,20.94,20.62,20.73,4760400,20.698,20.633,,51.435,-0.069,-0.119,0.05,20.633,21.258,20.008
2021-10-06,20.62,21.0,20.42,20.95,3325000,20.768,20.614,,58.063,-0.037,-0.103,0.066,20.614,21.166,20.061
2021-10-07,20.97,21.11,20.83,20.88,3426600,20.824,20.594,,55.469,-0.017,-0.085,0.068,20.594,21.068,20.119
2021-10-08,20.83,20.94,20.75,20.77,2681700,20.846,20.586,,51.57,-0.01,-0.07,0.06,20.586,21.043,20.129
2021-10-11,20.77,20.85,20.63,20.69,2184000,20.804,20.57,,48.88,-0.011,-0.059,0.047,20.57,20.988,20.153
2021-10-12,20.66,20.83,20.6,20.71,3914800,20.8,20.573,,49.588,-0.01,-0.049,0.039,20.573,20.993,20.153
2021-10-13,20.91,21.09,20.83,20.99,4792100,20.808,20.595,,58.297,0.013,-0.036,0.05,20.595,21.054,20.135
2021-10-14,21.05,21.3,21.01,21.17,4533300,20.866,20.631,,62.753,0.046,-0.02,0.066,20.631,21.151,20.111
2021-10-15,21.17,21.26,21.04,21.15,2991600,20.942,20.667,,61.961,0.069,-0.002,0.071,20.667,21.226,20.108
2021-10-18,21.05,21.07,20.77,20.83,3059500,20.97,20.691,,50.892,0.061,0.01,0.05,20.691,21.233,20.15
2021-10-19,20.92,20.96,20.8,20.94,2061200,21.016,20.718,,53.938,0.063,0.021,0.042,20.718,21.253,20.184
2021-10-20,21.02,21.28,20.99,21.17,2976000,21.052,20.752,,59.583,0.082,0.033,0.049,20.752,21.312,20.191
2021-10-21,21.17,21.26,21.1,21.17,3952700,21.052,20.794,,59.583,0.096,0.045,0.05,20.794,21.346,20.242
2021-10-22,21.17,21.37,21.14,21.29,3149900,21.08,20.838,,62.374,0.115,0.059,0.056,20.838,21.401,20.275
2021-10-25,21.25,21.33,21.11,21.22,2233600,21.158,20.884,,59.781,0.123,0.072,0.051,20.884,21.411,20.357
2021-10-26,21.25,21.37,21.17,21.22,3200300,21.214,20.932,,59.781,0.128,0.083,0.045,20.932,21.391,20.473
2021-10-27,21.25,21.28,21.05,21.11,2931000,21.202,20.958,,55.571,0.122,0.091,0.031,20.958,21.395,20.52
2021-10-28,21.16,21.18,21.05,21.17,3112300,21.202,20.986,,57.336,0.121,0.097,0.024,20.986,21.399,20.573
2021-10-29,21.09,21.27,21.05,21.16,3494400,21.176,21.011,,56.93,0.117,0.101,0.016,21.011,21.4,20.622
2021-11-01,21.14,21.35,21.1,21.29,3017500,21.19,21.03,,60.814,0.124,0.106,0.018,21.03,21.435,20.626
2021-11-02,21.38,21.39,21.11,21.22,4268600,21.19,21.055,,57.792,0.122,0.109,0.013,21.055,21.442,20.668
2021-11-03,21.36,21.96,21.29,21.69,6673200,21.306,21.092,,68.949,0.156,0.118,0.038,21.092,21.568,20.616
2021-11-04,21.75,21.76,21.24,21.5,5797300,21.372,21.123,,61.833,0.167,0.128,0.039,21.123,21.621,20.625
2021-11-05,21.64,21.83,21.54,21.71,4811800,21.482,21.17,,66.009,0.189,0.14,0.049,21.17,21.704,20.636
2021-11-08,21.75,21.77,21.32,21.5,3434500,21.524,21.211,,59.051,0.188,0.15,0.038,21.211,21.713,20.708
2021-11-09,21.54,21.62,21.42,21.47,6084500,21.574,21.248,,58.109,0.183,0.156,0.026,21.248,21.705,20.792
2021-11-10,21.56,21.77,21.53,21.71,3497600,21.578,21.284,,63.172,0.196,0.164,0.031,21.284,21.767,20.802
2021-11-11,21.7,21.7,21.39,21.52,2749000,21.582,21.302,,57.271,0.188,0.169,0.019,21.302,21.793,20.811
2021-11-12,21.48,21.62,21.42,21.51,4483700,21.542,21.32,,56.969,0.18,0.171,0.009,21.32,21.814,20.826
2021-11-15,21.67,21.93,21.59,21.9,3636000,21.622,21.374,20.986,64.764,0.202,0.177,0.025,21.374,21.876,20.871
2021-11-16,22.0,22.02,21.66,21.68,2327300,21.664,21.411,20.999,58.344,0.2,0.182,0.018,21.411,21.886,20.935
2021-11-17,21.57,21.72,21.53,21.69,4132700,21.66,21.437,21.006,58.545,0.196,0.185,0.012,21.437,21.914,20.959
2021-11-18,21.71,21.79,21.48,21.54,2404000,21.664,21.455,21.011,54.308,0.179,0.184,-0.004,21.455,21.917,20.993
2021-11-19,21.51,21.65,21.4,21.63,10134400,21.688,21.472,21.025,56.349,0.171,0.181,-0.01,21.472,21.934,21.01
2021-11-22,21.65,21.95,21.52,21.84,5689700,21.676,21.503,21.042,60.754,0.18,0.181,-0.001,21.503,21.977,21.029
2021-11-23,21.93,22.18,21.79,21.9,2697200,21.72,21.537,21.067,61.936,0.189,0.183,0.007,21.537,22.023,21.051
2021-11-24,21.94,21.97,21.79,21.84,2289100,21.75,21.574,21.093,59.991,0.19,0.184,0.006,21.574,22.033,21.114
2021-11-26,21.64,21.73,21.39,21.43,1713200,21.728,21.586,21.112,48.726,0.155,0.178,-0.023,21.586,22.011,21.162
2021-11-29,21.55,21.72,21.28,21.65,4959500,21.732,21.611,21.137,53.745,0.144,0.171,-0.028,21.611,21.986,21.236
2021-11-30,21.5,21.53,21.0,21.02,6013800,21.568,21.598,21.15,41.283,0.083,0.154,-0.071,21.598,22.035,21.16
2021-12-01,21.23,21.56,20.91,20.93,5812600,21.374,21.583,21.161,39.861,0.027,0.128,-0.101,21.583,22.087,21.079
2021-12-02,21.0,21.47,20.95,21.29,5562600,21.264,21.563,21.177,47.631,0.012,0.105,-0.093,21.563,22.081,21.045
2021-12-03,21.41,21.58,21.25,21.53,4730000,21.284,21.564,21.201,52.077,0.019,0.088,-0.069,21.564,22.082,21.047
2021-12-06,21.71,22.14,21.65,22.02,3604500,21.358,21.58,21.233,59.614,0.064,0.083,-0.02,21.58,22.133,21.027
2021-12-07,21.99,22.3,21.89,22.15,4674300,21.584,21.612,21.27,61.351,0.108,0.088,0.02,21.612,22.22,21.005
2021-12-08,22.2,22.31,22.1,22.14,5971800,21.826,21.646,21.308,61.133,0.141,0.099,0.042,21.646,22.293,20.999
2021-12-09,22.18,22.3,22.03,22.17,4060200,22.002,21.669,21.339,61.574,0.167,0.112,0.055,21.669,22.357,20.981
2021-12-10,22.29,22.34,22.13,22.24,3904200,22.144,21.705,21.372,62.639,0.192,0.128,0.063,21.705,22.434,20.976
2021-12-13,22.27,22.62,22.22,22.53,3354800,22.246,21.756,21.409,66.749,0.232,0.149,0.083,21.756,22.566,20.946
2021-12-14,22.56,22.7,22.42,22.48,4438000,22.312,21.785,21.441,65.413,0.257,0.17,0.086,21.785,22.656,20.914
2021-12-15,22.56,22.83,22.45,22.81,3728100,22.446,21.842,21.482,69.721,0.299,0.196,0.103,21.842,22.823,20.86
2021-12-16,22.83,23.26,22.81,23.08,5271700,22.628,21.911,21.525,72.715,0.351,0.227,0.124,21.911,23.034,20.788
2021-12-17,22.96,23.21,22.93,23.05,7150000,22.79,21.986,21.568,71.865,0.385,0.259,0.126,21.986,23.204,20.769
2021-12-20,22.85,23.22,22.74,23.18,4300400,22.92,22.064,21.617,73.321,0.418,0.291,0.127,22.064,23.379,20.749
2021-12-21,23.33,23.41,22.96,23.0,3642900,23.024,22.122,21.663,68.068,0.424,0.317,0.107,22.122,23.496,20.748
2021-12-22,22.96,23.14,22.91,23.09,1871400,23.08,22.182,21.71,69.254,0.432,0.34,0.092,22.182,23.617,20.746
2021-12-23,23.15,23.23,23.02,23.04,2113200,23.072,22.242,21.751,67.748,0.429,0.358,0.071,22.242,23.717,20.766
2021-12-27,23.04,23.25,22.98,23.22,3176600,23.106,22.331,21.792,70.255,0.436,0.373,0.062,22.331,23.816,20.846
2021-12-28,23.22,23.46,23.22,23.46,1666600,23.162,22.422,21.839,73.242,0.455,0.39,0.066,22.422,23.952,20.891
2021-12-29,23.53,23.76,23.4,23.76,3222000,23.314,22.559,21.897,76.428,0.49,0.41,0.08,22.559,24.051,21.066
2021-12-30,23.83,23.88,23.52,23.63,2503800,23.422,22.694,21.951,72.405,0.5,0.428,0.072,22.694,24.047,21.34
2021-12-31,23.62,23.8,23.56,23.68,2686700,23.55,22.813,22.001,72.994,0.507,0.444,0.063,22.813,24.063,21.563
2022-01-03,23.67,23.7,23.33,23.6,2972300,23.626,22.916,22.05,70.405,0.5,0.455,0.045,22.916,24.058,21.775
2022-01-04,23.65,23.91,23.59,23.69,3840400,23.672,23.0,22.098,71.624,0.496,0.463,0.033,23.0,24.109,21.891
2022-01-05,23.8,23.99,23.69,23.82,3742700,23.684,23.083,22.15,73.333,0.498,0.47,0.028,23.083,24.174,21.993
2022-01-06,23.89,23.92,23.68,23.71,2562200,23.7,23.162,22.2,69.518,0.485,0.473,0.012,23.162,24.191,22.133
2022-01-07,23.71,23.99,23.52,23.9,3838100,23.744,23.248,22.255,72.207,0.484,0.475,0.009,23.248,24.215,22.282
2022-01-10,23.9,24.03,23.7,23.82,6248700,23.788,23.327,22.308,69.43,0.472,0.475,-0.003,23.327,24.201,22.454
2022-01-11,23.81,23.88,23.46,23.85,5969600,23.82,23.394,22.362,69.897,0.459,0.472,-0.012,23.394,24.211,22.576
2022-01-12,23.76,24.03,23.69,23.97,4115100,23.85,23.468,22.416,71.758,0.454,0.468,-0.014,23.468,24.202,22.734
2022-01-13,23.98,24.39,23.94,24.3,5476400,23.968,23.542,22.477,76.129,0.47,0.468,0.002,23.542,24.298,22.787
