Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,20.17,20.46,20.12,20.44,321984000,,,,,0.0,0.0,0.0,,,
2021-07-13,20.33,20.39,20.04,20.18,290708000,,,,,-0.021,-0.004,-0.017,,,
2021-07-14,20.29,20.35,19.68,19.77,380100000,,,,,-0.069,-0.017,-0.052,,,
2021-07-15,19.74,19.78,18.79,18.9,550564000,,,,,-0.176,-0.049,-0.127,,,
2021-07-16,18.96,19.09,18.01,18.1,688224000,19.478,,,,-0.322,-0.104,-0.218,,,
2021-07-19,17.85,18.98,17.8,18.72,749060000,19.134,,,,-0.383,-0.159,-0.223,,,
2021-07-20,18.67,18.77,18.1,18.55,434687000,18.808,,,,-0.439,-0.215,-0.224,,,
2021-07-21,18.82,19.46,18.68,19.34,371017000,18.722,,,,-0.416,-0.255,-0.16,,,
2021-07-22,19.57,19.82,19.21,19.53,323826000,18.848,,,,-0.378,-0.28,-0.098,,,
2021-07-23,19.59,19.63,19.18,19.49,195672000,19.126,,,,-0.347,-0.293,-0.053,,,
2021-07-26,19.24,19.37,18.85,19.23,203943000,19.228,,,,-0.339,-0.302,-0.037,,,
2021-07-27,19.2,19.55,18.68,19.14,248863000,19.346,,,,-0.336,-0.309,-0.027,,,
2021-07-28,19.25,19.58,18.93,19.44,202191000,19.366,,,,-0.307,-0.309,0.002,,,
2021-07-29,19.45,19.78,19.26,19.59,190781000,19.378,,,,-0.268,-0.3,0.033,,,
2021-07-30,19.35,19.56,19.2,19.43,183497000,19.366,,,45.281,-0.247,-0.29,0.043,,,
2021-08-02,19.63,19.89,19.29,19.68,217444000,19.456,,,49.945,-0.208,-0.273,0.065,,,
2021-08-03,19.67,20.15,19.15,19.75,301811000,19.578,,,51.199,-0.17,-0.253,0.083,,,
2021-08-04,19.92,20.25,19.76,20.2,231309000,19.73,,,58.414,-0.102,-0.222,0.121,,,
2021-08-05,20.43,20.66,20.27,20.57,211435000,19.926,,,63.228,-0.018,-0.181,0.164,,,
2021-08-06,20.45,20.5,20.14,20.3,178497000,20.1,19.518,,57.956,0.027,-0.14,0.167,19.518,20.804,18.231
2021-08-09,20.38,20.44,20.07,20.23,146443000,20.21,19.507,,56.637,0.056,-0.101,0.156,19.507,20.765,18.249
2021-08-10,20.25,20.36,19.77,19.87,179238000,20.234,19.492,,50.299,0.049,-0.071,0.12,19.492,20.722,18.261
2021-08-11,19.97,19.98,19.36,19.63,185925000,20.12,19.484,,46.559,0.024,-0.052,0.076,19.484,20.71,18.259
2021-08-12,19.8,19.96,19.55,19.84,151652000,19.974,19.532,,50.058,0.021,-0.037,0.058,19.532,20.734,18.329
2021-08-13,19.84,20.14,19.78,20.12,183063000,19.938,19.632,,54.351,0.041,-0.022,0.062,19.632,20.655,18.61
2021-08-16,20.07,20.22,19.39,19.88,210876000,19.868,19.69,,50.356,0.037,-0.01,0.047,19.69,20.622,18.759
2021-08-17,19.62,19.7,19.2,19.39,204585000,19.772,19.732,,43.349,-0.006,-0.009,0.003,19.732,20.511,18.954
