Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,5012.0,5047.48,4941.2,4961.67,25300,,,,,0.0,0.0,0.0,,,
2021-07-13,4933.46,4945.66,4800.17,4820.29,25100,,,,,-11.278,-2.256,-9.023,,,
2021-07-14,4836.0,4920.34,4813.16,4862.35,16500,,,,,-16.631,-5.131,-11.5,,,
2021-07-15,4836.86,4858.85,4737.23,4824.31,20400,,,,,-23.669,-8.838,-14.831,,,
2021-07-16,4849.16,4915.27,4799.59,4800.0,15300,4853.724,,,,-30.853,-13.241,-17.612,,,
2021-07-19,4764.0,4854.21,4751.0,4788.01,22600,4818.992,,,,-37.087,-18.01,-19.076,,,
2021-07-20,4820.16,4910.97,4790.23,4900.27,24300,4834.988,,,,-32.592,-20.927,-11.666,,,
2021-07-21,4901.49,5049.99,4800.0,4893.76,23300,4841.27,,,,-29.219,-22.585,-6.634,,,
2021-07-22,4860.0,5036.01,4842.03,5014.64,20600,4879.336,,,,-16.601,-21.388,4.788,,,
2021-07-23,5015.69,5130.03,4998.6,5130.03,10800,4945.342,,,,2.68,-16.575,19.255,,,
2021-07-26,5114.88,5114.88,5013.58,5032.69,19000,4994.278,,,,9.99,-11.262,21.252,,,
2021-07-27,5013.22,5114.17,4988.62,5106.14,12400,5035.452,,,,21.463,-4.717,26.18,,,
2021-07-28,5119.25,5143.86,5045.91,5064.95,12500,5069.69,,,,26.921,1.611,25.31,,,
2021-07-29,5100.0,5255.83,5100.0,5244.89,16100,5115.74,,,,45.245,10.338,34.907,,,
2021-07-30,5240.0,5292.0,5209.43,5222.6,12700,5134.254,,,67.505,57.307,19.732,37.576,,,
2021-08-02,5267.59,5270.01,5210.01,5227.42,9100,5173.2,,,67.75,66.49,29.083,37.406,,,
2021-08-03,5244.8,5295.23,5190.23,5295.23,12800,5211.018,,,71.049,78.335,38.934,39.402,,,
2021-08-04,5253.21,5299.99,5213.02,5243.56,15600,5246.74,,,65.547,82.601,47.667,34.934,,,
2021-08-05,5280.0,5329.99,5242.09,5313.57,16500,5260.476,,,69.045,90.587,56.251,34.336,,,
2021-08-06,5320.0,5332.08,5201.91,5212.95,13900,5258.546,5047.966,,59.668,87.785,62.558,25.227,5047.966,5411.808,4684.125
2021-08-09,5204.6,5232.41,5139.63,5154.97,17600,5244.056,5057.632,,55.031,79.964,66.039,13.925,5057.632,5422.09,4693.173
2021-08-10,5150.0,5249.96,5140.0,5195.01,10200,5224.012,5076.367,,57.488,76.119,68.055,8.064,5076.367,5427.745,4724.99
