Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,24.29,24.78,23.8,24.69,1567900,,,,,0.0,0.0,0.0,,,
2021-07-13,24.63,24.63,24.1,24.12,1478100,,,,,-0.045,-0.009,-0.036,,,
2021-07-14,24.23,24.43,23.85,23.9,1456200,,,,,-0.098,-0.027,-0.071,,,
2021-07-15,23.82,24.14,23.72,23.81,1483500,,,,,-0.145,-0.051,-0.095,,,
2021-07-16,23.94,24.04,23.11,23.15,1474100,23.934,,,,-0.234,-0.087,-0.146,,,
2021-07-19,22.84,23.15,22.66,22.83,3828700,23.562,,,,-0.325,-0.135,-0.191,,,
2021-07-20,22.85,23.31,22.5,23.25,3475300,23.388,,,,-0.36,-0.18,-0.18,,,
2021-07-21,23.37,23.76,23.26,23.52,1637000,23.312,,,,-0.362,-0.216,-0.145,,,
2021-07-22,23.5,23.52,23.18,23.33,991700,23.216,,,,-0.374,-0.248,-0.126,,,
2021-07-23,23.33,23.69,23.22,23.66,1737600,23.318,,,,-0.353,-0.269,-0.084,,,
2021-07-26,24.34,24.34,23.56,23.71,2276900,23.494,,,,-0.329,-0.281,-0.048,,,
2021-07-27,23.57,23.77,23.34,23.63,1223000,23.57,,,,-0.312,-0.287,-0.025,,,
2021-07-28,23.8,23.9,23.41,23.66,1094300,23.598,,,,-0.293,-0.288,-0.005,,,
2021-07-29,23.76,23.85,23.48,23.5,1089700,23.632,,,,-0.288,-0.288,0.0,,,
2021-07-30,23.43,23.7,23.39,23.54,1990500,23.608,,,38.4,-0.277,-0.286,0.009,,,
2021-08-02,23.62,23.92,23.54,23.65,2426500,23.596,,,42.043,-0.257,-0.28,0.023,,,
2021-08-03,23.69,23.72,22.8,23.01,1885300,23.472,,,30.676,-0.289,-0.282,-0.007,,,
2021-08-04,23.35,23.57,23.12,23.26,2778000,23.392,,,37.756,-0.291,-0.284,-0.007,,,
