Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-27,195.39,198.98,194.04,197.66,1069800,,,,,0.0,0.0,0.0,,,
2021-09-28,193.98,195.21,187.86,188.08,2201900,,,,,-0.764,-0.153,-0.611,,,
2021-09-29,185.09,185.89,180.49,181.3,1976600,,,,,-1.895,-0.501,-1.394,,,
2021-09-30,182.96,183.8,178.52,178.67,2343100,,,,,-2.969,-0.995,-1.974,,,
2021-10-01,179.09,179.96,174.23,175.95,3381500,184.332,,,,-3.994,-1.595,-2.399,,,
2021-10-04,176.7,176.91,171.41,172.36,2551700,179.272,,,,-5.038,-2.283,-2.754,,,
2021-10-05,173.94,176.59,172.11,174.8,2246300,176.616,,,,-5.604,-2.947,-2.656,,,
2021-10-06,172.1,175.09,171.87,174.14,1847300,175.184,,,,-6.036,-3.565,-2.471,,,
2021-10-07,176.52,180.04,176.52,176.83,1514500,174.816,,,,-6.091,-4.07,-2.02,,,
2021-10-08,177.43,177.58,173.31,173.6,1394200,174.346,,,,-6.322,-4.521,-1.802,,,
2021-10-11,172.71,174.37,169.43,169.61,2144000,173.796,,,,-6.75,-4.966,-1.783,,,
2021-10-12,170.72,171.26,166.33,167.1,3021000,172.256,,,,-7.208,-5.415,-1.793,,,
2021-10-13,168.23,169.87,166.39,167.02,2765500,170.832,,,,-7.491,-5.83,-1.661,,,
2021-10-14,170.58,173.26,170.36,172.49,2682300,169.964,,,,-7.191,-6.102,-1.089,,,
2021-10-15,173.67,174.89,172.49,173.14,1772500,169.872,,,32.344,-6.823,-6.246,-0.576,,,
2021-10-18,171.68,175.43,170.72,175.38,2028200,171.026,,,37.853,-6.278,-6.253,-0.025,,,
2021-10-19,175.9,179.82,174.7,179.66,2100400,173.538,,,46.771,-5.437,-6.09,0.652,,,
2021-10-20,179.3,182.25,177.68,180.18,2100400,176.17,,,47.752,-4.676,-5.807,1.131,,,
2021-10-21,179.06,183.82,178.79,183.58,1688600,178.388,,,53.753,-3.754,-5.396,1.642,,,
2021-10-22,183.88,185.57,182.33,182.37,1829500,180.234,177.196,,51.487,-3.086,-4.934,1.848,177.196,191.682,162.71
2021-10-25,183.04,184.38,182.24,182.7,1390500,181.698,176.448,,52.08,-2.501,-4.448,1.946,176.448,187.66,165.236
2021-10-26,183.42,183.5,176.75,178.93,2706600,181.552,175.991,,45.267,-2.315,-4.021,1.706,175.991,185.871,166.11
2021-10-27,176.71,178.04,174.08,175.51,2882400,180.618,175.701,,40.138,-2.416,-3.7,1.284,175.701,185.261,166.141
2021-10-28,177.27,182.56,177.09,182.35,1930900,180.372,175.885,,51.882,-1.922,-3.344,1.423,175.885,185.82,165.95
2021-10-29,180.38,184.09,179.9,183.22,1604600,180.542,176.248,,53.141,-1.443,-2.964,1.521,176.248,186.711,165.786
