Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-09,39.8,40.51,39.45,39.99,1545700,,,,,0.0,0.0,0.0,,,
2021-09-10,40.52,40.6,39.99,40.06,1560300,,,,,0.006,0.001,0.004,,,
2021-09-13,40.59,41.21,40.47,40.76,2243600,,,,,0.066,0.014,0.052,,,
2021-09-14,41.13,41.13,40.21,40.48,1748000,,,,,0.09,0.029,0.061,,,
2021-09-15,40.68,42.53,40.63,42.51,3784700,40.76,,,,0.27,0.077,0.192,,,
2021-09-16,42.51,42.79,41.97,42.41,2389800,41.244,,,,0.399,0.142,0.258,,,
2021-09-17,42.27,42.7,41.92,42.1,4598700,41.652,,,,0.472,0.208,0.264,,,
2021-09-20,40.96,40.96,39.77,40.44,4309100,41.588,,,,0.391,0.244,0.146,,,
2021-09-21,41.06,41.27,40.33,40.68,2838500,41.628,,,,0.342,0.264,0.078,,,
2021-09-22,41.25,42.27,41.25,41.86,2257700,41.498,,,,0.394,0.29,0.104,,,
2021-09-23,42.66,44.01,42.3,43.85,3559000,41.786,,,,0.589,0.35,0.239,,,
2021-09-24,43.58,44.06,43.36,43.86,3197700,42.138,,,,0.736,0.427,0.309,,,
2021-09-27,44.55,45.54,44.38,44.95,3343400,43.04,,,,0.929,0.527,0.402,,,
2021-09-28,45.37,45.62,44.31,44.48,2713300,43.8,,,,1.033,0.628,0.404,,,
2021-09-29,44.71,45.38,44.19,44.88,2228100,44.404,,,74.139,1.134,0.73,0.405,,,
2021-09-30,45.04,45.04,44.21,44.25,2663300,44.484,,,67.457,1.15,0.814,0.337,,,
2021-10-01,44.5,45.56,44.09,45.37,2052400,44.786,,,72.246,1.239,0.899,0.34,,,
2021-10-04,45.84,46.92,45.64,45.83,3036500,44.962,,,73.942,1.332,0.985,0.346,,,
2021-10-05,46.62,46.99,45.7,45.96,2351200,45.258,,,74.418,1.399,1.068,0.331,,,
2021-10-06,45.46,45.99,44.67,45.87,2414400,45.456,43.03,,73.419,1.429,1.14,0.289,43.03,47.306,38.753
2021-10-07,45.94,46.7,45.93,46.36,1924600,45.878,43.348,,75.359,1.475,1.207,0.268,43.348,47.62,39.076
2021-10-08,46.69,47.25,46.51,47.03,1455400,46.21,43.696,,77.751,1.548,1.275,0.272,43.696,47.976,39.417
2021-10-11,47.56,47.91,47.03,47.24,1885500,46.492,44.021,,78.457,1.604,1.341,0.263,44.021,48.345,39.696
2021-10-12,47.32,48.47,47.03,48.04,2165700,46.908,44.398,,80.938,1.693,1.411,0.282,44.398,48.742,40.055
2021-10-13,47.52,48.4,47.15,48.28,2036300,47.39,44.687,,81.622,1.763,1.482,0.281,44.687,49.262,40.112
2021-10-14,48.92,49.43,48.66,49.26,1924400,47.97,45.03,,84.126,1.876,1.561,0.315,45.03,49.903,40.156
2021-10-15,49.6,50.13,49.57,49.7,1960600,48.504,45.41,,85.107,1.978,1.644,0.334,45.41,50.502,40.317
2021-10-18,49.99,50.59,49.37,49.75,2919600,49.006,45.875,,85.219,2.04,1.723,0.317,45.875,50.752,40.998
2021-10-19,49.95,50.19,49.47,49.71,1748100,49.34,46.326,,84.671,2.062,1.791,0.271,46.326,50.837,41.816
2021-10-20,49.64,50.31,49.41,49.7,1702400,49.624,46.718,,84.525,2.054,1.844,0.211,46.718,50.948,42.489
2021-10-21,49.45,49.79,48.54,49.08,3054700,49.588,46.98,,75.785,1.976,1.87,0.106,46.98,51.108,42.852
