Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,66.32,66.87,65.8,66.65,1307000,,,,,0.0,0.0,0.0,,,
2021-07-13,66.6,66.76,65.12,65.19,1061500,,,,,-0.116,-0.023,-0.093,,,
2021-07-14,65.53,66.37,65.39,65.98,1477500,,,,,-0.143,-0.047,-0.096,,,
2021-07-15,65.32,66.36,65.27,65.73,1375000,,,,,-0.183,-0.074,-0.108,,,
2021-07-16,66.01,66.11,64.75,64.82,1354500,65.674,,,,-0.284,-0.116,-0.168,,,
2021-07-19,63.52,64.4,63.28,63.91,3054500,65.126,,,,-0.433,-0.18,-0.253,,,
2021-07-20,64.91,64.91,60.61,61.16,4855600,64.32,,,,-0.764,-0.297,-0.467,,,
2021-07-21,61.36,62.96,61.27,61.68,3571300,63.46,,,,-0.973,-0.432,-0.541,,,
2021-07-22,62.04,62.06,59.65,60.26,2713600,62.366,,,,-1.239,-0.593,-0.646,,,
2021-07-23,60.49,60.8,59.61,60.51,1657900,61.504,,,,-1.413,-0.757,-0.656,,,
2021-07-26,60.6,61.49,60.56,61.32,2511000,60.986,,,,-1.469,-0.9,-0.57,,,
2021-07-27,60.78,61.56,60.27,61.49,1106200,61.052,,,,-1.483,-1.016,-0.467,,,
2021-07-28,61.57,61.73,60.35,60.95,1004400,60.906,,,,-1.52,-1.117,-0.403,,,
2021-07-29,61.54,62.14,61.26,61.29,1191800,61.112,,,,-1.504,-1.194,-0.31,,,
2021-07-30,61.23,61.96,60.75,60.95,1915100,61.2,,,27.918,-1.502,-1.256,-0.246,,,
2021-08-02,61.28,62.43,61.0,61.11,1004400,61.158,,,29.734,-1.47,-1.299,-0.171,,,
2021-08-03,61.31,61.31,59.99,60.99,2304100,61.058,,,29.141,-1.438,-1.327,-0.111,,,
2021-08-04,60.58,61.13,59.76,59.86,1427600,60.84,,,24.238,-1.487,-1.359,-0.128,,,
2021-08-05,60.24,61.66,60.24,61.58,2052800,60.898,,,40.616,-1.371,-1.361,-0.01,,,
2021-08-06,62.1,62.55,61.57,62.0,1316800,61.108,62.372,,43.811,-1.231,-1.335,0.104,62.372,66.638,58.105
2021-08-09,61.73,61.93,60.94,61.37,1124600,61.16,62.107,,40.308,-1.157,-1.299,0.142,62.107,65.884,58.331
