Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,37.89,38.46,37.66,38.44,4250200,,,,,0.0,0.0,0.0,,,
2021-07-13,38.31,38.36,37.85,37.92,2840800,,,,,-0.041,-0.008,-0.033,,,
2021-07-14,38.42,39.1,37.6,37.66,3711600,,,,,-0.094,-0.025,-0.069,,,
2021-07-15,37.35,37.47,35.67,36.3,7195400,,,,,-0.243,-0.069,-0.174,,,
2021-07-16,36.79,36.79,35.06,35.15,5537700,37.094,,,,-0.449,-0.145,-0.304,,,
2021-07-19,34.56,35.05,34.01,34.79,5578100,36.364,,,,-0.633,-0.243,-0.391,,,
2021-07-20,34.88,35.94,34.37,35.51,7288800,35.882,,,,-0.713,-0.337,-0.376,,,
2021-07-21,35.92,37.03,35.86,36.87,7055800,35.724,,,,-0.659,-0.401,-0.258,,,
2021-07-22,36.39,36.59,35.77,35.87,3397200,35.638,,,,-0.689,-0.459,-0.23,,,
2021-07-23,36.3,36.45,35.56,36.35,3666600,35.878,,,,-0.667,-0.5,-0.166,,,
2021-07-26,36.0,36.76,35.99,36.69,3783100,36.258,,,,-0.614,-0.523,-0.091,,,
2021-07-27,36.31,36.46,34.81,35.82,4434400,36.32,,,,-0.635,-0.546,-0.09,,,
2021-07-28,36.08,37.37,35.97,37.06,5288100,36.358,,,,-0.546,-0.546,-0.0,,,
2021-07-29,37.47,38.89,37.41,38.61,7263000,36.906,,,,-0.346,-0.506,0.16,,,
2021-07-30,38.0,39.47,38.0,39.06,7540000,37.448,,,61.468,-0.149,-0.434,0.285,,,
2021-08-02,42.93,45.18,42.29,43.64,17480200,38.838,,,76.48,0.372,-0.273,0.645,,,
2021-08-03,43.87,45.42,43.65,45.38,13185600,40.75,,,79.714,0.914,-0.036,0.95,,,
2021-08-04,45.25,46.29,45.25,45.67,7843400,42.472,,,80.202,1.352,0.242,1.11,,,
2021-08-05,45.82,46.01,44.35,44.82,10222200,43.714,,,74.536,1.612,0.516,1.096,,,
2021-08-06,45.23,45.6,44.49,45.28,6067500,44.958,38.844,,75.543,1.834,0.78,1.055,38.844,46.461,31.228
