Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,84.27,84.27,82.15,82.26,2056300,,,,,0.0,0.0,0.0,,,
2021-09-08,82.03,83.8,81.94,83.49,2312400,,,,,0.098,0.02,0.078,,,
2021-09-09,83.6,83.99,82.94,83.27,1610300,,,,,0.156,0.047,0.109,,,
2021-09-10,83.77,83.97,83.01,83.33,1494900,,,,,0.205,0.079,0.126,,,
2021-09-13,84.05,84.4,82.28,82.78,2013200,83.026,,,,0.197,0.102,0.095,,,
2021-09-14,83.02,83.59,82.15,83.16,2113700,83.206,,,,0.219,0.125,0.093,,,
2021-09-15,83.36,83.36,82.33,83.15,2868600,83.138,,,,0.232,0.147,0.085,,,
2021-09-16,83.15,83.15,80.64,81.17,3171200,82.718,,,,0.082,0.134,-0.052,,,
2021-09-17,80.3,80.48,78.12,78.24,11037500,81.7,,,,-0.27,0.053,-0.323,,,
2021-09-20,77.3,77.67,75.71,76.55,4458100,80.454,,,,-0.677,-0.093,-0.584,,,
2021-09-21,76.68,77.42,75.4,75.46,4208800,78.914,,,,-1.076,-0.289,-0.786,,,
2021-09-22,77.18,78.73,76.49,77.57,3488600,77.798,,,,-1.208,-0.473,-0.734,,,
2021-09-23,77.79,79.89,77.33,78.91,4250200,77.346,,,,-1.19,-0.616,-0.574,,,
2021-09-24,78.61,79.28,77.82,78.1,1874200,77.318,,,,-1.227,-0.739,-0.489,,,
2021-09-27,77.81,78.35,77.35,77.52,1614400,77.512,,,34.462,-1.289,-0.849,-0.44,,,
2021-09-28,76.91,77.45,76.13,77.04,2440600,77.828,,,32.809,-1.361,-0.951,-0.41,,,
2021-09-29,77.21,77.66,76.49,76.68,1784600,77.65,,,31.585,-1.43,-1.047,-0.383,,,
2021-09-30,77.19,77.38,75.71,75.72,2354800,77.012,,,28.529,-1.545,-1.147,-0.398,,,
2021-10-01,76.07,76.38,74.59,75.92,2530400,76.576,,,30.048,-1.601,-1.238,-0.364,,,
2021-10-04,75.57,76.5,75.08,75.38,2474600,76.148,79.285,,28.299,-1.67,-1.324,-0.346,79.285,85.549,73.021
2021-10-05,75.72,77.07,75.33,76.72,2080900,76.084,79.008,,37.947,-1.598,-1.379,-0.219,79.008,85.208,72.808
2021-10-06,76.19,76.84,74.74,76.26,1916800,76.0,78.646,,36.149,-1.56,-1.415,-0.145,78.646,84.584,72.709
2021-10-07,77.25,78.33,77.1,77.65,2487900,76.386,78.366,,44.68,-1.402,-1.413,0.01,78.366,83.9,72.831
2021-10-08,77.22,77.66,76.06,76.8,1942600,76.562,78.039,,41.067,-1.33,-1.396,0.066,78.039,83.09,72.988
2021-10-11,76.6,76.84,75.06,75.11,2134100,76.508,77.656,,35.005,-1.393,-1.395,0.002,77.656,82.342,72.969
2021-10-12,75.29,75.63,74.8,75.41,2368900,76.246,77.268,,36.789,-1.403,-1.397,-0.006,77.268,81.27,73.266
2021-10-13,75.69,75.73,74.62,74.8,1519300,75.954,76.85,,34.703,-1.443,-1.406,-0.037,76.85,79.896,73.805
2021-10-14,75.43,76.84,75.42,76.76,2166500,75.776,76.63,,45.411,-1.302,-1.385,0.084,76.63,78.899,74.361
2021-10-15,77.23,77.94,76.84,77.4,1681400,75.896,76.588,,48.387,-1.125,-1.333,0.208,76.588,78.76,74.416
2021-10-18,76.99,77.18,76.36,76.68,1452300,76.21,76.594,,45.389,-1.031,-1.273,0.242,76.594,78.767,74.422
2021-10-19,77.3,77.99,77.09,77.69,1388000,76.666,76.706,,50.063,-0.865,-1.191,0.326,76.706,78.862,74.55
2021-10-20,77.88,79.57,77.52,78.65,2339900,77.436,76.76,,54.086,-0.649,-1.083,0.434,76.76,79.057,74.463
2021-10-21,77.47,78.58,76.84,78.55,1917700,77.794,76.742,,53.601,-0.48,-0.962,0.482,76.742,78.973,74.511
2021-10-22,79.02,79.8,78.6,78.8,2678500,78.074,76.777,,54.694,-0.323,-0.834,0.512,76.777,79.117,74.437
2021-10-25,74.63,77.26,74.63,75.34,3623700,77.806,76.668,,40.487,-0.471,-0.762,0.29,76.668,79.064,74.272
2021-10-26,75.77,76.02,73.4,73.87,3657600,77.042,76.51,,36.186,-0.7,-0.749,0.05,76.51,79.203,73.816
2021-10-27,74.24,74.39,73.15,73.37,2896600,75.986,76.344,,34.831,-0.911,-0.782,-0.129,76.344,79.379,73.309
2021-10-28,73.26,73.77,72.34,73.55,2435300,74.986,76.235,,35.764,-1.051,-0.835,-0.216,76.235,79.51,72.961
2021-10-29,73.22,74.99,73.2,73.91,2870500,74.008,76.135,,37.684,-1.12,-0.892,-0.228,76.135,79.569,72.701
2021-11-01,74.05,74.69,73.74,74.47,1846100,73.834,76.09,,40.657,-1.117,-0.937,-0.18,76.09,79.59,72.589
2021-11-02,74.85,74.96,73.76,74.65,1465500,73.99,75.986,,41.621,-1.088,-0.968,-0.12,75.986,79.53,72.442
2021-11-03,74.8,75.3,73.27,74.19,2306700,74.154,75.882,,39.84,-1.089,-0.992,-0.097,75.882,79.512,72.253
2021-11-04,74.49,75.34,74.35,75.32,1943200,74.508,75.766,,45.959,-0.987,-0.991,0.004,75.766,79.305,72.227
2021-11-05,75.58,76.12,75.06,75.2,1500900,74.766,75.686,,45.43,-0.906,-0.974,0.068,75.686,79.199,72.173
2021-11-08,75.57,75.82,74.91,75.69,2422400,75.01,75.715,,48.056,-0.793,-0.938,0.145,75.715,79.218,72.212
2021-11-09,75.83,77.0,75.53,76.88,3078900,75.456,75.788,,53.863,-0.6,-0.87,0.27,75.788,79.326,72.251
2021-11-10,77.26,77.72,76.56,76.72,2986300,75.962,75.884,,53.005,-0.455,-0.787,0.332,75.884,79.413,72.356
2021-11-11,76.8,77.03,76.17,76.75,1743500,76.248,75.884,,53.156,-0.334,-0.697,0.362,75.884,79.412,72.356
2021-11-12,77.25,78.82,76.67,78.8,1737600,76.968,75.954,,62.099,-0.072,-0.572,0.5,75.954,79.66,72.248
2021-11-15,78.69,78.77,77.25,77.45,1319100,77.32,75.992,77.383,54.694,0.027,-0.452,0.479,75.992,79.746,72.239
2021-11-16,77.82,78.22,77.51,77.78,1532800,77.5,75.997,77.293,56.073,0.13,-0.336,0.466,75.997,79.759,72.235
2021-11-17,77.64,79.19,77.39,78.75,2657800,77.906,76.002,77.198,59.933,0.287,-0.211,0.498,76.002,79.779,72.225
2021-11-18,78.25,79.76,78.15,79.58,2586400,78.472,76.054,77.125,62.934,0.473,-0.074,0.547,76.054,80.001,72.106
2021-11-19,79.77,81.06,79.43,79.61,2901700,78.634,76.094,77.05,63.042,0.615,0.063,0.552,76.094,80.175,72.013
2021-11-22,79.6,79.73,77.4,77.71,1770400,78.686,76.212,76.949,52.61,0.568,0.164,0.404,76.212,80.338,72.087
2021-11-23,77.52,77.87,77.08,77.35,1683000,78.6,76.386,76.833,50.891,0.496,0.231,0.266,76.386,80.388,72.385
2021-11-24,77.2,78.03,76.48,77.95,1024700,78.44,76.616,76.729,53.611,0.482,0.281,0.201,76.616,80.409,72.822
2021-11-26,76.53,77.73,76.14,76.77,1170100,77.878,76.776,76.641,47.983,0.371,0.299,0.072,76.776,80.285,73.268
2021-11-29,77.62,77.84,76.59,77.13,1934300,77.382,76.938,76.618,49.717,0.309,0.301,0.008,76.938,80.177,73.698
2021-11-30,76.67,77.13,73.97,74.2,2602300,76.68,76.924,76.571,38.474,0.023,0.246,-0.222,76.924,80.209,73.639
2021-12-01,75.4,76.91,74.22,74.25,2247400,76.06,76.904,76.547,38.728,-0.197,0.157,-0.354,76.904,80.252,73.556
2021-12-02,74.62,76.66,74.62,76.46,2224700,75.762,77.018,76.525,48.813,-0.191,0.087,-0.279,77.018,80.123,73.912
2021-12-03,76.92,77.15,75.6,76.41,2236400,75.69,77.072,76.475,48.618,-0.188,0.032,-0.221,77.072,80.089,74.055
2021-12-06,76.97,77.97,76.3,77.53,2046200,75.77,77.188,76.464,53.133,-0.095,0.007,-0.102,77.188,80.078,74.299
2021-12-07,78.57,79.61,78.19,79.09,2093000,76.748,77.358,76.495,58.592,0.104,0.026,0.078,77.358,80.277,74.44
2021-12-08,79.04,79.84,78.17,79.56,2923600,77.81,77.492,76.545,60.1,0.296,0.08,0.216,77.492,80.561,74.424
2021-12-09,79.4,79.93,78.6,79.54,2406900,78.426,77.634,76.603,60.0,0.442,0.153,0.289,77.634,80.81,74.457
2021-12-10,79.66,79.89,79.18,79.44,2379000,79.032,77.768,76.677,59.466,0.543,0.231,0.312,77.768,81.014,74.522
2021-12-13,79.6,79.96,78.26,78.8,2502400,79.286,77.768,76.735,56.033,0.565,0.298,0.267,77.768,81.014,74.522
2021-12-14,78.51,78.81,77.59,78.27,2178600,79.122,77.809,76.792,53.289,0.533,0.345,0.189,77.809,81.058,74.56
2021-12-15,78.49,78.8,77.04,78.37,2011900,78.884,77.838,76.825,53.749,0.511,0.378,0.133,77.838,81.097,74.58
2021-12-16,79.1,80.17,78.64,79.84,3345100,78.944,77.893,76.897,59.989,0.604,0.423,0.181,77.893,81.251,74.535
2021-12-17,78.84,79.99,77.54,77.67,2875700,78.59,77.798,76.897,49.394,0.497,0.438,0.059,77.798,81.061,74.534
2021-12-20,76.83,76.83,74.36,75.98,2440500,78.026,77.616,76.881,43.021,0.273,0.405,-0.132,77.616,80.859,74.373
2021-12-21,76.9,77.78,76.42,77.69,1415100,77.91,77.615,76.933,50.045,0.231,0.37,-0.139,77.615,80.858,74.372
2021-12-22,77.64,78.04,77.19,77.81,1014500,77.798,77.638,76.981,50.506,0.205,0.337,-0.132,77.638,80.879,74.397
2021-12-23,78.31,78.99,77.92,78.68,933100,77.566,77.674,77.058,53.832,0.252,0.32,-0.069,77.674,80.947,74.402
2021-12-27,79.12,79.87,78.99,79.85,674400,78.002,77.828,77.12,57.928,0.378,0.332,0.047,77.828,81.21,74.447
2021-12-28,79.82,80.02,79.49,79.79,730200,78.764,77.962,77.168,57.646,0.469,0.359,0.11,77.962,81.435,74.488
2021-12-29,79.57,80.51,79.57,80.12,1229700,79.25,78.258,77.237,58.834,0.561,0.399,0.161,78.258,81.372,75.143
2021-12-30,80.17,80.54,79.64,79.7,864300,79.628,78.53,77.277,56.655,0.593,0.438,0.155,78.53,81.068,75.992
2021-12-31,79.52,80.82,79.52,80.36,985600,79.964,78.725,77.311,59.212,0.664,0.483,0.18,78.725,81.192,76.258
2022-01-03,80.48,81.42,78.06,78.97,2209600,79.788,78.853,77.319,52.224,0.601,0.507,0.094,78.853,81.067,76.639
2022-01-04,78.81,79.79,78.42,79.57,1739200,79.744,78.955,77.335,54.709,0.593,0.524,0.069,78.955,81.099,76.811
2022-01-05,79.86,80.39,77.27,77.37,2656900,79.194,78.869,77.375,45.389,0.404,0.5,-0.096,78.869,81.125,76.613
2022-01-06,77.7,78.43,77.32,78.18,1641400,78.89,78.8,77.462,48.844,0.316,0.463,-0.147,78.8,81.052,76.548
2022-01-07,77.89,78.69,77.72,77.85,2351500,78.388,78.715,77.551,47.525,0.217,0.414,-0.197,78.715,80.977,76.454
2022-01-10,77.35,78.16,76.1,78.13,1940000,78.22,78.65,77.643,48.789,0.16,0.363,-0.203,78.65,80.899,76.401
2022-01-11,78.63,79.64,77.69,79.59,2334200,78.224,78.69,77.756,54.89,0.229,0.336,-0.107,78.69,80.977,76.402
2022-01-12,80.03,80.6,79.49,80.24,2864100,78.798,78.788,77.872,57.328,0.333,0.336,-0.003,78.788,81.167,76.409
2022-01-13,80.37,80.92,78.94,79.15,3365800,78.992,78.827,77.962,52.231,0.324,0.333,-0.01,78.827,81.203,76.451
2022-01-14,78.32,79.04,76.64,77.69,2870400,78.96,78.72,78.032,46.294,0.196,0.306,-0.11,78.72,81.097,76.342
2022-01-18,76.65,77.66,75.38,77.42,2640500,78.818,78.707,78.074,45.269,0.072,0.259,-0.187,78.707,81.11,76.304
2022-01-19,77.71,77.93,76.46,76.69,2632200,78.238,78.742,78.104,42.527,-0.084,0.191,-0.274,78.742,80.992,76.493
2022-01-20,77.15,77.61,75.53,75.87,3534500,77.364,78.652,78.107,39.625,-0.27,0.099,-0.369,78.652,81.207,76.096
2022-01-21,75.87,77.43,75.28,76.7,2844000,76.874,78.596,78.104,43.806,-0.347,0.009,-0.357,78.596,81.274,75.918
2022-01-24,75.38,76.92,73.96,76.81,4451900,76.698,78.503,78.105,44.356,-0.395,-0.071,-0.323,78.503,81.296,75.709
2022-01-25,75.43,77.18,74.68,76.57,4027200,76.528,78.338,78.102,43.359,-0.447,-0.146,-0.3,78.338,81.183,75.494
2022-01-26,77.13,78.09,74.75,75.23,3633100,76.236,78.11,78.03,38.196,-0.589,-0.235,-0.354,78.11,81.187,75.034
2022-01-27,75.95,76.99,75.03,76.24,3093400,76.31,77.917,78.006,43.643,-0.613,-0.311,-0.303,77.917,80.949,74.884
2022-01-28,75.87,76.43,74.61,76.39,4367500,76.248,77.751,77.978,44.426,-0.614,-0.371,-0.242,77.751,80.734,74.768
2022-01-31,75.03,79.09,74.31,78.84,4710600,76.654,77.675,77.98,55.344,-0.411,-0.379,-0.032,77.675,80.448,74.902
2022-02-01,79.23,79.71,75.28,77.12,4970900,76.764,77.582,77.931,48.187,-0.385,-0.38,-0.005,77.582,80.297,74.868
2022-02-02,77.36,77.81,76.07,76.85,2889900,77.088,77.446,77.876,47.156,-0.382,-0.381,-0.001,77.446,80.01,74.883
2022-02-03,76.29,77.18,75.45,75.54,2902900,76.948,77.355,77.832,42.415,-0.48,-0.401,-0.079,77.355,80.057,74.653
2022-02-04,74.99,76.81,74.73,76.08,3508500,76.886,77.25,77.807,44.875,-0.508,-0.422,-0.086,77.25,79.98,74.52
