Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,53.1,53.39,52.41,52.69,2735000,,,,,0.0,0.0,0.0,,,
2021-09-14,53.06,53.18,52.5,52.9,2679600,,,,,0.017,0.003,0.013,,,
2021-09-15,52.93,53.65,52.72,53.1,3255100,,,,,0.046,0.012,0.034,,,
2021-09-16,53.1,53.37,52.81,52.94,1990900,,,,,0.055,0.02,0.035,,,
2021-09-17,53.22,53.66,52.32,52.34,4899900,52.794,,,,0.014,0.019,-0.005,,,
2021-09-20,52.09,52.63,51.96,52.48,2438500,52.752,,,,-0.007,0.014,-0.021,,,
2021-09-21,52.61,52.83,51.94,52.17,3620700,52.606,,,,-0.049,0.001,-0.05,,,
2021-09-22,52.29,52.35,51.51,51.59,1892600,52.304,,,,-0.127,-0.024,-0.102,,,
2021-09-23,51.63,52.12,51.24,51.31,1541600,51.978,,,,-0.209,-0.061,-0.148,,,
2021-09-24,51.36,51.57,50.96,51.32,1807200,51.774,,,,-0.27,-0.103,-0.167,,,
2021-09-27,51.46,52.64,51.4,51.75,2614600,51.628,,,,-0.28,-0.138,-0.142,,,
2021-09-28,51.94,52.12,50.9,51.03,2175000,51.4,,,,-0.343,-0.179,-0.164,,,
2021-09-29,51.0,52.05,50.99,51.8,1419600,51.442,,,,-0.326,-0.209,-0.118,,,
2021-09-30,52.67,52.67,51.47,51.49,2607900,51.478,,,,-0.335,-0.234,-0.101,,,
2021-10-01,51.82,51.85,51.04,51.12,1657900,51.438,,,34.873,-0.367,-0.261,-0.106,,,
2021-10-04,51.03,51.84,51.03,51.7,2173600,51.428,,,44.707,-0.341,-0.277,-0.065,,,
2021-10-05,51.66,51.88,51.31,51.45,1849200,51.512,,,41.779,-0.338,-0.289,-0.049,,,
2021-10-06,50.94,51.57,50.43,51.53,1920800,51.458,,,43.064,-0.325,-0.296,-0.028,,,
2021-10-07,51.57,51.93,50.98,51.12,1533900,51.384,,,38.387,-0.343,-0.305,-0.038,,,
2021-10-08,50.92,51.17,50.57,50.64,1257300,51.288,51.824,,33.764,-0.392,-0.323,-0.069,51.824,53.242,50.405
2021-10-11,50.63,50.66,49.86,50.12,1402600,50.972,51.695,,29.604,-0.468,-0.352,-0.116,51.695,53.242,50.148
2021-10-12,50.05,50.43,49.89,50.24,1438000,50.73,51.562,,31.696,-0.512,-0.384,-0.128,51.562,53.13,49.994
2021-10-13,50.28,50.98,50.07,50.87,1745100,50.598,51.45,,41.518,-0.49,-0.405,-0.085,51.45,52.868,50.033
2021-10-14,51.08,51.99,50.82,51.92,1517700,50.758,51.4,,53.516,-0.384,-0.401,0.017,51.4,52.656,50.143
2021-10-15,52.1,52.62,51.88,52.51,2960200,51.132,51.408,,58.65,-0.25,-0.371,0.121,51.408,52.693,50.123
2021-10-18,52.05,52.58,51.86,52.19,2834400,51.546,51.393,,55.096,-0.167,-0.33,0.163,51.393,52.634,50.153
2021-10-19,52.64,52.89,52.43,52.8,2060000,52.058,51.425,,60.064,-0.051,-0.274,0.223,51.425,52.775,50.075
2021-10-20,52.98,53.88,52.89,53.6,2048100,52.604,51.526,,65.461,0.104,-0.199,0.302,51.526,53.19,49.861
2021-10-21,53.59,53.71,53.24,53.34,1228100,52.888,51.627,,62.505,0.203,-0.118,0.321,51.627,53.474,49.78
2021-10-22,53.43,54.07,53.27,53.98,895300,53.182,51.76,,66.514,0.33,-0.029,0.358,51.76,53.877,49.643
2021-10-25,53.98,54.41,53.64,54.05,1282800,53.554,51.875,,66.93,0.431,0.063,0.367,51.875,54.227,49.523
2021-10-26,54.14,54.95,54.01,54.63,1495500,53.92,52.055,,70.234,0.551,0.161,0.39,52.055,54.671,49.439
2021-10-27,54.75,54.75,54.08,54.09,1523500,54.018,52.17,,63.839,0.596,0.248,0.348,52.17,54.934,49.405
2021-10-28,54.12,54.43,53.98,54.39,1108200,54.228,52.314,,65.707,0.649,0.328,0.321,52.314,55.229,49.4
2021-10-29,54.2,54.59,53.71,53.94,1759000,54.22,52.456,,60.647,0.646,0.392,0.255,52.456,55.4,49.511
2021-11-01,53.82,54.55,53.65,54.42,1581900,54.294,52.592,,63.845,0.676,0.448,0.227,52.592,55.638,49.545
2021-11-02,54.73,54.73,53.64,54.09,1852400,54.186,52.724,,60.221,0.664,0.492,0.173,52.724,55.791,49.656
2021-11-03,53.96,54.26,53.0,53.58,1633500,54.084,52.826,,55.023,0.607,0.515,0.093,52.826,55.862,49.79
2021-11-04,53.42,53.84,53.26,53.84,1700700,53.974,52.962,,57.058,0.577,0.527,0.049,52.962,55.919,50.005
2021-11-05,53.66,54.43,53.66,54.27,1515200,54.04,53.143,,60.261,0.58,0.538,0.042,53.143,55.942,50.345
2021-11-08,54.36,54.36,52.5,52.56,1755100,53.668,53.265,,45.673,0.44,0.518,-0.078,53.265,55.698,50.833
2021-11-09,52.42,52.75,52.1,52.56,1410200,53.362,53.381,,45.673,0.325,0.48,-0.154,53.381,55.391,51.372
2021-11-10,52.67,53.03,52.56,53.03,1638900,53.252,53.49,,49.565,0.269,0.437,-0.169,53.49,55.128,51.851
2021-11-11,52.82,52.93,52.2,52.58,1617300,53.0,53.522,,46.156,0.186,0.387,-0.201,53.522,55.051,51.994
2021-11-12,52.51,52.72,52.07,52.56,1546800,52.658,53.525,,46.004,0.117,0.333,-0.216,53.525,55.047,52.003
2021-11-15,52.89,53.57,52.57,53.55,1473300,52.856,53.593,,54.043,0.141,0.295,-0.154,53.593,54.979,52.207
2021-11-16,53.64,53.82,53.0,53.03,1938800,52.95,53.604,,49.846,0.116,0.259,-0.143,53.604,54.967,52.242
2021-11-17,52.97,53.09,52.62,52.81,1503500,52.906,53.565,,48.142,0.078,0.223,-0.144,53.565,54.973,52.157
2021-11-18,52.68,53.05,52.48,52.76,1614600,52.942,53.536,,47.742,0.044,0.187,-0.143,53.536,54.986,52.086
2021-11-19,52.89,53.39,52.79,53.33,1780600,53.096,53.504,52.562,52.573,0.062,0.162,-0.1,53.504,54.941,52.066
2021-11-22,53.29,53.89,53.06,53.64,1552700,53.114,53.483,52.581,55.009,0.1,0.149,-0.05,53.483,54.899,52.067
2021-11-23,53.77,54.6,53.63,54.28,1911100,53.364,53.466,52.609,59.62,0.179,0.155,0.024,53.466,54.83,52.101
2021-11-24,54.42,54.92,54.11,54.61,1972500,53.724,53.492,52.639,61.794,0.266,0.178,0.088,53.492,54.924,52.059
2021-11-26,54.11,54.57,53.58,53.81,1064500,53.934,53.462,52.656,54.178,0.267,0.195,0.072,53.462,54.841,52.084
2021-11-29,53.92,54.59,53.67,54.32,1368500,54.132,53.482,52.696,57.753,0.305,0.217,0.088,53.482,54.898,52.065
2021-11-30,53.89,53.96,52.74,52.84,3285700,53.972,53.402,52.703,46.432,0.214,0.217,-0.003,53.402,54.774,52.031
2021-12-01,53.33,53.98,52.76,52.79,2141200,53.674,53.338,52.716,46.103,0.136,0.201,-0.065,53.338,54.695,51.98
2021-12-02,52.87,53.88,52.8,53.41,1715200,53.434,53.329,52.752,50.76,0.123,0.185,-0.062,53.329,54.682,51.976
2021-12-03,53.79,53.8,52.78,53.65,1710300,53.402,53.319,52.799,52.471,0.13,0.174,-0.044,53.319,54.66,51.979
2021-12-06,54.1,54.75,53.83,53.87,2400600,53.312,53.3,52.85,54.048,0.152,0.17,-0.018,53.3,54.591,52.008
2021-12-07,53.88,54.84,53.71,54.64,1491600,53.672,53.403,52.908,59.156,0.229,0.182,0.047,53.403,54.777,52.03
2021-12-08,54.51,55.0,54.27,54.47,1636500,54.008,53.499,52.976,57.633,0.273,0.2,0.073,53.499,54.891,52.107
2021-12-09,54.44,54.75,53.97,54.32,2143600,54.19,53.564,53.027,56.256,0.292,0.218,0.074,53.564,54.983,52.144
2021-12-10,54.59,54.83,54.27,54.37,2007600,54.334,53.653,53.084,56.628,0.308,0.236,0.072,53.653,55.037,52.269
