Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,36.07,36.46,35.72,35.88,26236900,,,,,0.0,0.0,0.0,,,
2021-09-08,35.7,35.91,35.5,35.7,15839600,,,,,-0.014,-0.003,-0.011,,,
2021-09-09,35.67,35.86,35.19,35.33,21695300,,,,,-0.055,-0.013,-0.042,,,
2021-09-10,35.51,35.57,34.93,34.99,20801500,,,,,-0.113,-0.033,-0.08,,,
2021-09-13,35.11,35.18,33.92,34.22,37086200,35.224,,,,-0.219,-0.07,-0.149,,,
2021-09-14,34.29,34.74,34.19,34.32,24100200,34.912,,,,-0.292,-0.115,-0.177,,,
2021-09-15,34.2,34.82,34.13,34.36,28674600,34.644,,,,-0.342,-0.16,-0.182,,,
2021-09-16,34.45,34.53,33.79,34.13,22424200,34.404,,,,-0.396,-0.207,-0.188,,,
2021-09-17,33.9,34.12,33.24,33.69,56370500,34.144,,,,-0.468,-0.259,-0.209,,,
2021-09-20,33.3,34.27,33.3,33.92,41873000,34.084,,,,-0.502,-0.308,-0.194,,,
2021-09-21,33.96,34.33,33.66,33.71,23645600,33.962,,,,-0.539,-0.354,-0.185,,,
2021-09-22,33.76,34.07,33.64,33.73,22616700,33.836,,,,-0.56,-0.395,-0.165,,,
2021-09-23,33.99,34.32,33.89,33.92,19719200,33.794,,,,-0.555,-0.427,-0.128,,,
2021-09-24,33.82,34.09,33.63,33.72,16150700,33.8,,,,-0.561,-0.454,-0.107,,,
2021-09-27,33.71,33.87,33.39,33.44,19955900,33.704,,,18.806,-0.582,-0.48,-0.102,,,
2021-09-28,33.06,33.22,32.57,33.03,28512200,33.568,,,15.652,-0.624,-0.508,-0.115,,,
2021-09-29,33.17,33.53,33.06,33.41,18037200,33.504,,,27.748,-0.619,-0.531,-0.089,,,
2021-09-30,33.61,33.81,32.98,33.01,21103300,33.322,,,23.868,-0.641,-0.553,-0.088,,,
2021-10-01,32.63,33.08,32.01,32.95,38483000,33.168,,,23.34,-0.655,-0.573,-0.082,,,
2021-10-04,32.95,33.27,32.4,32.56,28906500,32.992,34.001,,20.215,-0.69,-0.597,-0.093,34.001,35.812,32.19
2021-10-05,32.64,32.84,32.45,32.48,19342600,32.882,33.831,,19.634,-0.716,-0.62,-0.095,33.831,35.534,32.128
2021-10-06,32.28,32.39,32.0,32.25,30483800,32.65,33.658,,18.03,-0.746,-0.646,-0.101,33.658,35.26,32.057
2021-10-07,32.63,32.97,32.4,32.8,19778300,32.608,33.532,,32.278,-0.718,-0.66,-0.058,33.532,34.969,32.095
2021-10-08,32.8,32.93,32.5,32.58,12778600,32.534,33.412,,30.029,-0.705,-0.669,-0.036,33.412,34.734,32.089
2021-10-11,32.58,32.71,32.24,32.28,11984200,32.478,33.314,,27.242,-0.71,-0.677,-0.033,33.314,34.671,31.958
2021-10-12,32.36,32.4,31.97,32.12,16222300,32.406,33.204,,25.864,-0.719,-0.686,-0.034,33.204,34.575,31.834
2021-10-13,32.04,32.17,31.42,31.79,28205700,32.314,33.076,,23.25,-0.745,-0.697,-0.047,33.076,34.472,31.68
2021-10-14,31.9,32.21,31.87,31.98,17590300,32.15,32.968,,27.775,-0.741,-0.706,-0.035,32.968,34.353,31.584
2021-10-15,32.16,32.26,31.76,31.84,23550300,32.002,32.876,,26.534,-0.741,-0.713,-0.028,32.876,34.304,31.448
2021-10-18,31.81,32.01,31.5,31.71,21733000,31.888,32.766,,25.399,-0.742,-0.719,-0.023,32.766,34.196,31.335
2021-10-19,31.93,32.39,31.88,32.3,17159800,31.924,32.695,,38.3,-0.688,-0.713,0.025,32.695,34.067,31.323
2021-10-20,32.33,33.09,32.31,32.85,22788300,32.136,32.651,,47.427,-0.594,-0.689,0.095,32.651,33.937,31.365
2021-10-21,33.05,33.07,32.57,32.9,22142300,32.32,32.6,,48.178,-0.509,-0.653,0.144,32.6,33.748,31.452
2021-10-22,32.87,33.15,32.72,33.13,17183000,32.578,32.57,,51.601,-0.419,-0.606,0.187,32.57,33.623,31.518
2021-10-25,33.16,33.19,32.67,33.12,22846200,32.86,32.555,,51.442,-0.344,-0.554,0.21,32.555,33.56,31.549
2021-10-26,33.26,33.59,32.94,33.43,29729100,33.086,32.574,,55.973,-0.257,-0.495,0.237,32.574,33.635,31.514
2021-10-27,33.36,33.43,32.76,32.98,22317500,33.112,32.553,,48.847,-0.222,-0.44,0.218,32.553,33.558,31.548
2021-10-28,32.97,33.52,32.96,33.14,18023400,33.16,32.56,,51.225,-0.179,-0.388,0.209,32.56,33.578,31.541
2021-10-29,33.07,33.64,32.9,33.57,30307500,33.248,32.59,,57.009,-0.109,-0.332,0.223,32.59,33.694,31.487
2021-11-01,33.88,33.99,33.34,33.49,32681500,33.322,32.637,,55.686,-0.059,-0.277,0.218,32.637,33.811,31.463
2021-11-02,34.6,35.34,33.04,34.88,69248000,33.612,32.757,,69.103,0.092,-0.203,0.295,32.757,34.297,31.217
2021-11-03,34.94,35.3,34.14,34.4,44593100,33.896,32.864,,62.109,0.17,-0.129,0.299,32.864,34.549,31.18
2021-11-04,34.29,34.43,33.53,33.95,38172500,34.058,32.922,,56.352,0.194,-0.064,0.258,32.922,34.674,31.17
2021-11-05,37.23,37.79,36.04,37.64,173959100,34.872,33.175,,75.999,0.505,0.05,0.455,33.175,35.907,30.443
2021-11-08,37.64,37.78,36.85,37.42,57423300,35.658,33.432,,73.865,0.725,0.185,0.54,33.432,36.72,30.144
2021-11-09,37.42,37.46,36.51,36.62,29920400,36.006,33.657,,66.544,0.825,0.313,0.513,33.657,37.175,30.139
2021-11-10,36.7,38.1,36.7,37.95,42696200,36.716,33.965,,71.586,1.001,0.45,0.55,33.965,37.853,30.077
2021-11-11,38.12,39.1,37.73,38.85,42370400,37.696,34.308,,74.398,1.198,0.6,0.598,34.308,38.646,29.971
2021-11-12,39.04,39.09,38.38,38.5,27780600,37.868,34.642,,71.437,1.312,0.742,0.569,34.642,39.198,30.085
2021-11-15,38.5,38.79,38.23,38.44,27763200,38.072,34.978,34.028,70.916,1.381,0.87,0.511,34.978,39.617,30.339
2021-11-16,38.3,38.84,37.85,38.4,31297200,38.428,35.283,34.079,70.547,1.416,0.979,0.437,35.283,39.982,30.584
2021-11-17,38.67,39.56,38.47,39.39,36889800,38.716,35.61,34.152,74.137,1.507,1.085,0.422,35.61,40.502,30.718
2021-11-18,39.56,40.04,39.19,39.8,32872600,38.906,35.955,34.242,75.471,1.593,1.186,0.407,35.955,41.013,30.897
2021-11-19,40.23,40.91,39.24,39.33,47966200,39.072,36.265,34.329,70.954,1.605,1.27,0.335,36.265,41.354,31.176
2021-11-22,39.45,39.85,39.01,39.64,27287900,39.312,36.591,34.437,72.138,1.621,1.34,0.281,36.591,41.667,31.515
2021-11-23,39.16,39.84,38.95,39.55,24946200,39.542,36.897,34.542,71.23,1.608,1.394,0.214,36.897,41.908,31.886
2021-11-24,39.63,39.74,39.26,39.4,18556800,39.544,37.218,34.642,69.656,1.567,1.428,0.139,37.218,41.989,32.447
2021-11-26,41.84,42.54,41.23,41.81,66561300,39.946,37.652,34.796,78.049,1.71,1.485,0.225,37.652,42.438,32.865
2021-11-29,42.7,43.13,40.35,40.57,72660800,40.194,38.002,34.934,67.677,1.703,1.528,0.175,38.002,42.549,33.454
2021-11-30,40.5,42.17,40.19,41.6,64598400,40.586,38.407,35.087,71.111,1.76,1.575,0.186,38.407,42.7,34.114
2021-12-01,40.63,42.72,40.15,42.34,59810400,41.144,38.78,35.26,73.306,1.844,1.629,0.216,38.78,43.079,34.481
2021-12-02,41.67,42.65,40.86,41.07,46361700,41.478,39.114,35.407,64.281,1.788,1.66,0.127,39.114,42.997,35.23
2021-12-03,41.59,42.13,41.11,42.02,37574800,41.52,39.517,35.569,67.504,1.799,1.688,0.111,39.517,42.767,36.267
2021-12-06,41.64,41.72,39.68,39.86,53724000,41.378,39.628,35.691,55.29,1.615,1.673,-0.059,39.628,42.757,36.499
2021-12-07,39.68,40.65,39.02,40.04,41575400,41.066,39.759,35.823,56.004,1.467,1.632,-0.165,39.759,42.714,36.804
2021-12-08,40.84,41.1,39.51,39.8,37429200,40.558,39.918,35.959,54.748,1.315,1.569,-0.254,39.918,42.477,37.359
2021-12-09,39.88,40.92,39.88,40.32,38325700,40.408,40.037,36.097,56.998,1.222,1.499,-0.277,40.037,42.426,37.647
2021-12-10,39.64,40.92,39.57,40.87,26079400,40.178,40.138,36.254,59.304,1.179,1.435,-0.256,40.138,42.486,37.789
2021-12-13,41.38,43.15,41.38,42.74,54923200,40.754,40.35,36.45,65.982,1.282,1.405,-0.123,40.35,42.837,37.862
2021-12-14,42.41,43.32,42.06,43.0,48685700,41.346,40.578,36.659,66.797,1.368,1.397,-0.029,40.578,43.162,37.993
2021-12-15,43.44,45.62,43.27,45.53,75202900,42.492,40.934,36.92,73.465,1.622,1.442,0.18,40.934,44.145,37.723
2021-12-16,45.19,47.56,44.71,47.42,75183600,43.912,41.335,37.223,77.156,1.953,1.544,0.409,41.335,45.577,37.094
2021-12-17,46.4,47.38,45.45,46.05,104192100,44.948,41.648,37.488,69.599,2.081,1.652,0.429,41.648,46.313,36.983
2021-12-20,46.92,47.78,46.32,47.25,55712200,45.85,42.044,37.782,72.17,2.253,1.772,0.481,42.044,47.199,36.889
2021-12-21,46.46,46.49,44.26,45.64,63877900,46.378,42.344,38.049,64.311,2.234,1.864,0.37,42.344,47.607,37.081
2021-12-22,45.87,46.91,45.08,46.11,62594900,46.494,42.672,38.329,65.493,2.231,1.938,0.293,42.672,48.019,37.325
2021-12-23,46.32,46.52,45.15,45.46,39203200,46.102,42.975,38.602,62.416,2.152,1.981,0.171,42.975,48.227,37.723
2021-12-27,45.57,45.98,45.09,45.84,27362600,46.06,43.176,38.879,63.495,2.095,2.003,0.092,43.176,48.548,37.805
2021-12-28,45.72,46.03,44.19,44.91,36901700,45.592,43.394,39.141,59.026,1.953,1.993,-0.041,43.394,48.672,38.115
2021-12-29,44.37,44.93,44.19,44.58,26170200,45.38,43.543,39.398,57.48,1.792,1.953,-0.161,43.543,48.776,38.309
2021-12-30,44.71,45.48,44.54,45.22,24559000,45.202,43.686,39.656,59.685,1.698,1.902,-0.204,43.686,48.939,38.434
2021-12-31,45.32,46.3,45.25,45.72,28579600,45.254,43.919,39.914,61.371,1.644,1.85,-0.207,43.919,49.095,38.743
2022-01-03,45.29,45.33,43.62,43.86,57219200,44.858,44.011,40.133,52.565,1.435,1.767,-0.333,44.011,49.11,38.912
2022-01-04,43.53,43.69,41.76,42.22,66993100,44.32,44.129,40.315,46.262,1.123,1.638,-0.515,44.129,48.923,39.335
2022-01-05,43.23,43.7,42.87,43.07,52956400,44.018,44.28,40.514,49.633,0.935,1.498,-0.563,44.28,48.708,39.853
2022-01-06,42.71,43.07,42.19,42.46,37000400,43.466,44.414,40.694,47.338,0.728,1.344,-0.616,44.414,48.414,40.413
2022-01-07,42.86,43.18,42.3,43.14,27703400,42.95,44.554,40.898,50.108,0.611,1.197,-0.586,44.554,48.123,40.986
2022-01-10,43.13,43.56,42.38,43.54,34044700,42.886,44.688,41.106,51.716,0.545,1.067,-0.522,44.688,47.853,41.523
2022-01-11,43.94,44.47,43.21,43.89,33576600,43.22,44.746,41.312,53.14,0.515,0.956,-0.442,44.746,47.801,41.69
2022-01-12,43.62,44.26,43.28,43.86,27608500,43.378,44.788,41.519,52.996,0.483,0.862,-0.379,44.788,47.764,41.813
2022-01-13,43.77,43.94,42.75,43.0,28117900,43.486,44.662,41.682,48.898,0.384,0.766,-0.382,44.662,47.718,41.606
2022-01-14,42.57,42.88,42.2,42.55,27072500,43.368,44.418,41.845,46.857,0.266,0.666,-0.4,44.418,47.322,41.515
2022-01-18,42.2,42.24,41.37,41.9,35598000,43.04,44.211,42.004,43.999,0.119,0.557,-0.438,44.211,47.215,41.207
2022-01-19,41.54,42.19,41.38,41.45,27300400,42.552,43.921,42.08,42.085,-0.034,0.438,-0.472,43.921,46.807,41.035
2022-01-20,41.78,42.21,41.09,41.85,35105300,42.15,43.732,42.169,44.4,-0.121,0.326,-0.448,43.732,46.64,40.823
2022-01-21,42.14,42.48,40.62,40.87,41059000,41.724,43.47,42.254,40.165,-0.266,0.208,-0.474,43.47,46.42,40.519
2022-01-24,40.07,40.31,38.57,39.91,59036400,41.196,43.192,42.293,36.492,-0.454,0.076,-0.529,43.192,46.388,39.996
2022-01-25,39.77,40.91,39.67,40.68,43983200,40.952,42.934,42.329,41.141,-0.534,-0.046,-0.488,42.934,46.062,39.806
