Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-24,122.91,123.89,122.41,122.44,272400.0,,,,,0.0,0.0,0.0,,,
2021-09-27,122.23,124.58,122.23,123.96,365600.0,,,,,0.121,0.024,0.097,,,
2021-09-28,124.22,124.44,122.36,122.58,379900.0,,,,,0.105,0.04,0.064,,,
2021-09-29,122.6,123.27,121.81,122.02,413300.0,,,,,0.046,0.041,0.005,,,
2021-09-30,122.47,122.52,118.56,118.62,685700.0,121.924,,,,-0.272,-0.021,-0.251,,,
2021-10-01,118.67,120.87,117.47,120.09,475200.0,121.454,,,,-0.4,-0.097,-0.303,,,
2021-10-04,119.97,121.28,119.53,120.31,501300.0,120.724,,,,-0.479,-0.173,-0.306,,,
2021-10-05,120.32,123.09,119.28,122.31,533300.0,120.67,,,,-0.376,-0.214,-0.162,,,
2021-10-06,121.43,122.42,119.6,121.87,539600.0,120.64,,,,-0.326,-0.236,-0.089,,,
2021-10-07,123.0,124.17,122.63,123.13,638200.0,121.542,,,,-0.182,-0.225,0.043,,,
2021-10-08,123.13,124.06,119.64,120.08,759600.0,121.54,,,,-0.311,-0.242,-0.068,,,
2021-10-11,120.19,121.74,119.1,119.18,744000.0,121.314,,,,-0.48,-0.29,-0.19,,,
2021-10-12,119.56,121.39,118.93,120.42,514400.0,120.936,,,,-0.508,-0.334,-0.174,,,
2021-10-13,120.42,121.3,116.09,118.45,822700.0,120.252,,,,-0.681,-0.403,-0.278,,,
2021-10-14,119.09,120.7,117.92,120.06,627500.0,119.638,,,45.123,-0.681,-0.459,-0.222,,,
2021-10-15,120.69,120.97,115.08,115.4,1066900.0,118.702,,,33.045,-1.045,-0.576,-0.469,,,
2021-10-18,115.08,117.63,114.49,115.75,492700.0,118.016,,,34.464,-1.29,-0.719,-0.571,,,
2021-10-19,115.75,115.8,114.01,114.67,709400.0,116.866,,,32.197,-1.553,-0.886,-0.668,,,
2021-10-20,114.67,118.14,114.67,116.98,499300.0,116.572,,,41.119,-1.558,-1.02,-0.538,,,
2021-10-21,116.75,117.19,115.43,116.3,909700.0,115.82,119.731,,39.473,-1.598,-1.136,-0.462,119.731,125.261,114.201
2021-10-22,116.74,118.03,115.62,115.64,798900.0,115.868,119.391,,37.887,-1.664,-1.241,-0.422,119.391,125.054,113.728
2021-10-25,115.66,117.61,114.88,115.58,1647000.0,115.834,118.972,,37.738,-1.701,-1.333,-0.368,118.972,124.449,113.495
2021-10-26,117.6,119.97,115.49,117.4,1250500.0,116.38,118.713,,44.803,-1.566,-1.38,-0.186,118.713,123.957,113.469
2021-10-27,117.44,117.56,114.73,116.86,873800.0,116.356,118.455,,43.235,-1.485,-1.401,-0.084,118.455,123.518,113.392
2021-10-28,117.56,119.91,116.51,119.79,824600.0,117.054,118.514,,52.871,-1.171,-1.355,0.184,118.514,123.612,113.415
2021-10-29,119.28,120.33,118.28,118.56,521500.0,117.638,118.437,,49.103,-1.01,-1.286,0.276,118.437,123.481,113.393
2021-11-01,117.76,118.16,116.76,116.9,401900.0,117.902,118.266,,44.494,-1.004,-1.23,0.225,118.266,123.274,113.259
2021-11-02,116.89,117.18,114.73,115.4,536900.0,117.502,117.921,,40.77,-1.108,-1.205,0.097,117.921,122.703,113.139
2021-11-03,115.15,117.27,115.05,116.84,559200.0,117.498,117.67,,45.487,-1.062,-1.177,0.114,117.67,122.092,113.247
2021-11-04,116.52,118.08,115.55,116.0,441800.0,116.74,117.313,,43.32,-1.081,-1.158,0.076,117.313,120.965,113.661
2021-11-05,116.68,118.2,116.41,116.84,314500.0,116.396,117.151,,46.086,-1.017,-1.13,0.113,117.151,120.566,113.736
2021-11-08,117.28,117.82,115.76,115.97,539800.0,116.21,116.99,,43.707,-1.024,-1.108,0.084,116.99,120.304,113.677
2021-11-09,115.67,116.69,114.72,115.81,549200.0,116.292,116.76,,43.264,-1.031,-1.093,0.062,116.76,119.688,113.832
2021-11-10,115.71,117.27,115.01,116.9,724300.0,116.304,116.682,,47.186,-0.937,-1.062,0.124,116.682,119.502,113.863
2021-11-11,116.97,117.44,116.37,116.6,323700.0,116.424,116.51,,46.239,-0.877,-1.025,0.147,116.51,118.838,114.181
2021-11-12,116.97,117.39,116.01,116.59,258100.0,116.374,116.569,,46.205,-0.821,-0.984,0.163,116.569,118.839,114.299
2021-11-15,116.94,117.2,116.2,116.36,496600.0,116.452,116.599,,45.396,-0.786,-0.945,0.158,116.599,118.839,114.36
2021-11-16,116.55,117.31,116.08,116.13,403000.0,116.516,116.672,,44.555,-0.768,-0.909,0.141,116.672,118.735,114.61
2021-11-17,116.0,116.64,114.36,116.16,596200.0,116.368,116.632,,44.699,-0.743,-0.876,0.133,116.632,118.701,114.562
2021-11-18,116.01,116.64,114.18,114.45,781400.0,115.938,116.539,,38.556,-0.851,-0.871,0.02,116.539,118.825,114.253
2021-11-19,114.26,115.64,113.93,114.86,942800.0,115.592,116.5,,40.662,-0.893,-0.875,-0.018,116.5,118.875,114.125
2021-11-22,115.25,117.25,114.71,115.94,997600.0,115.508,116.518,,45.919,-0.83,-0.866,0.036,116.518,118.869,114.167
2021-11-23,116.39,117.48,116.05,116.25,422000.0,115.532,116.46,,47.36,-0.747,-0.842,0.096,116.46,118.777,114.144
2021-11-24,115.66,115.81,113.55,114.03,730900.0,115.106,116.319,,39.284,-0.85,-0.844,-0.006,116.319,118.867,113.771
2021-11-26,112.65,116.19,112.28,115.28,694600.0,115.272,116.094,,44.974,-0.821,-0.839,0.018,116.094,118.086,114.101
2021-11-29,116.18,116.51,114.93,115.39,670600.0,115.378,115.935,,45.458,-0.78,-0.827,0.047,115.935,117.574,114.296
2021-11-30,114.24,114.84,112.31,112.71,1150400.0,114.732,115.726,,36.929,-0.953,-0.853,-0.101,115.726,117.846,113.605
2021-12-01,113.23,114.81,111.72,111.77,730600.0,113.836,115.544,,34.485,-1.153,-0.913,-0.24,115.544,118.306,112.782
2021-12-02,112.21,114.41,112.21,113.85,681100.0,113.8,115.394,,43.41,-1.13,-0.956,-0.174,115.394,118.185,112.604
2021-12-03,113.85,115.38,113.42,114.97,1053400.0,113.738,115.343,117.409,47.553,-1.011,-0.967,-0.043,115.343,118.124,112.562
2021-12-06,116.23,118.08,116.0,117.54,920900.0,114.168,115.378,117.311,55.588,-0.7,-0.914,0.214,115.378,118.254,112.502
2021-12-07,117.94,119.0,116.72,116.82,1176700.0,114.99,115.42,117.168,53.132,-0.506,-0.832,0.326,115.42,118.358,112.483
2021-12-08,117.1,117.89,114.04,114.12,608900.0,115.46,115.336,116.999,45.088,-0.564,-0.779,0.215,115.336,118.323,112.349
2021-12-09,113.39,114.08,111.4,111.52,1088200.0,114.994,115.067,116.789,38.969,-0.81,-0.785,-0.025,115.067,118.409,111.725
2021-12-10,112.22,112.22,110.46,110.62,713200.0,114.124,114.768,116.629,37.093,-1.066,-0.841,-0.225,114.768,118.571,110.965
2021-12-13,111.14,113.14,110.62,112.65,640300.0,113.146,114.571,116.48,43.68,-1.092,-0.891,-0.201,114.571,118.385,110.757
2021-12-14,112.98,113.62,112.47,112.74,738100.0,112.33,114.39,116.329,43.96,-1.093,-0.932,-0.161,114.39,118.19,110.59
2021-12-15,113.22,113.81,111.85,113.73,517200.0,112.252,114.27,116.157,47.079,-1.002,-0.946,-0.056,114.27,117.989,110.551
2021-12-16,114.47,116.6,114.19,116.08,1001900.0,113.164,114.266,116.041,53.67,-0.732,-0.903,0.171,114.266,117.977,110.555
2021-12-17,116.19,116.3,112.66,113.06,1976400.0,113.652,114.196,115.84,45.779,-0.753,-0.873,0.12,114.196,117.945,110.448
2021-12-20,111.45,112.47,108.5,112.22,1208300.0,113.566,114.064,115.683,43.848,-0.828,-0.864,0.036,114.064,117.899,110.23
2021-12-21,112.66,114.65,112.66,113.67,1484300.0,113.752,113.951,115.573,47.931,-0.761,-0.843,0.082,113.951,117.685,110.217
2021-12-22,113.67,114.65,112.78,113.9,854600.0,113.786,113.834,115.442,48.57,-0.682,-0.811,0.129,113.834,117.407,110.26
2021-12-23,114.38,115.48,114.0,114.17,453200.0,113.404,113.84,115.357,49.356,-0.591,-0.767,0.176,113.84,117.417,110.264
2021-12-27,114.01,115.68,113.74,115.65,293400.0,113.922,113.859,115.268,53.544,-0.395,-0.693,0.298,113.859,117.47,110.248
2021-12-28,115.65,116.46,115.33,116.06,544500.0,114.69,113.892,115.282,54.663,-0.204,-0.595,0.391,113.892,117.575,110.21
2021-12-29,116.19,117.34,116.19,117.05,419300.0,115.366,114.11,115.308,57.334,0.027,-0.47,0.498,114.11,118.004,110.215
2021-12-30,117.69,118.03,116.53,117.1,433500.0,116.006,114.376,115.356,57.471,0.212,-0.334,0.546,114.376,118.326,110.426
2021-12-31,116.89,118.74,116.86,118.39,369700.0,116.85,114.603,115.384,60.938,0.457,-0.176,0.633,114.603,118.929,110.277
2022-01-03,118.66,118.83,116.46,117.05,425800.0,117.13,114.707,115.399,55.845,0.537,-0.033,0.57,114.707,119.168,110.246
2022-01-04,117.16,121.58,117.16,120.02,754400.0,117.922,114.831,115.487,63.189,0.83,0.139,0.691,114.831,119.739,109.923
2022-01-05,120.63,122.04,119.59,120.85,864800.0,118.682,115.032,115.592,64.943,1.117,0.335,0.782,115.032,120.575,109.49
2022-01-06,121.7,121.92,118.73,119.1,709900.0,119.082,115.282,115.626,58.601,1.189,0.506,0.683,115.282,121.092,109.471
2022-01-07,119.35,120.96,119.2,119.86,547000.0,119.376,115.699,115.686,60.409,1.293,0.663,0.63,115.699,121.569,109.828
2022-01-10,120.32,120.62,116.96,118.23,537700.0,119.612,116.079,115.655,54.873,1.229,0.776,0.453,116.079,121.535,110.623
2022-01-11,118.78,118.78,117.05,118.18,503800.0,119.244,116.355,115.648,54.707,1.162,0.853,0.308,116.355,121.638,111.073
2022-01-12,118.37,118.54,115.65,116.52,612700.0,118.378,116.544,115.64,49.378,0.963,0.875,0.088,116.544,121.545,111.544
2022-01-13,116.89,119.71,116.52,119.26,590600.0,118.41,116.821,115.717,56.85,1.015,0.903,0.112,116.821,121.778,111.864
2022-01-14,118.18,119.68,117.23,119.39,730900.0,118.316,116.986,115.768,57.173,1.054,0.933,0.121,116.986,122.059,111.914
2022-01-18,118.92,119.12,115.69,116.82,738200.0,118.034,117.175,115.785,49.314,0.868,0.92,-0.052,117.175,121.901,112.448
2022-01-19,117.86,119.43,117.15,119.23,491200.0,118.244,117.525,115.832,55.492,0.905,0.917,-0.013,117.525,121.714,113.336
2022-01-20,119.06,119.86,117.52,117.58,443500.0,118.456,117.72,115.865,50.916,0.791,0.892,-0.101,117.72,121.496,113.945
2022-01-21,117.82,119.19,116.32,116.97,662900.0,117.998,117.874,115.888,49.298,0.645,0.843,-0.198,117.874,121.221,114.527
2022-01-24,115.2,119.1,114.59,118.75,922200.0,117.87,118.103,115.925,53.903,0.665,0.807,-0.142,118.103,120.976,115.23
