Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,156.41,160.3,154.9,159.94,1778600,,,,,0.0,0.0,0.0,,,
2021-07-13,158.9,159.4,156.66,157.75,1551500,,,,,-0.175,-0.035,-0.14,,,
2021-07-14,155.34,159.55,154.59,156.96,2564700,,,,,-0.373,-0.102,-0.27,,,
2021-07-15,156.43,160.9,155.85,158.98,2042700,,,,,-0.362,-0.154,-0.208,,,
2021-07-16,159.51,159.71,153.37,153.89,1445300,157.504,,,,-0.756,-0.275,-0.481,,,
2021-07-19,150.34,151.8,148.02,149.17,1653300,155.35,,,,-1.433,-0.506,-0.926,,,
2021-07-20,149.22,153.92,148.67,152.36,1722600,154.272,,,,-1.692,-0.743,-0.948,,,
2021-07-21,154.09,156.26,153.98,155.1,1440700,153.9,,,,-1.657,-0.926,-0.731,,,
2021-07-22,154.79,155.17,151.58,152.46,1931300,152.596,,,,-1.821,-1.105,-0.716,,,
2021-07-23,153.61,155.37,152.67,153.55,1019500,152.528,,,,-1.843,-1.253,-0.59,,,
2021-07-26,154.08,155.64,153.53,154.81,873800,153.656,,,,-1.738,-1.35,-0.388,,,
2021-07-27,152.77,155.21,151.74,154.6,893200,154.104,,,,-1.652,-1.41,-0.242,,,
2021-07-28,155.21,155.68,152.93,154.17,814500,153.918,,,,-1.601,-1.448,-0.153,,,
2021-07-29,155.77,156.16,153.93,155.34,825300,154.494,,,,-1.449,-1.449,-0.001,,,
2021-07-30,154.78,156.38,152.45,153.04,1020400,154.392,,,40.127,-1.497,-1.458,-0.039,,,
2021-08-02,153.97,156.63,152.11,152.51,1025900,153.932,,,38.867,-1.56,-1.479,-0.081,,,
2021-08-03,153.96,157.15,151.37,156.33,1552800,154.278,,,50.848,-1.287,-1.44,0.153,,,
2021-08-04,154.4,157.06,153.95,155.22,1008600,154.488,,,47.91,-1.147,-1.382,0.235,,,
2021-08-05,156.84,157.88,155.84,156.62,1082500,154.744,,,51.701,-0.912,-1.288,0.376,,,
2021-08-06,158.86,161.11,158.54,159.63,1248000,156.062,155.122,,58.666,-0.478,-1.126,0.648,155.122,160.532,149.711
2021-08-09,159.06,160.9,157.89,159.41,986900,157.442,155.095,,58.007,-0.149,-0.93,0.781,155.095,160.41,149.78
2021-08-10,158.44,162.55,158.44,160.83,1618900,158.342,155.249,,61.046,0.223,-0.7,0.922,155.249,161.045,149.453
2021-08-11,161.5,162.72,159.62,162.67,3874400,159.832,155.534,,64.619,0.658,-0.428,1.087,155.534,162.185,148.884
2021-08-12,162.7,163.87,161.89,162.26,1580700,160.96,155.698,,63.228,0.96,-0.151,1.11,155.698,162.849,148.548
2021-08-13,162.61,163.05,159.27,159.72,1560900,160.978,155.99,,55.284,0.982,0.076,0.906,155.99,163.304,148.676
2021-08-16,158.53,159.23,156.41,159.11,1484500,160.918,156.487,,53.544,0.94,0.249,0.691,156.487,163.174,149.8
2021-08-17,157.9,159.08,155.16,157.52,1096500,160.256,156.745,,49.198,0.769,0.353,0.416,156.745,163.154,150.336
2021-08-18,156.35,158.77,155.55,155.68,967000,158.858,156.774,,44.679,0.48,0.378,0.102,156.774,163.156,150.392
2021-08-19,154.08,156.11,153.56,154.65,1412300,157.336,156.884,,42.334,0.166,0.336,-0.17,156.884,163.025,150.742
2021-08-20,154.49,156.48,154.02,155.9,1400000,156.572,157.001,,46.035,0.017,0.272,-0.255,157.001,162.961,151.041
2021-08-23,156.89,158.27,156.74,157.11,1148000,156.172,157.116,,49.419,-0.003,0.217,-0.22,157.116,162.986,151.246
