Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,66.79,67.44,66.52,67.27,390700,,,,,0.0,0.0,0.0,,,
2021-07-13,67.29,67.44,66.46,66.72,348500,,,,,-0.044,-0.009,-0.035,,,
2021-07-14,66.59,67.81,66.53,67.56,662600,,,,,-0.011,-0.009,-0.002,,,
2021-07-15,67.2,67.95,67.2,67.85,656800,,,,,0.038,0.0,0.038,,,
2021-07-16,68.06,69.75,67.89,69.36,799500,67.752,,,,0.197,0.04,0.157,,,
2021-07-19,69.07,69.5,66.97,67.69,704600,67.836,,,,0.186,0.069,0.117,,,
2021-07-20,67.93,69.07,67.74,68.14,718400,68.12,,,,0.211,0.097,0.114,,,
2021-07-21,68.51,68.62,67.08,67.16,489000,68.04,,,,0.15,0.108,0.042,,,
2021-07-22,66.98,67.25,66.46,66.79,804100,67.828,,,,0.071,0.1,-0.03,,,
2021-07-23,67.35,68.01,67.06,67.89,384600,67.534,,,,0.096,0.099,-0.004,,,
2021-07-26,67.88,68.26,67.69,68.16,410900,67.628,,,,0.136,0.107,0.029,,,
2021-07-27,68.16,69.64,67.82,69.34,433500,67.868,,,,0.26,0.137,0.122,,,
2021-07-28,69.23,69.39,67.85,68.5,533600,68.136,,,,0.287,0.167,0.12,,,
2021-07-29,68.63,68.95,68.28,68.57,418700,68.492,,,,0.311,0.196,0.115,,,
2021-07-30,68.51,69.19,67.55,67.74,757800,68.462,,,49.781,0.259,0.209,0.051,,,
2021-08-02,67.86,68.84,67.21,67.43,1192200,68.316,,,47.469,0.191,0.205,-0.014,,,
2021-08-03,66.96,67.0,64.95,65.66,1948000,67.58,,,36.923,-0.005,0.163,-0.168,,,
2021-08-04,63.9,64.62,62.49,63.4,1820200,66.56,,,28.284,-0.339,0.063,-0.402,,,
2021-08-05,65.18,65.18,62.21,64.43,918400,65.732,,,35.671,-0.515,-0.053,-0.462,,,
2021-08-06,64.35,65.69,64.25,65.14,749200,65.212,67.24,,40.241,-0.59,-0.16,-0.43,67.24,70.329,64.151
2021-08-09,65.11,65.2,64.56,65.12,928100,64.75,67.133,,40.155,-0.644,-0.257,-0.387,67.133,70.364,63.901
2021-08-10,65.18,65.85,64.6,65.13,550400,64.644,67.053,,40.224,-0.678,-0.341,-0.337,67.053,70.403,63.703
2021-08-11,65.42,65.67,65.0,65.19,737600,65.002,66.934,,40.668,-0.692,-0.412,-0.281,66.934,70.375,63.494
2021-08-12,65.2,65.36,64.55,64.6,950500,65.036,66.772,,37.706,-0.743,-0.478,-0.265,66.772,70.336,63.208
2021-08-13,64.86,65.0,64.47,64.68,530000,64.944,66.538,,38.361,-0.767,-0.536,-0.231,66.538,69.999,63.077
2021-08-16,64.67,65.63,64.6,64.98,930700,64.916,66.402,,40.874,-0.754,-0.579,-0.174,66.402,69.886,62.919
2021-08-17,64.89,65.21,64.33,64.98,1019600,64.886,66.244,,40.874,-0.735,-0.61,-0.124,66.244,69.683,62.806
