Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,134.42,138.16,133.98,135.23,2030100,,,,,0.0,0.0,0.0,,,
2021-09-08,134.38,136.11,133.62,135.79,2772500,,,,,0.045,0.009,0.036,,,
2021-09-09,133.9,139.92,133.9,138.97,2382500,,,,,0.333,0.074,0.259,,,
2021-09-10,139.27,140.16,137.58,137.6,1276600,,,,,0.446,0.148,0.297,,,
2021-09-13,138.92,139.36,136.33,137.13,1060900,136.944,,,,0.491,0.217,0.275,,,
2021-09-14,137.81,137.81,134.85,135.17,967400,136.932,,,,0.365,0.246,0.119,,,
2021-09-15,134.96,136.33,134.83,135.51,1001400,136.876,,,,0.289,0.255,0.034,,,
2021-09-16,135.52,135.63,134.02,134.69,776500,136.02,,,,0.161,0.236,-0.075,,,
2021-09-17,133.75,134.6,131.59,131.94,1888100,134.888,,,,-0.16,0.157,-0.317,,,
2021-09-20,129.61,131.77,129.3,131.56,1139600,133.774,,,,-0.441,0.037,-0.478,,,
2021-09-21,132.45,132.99,130.62,130.97,854000,132.934,,,,-0.703,-0.111,-0.592,,,
2021-09-22,132.02,132.45,130.51,130.61,950900,131.954,,,,-0.929,-0.274,-0.654,,,
2021-09-23,131.67,133.06,131.56,131.75,1040600,131.366,,,,-1.004,-0.42,-0.584,,,
2021-09-24,131.82,134.14,131.51,133.6,1142500,131.698,,,,-0.904,-0.517,-0.387,,,
2021-09-27,133.82,135.14,133.02,133.22,980800,132.03,,,44.692,-0.846,-0.583,-0.263,,,
2021-09-28,133.08,133.99,130.99,131.36,901300,132.108,,,37.15,-0.939,-0.654,-0.285,,,
2021-09-29,130.98,132.62,130.26,131.05,973100,132.196,,,36.058,-1.026,-0.728,-0.297,,,
2021-09-30,131.8,132.29,128.58,128.59,1089500,131.564,,,28.817,-1.278,-0.838,-0.44,,,
2021-10-01,129.16,130.62,127.51,129.49,1198700,130.742,,,34.036,-1.39,-0.949,-0.441,,,
2021-10-04,129.48,131.18,128.09,129.49,1416700,129.996,133.186,,34.036,-1.462,-1.051,-0.41,133.186,139.086,127.286
2021-10-05,130.07,132.19,129.05,131.14,1272800,129.952,132.982,,42.932,-1.369,-1.115,-0.255,132.982,138.867,127.096
2021-10-06,130.02,132.07,128.65,131.95,1324300,130.132,132.79,,46.73,-1.217,-1.135,-0.082,132.79,138.538,127.041
2021-10-07,133.18,136.38,133.01,135.31,1726600,131.476,132.606,,58.938,-0.816,-1.071,0.256,132.606,137.725,127.488
2021-10-08,135.3,136.05,134.33,135.54,976600,132.686,132.503,,59.62,-0.473,-0.952,0.478,132.503,137.27,127.737
2021-10-11,136.41,138.23,135.98,136.55,1272400,134.098,132.474,,62.562,-0.119,-0.785,0.666,132.474,137.128,127.821
2021-10-12,136.44,137.84,135.77,137.39,1435800,135.348,132.586,,64.855,0.226,-0.583,0.809,132.586,137.602,127.569
2021-10-13,138.26,139.41,136.68,139.08,1287500,136.774,132.764,,68.972,0.629,-0.341,0.97,132.764,138.43,127.098
2021-10-14,140.11,143.02,139.42,142.86,1580400,138.284,133.172,,75.801,1.239,-0.025,1.264,133.172,140.389,125.956
2021-10-15,143.55,145.35,142.55,144.14,1369200,140.004,133.782,,77.599,1.806,0.341,1.464,133.782,142.473,125.092
2021-10-18,143.37,143.75,141.47,141.53,1820700,141.0,134.281,,66.714,2.02,0.677,1.343,134.281,143.558,125.004
2021-10-19,142.32,143.07,141.36,142.91,1258600,142.104,134.878,,69.176,2.275,0.997,1.279,134.878,144.774,124.982
2021-10-20,144.37,144.94,140.78,144.25,1739100,143.138,135.56,,71.389,2.556,1.309,1.248,135.56,146.078,125.042
2021-10-21,141.1,148.51,141.1,148.36,2543300,144.238,136.39,,76.873,3.075,1.662,1.413,136.39,148.187,124.594
2021-10-22,146.06,148.32,145.23,145.41,1543700,144.492,136.981,,66.953,3.211,1.972,1.239,136.981,149.358,124.604
2021-10-25,145.84,145.84,142.51,143.93,1817700,144.972,137.516,,62.59,3.163,2.21,0.953,137.516,150.133,124.9
2021-10-26,143.97,146.18,143.48,145.55,1004800,145.5,138.226,,65.259,3.219,2.412,0.807,138.226,150.98,125.472
2021-10-27,145.51,146.4,144.1,145.23,1048300,145.696,138.935,,64.283,3.2,2.57,0.631,138.935,151.585,126.285
2021-10-28,145.77,147.22,145.37,146.55,1270500,145.334,139.833,,66.507,3.255,2.707,0.548,139.833,151.929,127.737
2021-10-29,145.85,147.46,143.34,144.38,2067400,145.128,140.578,,59.903,3.087,2.783,0.304,140.578,151.794,129.361
2021-11-01,144.24,144.97,142.37,142.99,787200,144.94,141.252,,56.062,2.809,2.788,0.021,141.252,151.214,131.291
2021-11-02,143.97,145.93,143.34,145.57,1340400,144.944,141.974,,61.053,2.766,2.784,-0.018,141.974,150.887,133.061
2021-11-03,144.98,147.11,143.9,146.39,1216400,145.176,142.696,,62.511,2.765,2.78,-0.014,142.696,150.454,134.938
2021-11-04,146.46,147.71,145.91,146.79,756100,145.224,143.27,,63.234,2.766,2.777,-0.011,143.27,150.401,136.139
2021-11-05,147.39,148.95,146.41,146.64,991000,145.676,143.825,,62.745,2.722,2.766,-0.044,143.825,150.099,137.551
2021-11-08,146.8,148.2,145.76,146.09,1129100,146.296,144.302,,60.888,2.613,2.736,-0.122,144.302,149.626,138.978
2021-11-09,146.22,147.96,145.33,145.7,1151500,146.322,144.718,,59.541,2.467,2.682,-0.215,144.718,148.957,140.478
2021-11-10,145.83,147.43,144.81,145.05,2943400,146.054,145.016,,57.269,2.273,2.6,-0.327,145.016,148.322,141.71
2021-11-11,144.84,145.18,143.04,143.95,1985800,145.486,145.07,,53.544,2.007,2.481,-0.475,145.07,148.26,141.881
2021-11-12,144.18,146.11,143.65,145.87,3076200,145.332,145.157,,58.605,1.929,2.371,-0.442,145.157,148.334,141.98
2021-11-15,146.17,147.04,144.62,147.03,1091600,145.52,145.432,138.957,61.345,1.938,2.284,-0.346,145.432,148.215,142.649
2021-11-16,147.46,150.68,147.03,148.76,1500700,146.132,145.724,139.228,65.059,2.061,2.24,-0.178,145.724,148.619,142.83
2021-11-17,148.26,148.98,147.47,148.27,1000600,146.776,145.926,139.477,63.206,2.095,2.211,-0.116,145.926,148.945,142.906
2021-11-18,148.41,148.79,146.22,146.51,916500,147.288,145.833,139.628,56.935,1.958,2.16,-0.203,145.833,148.644,143.022
2021-11-19,146.58,147.0,144.74,145.15,793800,147.144,145.82,139.779,52.593,1.719,2.072,-0.353,145.82,148.642,142.998
2021-11-22,145.69,147.12,145.49,145.55,585700,146.848,145.901,139.947,53.711,1.544,1.966,-0.422,145.901,148.584,143.218
2021-11-23,145.61,146.51,144.2,144.78,907100,146.052,145.862,140.14,51.207,1.328,1.839,-0.51,145.862,148.588,143.137
2021-11-24,144.14,144.62,142.62,143.27,846300,145.052,145.764,140.295,46.618,1.024,1.676,-0.652,145.764,148.718,142.811
2021-11-26,139.99,141.13,138.17,140.42,695000,143.834,145.458,140.409,39.434,0.546,1.45,-0.904,145.458,149.228,141.688
2021-11-29,141.59,142.99,140.98,142.01,1277900,143.206,145.34,140.611,44.566,0.292,1.218,-0.926,145.34,149.39,141.289
2021-11-30,140.64,142.45,138.82,139.13,2322700,141.922,145.146,140.762,38.244,-0.14,0.947,-1.086,145.146,149.964,140.329
2021-12-01,141.1,143.53,138.43,138.51,1096600,140.668,144.794,140.913,37.026,-0.526,0.652,-1.178,144.794,150.443,139.144
2021-12-02,139.28,144.25,139.18,143.52,1173000,140.718,144.65,141.171,50.689,-0.423,0.437,-0.86,144.65,150.274,139.026
2021-12-03,143.33,146.19,142.99,144.74,1507500,141.582,144.547,141.431,53.344,-0.24,0.302,-0.542,144.547,150.082,139.013
2021-12-06,146.77,150.1,146.45,148.39,1256100,142.858,144.635,141.727,60.24,0.197,0.281,-0.084,144.635,150.361,138.909
2021-12-07,150.13,151.49,149.53,150.06,1160900,145.044,144.834,142.064,62.94,0.671,0.359,0.312,144.834,151.028,138.639
2021-12-08,150.21,150.92,147.6,148.74,926500,147.09,144.986,142.411,59.501,0.929,0.473,0.456,144.986,151.414,138.557
2021-12-09,148.11,148.97,147.26,148.05,822300,147.996,145.136,142.751,57.726,1.065,0.591,0.474,145.136,151.709,138.562
2021-12-10,149.36,149.56,146.98,147.43,1095400,148.534,145.31,143.128,56.106,1.111,0.695,0.416,145.31,151.935,138.684
2021-12-13,147.38,148.51,146.32,146.93,946100,148.242,145.362,143.477,54.771,1.094,0.775,0.319,145.362,152.023,138.702
2021-12-14,146.87,147.66,146.2,146.61,837600,147.552,145.342,143.819,53.888,1.042,0.828,0.214,145.342,151.983,138.7
2021-12-15,147.12,149.75,146.14,149.68,1000500,147.74,145.388,144.19,60.476,1.235,0.91,0.325,145.388,152.14,138.635
2021-12-16,151.06,153.8,150.36,152.8,1591900,148.69,145.614,144.607,65.82,1.621,1.052,0.569,145.614,153.044,138.184
2021-12-17,152.44,152.79,148.41,148.53,2366700,148.91,145.715,144.871,54.882,1.564,1.155,0.41,145.715,153.25,138.18
2021-12-20,146.43,146.43,142.81,145.0,865900,148.524,145.708,145.061,47.809,1.221,1.168,0.053,145.708,153.245,138.17
2021-12-21,146.1,148.31,145.6,147.94,1085600,148.79,145.827,145.288,53.217,1.172,1.169,0.003,145.827,153.43,138.224
2021-12-22,147.46,150.52,147.46,149.57,1051600,148.768,146.066,145.532,55.943,1.25,1.185,0.065,146.066,153.831,138.302
2021-12-23,150.08,151.9,150.08,150.76,709100,148.36,146.441,145.766,57.872,1.392,1.226,0.166,146.441,154.358,138.524
2021-12-27,151.65,153.41,151.19,153.18,621600,149.29,147.079,145.972,61.56,1.681,1.317,0.364,147.079,155.01,139.148
2021-12-28,153.41,155.1,153.37,154.49,609700,151.188,147.703,146.179,63.426,1.992,1.452,0.54,147.703,155.913,139.493
2021-12-29,154.23,155.47,154.0,154.51,644900,152.502,148.472,146.439,63.455,2.215,1.605,0.61,148.472,156.166,140.778
2021-12-30,154.66,155.92,154.28,154.4,635300,153.468,149.266,146.668,63.157,2.356,1.755,0.601,149.266,155.828,142.705
2021-12-31,154.19,156.1,153.78,155.62,674900,154.44,149.872,146.896,65.116,2.536,1.911,0.625,149.872,156.433,143.31
