Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,37.73,39.27,37.15,38.57,17104900,,,,,0.0,0.0,0.0,,,
2021-07-13,38.26,38.67,37.76,37.8,9441000,,,,,-0.061,-0.012,-0.049,,,
2021-07-14,38.17,38.21,37.01,37.19,11243000,,,,,-0.158,-0.041,-0.116,,,
2021-07-15,37.1,37.69,36.34,36.66,9672000,,,,,-0.273,-0.088,-0.186,,,
2021-07-16,36.74,36.86,35.57,35.77,10837100,37.198,,,,-0.432,-0.157,-0.275,,,
2021-07-19,35.32,35.64,34.77,35.4,12677300,36.564,,,,-0.581,-0.241,-0.339,,,
2021-07-20,35.7,36.75,35.01,35.86,12779000,36.176,,,,-0.654,-0.324,-0.33,,,
2021-07-21,36.04,37.06,35.96,36.67,8950800,36.072,,,,-0.639,-0.387,-0.252,,,
2021-07-22,36.71,36.72,35.75,36.28,6260300,35.996,,,,-0.652,-0.44,-0.212,,,
2021-07-23,36.38,36.52,35.88,36.39,6552900,36.12,,,,-0.645,-0.481,-0.164,,,
2021-07-26,36.43,37.48,36.33,37.43,12283700,36.526,,,,-0.55,-0.495,-0.055,,,
2021-07-27,37.09,37.32,36.32,36.7,7622600,36.694,,,,-0.527,-0.501,-0.026,,,
2021-07-28,36.75,37.44,36.15,36.98,9449600,36.756,,,,-0.481,-0.497,0.016,,,
2021-07-29,37.07,37.69,36.84,37.01,6833200,36.902,,,,-0.437,-0.485,0.048,,,
2021-07-30,36.82,37.19,36.19,36.34,8020600,36.892,,,39.029,-0.451,-0.478,0.028,,,
2021-08-02,36.54,36.99,36.15,36.26,8873800,36.658,,,38.334,-0.463,-0.475,0.012,,,
2021-08-03,36.3,36.39,33.77,34.15,34007800,36.148,,,25.459,-0.635,-0.507,-0.128,,,
2021-08-04,34.0,34.88,33.94,34.44,17040600,35.64,,,28.989,-0.74,-0.554,-0.186,,,
2021-08-05,34.4,37.0,34.3,36.89,19426900,35.616,,,50.373,-0.618,-0.567,-0.052,,,
2021-08-06,37.08,37.39,36.73,36.84,10609500,35.716,36.482,,50.041,-0.52,-0.557,0.037,36.482,38.545,34.418
2021-08-09,36.68,36.71,35.67,35.77,12343600,35.618,36.342,,43.457,-0.522,-0.55,0.028,36.342,38.175,34.508
2021-08-10,35.88,36.26,35.38,36.18,11877200,36.024,36.26,,46.369,-0.486,-0.537,0.052,36.26,37.962,34.559
2021-08-11,36.24,36.44,35.67,36.24,8285900,36.384,36.213,,46.801,-0.446,-0.519,0.073,36.213,37.857,34.569
2021-08-12,36.16,36.34,35.3,35.48,8250300,36.102,36.154,,42.169,-0.471,-0.51,0.038,36.154,37.815,34.493
2021-08-13,35.77,35.95,34.72,34.77,8991800,35.688,36.104,,38.351,-0.542,-0.516,-0.026,36.104,37.87,34.338
2021-08-16,34.57,34.69,33.87,34.2,9775300,35.374,36.044,,35.567,-0.637,-0.54,-0.096,36.044,37.984,34.104
2021-08-17,33.92,34.7,33.53,34.65,12938800,35.068,35.984,,39.313,-0.668,-0.566,-0.102,35.984,38.021,33.946
2021-08-18,35.51,36.96,35.01,35.93,20720100,35.006,35.946,,48.486,-0.582,-0.569,-0.013,35.946,37.958,33.935
2021-08-19,35.78,35.89,35.08,35.19,12395500,34.948,35.892,,44.316,-0.568,-0.569,0.001,35.892,37.924,33.86
2021-08-20,35.08,35.53,34.82,35.25,10167300,35.044,35.835,,44.731,-0.545,-0.564,0.019,35.835,37.873,33.797
2021-08-23,35.48,36.01,35.16,35.8,8201500,35.364,35.754,,48.52,-0.477,-0.547,0.069,35.754,37.648,33.859
2021-08-24,35.96,36.39,35.8,36.13,8818500,35.66,35.725,,50.703,-0.392,-0.516,0.123,35.725,37.576,33.874
2021-08-25,36.28,36.7,35.88,36.37,9384000,35.748,35.694,,52.288,-0.302,-0.473,0.171,35.694,37.477,33.912
2021-08-26,36.36,36.59,35.43,35.48,8032500,35.806,35.618,,46.338,-0.299,-0.438,0.139,35.618,37.291,33.945
2021-08-27,35.47,36.33,35.27,36.3,7827600,36.016,35.616,,51.782,-0.228,-0.396,0.168,35.616,37.285,33.947
2021-08-30,36.3,36.33,34.93,35.72,8721000,36.0,35.589,,48.068,-0.216,-0.36,0.144,35.589,37.232,33.946
2021-08-31,35.67,37.01,35.62,36.8,12153600,36.134,35.722,,54.599,-0.118,-0.312,0.194,35.722,37.302,34.141
2021-09-01,36.95,37.15,36.59,36.76,7088000,36.212,35.838,,54.326,-0.043,-0.258,0.215,35.838,37.361,34.314
