Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,145.5,145.65,142.5,142.88,504600,,,,,0.0,0.0,0.0,,,
2021-07-13,142.88,143.88,141.42,143.06,348000,,,,,0.014,0.003,0.011,,,
2021-07-14,144.13,144.13,141.77,142.57,358100,,,,,-0.014,-0.0,-0.013,,,
2021-07-15,141.92,142.63,139.83,141.28,386800,,,,,-0.138,-0.028,-0.11,,,
2021-07-16,141.99,142.74,139.73,140.2,469600,141.998,,,,-0.321,-0.087,-0.234,,,
2021-07-19,138.31,138.31,135.35,136.71,700800,140.764,,,,-0.738,-0.217,-0.521,,,
2021-07-20,137.31,143.52,136.72,142.96,810600,140.744,,,,-0.558,-0.285,-0.273,,,
2021-07-21,143.24,146.66,142.82,146.5,637900,141.53,,,,-0.129,-0.254,0.125,,,
2021-07-22,146.78,148.82,146.78,148.28,479800,142.93,,,,0.351,-0.133,0.484,,,
2021-07-23,148.95,153.73,148.29,152.69,943800,145.428,,,,1.075,0.109,0.967,,,
2021-07-26,151.99,152.0,148.95,151.32,592900,148.35,,,,1.521,0.391,1.13,,,
2021-07-27,150.42,150.42,142.44,143.6,889300,148.478,,,,1.237,0.56,0.677,,,
2021-07-28,144.0,146.43,142.92,145.25,667100,148.228,,,,1.132,0.675,0.457,,,
2021-07-29,136.56,137.5,130.05,133.03,1725900,145.178,,,,0.062,0.552,-0.49,,,
2021-07-30,133.12,135.5,131.19,135.45,1028000,141.73,,,38.711,-0.584,0.325,-0.909,,,
2021-08-02,135.68,135.79,130.8,131.07,676200,137.68,,,34.146,-1.433,-0.027,-1.406,,,
2021-08-03,131.07,133.27,130.67,132.41,622500,135.442,,,36.609,-1.975,-0.416,-1.558,,,
2021-08-04,132.87,135.73,131.9,135.3,792600,133.452,,,41.675,-2.146,-0.762,-1.384,,,
2021-08-05,135.48,137.19,134.38,135.55,905900,133.956,,,42.106,-2.236,-1.057,-1.179,,,
2021-08-06,135.88,136.33,134.45,135.37,502600,133.94,140.774,,41.867,-2.295,-1.305,-0.991,140.774,153.289,128.259
2021-08-09,135.55,136.1,134.66,135.18,283700,134.762,140.389,,41.597,-2.331,-1.51,-0.821,140.389,153.104,127.674
2021-08-10,136.18,137.67,135.17,135.78,482800,135.436,140.025,,42.848,-2.284,-1.665,-0.619,140.025,152.834,127.216
2021-08-11,136.74,136.74,133.6,134.49,304100,135.274,139.621,,40.824,-2.325,-1.797,-0.528,139.621,152.601,126.641
2021-08-12,134.35,134.35,133.05,133.68,487300,134.9,139.241,,39.56,-2.394,-1.916,-0.478,139.241,152.459,126.023
2021-08-13,133.86,134.08,131.7,132.01,807800,134.228,138.832,,37.015,-2.555,-2.044,-0.511,138.832,152.427,125.236
2021-08-16,131.62,131.62,129.32,130.16,891900,133.224,138.504,,34.378,-2.799,-2.195,-0.604,138.504,152.62,124.388
2021-08-17,129.3,129.3,125.94,127.98,994100,131.664,137.755,,31.527,-3.133,-2.383,-0.75,137.755,152.453,123.057
2021-08-18,127.22,128.07,126.43,126.57,469500,130.08,136.758,,29.805,-3.471,-2.6,-0.87,136.758,151.661,121.856
2021-08-19,124.98,126.47,124.18,126.25,578900,128.594,135.657,,29.412,-3.721,-2.824,-0.897,135.657,150.227,121.087
2021-08-20,126.44,128.5,126.03,128.29,471900,127.85,134.437,,35.266,-3.713,-3.002,-0.711,134.437,146.942,121.932
2021-08-23,128.95,130.1,128.8,129.9,624100,127.798,133.366,,39.528,-3.535,-3.109,-0.426,133.366,143.157,123.575
2021-08-24,130.66,132.49,130.59,131.26,344700,128.454,132.749,,42.946,-3.247,-3.136,-0.111,132.749,141.301,124.197
2021-08-25,131.1,132.48,130.55,131.72,349100,129.484,132.072,,44.096,-2.948,-3.099,0.151,132.072,138.28,125.865
2021-08-26,131.28,131.9,129.28,130.18,591300,130.27,131.93,,41.107,-2.803,-3.039,0.237,131.93,138.176,125.684
2021-08-27,130.5,132.9,130.49,131.98,601200,131.008,131.756,,45.737,-2.514,-2.934,0.421,131.756,137.78,125.733
2021-08-30,132.47,133.0,131.87,132.47,346400,131.522,131.826,,46.96,-2.219,-2.791,0.572,131.826,137.849,125.804
2021-08-31,133.0,133.0,131.1,131.66,585900,131.602,131.789,,45.149,-2.028,-2.639,0.611,131.789,137.805,125.773
2021-09-01,132.6,134.69,132.6,133.11,685500,131.88,131.68,,48.944,-1.739,-2.459,0.72,131.68,137.503,125.856
2021-09-02,133.87,134.6,131.44,131.84,356100,132.212,131.494,,45.946,-1.594,-2.286,0.691,131.494,137.028,125.96
2021-09-03,131.57,133.45,131.25,132.99,354900,132.414,131.375,,48.993,-1.371,-2.103,0.732,131.375,136.654,126.096
2021-09-07,133.0,133.65,129.53,129.77,527600,131.874,131.104,,41.875,-1.438,-1.97,0.532,131.104,136.11,126.099
2021-09-08,130.85,130.85,127.71,129.79,474300,131.5,130.805,,41.931,-1.472,-1.87,0.399,130.805,135.326,126.284
2021-09-09,130.11,130.67,127.33,127.39,2543400,130.356,130.45,,37.256,-1.673,-1.831,0.158,130.45,134.867,126.033
2021-09-10,127.89,128.78,125.48,125.62,1051800,129.112,130.047,,34.226,-1.953,-1.855,-0.098,130.047,134.688,125.406
2021-09-13,125.62,126.41,122.05,122.81,1728400,127.076,129.587,,30.047,-2.374,-1.959,-0.415,129.587,135.142,124.032
2021-09-14,123.94,125.07,121.87,122.44,1020200,125.61,129.201,,29.536,-2.706,-2.108,-0.598,129.201,135.598,122.804
2021-09-15,122.85,125.35,121.65,125.2,1191700,124.692,129.062,,38.01,-2.716,-2.23,-0.486,129.062,135.687,122.437
2021-09-16,125.0,125.64,122.98,125.5,633900,124.314,129.008,,38.871,-2.668,-2.318,-0.351,129.008,135.735,122.282
2021-09-17,125.16,125.58,122.53,123.14,773100,123.818,128.853,,34.78,-2.789,-2.412,-0.377,128.853,135.98,121.726
2021-09-20,120.28,121.39,118.61,120.74,643600,123.404,128.476,133.908,31.186,-3.043,-2.538,-0.505,128.476,136.474,120.477
2021-09-21,121.45,121.47,119.49,119.93,536400,122.902,127.977,133.449,30.057,-3.272,-2.685,-0.587,127.977,136.802,119.152
2021-09-22,120.29,122.63,119.85,121.09,769400,122.08,127.468,133.009,33.756,-3.322,-2.812,-0.51,127.468,136.662,118.275
2021-09-23,122.33,125.34,121.29,123.84,524900,121.748,127.075,132.635,41.635,-3.104,-2.871,-0.233,127.075,136.175,117.974
2021-09-24,122.44,124.15,122.29,123.52,347500,121.824,126.742,132.279,41.024,-2.923,-2.881,-0.042,126.742,135.851,117.632
2021-09-27,123.05,124.72,121.83,124.08,627600,122.492,126.347,131.957,42.612,-2.703,-2.845,0.142,126.347,135.181,117.512
2021-09-28,122.52,123.34,118.87,121.0,754200,122.706,125.773,131.643,36.749,-2.746,-2.825,0.08,125.773,134.421,117.125
2021-09-29,121.56,122.7,119.6,120.0,550600,122.488,125.19,131.184,35.063,-2.828,-2.826,-0.002,125.19,133.738,116.642
2021-09-30,120.62,121.76,119.33,119.79,813400,121.678,124.524,130.649,34.703,-2.876,-2.836,-0.04,124.524,132.533,116.515
2021-10-01,120.4,121.3,119.71,120.51,472600,121.076,123.958,130.094,37.089,-2.824,-2.834,0.009,123.958,131.368,116.547
2021-10-04,119.99,120.2,114.65,117.51,1076100,119.762,123.184,129.39,31.864,-2.991,-2.865,-0.126,123.184,129.814,116.553
2021-10-05,117.8,120.01,116.93,119.87,1370600,119.536,122.688,128.761,39.129,-2.899,-2.872,-0.027,122.688,128.698,116.679
2021-10-06,118.02,120.16,117.2,119.59,616700,119.454,122.179,128.281,38.603,-2.816,-2.861,0.045,122.179,127.318,117.039
2021-10-07,120.71,122.95,119.69,120.2,544000,119.536,121.819,127.78,40.48,-2.67,-2.823,0.152,121.819,126.4,117.238
2021-10-08,120.49,121.44,119.61,120.04,544500,119.442,121.54,127.52,40.133,-2.539,-2.766,0.227,121.54,125.815,117.265
