Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,299.77,300.89,296.0,300.37,5456000,,,,,0.0,0.0,0.0,,,
2021-07-13,299.6,305.18,296.18,298.6,7235000,,,,,-0.141,-0.028,-0.113,,,
2021-07-14,300.41,302.19,296.76,298.17,4848200,,,,,-0.285,-0.079,-0.205,,,
2021-07-15,298.28,298.59,291.61,293.96,4943500,,,,,-0.729,-0.209,-0.52,,,
2021-07-16,294.68,296.18,291.91,292.1,4268900,296.64,,,,-1.218,-0.411,-0.807,,,
2021-07-19,289.84,292.54,286.33,292.32,5681500,295.03,,,,-1.569,-0.643,-0.927,,,
2021-07-20,292.98,297.45,289.07,295.51,5424100,294.412,,,,-1.572,-0.829,-0.744,,,
2021-07-21,293.94,299.24,293.66,299.18,5497100,294.614,,,,-1.264,-0.916,-0.348,,,
2021-07-22,299.43,301.95,299.28,301.08,3601500,296.038,,,,-0.856,-0.904,0.047,,,
2021-07-23,303.13,306.82,301.59,305.88,4231100,298.794,,,,-0.144,-0.752,0.608,,,
2021-07-26,307.0,307.5,302.61,304.17,3805900,301.164,,,,0.279,-0.546,0.825,,,
2021-07-27,302.88,303.71,292.36,297.9,6938400,301.642,,,,0.107,-0.415,0.522,,,
2021-07-28,298.16,299.83,294.23,299.39,9185000,301.684,,,,0.09,-0.314,0.404,,,
2021-07-29,282.92,286.52,279.18,280.74,18237000,297.616,,,,-1.412,-0.534,-0.878,,,
2021-07-30,277.84,278.09,271.86,273.16,11693300,291.072,,,22.112,-3.178,-1.063,-2.115,,,
2021-08-02,274.51,274.51,268.11,268.66,10082800,283.97,,,19.948,-4.884,-1.827,-3.057,,,
2021-08-03,269.72,272.18,267.26,271.15,8323000,278.62,,,24.36,-5.966,-2.655,-3.311,,,
2021-08-04,271.72,273.72,268.35,273.13,6616900,273.368,,,27.768,-6.588,-3.441,-3.147,,,
2021-08-05,274.72,278.55,273.45,278.26,7354200,272.872,,,35.837,-6.591,-4.071,-2.52,,,
2021-08-06,277.6,279.95,274.49,277.14,6086300,273.668,290.044,,34.919,-6.608,-4.579,-2.029,290.044,314.678,265.409
2021-08-09,277.81,278.69,275.08,275.76,3823000,275.088,288.813,,33.773,-6.655,-4.994,-1.661,288.813,313.732,263.894
2021-08-10,276.54,278.08,270.16,272.01,6264100,275.26,287.484,,30.812,-6.916,-5.378,-1.538,287.484,313.033,261.934
2021-08-11,275.06,275.85,270.78,274.04,5785900,275.442,286.277,,34.176,-6.88,-5.679,-1.201,286.277,311.981,260.573
2021-08-12,271.9,274.43,270.72,272.23,4509100,274.236,285.19,,32.651,-6.917,-5.926,-0.991,285.19,311.359,259.022
2021-08-13,273.8,274.43,272.25,272.55,4097200,273.318,284.213,,33.219,-6.842,-6.11,-0.733,284.213,310.753,257.673
2021-08-16,271.38,276.79,271.21,275.89,5283700,273.344,283.392,,38.994,-6.439,-6.175,-0.263,283.392,309.892,256.891
2021-08-17,272.89,273.18,266.77,268.77,7966100,272.696,282.054,,32.535,-6.618,-6.264,-0.354,282.054,308.679,255.43
2021-08-18,268.68,270.43,266.17,266.53,4830900,271.194,280.422,,30.806,-6.861,-6.383,-0.478,280.422,306.626,254.218
2021-08-19,264.9,269.67,264.31,268.26,5119900,270.4,278.781,,33.735,-6.835,-6.474,-0.362,278.781,303.612,253.95
2021-08-20,267.23,271.58,267.23,270.62,4179500,270.014,277.018,,37.614,-6.549,-6.489,-0.06,277.018,298.533,255.503
2021-08-23,273.38,275.9,270.68,274.6,5507500,269.756,275.54,,43.61,-5.933,-6.378,0.445,275.54,292.852,258.227
2021-08-24,276.54,277.18,274.13,277.11,3542600,271.424,274.5,,47.065,-5.182,-6.138,0.956,274.5,288.3,260.7
2021-08-25,277.41,277.43,274.39,275.31,4392600,273.18,273.296,,44.938,-4.678,-5.846,1.168,273.296,280.648,265.944
2021-08-26,275.5,276.29,271.17,271.27,3626400,273.782,272.822,,40.514,-4.553,-5.588,1.035,272.822,279.327,266.318
2021-08-27,271.68,276.5,271.32,275.94,3917000,274.846,272.962,,47.009,-4.03,-5.276,1.246,272.962,279.614,266.309
2021-08-30,277.21,287.91,276.68,285.99,14631000,277.124,273.828,,57.71,-2.773,-4.775,2.003,273.828,282.368,265.288
2021-08-31,288.43,290.14,281.9,286.18,8911800,278.938,274.58,,57.883,-1.741,-4.168,2.428,274.58,284.637,264.522
2021-09-01,287.61,288.4,283.9,284.29,5568300,280.734,275.138,,55.451,-1.063,-3.547,2.484,275.138,286.058,264.217
2021-09-02,286.42,286.42,282.8,283.08,4645500,283.096,275.378,,53.89,-0.617,-2.961,2.344,275.378,286.791,263.966
2021-09-03,282.58,287.89,281.96,286.65,5285700,285.238,275.854,,57.676,0.025,-2.364,2.389,275.854,288.319,263.389
2021-09-07,287.92,291.16,285.57,290.74,6787500,286.188,276.603,,61.569,0.853,-1.721,2.574,276.603,290.734,262.472
2021-09-08,294.0,294.15,280.9,282.78,11039300,285.508,277.142,,51.617,0.858,-1.205,2.063,277.142,291.356,262.927
2021-09-09,284.98,286.89,282.63,284.42,4170000,285.534,277.66,,53.292,0.982,-0.768,1.75,277.66,292.153,263.168
2021-09-10,286.12,286.52,281.67,281.88,3816600,285.294,278.143,,50.383,0.866,-0.441,1.307,278.143,292.516,263.77
2021-09-13,284.26,284.72,275.41,278.08,4836500,283.58,278.42,,46.309,0.462,-0.26,0.722,278.42,292.551,264.288
2021-09-14,279.42,280.74,277.31,279.82,4216700,281.396,278.616,,48.368,0.279,-0.152,0.431,278.616,292.708,264.524
2021-09-15,281.77,283.3,277.1,280.01,4056800,280.842,279.178,,48.6,0.148,-0.092,0.24,279.178,292.492,265.864
2021-09-16,278.63,281.25,277.98,280.54,3606700,280.066,279.879,,49.283,0.085,-0.057,0.142,279.879,291.791,267.966
2021-09-17,279.76,280.07,273.55,273.97,8117200,278.484,280.164,,41.851,-0.489,-0.143,-0.345,280.164,291.141,269.187
2021-09-20,269.22,270.66,263.4,267.59,7728300,276.386,280.012,282.356,36.149,-1.442,-0.403,-1.039,280.012,291.61,268.415
2021-09-21,269.42,269.96,265.5,267.18,4326100,273.858,279.642,281.692,35.811,-2.205,-0.763,-1.441,279.642,292.386,266.897
2021-09-22,268.14,271.12,264.21,270.0,5574100,271.856,279.286,281.12,39.965,-2.552,-1.121,-1.431,279.286,292.707,265.865
2021-09-23,272.09,277.55,271.43,276.7,5409600,271.088,279.356,280.69,48.493,-2.261,-1.349,-0.912,279.356,292.704,266.007
2021-09-24,273.65,275.94,272.33,275.72,3985800,271.438,279.578,280.326,47.431,-2.086,-1.496,-0.589,279.578,292.5,266.656
2021-09-27,272.42,274.4,269.85,271.04,4614900,272.128,279.333,279.904,42.633,-2.297,-1.657,-0.641,279.333,292.723,265.943
