Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,468.37,468.37,465.6,467.24,261800,,,,,0.0,0.0,0.0,,,
2021-07-13,466.55,468.03,465.76,466.64,311600,,,,,-0.048,-0.01,-0.038,,,
2021-07-14,466.56,472.73,465.78,471.24,289600,,,,,0.282,0.049,0.233,,,
2021-07-15,469.82,473.03,468.36,471.37,392500,,,,,0.548,0.149,0.399,,,
2021-07-16,471.43,475.68,469.69,470.77,342600,469.452,,,,0.702,0.259,0.443,,,
2021-07-19,466.88,469.02,462.85,466.64,408300,469.332,,,,0.485,0.304,0.181,,,
2021-07-20,468.21,477.74,468.21,476.17,475000,471.238,,,,1.07,0.458,0.612,,,
2021-07-21,477.2,479.38,475.22,478.33,446300,472.656,,,,1.688,0.704,0.985,,,
2021-07-22,479.44,481.55,475.26,476.21,587500,473.624,,,,1.984,0.96,1.025,,,
2021-07-23,480.39,483.58,474.86,481.09,521000,475.688,,,,2.583,1.285,1.299,,,
2021-07-26,480.42,481.87,471.3,474.45,492900,477.25,,,,2.493,1.526,0.967,,,
2021-07-27,474.23,477.91,470.08,477.88,620300,477.592,,,,2.668,1.755,0.913,,,
2021-07-28,477.96,479.39,470.66,473.07,377700,476.54,,,,2.39,1.882,0.509,,,
2021-07-29,475.63,477.68,473.42,476.45,479200,476.588,,,,2.416,1.988,0.427,,,
2021-07-30,475.47,477.02,473.77,475.96,407900,475.562,,,56.684,2.369,2.064,0.304,,,
2021-08-02,478.72,478.72,472.37,473.06,321200,475.284,,,51.545,2.074,2.066,0.007,,,
2021-08-03,473.88,477.82,471.19,476.88,345300,475.084,,,57.067,2.123,2.078,0.046,,,
2021-08-04,476.86,480.41,472.85,474.77,287400,475.424,,,53.444,1.97,2.056,-0.086,,,
2021-08-05,476.79,477.83,471.18,474.49,365000,475.032,,,52.963,1.805,2.006,-0.201,,,
2021-08-06,475.05,476.75,471.77,472.69,307000,474.378,473.77,,49.86,1.512,1.907,-0.395,473.77,481.641,465.899
2021-08-09,471.98,472.05,467.77,470.17,301000,473.8,473.916,,45.812,1.063,1.738,-0.675,473.916,481.374,466.459
2021-08-10,471.78,471.78,463.23,464.39,632800,471.302,473.804,,38.161,0.239,1.439,-1.199,473.804,481.774,465.834
2021-08-11,465.75,467.46,460.33,465.44,636300,469.436,473.514,,40.117,-0.326,1.086,-1.411,473.514,482.261,464.767
2021-08-12,465.11,465.63,460.77,464.49,470600,467.436,473.17,,38.918,-0.84,0.701,-1.541,473.17,482.771,463.569
2021-08-13,466.34,468.3,462.81,465.71,268300,466.04,472.917,,41.344,-1.136,0.333,-1.47,472.917,483.037,462.797
2021-08-16,465.06,471.13,462.94,470.0,288400,466.006,473.085,,49.013,-1.013,0.064,-1.077,473.085,482.872,463.298
2021-08-17,469.57,471.18,466.33,470.72,254200,467.272,472.812,,50.19,-0.848,-0.119,-0.729,472.812,482.542,463.083
2021-08-18,468.29,470.53,463.23,463.29,289800,466.842,472.061,,39.942,-1.301,-0.355,-0.946,472.061,482.305,461.816
2021-08-19,460.91,465.21,460.13,462.16,540200,466.376,471.358,,38.65,-1.732,-0.631,-1.102,471.358,482.307,460.409
2021-08-20,464.27,467.06,462.94,464.92,883200,466.218,470.549,,43.462,-1.829,-0.87,-0.959,470.549,480.841,460.258
2021-08-23,466.82,469.71,464.52,467.15,406400,465.648,470.184,,47.074,-1.707,-1.038,-0.669,470.184,480.411,459.958
2021-08-24,469.33,469.61,463.54,464.43,236700,464.39,469.512,,43.43,-1.809,-1.192,-0.617,469.512,479.371,459.653
2021-08-25,464.23,466.3,461.67,464.49,339500,464.63,469.083,,43.533,-1.863,-1.326,-0.537,469.083,479.036,459.13
2021-08-26,464.22,464.22,461.03,463.13,236500,464.824,468.417,,41.666,-1.993,-1.459,-0.533,468.417,478.072,458.762
2021-08-27,465.08,467.96,461.4,463.57,222300,464.554,467.797,,42.525,-2.037,-1.575,-0.462,467.797,476.994,458.601
2021-08-30,464.01,470.07,463.64,467.54,157100,464.632,467.522,,49.719,-1.731,-1.606,-0.125,467.522,476.378,458.665
2021-08-31,466.93,469.61,464.45,468.15,288500,465.376,467.085,,50.739,-1.423,-1.569,0.146,467.085,474.785,459.385
2021-09-01,468.5,470.24,464.45,468.11,297700,466.1,466.752,,50.667,-1.169,-1.489,0.32,466.752,473.579,459.925
2021-09-02,469.93,471.78,467.73,471.02,214000,467.678,466.579,,55.64,-0.724,-1.336,0.612,466.579,472.719,460.438
