Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,105.84,105.93,105.44,105.78,744900,,,,,0.0,0.0,0.0,,,
2021-07-13,107.71,107.89,105.63,105.74,1200200,,,,,-0.003,-0.001,-0.003,,,
2021-07-14,105.78,106.94,105.71,106.91,944000,,,,,0.088,0.017,0.071,,,
2021-07-15,106.47,107.81,106.36,107.55,1094500,,,,,0.209,0.055,0.154,,,
2021-07-16,107.93,109.12,107.64,108.21,957400,106.838,,,,0.354,0.115,0.239,,,
2021-07-19,107.37,107.61,105.75,106.79,1097800,107.04,,,,0.351,0.162,0.188,,,
2021-07-20,107.05,109.1,107.03,108.08,1060900,107.508,,,,0.447,0.219,0.228,,,
2021-07-21,108.52,108.54,107.8,107.87,849100,107.7,,,,0.5,0.275,0.225,,,
2021-07-22,107.97,108.31,107.3,108.01,631800,107.792,,,,0.548,0.33,0.218,,,
2021-07-23,108.09,109.21,108.02,109.09,482600,107.968,,,,0.665,0.397,0.268,,,
2021-07-26,108.97,109.25,108.43,108.76,1122100,108.362,,,,0.723,0.462,0.261,,,
2021-07-27,108.74,110.18,108.51,109.03,886400,108.552,,,,0.781,0.526,0.255,,,
2021-07-28,108.73,108.99,108.03,108.32,782100,108.642,,,,0.762,0.573,0.189,,,
2021-07-29,108.84,109.32,108.44,108.44,928700,108.728,,,,0.747,0.608,0.139,,,
2021-07-30,108.32,111.33,108.32,111.14,2013100,109.138,,,76.608,0.943,0.675,0.268,,,
2021-08-02,111.52,111.66,109.91,110.8,1054500,109.546,,,72.987,1.058,0.751,0.306,,,
2021-08-03,110.98,112.8,110.6,112.44,1571100,110.228,,,78.312,1.267,0.854,0.412,,,
2021-08-04,112.26,113.18,111.52,111.89,990400,110.942,,,73.107,1.372,0.958,0.414,,,
2021-08-05,112.22,112.57,110.55,111.02,1091000,111.458,,,65.672,1.37,1.04,0.33,,,
2021-08-06,110.93,112.18,110.69,111.1,832700,111.45,108.848,,66.015,1.359,1.104,0.255,108.848,112.768,104.929
2021-08-09,111.27,111.41,110.48,110.63,771600,111.416,109.091,,62.097,1.297,1.143,0.155,109.091,112.806,105.376
2021-08-10,110.58,111.24,110.09,110.28,745900,110.984,109.318,,59.276,1.206,1.156,0.051,109.318,112.711,105.925
2021-08-11,110.49,112.44,110.43,112.37,973800,111.08,109.591,,68.483,1.288,1.182,0.106,109.591,113.047,106.135
2021-08-12,112.33,113.09,112.29,112.77,1246700,111.43,109.852,,69.887,1.369,1.219,0.15,109.852,113.444,106.26
2021-08-13,113.14,113.41,112.74,113.22,518100,111.854,110.102,,71.428,1.453,1.266,0.187,110.102,113.905,106.3
2021-08-16,113.07,114.34,112.63,114.3,716100,112.588,110.478,,74.766,1.589,1.331,0.258,110.478,114.385,106.571
2021-08-17,114.18,114.48,113.35,114.01,641300,113.334,110.775,,72.322,1.653,1.395,0.258,110.775,114.813,106.736
2021-08-18,113.56,113.86,112.01,112.11,998500,113.282,110.986,,58.771,1.534,1.423,0.111,110.986,114.823,107.15
2021-08-19,111.57,114.07,111.33,113.73,856000,113.474,111.272,,64.823,1.552,1.449,0.103,111.272,115.027,107.518
2021-08-20,113.62,114.86,113.21,114.65,1185000,113.76,111.55,,67.721,1.622,1.483,0.138,111.55,115.445,107.656
2021-08-23,114.98,115.12,114.03,114.17,721700,113.734,111.821,,64.725,1.619,1.51,0.109,111.821,115.651,107.991
2021-08-24,114.78,115.05,114.17,114.97,857300,113.926,112.118,,67.32,1.663,1.541,0.122,112.118,115.958,108.278
2021-08-25,115.1,115.32,114.81,115.18,1011300,114.54,112.461,,67.986,1.695,1.572,0.123,112.461,116.092,108.83
2021-08-26,115.26,115.67,114.89,115.56,790400,114.906,112.817,,69.208,1.731,1.604,0.128,112.817,116.174,109.46
2021-08-27,115.99,116.47,115.74,116.02,1126900,115.18,113.061,,70.668,1.777,1.638,0.138,113.061,116.609,109.513
2021-08-30,116.25,116.97,115.87,116.69,716300,115.684,113.356,,72.699,1.845,1.68,0.166,113.356,117.086,109.625
2021-08-31,116.56,117.29,116.02,116.56,1319700,116.002,113.562,,71.662,1.868,1.717,0.15,113.562,117.527,109.596
2021-09-01,115.99,117.33,115.53,117.21,725700,116.408,113.828,,73.683,1.916,1.757,0.159,113.828,118.028,109.627
2021-09-02,117.65,118.43,117.13,118.41,790000,116.978,114.197,,76.951,2.027,1.811,0.216,114.197,118.65,109.744
2021-09-03,118.32,118.37,117.63,117.82,906100,117.338,114.533,,72.204,2.045,1.858,0.187,114.533,119.016,110.05
2021-09-07,117.6,117.6,115.72,115.82,1293400,117.164,114.792,,58.932,1.875,1.861,0.014,114.792,118.91,110.675
2021-09-08,115.72,117.46,115.5,117.02,1098400,117.256,115.129,,63.292,1.817,1.852,-0.035,115.129,118.767,111.492
2021-09-09,116.96,117.26,116.26,116.43,939800,117.1,115.333,,59.924,1.704,1.823,-0.119,115.333,118.77,111.895
2021-09-10,116.65,117.29,116.19,116.66,921000,116.75,115.527,,60.799,1.614,1.781,-0.167,115.527,118.789,112.265
2021-09-13,117.31,118.46,116.56,117.22,1208300,116.63,115.727,,62.924,1.569,1.739,-0.169,115.727,118.883,112.571
2021-09-14,117.48,118.28,117.1,117.33,966200,116.932,115.878,,63.344,1.526,1.696,-0.17,115.878,119.037,112.72
2021-09-15,117.26,118.55,117.06,117.64,871000,117.056,116.06,,64.563,1.499,1.657,-0.158,116.06,119.183,112.937
2021-09-16,117.7,117.99,116.43,116.49,1013700,117.068,116.279,,56.991,1.369,1.599,-0.23,116.279,118.79,113.768
2021-09-17,115.67,116.31,115.23,115.91,2720200,116.918,116.388,,53.578,1.205,1.52,-0.315,116.388,118.605,114.171
2021-09-20,114.98,116.5,114.43,116.02,1807600,116.678,116.456,112.683,54.139,1.072,1.431,-0.359,116.456,118.527,114.386
